matrix_id,card_name,mana_value,color_identity,type_line,set_context,canonical_tier,mechanical_role,primary_signal,secondary_signal,math_axis,growth_axis,resource_axis,board_axis,commander_relevance,vox_mana_read,maze_query_seed,why_canonical,source_url
QND-001,"Quandrix, the Proof",6,G/U,Legendary Creature — Elder Dragon,Secrets of Strixhaven,current-school-core,founder dragon / cascade proof engine,proof becomes inevitability,instant and sorcery chain reaction,theorem-as-creature,fractal-cascade,big-mana-spells,proof-body,high,"The proof is not written down; it lands, flies, tramples, and makes every spell imply the next.",wm:quandrix commander o:cascade,Current Quandrix founder-style anchor from Secrets of Strixhaven with explicit Quandrix watermark and cascade/spells signal.,https://scryfall.com/search?q=%21%22Quandrix%2C%20the%20Proof%22
QND-002,"Zimone, Infinite Analyst",3,G/U,Legendary Creature — Human Wizard,Secrets of Strixhaven Commander,current-school-core,Zimone commander / infinite analysis,questions become engines,counters/X-spells/big mana commander read,analysis-axis,growth-curve,mana-to-proof,equation-loop,very high,Zimone stops being only a prodigy and becomes the user-facing analyst of the infinite sequence.,ci=ug commander (o:counter OR o:{X} OR o:draw),Current Zimone commander print strengthens Quandrix as the college of endless analysis and scalable play.,https://scryfall.com/search?q=%21%22Zimone%2C%20Infinite%20Analyst%22
QND-003,"Zimone, All-Questioning",3,G/U,Legendary Creature — Human Wizard,Duskmourn / Secrets of Strixhaven Commander print,character-bridge,Zimone character bridge / question engine,curiosity as survival math,landfall/counter/question framing,analysis-axis,land-pattern,cards-to-answers,recursive-question,high,A Quandrix reading does not stop at the answer; it asks what pattern produced the answer.,ci=ug commander o:land o:counter,Zimone remains the most portable Quandrix character anchor across sets and product lines.,https://scryfall.com/search?q=%21%22Zimone%2C%20All-Questioning%22
QND-004,Quandrix Charm,2,G/U,Instant,Secrets of Strixhaven,current-school-core,modal formula / flexible theorem,"one spell, multiple proofs",counter / size-set / enchantment answer,modal-proof,base-power-math,spell-efficiency,choice-vector,medium,The theorem has modes because the situation has variables.,ci=ug t:instant o:choose,"Newer Quandrix charm reinforces modal problem-solving, base power/toughness setting, and counterplay.",https://scryfall.com/search?q=%21%22Quandrix%20Charm%22
QND-005,Additive Evolution,5,G,Enchantment,Secrets of Strixhaven,current-mechanic-core,incremental fractal growth,growth by addition,Fractal token plus counter scaling,fractal-axis,counter-accretion,enchantment-engine,token-body,medium,The organism is less important than the equation that keeps adding to it.,wm:quandrix o:Fractal o:+1/+1,Quandrix watermark and Fractal/counter behavior make it a current additive-growth anchor.,https://scryfall.com/search?q=%21%22Additive%20Evolution%22
QND-006,Growth Curve,2,G/U,Sorcery,Secrets of Strixhaven,current-mechanic-core,counter placement plus doubling,"one step, then a proof of scale",doubling + +1/+1 counters,growth-axis,doubling-curve,cheap-scaling,single-body-amplifier,high,First the curve establishes the point; then it doubles the evidence.,wm:quandrix o:double o:+1/+1,Current Quandrix card whose name and rules text cleanly express curve/doubling math.,https://scryfall.com/search?q=%21%22Growth%20Curve%22
QND-007,Wild Hypothesis,XG,G,Sorcery,Secrets of Strixhaven,current-mechanic-core,X spell / Fractal creation,hypothesis becomes body,variable mana to Fractal size,hypothesis-axis,fractal-size,X-mana,variable-token,medium,Quandrix does not guess randomly; it spends X and watches the hypothesis take shape.,wm:quandrix o:{X} o:Fractal,Current Quandrix spell with variable-cost Fractal output.,https://scryfall.com/search?q=%21%22Wild%20Hypothesis%22
QND-008,Applied Geometry,4,G/U,Sorcery,Secrets of Strixhaven,current-mechanic-core,copy geometry / tokenized proof,form can be replicated,copy target non-Aura permanent,geometry-axis,copy-shape,midgame-spell,replication-field,medium,A permanent is only a shape until applied geometry proves it can be repeated.,wm:quandrix o:copy o:token,Current Quandrix card that makes geometry literal through copying.,https://scryfall.com/search?q=%21%22Applied%20Geometry%22
QND-009,Pensive Professor,3,U,Creature — Human Wizard,Secrets of Strixhaven,current-mechanic-core,increment + counter-draw engine,patience converts growth into cards,counters trigger draw,analysis-axis,counter-feedback,spell-to-growth,student-engine,medium,Every counter is a data point; every data point becomes another page of notes.,wm:quandrix o:+1/+1 o:draw,Current mono-blue Quandrix-watermarked card that turns counter accretion into card draw.,https://scryfall.com/search?q=%21%22Pensive%20Professor%22
QND-010,Mind into Matter,XGU,G/U,Sorcery,Secrets of Strixhaven,current-mechanic-core,draw X / permanent deployment,thought condenses into field state,X draw plus permanent conversion,matter-axis,equation-to-object,big-mana-payoff,proof-materialization,medium,The mind calculates until the answer becomes material.,wm:quandrix o:{X} o:draw o:permanent,Current Quandrix X-spell supporting the mind-to-material thesis.,https://scryfall.com/search?q=%21%22Mind%20into%20Matter%22
