multiverse_id,mtgo_id,set,collector_number,lang,rarity,name,mana_cost,cmc,type_line,artist,usd_price,usd_foil_price,eur_price,tix_price,image_uri,scryfall_uri,scryfall_id
553908,97770,NEC,11,en,R,Access Denied,{3}{U}{U},5.0,Instant,Johan Grenier,2.83,,1.91,1.1,https://cards.scryfall.io/large/front/1/6/1642df77-6fe8-47cf-b750-ca4dd9b331ba.jpg?1783923996,https://scryfall.com/card/nec/11/access-denied,1642df77-6fe8-47cf-b750-ca4dd9b331ba
442029,66994,A25,40,en,C,Accumulated Knowledge,{1}{U},2.0,Instant,Randy Gallegos,0.32,0.62,0.42,0.04,https://cards.scryfall.io/large/front/a/d/ad88e5ee-0eee-47af-a7b4-9bac044e1c8c.jpg?1783935186,https://scryfall.com/card/a25/40/accumulated-knowledge,ad88e5ee-0eee-47af-a7b4-9bac044e1c8c
29873,17295,TOR,118,en,C,Acorn Harvest,{3}{G},4.0,Sorcery,"Edward P. Beard, Jr.",1.56,16.56,0.87,0.31,https://cards.scryfall.io/large/front/3/2/32987720-cc0c-416b-b79b-217d3b37542d.jpg?1783945144,https://scryfall.com/card/tor/118/acorn-harvest,32987720-cc0c-416b-b79b-217d3b37542d
634705,,WHO,10,en,R,Adipose Offspring,{3}{W},4.0,Creature — Alien,John Tedrick,0.25,0.48,0.2,,https://cards.scryfall.io/large/front/6/8/68f91092-b679-46c1-9f0c-3b286ee1d02f.jpg?1783914683,https://scryfall.com/card/who/10/adipose-offspring,68f91092-b679-46c1-9f0c-3b286ee1d02f
,140927,FIN,5,en,C,Aerith Rescue Mission,{3}{W},4.0,Sorcery,Hokuyuu,0.2,0.29,0.04,0.03,https://cards.scryfall.io/large/front/3/1/3123d16c-e1e6-4659-a7a3-2ec6efc6bf08.jpg?1783906653,https://scryfall.com/card/fin/5/aerith-rescue-mission,3123d16c-e1e6-4659-a7a3-2ec6efc6bf08
382837,52905,VMA,241,en,U,Aether Mutation,{3}{G}{U},5.0,Sorcery,Ron Spencer,,,,0.09,https://cards.scryfall.io/large/front/5/3/5386a61c-4928-4bd1-babe-5b089ab8b2d9.jpg?1783939245,https://scryfall.com/card/vma/241/aether-mutation,5386a61c-4928-4bd1-babe-5b089ab8b2d9
665079,126701,M3C,69,en,R,Aggressive Biomancy,{X}{X}{G}{U},2.0,Sorcery,Dominik Mayer,0.52,0.84,0.48,0.55,https://cards.scryfall.io/large/front/2/4/24cf121b-c6ad-4425-a2fc-7ce185cd30ef.jpg?1783911417,https://scryfall.com/card/m3c/69/aggressive-biomancy,24cf121b-c6ad-4425-a2fc-7ce185cd30ef
695940,138039,TDC,11,en,R,Ainok Strike Leader,{1}{W},2.0,Creature — Dog Warrior,Alexander Mokhov,2.82,,4.15,3.64,https://cards.scryfall.io/large/front/c/a/cabd77a6-0913-4522-891d-c8a412a536c2.jpg?1783907186,https://scryfall.com/card/tdc/11/ainok-strike-leader,cabd77a6-0913-4522-891d-c8a412a536c2
447139,68167,M19,3,en,M,"Ajani, Adversary of Tyrants",{2}{W}{W},4.0,Legendary Planeswalker — Ajani,Victor Adame Minguez,1.75,5.88,1.32,0.02,https://cards.scryfall.io/large/front/4/c/4c565076-5db2-47ea-8ee0-4a4fd7bb353d.jpg?1783934611,https://scryfall.com/card/m19/3/ajani-adversary-of-tyrants,4c565076-5db2-47ea-8ee0-4a4fd7bb353d
679876,133294,FDN,134,en,M,"Ajani, Caller of the Pride",{1}{W}{W},3.0,Legendary Planeswalker — Ajani,D. Alexander Gregory,0.68,0.87,0.93,0.02,https://cards.scryfall.io/large/front/5/9/59793f1c-8c7e-433e-9c09-40aa3ce931a1.jpg?1783909088,https://scryfall.com/card/fdn/134/ajani-caller-of-the-pride,59793f1c-8c7e-433e-9c09-40aa3ce931a1
