id,faction,color_pair,card_name,set_context,type_line,color_identity,canonical_basis,confidence,mechanic_or_theme,translation_function,dimir_axis,structural_role,narrative_read,animation_motif,tags,source_url
DIM-001,House Dimir,blue-black,Dimir Guildmage,Ravnica: City of Guilds,Creature — Human Wizard,{U}{B},Dimir-watermark / Dimir-named guild card,strong,Card draw + discard,AccretionEngine,Information Brokerage,Compounds information advantage while taxing opponent hand resources.,A broker sells knowledge in one direction and extracts memory in the other.,"two-way data ledger, blue ink becomes black smoke","draw, discard, guildmage, resource asymmetry",https://scryfall.com/search?q=%21%22Dimir%20Guildmage%22
DIM-002,House Dimir,blue-black,"Circu, Dimir Lobotomist",Ravnica: City of Guilds,Legendary Creature — Human Wizard,{U}{B},Legendary Dimir character / guild identity card,strong,Exile from library + casting restriction,Detain,Memory Erasure,Removes future options by cutting names out of memory and library.,The spell does not just fail; the idea of reaching it is surgically removed.,"surgical memory glyph, card names blacked out","exile, library denial, memory, lock",https://scryfall.com/search?q=%21%22Circu%2C%20Dimir%20Lobotomist%22
DIM-003,House Dimir,blue-black,"Szadek, Lord of Secrets",Ravnica: City of Guilds,Legendary Creature — Vampire,{U}{B},Dimir founder / legendary guild leader,strong,Combat damage becomes mill counters,AccretionEngine,Secret Lordship,Transforms contact into escalating memory collapse.,Power grows as the victim forgets more of the world.,"vampiric archive spiral, memory pages draining upward","mill, vampire, founder, counters",https://scryfall.com/search?q=%21%22Szadek%2C%20Lord%20of%20Secrets%22
DIM-004,House Dimir,blue-black,Glimpse the Unthinkable,Ravnica: City of Guilds,Sorcery,{U}{B},Dimir-aligned iconic mill spell,strong,Large single-target mill,Override,Mindbreak,Collapses a section of an opponent library in one decisive psychic strike.,A locked room opens in the mind and everything inside falls out.,"fractured thought window, ten pages torn into void","mill, psychic strike, library denial",https://scryfall.com/search?q=%21%22Glimpse%20the%20Unthinkable%22
DIM-005,House Dimir,blue-black,Dimir Cutpurse,Ravnica: City of Guilds,Creature — Spirit,{U}{B},Dimir-watermark guild card,strong,Combat damage draw/discard,AccretionEngine,Covert Extraction,Turns evasive contact into asymmetric hand movement.,The agent leaves with a secret and the mark cannot remember what is missing.,shadow hand exchanging card for smoke,"saboteur, draw, discard, evasion",https://scryfall.com/search?q=%21%22Dimir%20Cutpurse%22
DIM-006,House Dimir,blue-black,Moroii,Ravnica: City of Guilds,Creature — Vampire,{U}{B},Dimir-watermark guild creature,supported,Aggressive evasive body with life cost,ConstraintField,Predatory Contract,Trades life stability for air superiority and pressure.,Dimir power is rarely free; the contract keeps taking its fee.,"bat-wing silhouette, life mark ticking down","flying, vampire, life cost, pressure",https://scryfall.com/search?q=%21%22Moroii%22
DIM-007,House Dimir,blue-black,Shadow of Doubt,Ravnica: City of Guilds,Instant,{U}{B},Dimir-watermark / search denial spell,strong,Search denial + draw,Override,Information Denial,Counters access to hidden zones and replaces certainty with a card.,The enemy reaches into the archive and finds only a locked door.,"search path sealed, question mark sigil","search hate, draw, instant, denial",https://scryfall.com/search?q=%21%22Shadow%20of%20Doubt%22
DIM-008,House Dimir,blue-black,Dimir Infiltrator,Ravnica: City of Guilds,Creature — Spirit,{U/B},Dimir-watermark / Dimir-named infiltrator,strong,Unblockable + transmute,Detain,Infiltration,Bypasses defenses or becomes exactly the tool the mission needs.,The agent either enters unnoticed or turns into the key.,"thin shadow slipping through grid, tutor glyph","unblockable, transmute, tutor, agent",https://scryfall.com/search?q=%21%22Dimir%20Infiltrator%22
DIM-009,House Dimir,blue-black,Dimir House Guard,Ravnica: City of Guilds,Creature — Skeleton,{B},Dimir-watermark / Dimir-named house guard,strong,Sacrifice + transmute,ConstraintField,Asset Disposal,"Converts bodies into protection, sacrifice, or a searched solution.","The guard is a locked door, a corpse, and a filing system at once.",bone sentinel dissolving into index cards,"sacrifice, transmute, defense, tutor",https://scryfall.com/search?q=%21%22Dimir%20House%20Guard%22
DIM-010,House Dimir,blue-black,Dimir Machinations,Ravnica: City of Guilds,Sorcery,{B},Dimir-watermark / Dimir-named manipulation spell,strong,Library reordering + transmute,Override,Library Manipulation,Rewrites near-future draws or becomes a precise mission resource.,The next few choices are arranged before the victim knows there was a choice.,topdeck cards rearranged by black-blue hands,"transmute, topdeck control, manipulation",https://scryfall.com/search?q=%21%22Dimir%20Machinations%22
DIM-011,House Dimir,blue-black,Drift of Phantasms,Ravnica: City of Guilds,Creature — Spirit,{U},Dimir-watermark transmute card,strong,Defender + transmute,ConstraintField,Phantasmal Screen,Blocks pressure while converting into precise three-mana answers.,The wall is only mist until it becomes the missing instruction.,fog wall becomes search spiral,"defender, transmute, tutor, spirit",https://scryfall.com/search?q=%21%22Drift%20of%20Phantasms%22
DIM-012,House Dimir,blue-black,Muddle the Mixture,Ravnica: City of Guilds,Instant,{U},Dimir-watermark transmute card,strong,Counter instant/sorcery + transmute,Override,Interference,Cancels opposing operations or transmutes into exact utility.,Dimir interrupts the sentence before the dangerous word is spoken.,spell text smears into cipher symbols,"counterspell, transmute, tutor",https://scryfall.com/search?q=%21%22Muddle%20the%20Mixture%22
DIM-013,House Dimir,blue-black,Perplex,Ravnica: City of Guilds,Instant,{U}{B},Dimir-watermark permission/discard spell,strong,Counter unless discard hand + transmute,Override,Coercive Choice,Turns permission into a hostage exchange between spell and hand.,The target may keep the spell only by surrendering everything else.,forked choice: spell seal or empty hand,"counterspell, discard, transmute, coercion",https://scryfall.com/search?q=%21%22Perplex%22
DIM-014,House Dimir,blue-black,Clutch of the Undercity,Ravnica: City of Guilds,Instant,{U}{B},Dimir-watermark bounce/life-loss spell,strong,Bounce + life loss + transmute,Detain,Undercity Grip,Removes a permanent temporarily while extracting payment.,"The city itself reaches up, drags the piece away, and sends the bill later.","black canals grabbing a permanent, ripple tax","bounce, life loss, transmute",https://scryfall.com/search?q=%21%22Clutch%20of%20the%20Undercity%22
