Name,Plane,Tag,Category,Attributes,AnchorType,Themes,Verification
Izzet Signet,Ravnica,GPT,Fixing,"artifact, ramp",identity_anchor,"guild-insignia, vanity, civic-engineering",verified: turn5search82
"Niv-Mizzet, the Firemind",Ravnica,GPT,CardDrawBurn,"legend, engine",character_anchor,"genius, feedback-loop, firemind",verified: turn5search58
Electrolyze,Ravnica,GPT,TempoBurn,"cantrip, split_damage",pattern_anchor,"arc-discharge, precision, research-burst",canonical
Gelectrode,Ravnica,GPT,SpellsMatter,"ping, engine",archetype_anchor,"conductivity, weaponized-curiosity, feedback",canonical
Wee Dragonauts,Ravnica,GPT,SpellsMatter,"flying, combat-scaler",archetype_anchor,"prototype-flight, volatile-lift, aerial-testbed",canonical
Steamcore Weird,Ravnica,GPT,ETBRemoval,"weird, tempo",pattern_anchor,"lab-construct, heat-sink, contained-accident",canonical
Izzet Guildmage,Ravnica,GPT,SpellCopy,"activated-ability, utility",mechanic_anchor,"applied-theory, miniaturization, repeatable-experiment",canonical
Invoke the Firemind,Ravnica,GPT,FlexibleXSpell,"draw, burn",theme_anchor,"theory-to-weapon, firemind-channel, grand-equation",canonical
Tibor and Lumia,Ravnica,GPT,SpellTriggeredControl,"legend, flying-control",character_anchor,"duality, paired-invention, air-and-flame",canonical
Train of Thought,Ravnica,GPT,Replicate,"card-draw, scaling",mechanic_anchor,"iterative-thought, parallel-computation, cascading-insight",canonical
Gigadrowse,Ravnica,GPT,Replicate,"tap-control, scaling",mechanic_anchor,"system-lock, blueprint-freeze, synchronized-failure",canonical
Pyromatics,Ravnica,GPT,Replicate,"burn, scaling",mechanic_anchor,"spark-barrage, calibrated-overkill, chain-reaction",canonical
Leap of Flame,Ravnica,GPT,Replicate,"combat-trick, evasion",pattern_anchor,"impulse, boost, jet-assisted-movement",canonical
Cerebral Vortex,Ravnica,GPT,PunisherDraw,"card-draw, damage",pattern_anchor,"mental-overclock, information-burn, feedback-failure",canonical
Izzet Chronarch,Ravnica,GPT,Recursion,"etb, spell-rebuy",pattern_anchor,"lab-notebook, retrieval, prior-work",canonical
Surge of Zeal,Ravnica,GPT,Replicate,"haste, team-buff",mechanic_anchor,"voltage-spike, mass-ignition, adrenaline",canonical
Goblin Electromancer,Return_to_Ravnica,RTR,CostReduction,"spellslinger, engine",archetype_anchor,"cheap-experiments, power-demand, reckless-efficiency",verified: turn5search94
Mizzium Mortars,Return_to_Ravnica,RTR,Overload,"removal, scaling",mechanic_anchor,"mizzium-weaponry, single-to-sweep, escalation",verified: turn5search76
Counterflux,Return_to_Ravnica,RTR,Overload,"counterspell, uncounterable",mechanic_anchor,"counter-surge, absolute-negation, stack-dominance",verified: turn5search106
Cyclonic Rift,Return_to_Ravnica,RTR,Overload,"bounce, asymmetrical-sweeper",pattern_anchor,"unnatural-disaster, civic-failure, mass-displacement",verified: turn5search122
Nivmagus Elemental,Return_to_Ravnica,RTR,SpellConsumption,"scaler, combo",archetype_anchor,"devoured-theory, raw-mana-appetite, unstable-growth",canonical
Blustersquall,Return_to_Ravnica,RTR,Overload,"tap-control, tempo",mechanic_anchor,"pressure-wave, crowd-control, stormfront",canonical
Teleportal,Return_to_Ravnica,RTR,Overload,"evasion, finisher",pattern_anchor,"phase-shift, mass-breach, instant-escape",canonical
Hypersonic Dragon,Return_to_Ravnica,RTR,SpellTiming,"flying, haste",archetype_anchor,"speed-test, air-superiority, sudden-cast",canonical
Nivix Guildmage,Return_to_Ravnica,RTR,LootAndCopy,"guildmage, utility",pattern_anchor,"calibration, copy-lab, prototype-revision",canonical
Mercurial Chemister,Return_to_Ravnica,RTR,DrawOrBurn,"engine, wizard",character_anchor,"chemical-theory, volatile-formula, lab-specialist",canonical
Epic Experiment,Return_to_Ravnica,RTR,SpellCascade,"sorcery, high-variance",theme_anchor,"grand-test, catastrophic-breakthrough, spectacle",canonical
Firemind's Foresight,Return_to_Ravnica,RTR,TutorPackage,"instants, selection",pattern_anchor,"layered-plan, futureproofing, sequenced-theory",canonical
Street Spasm,Return_to_Ravnica,RTR,Overload,"x-spell, removal",mechanic_anchor,"grid-overload, urban-burst, line-failure",canonical
Electrickery,Return_to_Ravnica,RTR,Overload,"burn, sweeper",mechanic_anchor,"static-discharge, precision-to-broadcast, short-circuit",canonical
Blistercoil Weird,Return_to_Ravnica,RTR,SpellsMatter,"untap, aggressive-engine",archetype_anchor,"coil-tension, spark-body, live-wire",canonical
"Niv-Mizzet, Dracogenius",Return_to_Ravnica,RTR,CombatDrawBurn,"legend, dragon",character_anchor,"draconic-superintelligence, punitive-insight, command-node",canonical
Izzet Charm,Return_to_Ravnica,RTR,ModalUtility,"counter, burn, loot",pattern_anchor,"toolbox, adaptive-theory, field-adjustment",canonical
Thoughtflare,Return_to_Ravnica,RTR,DrawDiscard,"instant, filtering",pattern_anchor,"flash-insight, overheat, refinement",canonical
Chemister's Insight,Guilds_of_Ravnica,GRN,Jump-start,"card-draw, recursion",mechanic_anchor,"repeatable-insight, limit-breaking, graveyard-as-lab",verified: turn5search64
Radical Idea,Guilds_of_Ravnica,GRN,Jump-start,"cantrip, recursion",mechanic_anchor,"edge-of-possible, iteration, brainstorm-loop",verified: turn5search88
Crackling Drake,Guilds_of_Ravnica,GRN,SpellsMatter,"graveyard, exile-payoff",archetype_anchor,"stored-voltage, archive-of-spells, winged-reactor",verified: turn5search100
Ionize,Guilds_of_Ravnica,GRN,CounterBurn,"instant, tempo",pattern_anchor,"interception, arc-rebuke, weaponized-denial",canonical
Beacon Bolt,Guilds_of_Ravnica,GRN,Jump-start,"removal, graveyard-scaling",mechanic_anchor,"recurring-lightning, targeted-demonstration, stored-charge",canonical
Expansion // Explosion,Guilds_of_Ravnica,GRN,SplitUtility,"copy, x-spell",theme_anchor,"fork-then-detonate, theory-scaling, small-clone-big-blast",canonical
Ral's Outburst,Guilds_of_Ravnica,GRN,Jump-startAdjacent,"burn, selection",pattern_anchor,"controlled-demolition, impulsive-research, field-notes",canonical
Murmuring Mystic,Guilds_of_Ravnica,GRN,SpellsMatter,"token-engine, defense",archetype_anchor,"ambient-manifestation, lab-byproduct, avian-swarm",canonical
League Guildmage,Guilds_of_Ravnica,GRN,CopyOrImpulse,"guildmage, mana-sink",pattern_anchor,"apprentice-controller, lab-interface, modular-operations",canonical
Maximize Velocity,Guilds_of_Ravnica,GRN,Jump-start,"haste, pump",mechanic_anchor,"kinetic-boost, engine-restart, combat-acceleration",canonical
Thousand-Year Storm,Guilds_of_Ravnica,GRN,SpellCopy,"enchantment, combo",theme_anchor,"runaway-repetition, storm-engine, theory-beyond-scale",canonical
Risk Factor,Guilds_of_Ravnica,GRN,Jump-start,"burn, punisher",pattern_anchor,"danger-calculus, forced-choice, reckless-bet",canonical
Direct Current,Guilds_of_Ravnica,GRN,Jump-start,"burn, removal",mechanic_anchor,"straight-line-voltage, repeatable-zap, wiring",canonical
Sonic Assault,Guilds_of_Ravnica,GRN,Jump-start,"tap-control, burn",mechanic_anchor,"resonance, stun-wave, acoustic-weaponry",canonical
Hypothesizzle,Guilds_of_Ravnica,GRN,DrawDiscardBurn,"instant, swingy",pattern_anchor,"theory-explosion, discarded-proof, flash-lab",canonical
