enrichment_id	profile_or_layer	profile_type	source_authority	what_it_explains	approved_result_uses	prohibited_scoring_uses	likely_identity_examples	overlap_risk	caveat	recommended_surface
ENR_MOT_EXPERIENCE	Timmy/Tammy	motivation	Official motivation synthesized in Player Atlas §3.1; vox_mana_profile_01_timmy_tammy.md	Why memorable scale, surprise, social connection, novelty, risk, or drama may be satisfying	Optional reflective prompt; explain why a combat burst or spectacular payoff may feel rewarding; link to growth practice	Never infer identity, power, skill, budget, combat preference, or large-spell preference from this motivation	Prismari; Gruul; Naya; Colorless as possible examples only	Can be confused with explosive tempo, visible threat, or combat pressure	Big creatures are one expression, not the profile; player self-report controls internal motivation	Optional Atlas card after placement limitation
ENR_MOT_EXPRESSION	Johnny/Jenny	motivation	Official motivation synthesized in Player Atlas §3.2; vox_mana_profile_02_johnny_jenny.md	Why a distinctive interaction, restriction, theme, or route may be satisfying	Optional explanation for concept-first or unusual-route answers; suggest creative-thesis reflection	Never map novelty, combo, theme, or narrow constraints directly to an identity	Izzet; Prismari; Quandrix; Glint as illustrative only	Overlaps Mel, System Architect, Vorthos, and Combo for different reasons	An unusual deck action does not prove expressive motivation	Optional Atlas card or dossier deepen action
ENR_MOT_IMPROVEMENT	Spike	motivation	Official motivation synthesized in Player Atlas §3.3; vox_mana_profile_03_spike.md	Why testing, proving, and improving capability may be satisfying	Offer decision-review or tuning practice when the player opts into motivation enrichment	Never infer identity, cEDH, spending, skill, efficiency preference, or win rate	Any identity; no privileged mapping	Optimization can occur inside thematic or low-power decks	No official precon-for-Spike mapping exists; motivation differs from current performance	Optional growth path, never placement rationale
ENR_AES_STRUCTURE	Mel	aesthetic	Official aesthetic synthesized in Player Atlas §4.1; vox_mana_profile_04_melvin_vorthos.md	What makes rules structure, templating, cycles, and elegant interaction beautiful	Explain appreciation of mechanical elegance; link to interaction or system diagrams	Never route to an engine identity or infer System Architect, combo, or skill	Izzet; Quandrix; Yore as examples only	Frequently conflated with Johnny/Jenny or System Architect	Mel and Vorthos are independent scales; the official neutral label is Mel	Optional aesthetic lens beside, not above, result
ENR_AES_MEANING	Vorthos	aesthetic	Official aesthetic synthesized in Player Atlas §4.2; vox_mana_profile_04_melvin_vorthos.md	What makes story, art, character, setting, and thematic coherence beautiful	Explain why theme-first card choices matter; link to identity lore or theme charter	Never infer color identity, deck strength, faction allegiance, or theme-over-efficiency answer	Any identity; especially a matching setting lens only when the player selects it	Can be confused with Johnny/Jenny expression or C10 theme loyalty	Theme does not imply weakness; high Mel and high Vorthos can coexist	Dossier lore module after behavioral explanation
ENR_ARCH_AGGRO	Aggro	deck archetype	Community deck vocabulary synthesized in Player Atlas §6.1; vox_mana_profile_05_archetypes.md	How a deck applies pressure before opponents stabilize	Connect C07 combat pressure to Voltron, go-wide, typal, or combat-combo discovery	Never infer motivation, color, guild, power, or identity from attacking	Boros; Gruul; Mardu; Naya as nonexclusive examples	Commander aggro often hybrids with midrange or combo	Several opponents and higher life totals change the scale problem	Commander discovery filter and Strategium growth drill
ENR_ARCH_CONTROL	Control	deck archetype	Community deck vocabulary synthesized in Player Atlas §6.2; vox_mana_profile_05_archetypes.md	How a deck prevents decisive actions, stabilizes, and later converts advantage	Connect C08 timing and resource-control observations to flexible interaction and closing plans	Never infer Blue, Azorius, Dimir, Esper, skill, or patience as identity truth	Azorius; Dimir; Esper as nonexclusive examples	Open mana can also serve tempo, combo protection, or bluffing	Control must name a credible close; denial alone is not a result identity	Commander discovery and interaction-timing practice
ENR_ARCH_COMBO	Combo	deck archetype	Community deck vocabulary synthesized in Player Atlas §6.3; vox_mana_profile_05_archetypes.md	How pieces combine for disproportionate or terminal output	Explain noncombat-ending observations; disclose deterministic versus non-deterministic direction	Never infer identity, motivation, power, tutor density, or social acceptability	Izzet; Grixis; Sultai; Yore as nonexclusive examples	Players disagree about combo definitions and fairness; source evidence is conditional	Knowledge burden, visibility, timing, and agency materially change acceptance	Discovery filter plus plain-language interaction-window note
ENR_ARCH_MIDRANGE	Midrange	deck archetype	Community deck vocabulary synthesized in Player Atlas §6.4; vox_mana_profile_05_archetypes.md	How a deck pivots among development, pressure, and answers	Connect balanced initiative or posture-shift observations to flexible Commander shells	Never treat broad flexibility as Five-Color, multicolor, or a specific identity	Abzan; Jund; Bant; Sultai as nonexclusive examples	“Value deck” is too broad; many Commander decks acquire midrange traits	Must name the engine or conversion, not merely flexibility	Commander discovery and turn-role reflection
ENR_ARCH_TEMPO	Tempo	deck archetype	Community deck vocabulary synthesized in Player Atlas §6.5; vox_mana_profile_05_archetypes.md	How a deck preserves initiative with efficient disruption	Connect attack-plus-answer and timing observations to aggro-control discovery	Never infer Jeskai, Blue, expertise, or low curve from a single answer	Jeskai; Dimir; Izzet as nonexclusive examples	Tempo is thin and disputed in Commander and overlaps aggro-control	The dossier marks precon mapping speculative; use as a tendency, not a box	Advanced optional archetype link only
