matrix_id,card_name,mana_value,color_identity,type_line,set_context,canonical_tier,mechanical_role,primary_signal,secondary_signal,lifecycle_axis,graveyard_axis,resource_axis,board_axis,commander_relevance,vox_mana_read,maze_query_seed,why_canonical,source_url
GOL-001,"Savra, Queen of the Golgari",4,B/G,Legendary Creature — Elf Shaman,Ravnica: City of Guilds,guild-core,sacrifice aristocrat / life-death exchange,sacrifice as civic metabolism,"creatures become payment, protection, and pressure",death feeds survival,indirect recursion economy,bodies are currency,attrition control,high,Leadership is measured by what the swarm can afford to lose and still become stronger.,"ci=golgari commander o:sacrifice o:""whenever"" o:dies","Named Golgari leader from original Ravnica; clean expression of sacrifice, death, and gain.",https://scryfall.com/search?q=%21%22Savra%2C%20Queen%20of%20the%20Golgari%22
GOL-002,"Jarad, Golgari Lich Lord",4,B/G,Legendary Creature — Zombie Elf,Return to Ravnica,guild-core,graveyard-scaling commander / sacrifice finisher,the graveyard measures authority,large creatures become lethal offerings,dead mass becomes command,creature-card count and recursion,graveyard and creatures as power reservoirs,sacrifice burst / inevitability,very high,"Nothing is gone if it can still be counted, raised, or thrown at the throne.","ci=golgari commander o:graveyard o:sacrifice o:""creature cards""","Signature Golgari guild leader and commander anchor for graveyard size, recursion, and sacrifice.",https://scryfall.com/search?q=%21%22Jarad%2C%20Golgari%20Lich%20Lord%22
GOL-003,"Izoni, Thousand-Eyed",6,B/G,Legendary Creature — Elf Shaman,Guilds of Ravnica,guild-core,undergrowth payoff / token swarm / sacrifice draw,the graveyard hatches a swarm,tokens turn into cards and life,death breeds bodies,creature-card count payoff,insects as expendable infrastructure,wide board and sacrifice engine,high,Every corpse becomes an eye; every eye becomes another mouth for the city below.,ci=golgari commander o:undergrowth o:insect o:sacrifice,Guilds of Ravnica Golgari leader tied directly to undergrowth and swarm recursion.,https://scryfall.com/search?q=%21%22Izoni%2C%20Thousand-Eyed%22
GOL-004,"Vraska, Golgari Queen",4,B/G,Legendary Planeswalker — Vraska,Guilds of Ravnica,guild-core,sacrifice value / removal / political execution,the undercity crowns the discarded,low-value permanents become leverage,old material is cashed into future power,sacrifice-enabled churn,permanent conversion,selective removal and endgame threat,medium,Power rises from below when the old order is composted into a sharper one.,"ci=golgari o:sacrifice o:destroy o:""converted mana cost""",Explicit Golgari title and iconic Ravnica political/thematic anchor.,https://scryfall.com/search?q=%21%22Vraska%2C%20Golgari%20Queen%22
GOL-005,Sisters of Stone Death,8,B/G,Legendary Creature — Gorgon,Ravnica: City of Guilds,guild-core,combat control / exile-capture / predator inevitability,predation turns enemies into inventory,combat becomes a one-way ecosystem,consumption as governance,death-adjacent capture,enemy bodies become controlled assets,late-game monster and removal engine,medium,"The undercity does not merely kill threats; it classifies, consumes, and owns them.",ci=golgari commander t:gorgon o:exile o:block,Original Ravnica Golgari-aligned legendary creature and old-school guild monster.,https://scryfall.com/search?q=%21%22Sisters%20of%20Stone%20Death%22
GOL-006,Golgari Grave-Troll,5,G,Creature — Troll Skeleton,Ravnica: City of Guilds,mechanic-core,dredge engine / graveyard mass payoff,self-mill as growth,regeneration through accumulated death,decay loops into body mass,dredge and graveyard count,library becomes compost,scaling threat,high,"The more the deck rots into the soil, the larger the thing that crawls back out.","ci<=golgari o:dredge o:""creature card"" o:graveyard",Named Golgari dredge card and one of the most recognizable graveyard engines.,https://scryfall.com/search?q=%21%22Golgari%20Grave-Troll%22
GOL-007,Golgari Thug,2,B,Creature — Human Warrior,Ravnica: City of Guilds,mechanic-core,dredge recursion / death-topdeck setup,death queues the next body,cheap body feeds repeat loops,fallen creature becomes future draw,dredge and death replacement,low-cost body cycling,sacrifice fodder / recursion support,medium,Even the smallest corpse can be filed where the swarm needs it next.,"ci<=golgari o:dredge o:""top of your library""",Named Golgari dredge card; small but structurally important recursion primitive.,https://scryfall.com/search?q=%21%22Golgari%20Thug%22
GOL-008,Golgari Brownscale,3,G,Creature — Lizard,Ravnica: City of Guilds,mechanic-core,dredge sustain / life buffer,recursion stabilizes the body,graveyard loop offsets pressure,return brings nourishment,dredge,life total as survivability buffer,stabilization,low,"The swamp gives back slowly: not glory, but enough breath to keep crawling.","ci<=golgari o:dredge o:""gain 2 life""",Named Golgari dredge card; expresses survival-through-recursion rather than burst power.,https://scryfall.com/search?q=%21%22Golgari%20Brownscale%22
GOL-009,Shambling Shell,3,B/G,Creature — Plant Zombie,Ravnica: City of Guilds,mechanic-core,dredge creature / counter transfer,body dies into future growth,+1/+1 counter bridge between death and strength,corpse becomes growth medium,dredge,creature body and counters,small recursive growth,medium,It does not fall apart; it redistributes itself.,"ci=golgari o:dredge o:""+1/+1 counter""",Original Golgari dredge creature and concise card-level metaphor for composted strength.,https://scryfall.com/search?q=%21%22Shambling%20Shell%22
GOL-010,Stinkweed Imp,3,B,Creature — Imp,Ravnica: City of Guilds,mechanic-core,dredge engine / defensive deterrent,ugly defense that keeps returning,graveyard fueling through replacement draw,rot returns as defense,dredge,library-to-graveyard conversion,deathtouch-like deterrent,high,The swarm survives by making every attack cost the attacker something permanent.,"ci<=golgari o:dredge o:destroy o:""combat damage""",Iconic dredge card from Ravnica that became a durable graveyard engine across formats.,https://scryfall.com/search?q=%21%22Stinkweed%20Imp%22
GOL-011,Life from the Loam,2,G,Sorcery,Ravnica: City of Guilds,mechanic-core,dredge resource recursion / lands engine,soil remembers what fell into it,lands become recurring infrastructure,loam recovers foundations,dredge and land recursion,lands and draw replacement,engine setup,very high,Growth is not a miracle; it is what happens when the ground refuses to forget.,"ci<=golgari o:dredge o:""land cards"" o:graveyard",Ravnica dredge staple and one of the strongest green graveyard-resource anchors.,https://scryfall.com/search?q=%21%22Life%20from%20the%20Loam%22
GOL-012,Darkblast,1,B,Instant,Ravnica: City of Guilds,mechanic-core,repeatable removal / dredge enabler,small rot applied repeatedly,graveyard engine disguised as removal,erosion over spectacle,dredge,spell recursion through draw replacement,small-creature attrition,medium,Golgari pressure often begins as a small infection nobody respects in time.,"ci<=golgari o:dredge o:""-1/-1""",Dredge instant from original Ravnica; embodies repeat attrition.,https://scryfall.com/search?q=%21%22Darkblast%22
GOL-013,Moldervine Cloak,3,G,Enchantment — Aura,Ravnica: City of Guilds,mechanic-core,dredge aura / recurring growth buff,mold as armor and strength,graveyard-fed reusable enhancement,rot becomes covering,dredge,recastable enhancement,threat amplification,low,The undercity does not polish its champions; it grows over them.,ci<=golgari o:dredge t:aura,Ravnica dredge card with a pure Golgari visual/narrative profile.,https://scryfall.com/search?q=%21%22Moldervine%20Cloak%22
GOL-014,Necroplasm,3,B,Creature — Ooze,Ravnica: City of Guilds,mechanic-core,dredge sweeper / accumulating counter threat,growth that consumes boards by size,recurring ecology of cleanup,decay scales upward,dredge,time and counters,creature sweeping,medium,"The cleanup crew is alive, hungry, and getting larger.","ci<=golgari o:dredge o:""+1/+1 counters"" o:destroy",Ravnica dredge creature representing biological cleanup and recursive board pressure.,https://scryfall.com/search?q=%21%22Necroplasm%22
GOL-015,Grave-Shell Scarab,5,B/G,Creature — Insect,Ravnica: City of Guilds,guild-core,sacrifice-draw / dredge recursion threat,self-consuming survival,body converts into card and returns,"death as transit, not end",dredge and self-sacrifice,cards and body loop,recursive midrange threat,medium,"It spends itself, reports what it learned, and crawls back from the report pile.","ci=golgari o:dredge o:sacrifice o:""draw a card""","Original Golgari gold card joining sacrifice, card flow, and dredge recursion.",https://scryfall.com/search?q=%21%22Grave-Shell%20Scarab%22
GOL-016,Vulturous Zombie,5,B/G,Creature — Plant Zombie,Ravnica: City of Guilds,guild-core,death/discard payoff / growing aerial threat,opponent losses become biomass,graveyard movement grows threat,enemy depletion feeds body,cards entering opponent graveyards,+1/+1 counters,scaling evasive threat,low,The swarm does not care whose dead feed it.,"ci=golgari o:""graveyard from anywhere"" o:""+1/+1 counter""",Original Golgari gold creature that converts graveyard movement into physical growth.,https://scryfall.com/search?q=%21%22Vulturous%20Zombie%22
GOL-017,Gleancrawler,6,B/G,Creature — Insect Horror,Ravnica: City of Guilds,guild-core,end-step recursion / sacrifice support,the undercity collects its dead,fallen creatures return as inventory,death followed by reclamation,creature return from graveyard,creature cards as reusable tools,recursive value engine,medium,"At the end of the day, the swarm counts its losses and puts them back to work.","ci=golgari o:""return"" o:""graveyard"" o:""died""",Original Ravnica Golgari recursion monster with iconic cleanup-loop flavor.,https://scryfall.com/search?q=%21%22Gleancrawler%22
GOL-018,Putrefy,3,B/G,Instant,Ravnica: City of Guilds,guild-core,flexible removal / decomposition action,turn structure into rot,"clean, practical removal",breakdown as answer,death by decomposition,efficient interaction,creature/artifact removal,high,Golgari does not debate permanence; it demonstrates compostability.,ci=golgari o:destroy o:artifact o:creature,Classic Golgari removal spell from original Ravnica; name and function are archetypal.,https://scryfall.com/search?q=%21%22Putrefy%22
GOL-019,Plague Boiler,3,B/G,Artifact,Ravnica: City of Guilds,guild-core,delayed board wipe / pressure clock,rot pressure accumulates until the city ruptures,threat management through inevitability,pressure builds into purging decay,board death after charge cycle,time counters,mass removal,low,Decay is patient until it becomes total.,"ci<=golgari o:""plague counter"" o:destroy o:nonland",Original Golgari-aligned artifact with decompositional wipe flavor.,https://scryfall.com/search?q=%21%22Plague%20Boiler%22
GOL-020,Golgari Germination,3,B/G,Enchantment,Ravnica: City of Guilds,guild-core,death-token engine / sacrifice fodder,death creates new bodies,saproling supply line,corpse to seedling,death triggers,tokens,fodder generation,medium,A grave is just a garden drawn from a harsher angle.,"ci=golgari o:""dies"" o:Saproling",Explicitly named Golgari card that condenses the guild’s death-to-growth philosophy.,https://scryfall.com/search?q=%21%22Golgari%20Germination%22
GOL-021,Golgari Guildmage,2,B/G,Creature — Elf Shaman,Ravnica: City of Guilds,guild-core,counter placement / creature recursion,guild tools convert bodies and growth,recursion and counters in one modular card,fallen bodies feed living bodies,return creature to hand,"mana, counters, creatures",incremental utility,medium,"The guildmage keeps two ledgers: what can grow, and what can be brought back.","ci=golgari t:shaman o:""+1/+1 counter"" o:""graveyard""",Original Ravnica guildmage; explicitly bundles Golgari recursion and growth.,https://scryfall.com/search?q=%21%22Golgari%20Guildmage%22
GOL-022,Golgari Rot Farm,0,B/G,Land,Ravnica: City of Guilds,guild-core,mana base / bounce land,land as compost infrastructure,slow value through returning a land,farm the rot,flavor anchor,mana fixing,mana development,high,The foundation is not clean stone; it is managed decomposition.,"ci=golgari t:land o:""add"" o:""{B}{G}""",Named Golgari bounceland and direct environmental anchor for the undercity economy.,https://scryfall.com/search?q=%21%22Golgari%20Rot%20Farm%22
