id,card_name,color_identity,tier,source_context,mechanical_role,narrative_role,witherbloom_signals,primary_source_key,support_level,scryfall_lookup_url
WB-001,"Dina, Essence Brewer",BG,current-school-core,Secrets of Strixhaven / Witherbloom Pestilence,face commander; life-gain/drain; sacrifice economy,The brewer who converts vitality into pressure.,"life-gain,drain,sacrifice,pest",wotc_secrets_commander_2026,strong,https://scryfall.com/search?q=%21%22Dina%2C%20Essence%20Brewer%22&unique=cards&as=grid&order=name
WB-002,"Gorma, the Gullet",BG,current-commander-core,Secrets of Strixhaven / Witherbloom Pestilence,featured commander; devour/consumption metaphor; creature mass,The maw of the swamp made social.,"sacrifice,go-wide,consumption",wotc_secrets_commander_2026,strong,https://scryfall.com/search?q=%21%22Gorma%2C%20the%20Gullet%22&unique=cards&as=grid&order=name
WB-003,Merchant of Venom,B,current-school-core,Secrets of Strixhaven / Witherbloom Pestilence,poison/venom trading; small-body pressure,Commerce through toxin and cure.,"venom,pest,ritual",wotc_secrets_commander_2026,moderate,https://scryfall.com/search?q=%21%22Merchant%20of%20Venom%22&unique=cards&as=grid&order=name
WB-004,Defiling Daemogoth,BG,current-school-core,Secrets of Strixhaven / Witherbloom Pestilence,large demon/daemogoth expression; sacrifice pressure,A bargain that asks the ecosystem to bleed first.,"daemon,sacrifice,corruption",wotc_secrets_commander_2026,moderate,https://scryfall.com/search?q=%21%22Defiling%20Daemogoth%22&unique=cards&as=grid&order=name
WB-005,Ominous Harvest,B,current-school-core,Secrets of Strixhaven / Witherbloom Pestilence,death-to-value; harvest after loss,The crop arrives after something dies.,"harvest,death,value",wotc_secrets_commander_2026,moderate,https://scryfall.com/search?q=%21%22Ominous%20Harvest%22&unique=cards&as=grid&order=name
WB-006,Stensian Sanguinist,B,current-school-core,Secrets of Strixhaven / Witherbloom Pestilence,blood/life conversion; aristocrats bridge,Life as a liquid ledger.,"blood,drain,aristocrats",wotc_secrets_commander_2026,moderate,https://scryfall.com/search?q=%21%22Stensian%20Sanguinist%22&unique=cards&as=grid&order=name
WB-007,Feral Appetite,G,current-school-core,Secrets of Strixhaven / Witherbloom Pestilence,"hunger, growth, creature pressure",Biology does not moralize hunger.,"appetite,growth,combat",wotc_secrets_commander_2026,moderate,https://scryfall.com/search?q=%21%22Feral%20Appetite%22&unique=cards&as=grid&order=name
WB-008,Pest Rescuer,G,current-school-core,Secrets of Strixhaven / Witherbloom Pestilence,Pest retrieval/support; small life bodies matter,Even the smallest thing is inventory for the bog.,"pest,recursion,support",wotc_secrets_commander_2026,moderate,https://scryfall.com/search?q=%21%22Pest%20Rescuer%22&unique=cards&as=grid&order=name
WB-009,Ribtruss Roaster,B,current-school-core,Secrets of Strixhaven / Witherbloom Pestilence,corpse/cuisine humor; death-as-material,A kitchen where remains become strategy.,"body,humor,death",wotc_secrets_commander_2026,moderate,https://scryfall.com/search?q=%21%22Ribtruss%20Roaster%22&unique=cards&as=grid&order=name
WB-010,Eccentric Pestfinder,G,current-school-core,Secrets of Strixhaven / Witherbloom Pestilence,Pest search/generation; biology-as-toolkit,The field researcher who follows the buzzing answer.,"pest,tutor,biology",wotc_secrets_commander_2026,moderate,https://scryfall.com/search?q=%21%22Eccentric%20Pestfinder%22&unique=cards&as=grid&order=name
WB-011,Immoral Bargain,B,current-school-core,Secrets of Strixhaven / Witherbloom Pestilence,life payment; resources from risk,The price is paid in ethics and blood.,"life-payment,bargain,draw",wotc_secrets_commander_2026,moderate,https://scryfall.com/search?q=%21%22Immoral%20Bargain%22&unique=cards&as=grid&order=name
WB-012,Teacher's Pest,G,current-school-core,Secrets of Strixhaven / Witherbloom Pestilence,mascot/familiar; disposable-yet-loved body,A classroom assistant that becomes compost and lesson.,"pest,mascot,life-gain",wotc_secrets_commander_2026,moderate,https://scryfall.com/search?q=%21%22Teacher%27s%20Pest%22&unique=cards&as=grid&order=name
WB-013,Witherbloom Charm,BG,current-school-core,Secrets of Strixhaven / Witherbloom Pestilence,modal college spell; utility in life/death axis,"A pocket formula for harm, healing, and usefulness.","modal,utility,life-death",wotc_secrets_commander_2026,moderate,https://scryfall.com/search?q=%21%22Witherbloom%20Charm%22&unique=cards&as=grid&order=name
WB-014,Titan's Grave,BG,current-school-core,Secrets of Strixhaven / Witherbloom Pestilence,land/place anchor; death reclaimed by growth,The campus landmark where death is fertile architecture.,"place,grave,growth",wotc_secrets_commander_2026,moderate,https://scryfall.com/search?q=%21%22Titan%27s%20Grave%22&unique=cards&as=grid&order=name
WB-015,"Dina, Soul Steeper",BG,college-core,Strixhaven: School of Mages,life-gain payoff; opponent drain; sacrifice outlet,The cleanest Witherbloom thesis: your life becomes their death.,"life-gain,drain,sacrifice",wotc_bog_times,strong,https://scryfall.com/search?q=%21%22Dina%2C%20Soul%20Steeper%22&unique=cards&as=grid&order=name
WB-016,Beledros Witherbloom,BG,college-core,Strixhaven: School of Mages,elder dragon; token generation; life payment for explosive mana,The founder-scale form of a bog that manufactures bodies.,"elder-dragon,pest,life-payment",wotc_secrets_commander_2026,strong,https://scryfall.com/search?q=%21%22Beledros%20Witherbloom%22&unique=cards&as=grid&order=name
WB-017,Witherbloom Apprentice,BG,college-core,Strixhaven: School of Mages,magecraft life drain; instant/sorcery trigger,Academic spellwork turned into biological attrition.,"magecraft,drain,spells",wotc_strixhaven_part_2,strong,https://scryfall.com/search?q=%21%22Witherbloom%20Apprentice%22&unique=cards&as=grid&order=name
WB-018,Witherbloom Command,BG,college-core,Strixhaven: School of Mages,"modal attrition; graveyard, removal, land, life",A compact field kit for swamp scholarship.,"modal,graveyard,removal,life",wotc_secrets_commander_2026,strong,https://scryfall.com/search?q=%21%22Witherbloom%20Command%22&unique=cards&as=grid&order=name
WB-019,Mortality Spear,BG,college-core,Strixhaven: School of Mages,removal discounted by life gain,Death becomes efficient when life is moving.,"removal,life-gain,discount",wotc_secrets_commander_2026,strong,https://scryfall.com/search?q=%21%22Mortality%20Spear%22&unique=cards&as=grid&order=name
WB-020,Deadly Brew,BG,college-core,Strixhaven: School of Mages,mutual sacrifice; recursion if creature sacrificed,"A recipe where everyone pays, but you planned the pantry.","sacrifice,recursion,brew",wotc_secrets_commander_2026,strong,https://scryfall.com/search?q=%21%22Deadly%20Brew%22&unique=cards&as=grid&order=name
WB-021,Culling Ritual,BG,college-core,Strixhaven: School of Mages,sweeper against small permanents; mana from destruction,The undergrowth clears cheap clutter and feeds the next spell.,"culling,ritual,mana",wotc_secrets_commander_2026,strong,https://scryfall.com/search?q=%21%22Culling%20Ritual%22&unique=cards&as=grid&order=name
WB-022,Daemogoth Titan,BG,college-core,Strixhaven: School of Mages,huge creature with sacrifice demand,Massive force that consumes its own support system.,"daemon,sacrifice,large-creature",wotc_planeswalkers_guide,strong,https://scryfall.com/search?q=%21%22Daemogoth%20Titan%22&unique=cards&as=grid&order=name
WB-023,Daemogoth Woe-Eater,BG,college-core,Strixhaven: School of Mages,sacrifice drawback plus life gain/draw when sacrificed,A monster whose death is also a lesson plan.,"daemon,sacrifice,life-gain,draw",wotc_planeswalkers_guide,strong,https://scryfall.com/search?q=%21%22Daemogoth%20Woe-Eater%22&unique=cards&as=grid&order=name
WB-024,Blood Researcher,BG,college-core,Strixhaven: School of Mages,grows on life-gain events,The lab result that gets larger every time life changes hands.,"life-gain,counters,menace",wotc_release_notes_2021,strong,https://scryfall.com/search?q=%21%22Blood%20Researcher%22&unique=cards&as=grid&order=name
WB-025,Moldering Karok,BG,college-core,Strixhaven: School of Mages,life-gain/death-adjacent creature body,The crocodilian commute through the swamp syllabus.,"life-gain,creature,swamp",wotc_planeswalkers_guide,strong,https://scryfall.com/search?q=%21%22Moldering%20Karok%22&unique=cards&as=grid&order=name
WB-026,"Blex, Vexing Pest",BG,college-core,Strixhaven: School of Mages,Pest/insect/spider support; MDFC card selection/life payment,"Mascot-as-ecosystem: cute, awful, useful.","pest,tribal,life-gain,card-selection",wotc_release_notes_2021,strong,https://scryfall.com/search?q=%21%22Blex%2C%20Vexing%20Pest%22&unique=cards&as=grid&order=name
WB-027,Search for Blex,B,college-core,Strixhaven: School of Mages,card selection through life payment; graveyard placement,Knowledge purchased by bleeding for every page kept.,"life-payment,card-selection,graveyard",wotc_release_notes_2021,strong,https://scryfall.com/search?q=%21%22Search%20for%20Blex%22&unique=cards&as=grid&order=name
WB-028,Sedgemoor Witch,B,college-core,Strixhaven: School of Mages,magecraft Pest production; ward cost in life,A spellcaster who turns language into expendable bodies.,"magecraft,pest,ward,life",wotc_strixhaven_part_2,strong,https://scryfall.com/search?q=%21%22Sedgemoor%20Witch%22&unique=cards&as=grid&order=name
WB-029,Hunt for Specimens,B,lesson-core,Strixhaven: School of Mages,Pest token plus learn,Specimen collection as classroom and engine.,"pest,learn,specimen",wotc_secrets_design_2026,strong,https://scryfall.com/search?q=%21%22Hunt%20for%20Specimens%22&unique=cards&as=grid&order=name
WB-030,Pest Summoning,BG,lesson-core,Strixhaven: School of Mages,Lesson that creates Pest bodies,A lesson that says the answer has legs and dies usefully.,"lesson,pest,token",wotc_secrets_design_2026,strong,https://scryfall.com/search?q=%21%22Pest%20Summoning%22&unique=cards&as=grid&order=name
WB-031,Tend the Pests,G,college-core,Strixhaven: School of Mages,turns dying creature power into Pest tokens,Waste nothing: size becomes swarm.,"pest,sacrifice,token-conversion",wotc_secrets_design_2026,strong,https://scryfall.com/search?q=%21%22Tend%20the%20Pests%22&unique=cards&as=grid&order=name
WB-032,Infuse with Vitality,BG,college-core,Strixhaven: School of Mages,lifelink/death recursion combat trick,A pulse of life that refuses clean death.,"life-gain,recursion,combat-trick",wotc_planeswalkers_guide,strong,https://scryfall.com/search?q=%21%22Infuse%20with%20Vitality%22&unique=cards&as=grid&order=name
WB-033,Plumb the Forbidden,B,college-core,Strixhaven: School of Mages,sacrifice any number; copy spell; draw/life loss,The thesis defense where every body becomes a page.,"sacrifice,draw,copies,life-loss",wotc_strixhaven_part_2,strong,https://scryfall.com/search?q=%21%22Plumb%20the%20Forbidden%22&unique=cards&as=grid&order=name
WB-034,Essence Infusion,B,college-core,Strixhaven: School of Mages,+1/+1 counters plus life gain,Essence poured into flesh until it becomes advantage.,"counters,life-gain,biology",wotc_release_notes_2021,strong,https://scryfall.com/search?q=%21%22Essence%20Infusion%22&unique=cards&as=grid&order=name
WB-035,Fortifying Draught,G,college-core,Strixhaven: School of Mages,life-gain-enhanced combat pump,A tincture that rewards the body for surviving.,"life-gain,pump,combat",wotc_planeswalkers_guide,moderate,https://scryfall.com/search?q=%21%22Fortifying%20Draught%22&unique=cards&as=grid&order=name
WB-036,Accomplished Alchemist,G,college-core,Strixhaven: School of Mages,mana from life gained; resource conversion,The lab technique that converts health into capacity.,"life-gain,mana,alchemy",wotc_planeswalkers_guide,strong,https://scryfall.com/search?q=%21%22Accomplished%20Alchemist%22&unique=cards&as=grid&order=name
WB-037,Professor Onyx,B,character-support,Strixhaven: School of Mages,magecraft opponent life loss; black professor present at Strixhaven,A professor whose spellcraft has a cost in everyone else's blood.,"magecraft,drain,planeswalker",wotc_strixhaven_part_2,moderate,https://scryfall.com/search?q=%21%22Professor%20Onyx%22&unique=cards&as=grid&order=name
WB-038,"Valentin, Dean of the Vein",BG,college-core,Strixhaven: School of Mages,exile death replacement into Pest; life payment,The dean who harvests the boundary between corpse and resource.,"pest,exile,life-payment",wotc_planeswalkers_guide,strong,https://scryfall.com/search?q=%21%22Valentin%2C%20Dean%20of%20the%20Vein%22&unique=cards&as=grid&order=name
