identity	existing_b1_observations	boundary_constructs	competitors	certified_locator	b1_locator	player_language_locator	counterexample_and_false_positive	outcome	mapping_action	rationale
ABZAN	C03;C14;C13	C03;C14	WITCH:35;YORE:16;W:16;WU:14;UB:12	data/raw-factions/abzan/abzan.placement.json#placement_summary,behavioral_signals,false_positive_patterns;data/raw-factions/abzan/abzan.profile.json#core_identity,guardrails	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv#identity_id=ABZAN;b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.setup.v1;b1.hall.commitment.v1;b1.crucible.mono-multi.v1	docs/research/placementResearch/YT-how-to-find-the-right-commander-refined-player-evidence.md;docs/research/placementResearch/YT-new-new-commander-brackets-refined-player-evidence.md;docs/research/placementResearch/YT-edhrecast-real-reason-commander-players-hate-combo-refined-player-evidence.md;CECOS@947bf45bf6a191839b5fb4fa6c65980ed9d5737e	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	INSTRUMENT_CHANGE_REQUIRED	NONE	The approved matrix classifies coverage as broad/family-only with no direct identity-specific discriminator; promoting a broad answer would convert structural similarity into identity ownership.
B	C12;C11;C16;C09	C12;C11	GLINT:230;YORE:213;WITHERBLOOM:193;R:187;SULTAI:134	data/raw-factions/black/black.placement.json#placement_summary,behavioral_signals,false_positive_patterns;data/raw-factions/black/black.profile.json#core_identity,guardrails	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv#identity_id=B;b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.sacrifice.v1;b1.hall.threat.v1;b1.hall.information-to-plan.v1;b1.hall.repeatability.v1;b1.crucible.mono-multi.v1	docs/research/placementResearch/YT-how-to-find-the-right-commander-refined-player-evidence.md;docs/research/placementResearch/YT-new-new-commander-brackets-refined-player-evidence.md;docs/research/placementResearch/YT-edhrecast-real-reason-commander-players-hate-combo-refined-player-evidence.md;CECOS@947bf45bf6a191839b5fb4fa6c65980ed9d5737e	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	INSTRUMENT_CHANGE_REQUIRED	NONE	The approved matrix classifies coverage as broad/family-only with no direct identity-specific discriminator; promoting a broad answer would convert structural similarity into identity ownership.
BR	C11;C12;C04	C11;C12	YORE:169;GLINT:159;B:88;R:83;WUBRG:67	data/raw-factions/cult_of_rakdos/cult_of_rakdos.placement.json#placement_summary,behavioral_signals,false_positive_patterns;data/raw-factions/cult_of_rakdos/cult_of_rakdos.profile.json#core_identity,guardrails	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv#identity_id=BR;b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.threat.v1;b1.hall.sacrifice.v1;b1.crucible.mono-multi.v1	docs/research/placementResearch/YT-how-to-find-the-right-commander-refined-player-evidence.md;docs/research/placementResearch/YT-new-new-commander-brackets-refined-player-evidence.md;docs/research/placementResearch/YT-edhrecast-real-reason-commander-players-hate-combo-refined-player-evidence.md;CECOS@947bf45bf6a191839b5fb4fa6c65980ed9d5737e	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	INSTRUMENT_CHANGE_REQUIRED	NONE	The approved matrix classifies coverage as broad/family-only with no direct identity-specific discriminator; promoting a broad answer would convert structural similarity into identity ownership.
G	C03;C14;C10	C03;C14	NAYA:138;U:121;GLINT:112;B:82;QUANDRIX:70	data/raw-factions/green/green.placement.json#placement_summary,behavioral_signals,false_positive_patterns;data/raw-factions/green/green.profile.json#core_identity,guardrails	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv#identity_id=G;b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.setup.v1;b1.hall.theme.v1;b1.crucible.mono-multi.v1	docs/research/placementResearch/YT-how-to-find-the-right-commander-refined-player-evidence.md;docs/research/placementResearch/YT-new-new-commander-brackets-refined-player-evidence.md;docs/research/placementResearch/YT-edhrecast-real-reason-commander-players-hate-combo-refined-player-evidence.md;CECOS@947bf45bf6a191839b5fb4fa6c65980ed9d5737e	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	INSTRUMENT_CHANGE_REQUIRED	NONE	The approved matrix classifies coverage as broad/family-only with no direct identity-specific discriminator; promoting a broad answer would convert structural similarity into identity ownership.
JUND	C01;C12;C07	C01;C12	GLINT:90;B:32;DUNE:28;R:26;WUBRG:25	data/raw-factions/jund/jund.placement.json#placement_summary,behavioral_signals,false_positive_patterns;data/raw-factions/jund/jund.profile.json#core_identity,guardrails	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv#identity_id=JUND;b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.sacrifice.v1;b1.hall.pressure.v1;b1.crucible.mono-multi.v1	docs/research/placementResearch/YT-how-to-find-the-right-commander-refined-player-evidence.md;docs/research/placementResearch/YT-new-new-commander-brackets-refined-player-evidence.md;docs/research/placementResearch/YT-edhrecast-real-reason-commander-players-hate-combo-refined-player-evidence.md;CECOS@947bf45bf6a191839b5fb4fa6c65980ed9d5737e	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	INSTRUMENT_CHANGE_REQUIRED	NONE	The approved matrix classifies coverage as broad/family-only with no direct identity-specific discriminator; promoting a broad answer would convert structural similarity into identity ownership.
MARDU	C01;C07;C13	C01;C07	R:37;YORE:34;WU:22;W:16;ESPER:15	data/raw-factions/mardu/mardu.placement.json#placement_summary,behavioral_signals,false_positive_patterns;data/raw-factions/mardu/mardu.profile.json#core_identity,guardrails	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv#identity_id=MARDU;b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.pressure.v1;b1.hall.commitment.v1;b1.crucible.mono-multi.v1	docs/research/placementResearch/YT-how-to-find-the-right-commander-refined-player-evidence.md;docs/research/placementResearch/YT-new-new-commander-brackets-refined-player-evidence.md;docs/research/placementResearch/YT-edhrecast-real-reason-commander-players-hate-combo-refined-player-evidence.md;CECOS@947bf45bf6a191839b5fb4fa6c65980ed9d5737e	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	INSTRUMENT_CHANGE_REQUIRED	NONE	The approved matrix classifies coverage as broad/family-only with no direct identity-specific discriminator; promoting a broad answer would convert structural similarity into identity ownership.
NAYA	C07;C10;C11	C07;C10	INK:87;RG:67;DUNE:63;W:60;G:54	data/raw-factions/naya/naya.placement.json#placement_summary,behavioral_signals,false_positive_patterns;data/raw-factions/naya/naya.profile.json#core_identity,guardrails	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv#identity_id=NAYA;b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.pressure.v1;b1.hall.theme.v1;b1.hall.threat.v1;b1.crucible.mono-multi.v1	docs/research/placementResearch/YT-how-to-find-the-right-commander-refined-player-evidence.md;docs/research/placementResearch/YT-new-new-commander-brackets-refined-player-evidence.md;docs/research/placementResearch/YT-edhrecast-real-reason-commander-players-hate-combo-refined-player-evidence.md;CECOS@947bf45bf6a191839b5fb4fa6c65980ed9d5737e	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	INSTRUMENT_CHANGE_REQUIRED	NONE	The approved matrix classifies coverage as broad/family-only with no direct identity-specific discriminator; promoting a broad answer would convert structural similarity into identity ownership.
R	C01;C04;C11	C01;C04	JESKAI:226;NAYA:214;W:205;GLINT:182;B:162	data/raw-factions/red/red.placement.json#placement_summary,behavioral_signals,false_positive_patterns;data/raw-factions/red/red.profile.json#core_identity,guardrails	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv#identity_id=R;b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.threat.v1;b1.crucible.mono-multi.v1	docs/research/placementResearch/YT-how-to-find-the-right-commander-refined-player-evidence.md;docs/research/placementResearch/YT-new-new-commander-brackets-refined-player-evidence.md;docs/research/placementResearch/YT-edhrecast-real-reason-commander-players-hate-combo-refined-player-evidence.md;CECOS@947bf45bf6a191839b5fb4fa6c65980ed9d5737e	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	INSTRUMENT_CHANGE_REQUIRED	NONE	The approved matrix classifies coverage as broad/family-only with no direct identity-specific discriminator; promoting a broad answer would convert structural similarity into identity ownership.
RG	C07;C01;C10	C07;C01	NAYA:150;GLINT:104;R:55;B:51;WR:49	data/raw-factions/gruul_clans/gruul_clans.placement.json#placement_summary,behavioral_signals,false_positive_patterns;data/raw-factions/gruul_clans/gruul_clans.profile.json#core_identity,guardrails	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv#identity_id=RG;b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.pressure.v1;b1.hall.theme.v1;b1.crucible.mono-multi.v1	docs/research/placementResearch/YT-how-to-find-the-right-commander-refined-player-evidence.md;docs/research/placementResearch/YT-new-new-commander-brackets-refined-player-evidence.md;docs/research/placementResearch/YT-edhrecast-real-reason-commander-players-hate-combo-refined-player-evidence.md;CECOS@947bf45bf6a191839b5fb4fa6c65980ed9d5737e	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	INSTRUMENT_CHANGE_REQUIRED	NONE	The approved matrix classifies coverage as broad/family-only with no direct identity-specific discriminator; promoting a broad answer would convert structural similarity into identity ownership.
U	C01;C08;C16;C06	C01;C08	W:195;GLINT:141;JESKAI:110;B:109;QUANDRIX:95	data/raw-factions/blue/blue.placement.json#placement_summary,behavioral_signals,false_positive_patterns;data/raw-factions/blue/blue.profile.json#core_identity,guardrails	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv#identity_id=U;b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.interaction-window.v1;b1.hall.information-to-plan.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	docs/research/placementResearch/YT-how-to-find-the-right-commander-refined-player-evidence.md;docs/research/placementResearch/YT-new-new-commander-brackets-refined-player-evidence.md;docs/research/placementResearch/YT-edhrecast-real-reason-commander-players-hate-combo-refined-player-evidence.md;CECOS@947bf45bf6a191839b5fb4fa6c65980ed9d5737e	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	INSTRUMENT_CHANGE_REQUIRED	NONE	The approved matrix classifies coverage as broad/family-only with no direct identity-specific discriminator; promoting a broad answer would convert structural similarity into identity ownership.
