command_zone	mechanism	observable_commander-text_signals	behavioral_disposition
Breya, Etherium Shaper	single commander	artifact tokens; sacrifice two artifacts for modal conversion	Mechanically direct conversion, but Breya-specific and insufficient to prove a player relationship to constructed agency.
Akiri, Line-Slinger + Silas Renn, Seeker Adept	generic Partner	artifact count payoff; combat-gated artifact recast	Artifact density and recovery; neither observes replaceable-function preference or contesting inherited limits.
Bruse Tarl, Boorish Herder + Silas Renn, Seeker Adept	generic Partner	combat enhancement; combat-gated artifact recast	Recovery exists, but the pair does not expose conversion or engineered repeatability as a stable preference.
Bjorna, Nightfall Alchemist + Wernog, Rider's Chaplain	Partner—friends forever	Clue creation; sacrifice an artifact for damage and goad	Artifact conversion is observable, but it also occurs in non-Yore Friends-forever controls.
Cecily, Haunted Mage + Hargilde, Kindly Runechanter	Partner—friends forever	card accumulation; artifact-only mana	Artifact support plus card advantage, not modular conversion or planned replacement.
Cecily, Haunted Mage + Sophina, Spearsage Deserter	Partner—friends forever	card accumulation; attack-generated Clues	Resource creation and ordinary Clue conversion, not a distinct Yore relationship to a built system.
Cecily, Haunted Mage + Wernog, Rider's Chaplain	Partner—friends forever	card accumulation; enter/leave Clue creation	Resource creation and ordinary Clue conversion, not a distinct Yore relationship to a built system.
Ishai, Ojutai Dragonspeaker + Vial Smasher the Fierce	generic Partner	opponent-spell growth; first-spell damage	No artifact, recovery, modularity, or replaceability signal.
Kraum, Ludevic's Opus + Ravos, Soultender	generic Partner	opponent-paced draw; creature return	Card advantage and creature recursion; generic recovery, not constructed-agency evidence.
Kraum, Ludevic's Opus + Tymna the Weaver	generic Partner	opponent-paced draw; combat-to-card conversion	Card advantage and combat incentives; no built-system signal.
Ludevic, Necro-Alchemist + Ravos, Soultender	generic Partner	shared conditional draw; creature return	Politics/card advantage and creature recursion; generic recovery, not constructed-agency evidence.
Ludevic, Necro-Alchemist + Tymna the Weaver	generic Partner	shared conditional draw; combat-to-card conversion	Politics/card advantage and combat incentives; no built-system signal.
