id,faction,color_pair,card_name,set_context,type_line,color_identity,canonical_basis,confidence,mechanic_or_theme,translation_function,azorius_axis,structural_role,narrative_read,animation_motif,tags,source_url
AZO-001,Azorius Senate,white-blue,Absorb,Ravnica Allegiance,Instant,{W}{U},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Counterspell + life buffer,Override,Adjudication,"Counter, judge, veto, reset, or replace unlawful action with a sanctioned outcome.",Nullifies unlawful action and stabilizes the public body.,"gavel flash, verdict wave, spell crossing out, blue-white denial seal","counterspell, lifegain, response",https://scryfall.com/search?q=%21%22Absorb%22
AZO-002,Azorius Senate,white-blue,Aethermage's Touch,Dissension,Instant,{W}{U},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Temporary summons / reveal,ConstraintField,Procedure,"Tax, bind, restrict, protect, define fair play, and create rules opponents must respect.",Briefly admits a resource under supervised terms.,"transparent grid, statutes orbiting target, taxation rings, civic boundary lines","tempo, reveal, temporary access",https://scryfall.com/search?q=%21%22Aethermage%27s%20Touch%22
AZO-003,Azorius Senate,white-blue,Archon of the Triumvirate,Return to Ravnica,Creature — Archon,{W}{U},Azorius detain / detention mechanic signal,strong,Detain on attack,Detain,Enforcement,"Pause, lock, arrest, exile, tap, bounce, or otherwise deny immediate agency.",Aerial court authority that locks offenders out of the turn cycle.,"blue-white restraint sigils, vertical law bars, docket stamp, suspended motion","detain, flyer, finisher",https://scryfall.com/search?q=%21%22Archon%20of%20the%20Triumvirate%22
AZO-004,Azorius Senate,white-blue,Arrester's Admonition,Ravnica Allegiance,Instant,{W}{U},Official Wizards Azorius Commander/Ravnica Allegiance guide card,strong,Bounce + addendum draw,Detain,Enforcement,"Pause, lock, arrest, exile, tap, bounce, or otherwise deny immediate agency.",Removes an offender from the board and rewards proper timing.,"blue-white restraint sigils, vertical law bars, docket stamp, suspended motion","bounce, addendum, tempo",https://scryfall.com/search?q=%21%22Arrester%27s%20Admonition%22
AZO-005,Azorius Senate,white-blue,"Azor, the Lawbringer",Rivals of Ixalan / Ravnica founder,Creature — Sphinx,{W}{U},Azorius leader/founder/governance figure,strong,Silence opponents + Revelation attack trigger,ConstraintField,Founding Law,"Tax, bind, restrict, protect, define fair play, and create rules opponents must respect.","The origin-point of imposed order: speech, spellcasting, and procedure become governed.","transparent grid, statutes orbiting target, taxation rings, civic boundary lines","sphinx, law, commander",https://scryfall.com/search?q=%21%22Azor%2C%20the%20Lawbringer%22
AZO-006,Azorius Senate,white-blue,Azor's Elocutors,Return to Ravnica,Creature — Human Advisor,{W}{U},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Filibuster alternate win,AccretionEngine,Legislation,"Accumulate precedent, records, cards, mana, life, counters, or institutional advantage.","Victory by accumulated procedure, protected debate, and unanswered motions.","scroll layers, archive pages, precedent counters, marble glyphs accumulating","filibuster, counters, alt win",https://scryfall.com/search?q=%21%22Azor%27s%20Elocutors%22
AZO-007,Azorius Senate,white-blue,Azorius Arrester,Return to Ravnica,Creature — Human Soldier,{W},Azorius-named card or guild infrastructure,strong,ETB detain,Detain,Street Enforcement,"Pause, lock, arrest, exile, tap, bounce, or otherwise deny immediate agency.",Local enforcement applied at entry: the offender loses agency immediately.,"blue-white restraint sigils, vertical law bars, docket stamp, suspended motion","detain, creature, tempo",https://scryfall.com/search?q=%21%22Azorius%20Arrester%22
AZO-008,Azorius Senate,white-blue,Azorius Chancery,Dissension / Ravnica,Land,{W}{U},Azorius-named card or guild infrastructure,strong,Guild bounce land,AccretionEngine,Infrastructure,"Accumulate precedent, records, cards, mana, life, counters, or institutional advantage.",The civic platform that stores tempo now for a larger regulated turn later.,"scroll layers, archive pages, precedent counters, marble glyphs accumulating","land, mana, infrastructure",https://scryfall.com/search?q=%21%22Azorius%20Chancery%22
AZO-009,Azorius Senate,white-blue,Azorius Charm,Return to Ravnica,Instant,{W}{U},Azorius-named card or guild infrastructure,strong,Modal tempo / draw / lifelink,Override,Adjudication,"Counter, judge, veto, reset, or replace unlawful action with a sanctioned outcome.","A legal instrument: dismiss, document, or stabilize depending on the case.","gavel flash, verdict wave, spell crossing out, blue-white denial seal","modal, draw, lifelink, tempo",https://scryfall.com/search?q=%21%22Azorius%20Charm%22
AZO-010,Azorius Senate,white-blue,Azorius First-Wing,Dissension,Creature — Griffin,{W}{U},Azorius-named card or guild infrastructure,strong,Protected evasive body,ConstraintField,Sky Authority,"Tax, bind, restrict, protect, define fair play, and create rules opponents must respect.",A visible symbol of protected jurisdiction over contested airspace.,"transparent grid, statutes orbiting target, taxation rings, civic boundary lines","flyer, protection, patrol",https://scryfall.com/search?q=%21%22Azorius%20First-Wing%22
