proposal_id	identity_key	canonical_card_name	canonical_card_id	exact_excerpt	relationship_class	certified_identity_claim_ids	why_voice_belongs	relationship_bridge	false_positive_analysis	adjacent_identity_confusion_risk	agent_recommendation	source	limitations
packet1_voice_abzan_3d02ee2f_b7bd_40b0_b9be_2420991b2be0_2	ABZAN	Abzan Devotee	3d02ee2f-b7bd-40b0-b9be-2420991b2be0	The Kin-Trees rediscovered after Dromoka's fall are tended by carefully chosen wardens.	GENERIC_THEMATIC_ANALOGY		The excerpt is authentic, but the prior heuristic assignment does not establish a specific relationship to the certified identity.	No certified claim authorizes this candidate strongly enough. Name, color, product, mechanic, or broad theme overlap cannot supply the missing bridge.	This candidate can sound plausible through broad mood or theme alone. Without the selected identity-specific bridge, it could be reassigned by intuition to Bant, Selesnya, and Golgari can also sound enduring or communal; the Kin-Tree and ancestor-continuity frame is the bounded Abzan bridge.	Bant, Selesnya, and Golgari can also sound enduring or communal; the Kin-Tree and ancestor-continuity frame is the bounded Abzan bridge.	REJECTED	data/scryfall/indexes/card-flavor-index.json#oracle_id=3d02ee2f-b7bd-40b0-b9be-2420991b2be0	Rejected from owner decision workload because exact text provenance alone does not establish a source-complete identity relationship.
packet1_voice_abzan_46535f8e_1bcd_4588_ac6c_a4bc89c379c8_1	ABZAN	Abzan Banner	46535f8e-1bcd-4588-ac6c-a4bc89c379c8	Stone to endure, roots to remember.	NATIVE_FIGURE_OR_LOCATION	abzan_claim_0003 | abzan_claim_0008	Abzan Banner's exact excerpt provides a bounded voice echo of endurance joined to roots, memory, and Kin-Tree continuity.	The excerpt is admissible for owner review only because its language corresponds to certified claims abzan_claim_0003, abzan_claim_0008; the relationship does not arise from card color, product membership, tags, or mechanics.	Bant, Selesnya, and Golgari can also sound enduring or communal; the Kin-Tree and ancestor-continuity frame is the bounded Abzan bridge.	Bant, Selesnya, and Golgari can also sound enduring or communal; the Kin-Tree and ancestor-continuity frame is the bounded Abzan bridge.	REVIEW_REQUIRED	data/scryfall/indexes/card-flavor-index.json#oracle_id=46535f8e-1bcd-4588-ac6c-a4bc89c379c8	Exact card text is verified, but public use remains owner-gated. Bant, Selesnya, and Golgari can also sound enduring or communal; the Kin-Tree and ancestor-continuity frame is the bounded Abzan bridge.
packet1_voice_abzan_85b2fb89_5ebe_4c13_bc12_38d1417e5880_3	ABZAN	Abzan Guide	85b2fb89-5ebe-4c13-bc12-38d1417e5880	"These roads are desolate and changeable. Follow me, or die in the wastes."	GENERIC_THEMATIC_ANALOGY		The excerpt is authentic, but the prior heuristic assignment does not establish a specific relationship to the certified identity.	No certified claim authorizes this candidate strongly enough. Name, color, product, mechanic, or broad theme overlap cannot supply the missing bridge.	This candidate can sound plausible through broad mood or theme alone. Without the selected identity-specific bridge, it could be reassigned by intuition to Bant, Selesnya, and Golgari can also sound enduring or communal; the Kin-Tree and ancestor-continuity frame is the bounded Abzan bridge.	Bant, Selesnya, and Golgari can also sound enduring or communal; the Kin-Tree and ancestor-continuity frame is the bounded Abzan bridge.	REJECTED	data/scryfall/indexes/card-flavor-index.json#oracle_id=85b2fb89-5ebe-4c13-bc12-38d1417e5880	Rejected from owner decision workload because exact text provenance alone does not establish a source-complete identity relationship.
packet1_voice_b_20d0df30_013c_47c0_b70b_d628d427d30b_2	B	Jerren, Corrupted Bishop // Ormendahl, the Corrupter	20d0df30-013c-47c0-b70b-d628d427d30b	"Ah, Jerren. You've been such a faithful, useful insect."	GENERIC_THEMATIC_ANALOGY		The excerpt is authentic, but the prior heuristic assignment does not establish a specific relationship to the certified identity.	No certified claim authorizes this candidate strongly enough. Name, color, product, mechanic, or broad theme overlap cannot supply the missing bridge.	This candidate can sound plausible through broad mood or theme alone. Without the selected identity-specific bridge, it could be reassigned by intuition to Blue and Dimir also value knowledge, while Orzhov values payment; this echo belongs here only because the line makes sacrifice the price of access rather than secrecy or institutional debt.	Blue and Dimir also value knowledge, while Orzhov values payment; this echo belongs here only because the line makes sacrifice the price of access rather than secrecy or institutional debt.	REJECTED	data/scryfall/indexes/commander-index.json#oracle_id=20d0df30-013c-47c0-b70b-d628d427d30b	Rejected from owner decision workload because exact text provenance alone does not establish a source-complete identity relationship.
packet1_voice_b_388168b3_ec68_4af2_b88c_6a5ec88c15f6_1	B	Ayara, First of Locthwain	388168b3-ec68-4af2-b88c-6a5ec88c15f6	Mourning shifts seamlessly to celebration as she chooses her next suitor.	GENERIC_THEMATIC_ANALOGY		The excerpt is authentic, but the prior heuristic assignment does not establish a specific relationship to the certified identity.	No certified claim authorizes this candidate strongly enough. Name, color, product, mechanic, or broad theme overlap cannot supply the missing bridge.	This candidate can sound plausible through broad mood or theme alone. Without the selected identity-specific bridge, it could be reassigned by intuition to Blue and Dimir also value knowledge, while Orzhov values payment; this echo belongs here only because the line makes sacrifice the price of access rather than secrecy or institutional debt.	Blue and Dimir also value knowledge, while Orzhov values payment; this echo belongs here only because the line makes sacrifice the price of access rather than secrecy or institutional debt.	REJECTED	data/scryfall/indexes/commander-index.json#oracle_id=388168b3-ec68-4af2-b88c-6a5ec88c15f6	Rejected from owner decision workload because exact text provenance alone does not establish a source-complete identity relationship.
packet1_voice_b_78725353_9274_420a_b722_add0f43c444e_replacement	B	Ancient Craving	78725353-9274-420a-b722-add0f43c444e	Knowledge demands sacrifice.	CERTIFIED_SEMANTIC_ECHO	black_claim_0003 | black_claim_0004	Ancient Craving's exact excerpt provides a bounded voice echo of knowledge made available through an explicit sacrifice.	The excerpt is admissible for owner review only because its language corresponds to certified claims black_claim_0003, black_claim_0004; the relationship does not arise from card color, product membership, tags, or mechanics.	Blue and Dimir also value knowledge, while Orzhov values payment; this echo belongs here only because the line makes sacrifice the price of access rather than secrecy or institutional debt.	Blue and Dimir also value knowledge, while Orzhov values payment; this echo belongs here only because the line makes sacrifice the price of access rather than secrecy or institutional debt.	REVIEW_REQUIRED	data/scryfall/indexes/card-flavor-index.json#oracle_id=78725353-9274-420a-b722-add0f43c444e	Exact card text is verified, but public use remains owner-gated. Blue and Dimir also value knowledge, while Orzhov values payment; this echo belongs here only because the line makes sacrifice the price of access rather than secrecy or institutional debt.
packet1_voice_b_8fa7bd8f_f712_4dd1_9ffb_e30dfe744389_3	B	Egon, God of Death // Throne of Death	8fa7bd8f-f712-4dd1-9ffb-e30dfe744389	Egon ages backward, his wisdom soured by youthful spite.	GENERIC_THEMATIC_ANALOGY		The excerpt is authentic, but the prior heuristic assignment does not establish a specific relationship to the certified identity.	No certified claim authorizes this candidate strongly enough. Name, color, product, mechanic, or broad theme overlap cannot supply the missing bridge.	This candidate can sound plausible through broad mood or theme alone. Without the selected identity-specific bridge, it could be reassigned by intuition to Blue and Dimir also value knowledge, while Orzhov values payment; this echo belongs here only because the line makes sacrifice the price of access rather than secrecy or institutional debt.	Blue and Dimir also value knowledge, while Orzhov values payment; this echo belongs here only because the line makes sacrifice the price of access rather than secrecy or institutional debt.	REJECTED	data/scryfall/indexes/commander-index.json#oracle_id=8fa7bd8f-f712-4dd1-9ffb-e30dfe744389	Rejected from owner decision workload because exact text provenance alone does not establish a source-complete identity relationship.
packet1_voice_bant_610adb2b_9d52_4b70_92d1_0c7adeb93552_3	BANT	Bant Sureblade	610adb2b-9d52-4b70-92d1-0c7adeb93552	Soldiers who fought through Grixis learned to hit first, recite the prayer of Asha later.	GENERIC_THEMATIC_ANALOGY		The excerpt is authentic, but the prior heuristic assignment does not establish a specific relationship to the certified identity.	No certified claim authorizes this candidate strongly enough. Name, color, product, mechanic, or broad theme overlap cannot supply the missing bridge.	This candidate can sound plausible through broad mood or theme alone. Without the selected identity-specific bridge, it could be reassigned by intuition to Azorius and Selesnya can also sound orderly or communal; the explicit Bant reference and its idealized public-honor frame prevent a generic WUG inference.	Azorius and Selesnya can also sound orderly or communal; the explicit Bant reference and its idealized public-honor frame prevent a generic WUG inference.	REJECTED	data/scryfall/indexes/card-flavor-index.json#oracle_id=610adb2b-9d52-4b70-92d1-0c7adeb93552	Rejected from owner decision workload because exact text provenance alone does not establish a source-complete identity relationship.
packet1_voice_bant_67ceffa4_2fdb_499c_88cd_49fb5eb9be59_2	BANT	Bant Sojourners	67ceffa4-2fdb-499c-88cd-49fb5eb9be59	"We must spread Bant's light before we are shadowed over."	EXPLICIT_IDENTITY_REFERENCE	bant_claim_0004 | bant_claim_0007	Bant Sojourners's exact excerpt provides a bounded voice echo of Bant named directly through an idealized light meant to extend beyond the shard.	The excerpt is admissible for owner review only because its language corresponds to certified claims bant_claim_0004, bant_claim_0007; the relationship does not arise from card color, product membership, tags, or mechanics.	Azorius and Selesnya can also sound orderly or communal; the explicit Bant reference and its idealized public-honor frame prevent a generic WUG inference.	Azorius and Selesnya can also sound orderly or communal; the explicit Bant reference and its idealized public-honor frame prevent a generic WUG inference.	REVIEW_REQUIRED	data/scryfall/indexes/card-flavor-index.json#oracle_id=67ceffa4-2fdb-499c-88cd-49fb5eb9be59	Exact card text is verified, but public use remains owner-gated. Azorius and Selesnya can also sound orderly or communal; the explicit Bant reference and its idealized public-honor frame prevent a generic WUG inference.
packet1_voice_bant_92d8b956_87db_43e4_bbb5_436ba01b5714_1	BANT	Bant Battlemage	92d8b956-87db-43e4-bbb5-436ba01b5714	"A night attack will be easy. We'll make an air raid over the Akrasan border. Just get me some flint to light the war...	GENERIC_THEMATIC_ANALOGY		The excerpt is authentic, but the prior heuristic assignment does not establish a specific relationship to the certified identity.	No certified claim authorizes this candidate strongly enough. Name, color, product, mechanic, or broad theme overlap cannot supply the missing bridge.	This candidate can sound plausible through broad mood or theme alone. Without the selected identity-specific bridge, it could be reassigned by intuition to Azorius and Selesnya can also sound orderly or communal; the explicit Bant reference and its idealized public-honor frame prevent a generic WUG inference.	Azorius and Selesnya can also sound orderly or communal; the explicit Bant reference and its idealized public-honor frame prevent a generic WUG inference.	REJECTED	data/scryfall/indexes/card-flavor-index.json#oracle_id=92d8b956-87db-43e4-bbb5-436ba01b5714	Rejected from owner decision workload because exact text provenance alone does not establish a source-complete identity relationship.
packet1_voice_bg_06fa6719_aa4f_4857_8029_e42d01232645_3	BG	Awaken the Erstwhile	06fa6719-aa4f-4857-8029-e42d01232645	In preparation for the conflict all foresaw, the Golgari called upon an army that had slept for millennia beneath the...	GENERIC_THEMATIC_ANALOGY		The excerpt is authentic, but the prior heuristic assignment does not establish a specific relationship to the certified identity.	No certified claim authorizes this candidate strongly enough. Name, color, product, mechanic, or broad theme overlap cannot supply the missing bridge.	This candidate can sound plausible through broad mood or theme alone. Without the selected identity-specific bridge, it could be reassigned by intuition to Witherbloom and generic graveyard decks also join life and death; the explicit Golgari reclamation-and-service frame is required.	Witherbloom and generic graveyard decks also join life and death; the explicit Golgari reclamation-and-service frame is required.	REJECTED	data/scryfall/indexes/card-flavor-index.json#oracle_id=06fa6719-aa4f-4857-8029-e42d01232645	Rejected from owner decision workload because exact text provenance alone does not establish a source-complete identity relationship.
packet1_voice_bg_55e04860_f4f5_445b_81f2_b500fa9b456a_2	BG	Contaminated Ground	55e04860-f4f5-445b-81f2-b500fa9b456a	"No one cares about pollution until they can see it." —Gurras, Golgari rot farmer	GENERIC_THEMATIC_ANALOGY		The excerpt is authentic, but the prior heuristic assignment does not establish a specific relationship to the certified identity.	No certified claim authorizes this candidate strongly enough. Name, color, product, mechanic, or broad theme overlap cannot supply the missing bridge.	This candidate can sound plausible through broad mood or theme alone. Without the selected identity-specific bridge, it could be reassigned by intuition to Witherbloom and generic graveyard decks also join life and death; the explicit Golgari reclamation-and-service frame is required.	Witherbloom and generic graveyard decks also join life and death; the explicit Golgari reclamation-and-service frame is required.	REJECTED	data/scryfall/indexes/card-flavor-index.json#oracle_id=55e04860-f4f5-445b-81f2-b500fa9b456a	Rejected from owner decision workload because exact text provenance alone does not establish a source-complete identity relationship.
