record_id,sheet,row_number,term,normalized_term,workbook_category,workbook_status,workbook_confidence,workbook_mapping,verification_disposition,reason,recommended_review_action
scryall-data-accumulation-R4,scryall_data_accumulation,4,Advisor,advisor,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R5,scryall_data_accumulation,5,Aetherborn,aetherborn,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R6,scryall_data_accumulation,6,Alien,alien,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R7,scryall_data_accumulation,7,Ally,ally,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R8,scryall_data_accumulation,8,Angel,angel,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R9,scryall_data_accumulation,9,Antelope,antelope,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R10,scryall_data_accumulation,10,Ape,ape,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R11,scryall_data_accumulation,11,Archer,archer,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R12,scryall_data_accumulation,12,Archon,archon,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R13,scryall_data_accumulation,13,Armadillo,armadillo,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R14,scryall_data_accumulation,14,Army,army,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
