claim_id	identity_number	identity_key	identity_name	statement_type	classification	claim_text	controlling_locators	official_support_ids	rationale	disposition
VM554-01-01	1	WU	Azorius Senate	CENTER	UPSTREAM-DIRECT	Azorius Senate (WU) - public order through procedure.	data/factions.json#/factions/WU/philosophy; docs/architecture/colors/azorius/identity.md#identity-overview-or-core-drive; docs/architecture/colors/azorius/metaphysics.md#metaphysical-thesis	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide center statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-01-02	1	WU	Azorius Senate	RESONATES	UPSTREAM-DIRECT	The person trusts documented rules, precedent, enforceable fairness, and institutions that prevent harm before crisis.	data/factions.json#/factions/WU/affinity/drawn_to; docs/architecture/colors/azorius/identity.md#operator-translation-signals	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide resonates statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-01-03	1	WU	Azorius Senate	CONNECTS	SUPPORTED-SYNTHESIS	White supplies protection and Blue supplies understanding. It is near White, Blue, Boros, Selesnya, and Orzhov, but uniquely insists that accountability be public and procedural.	data/factions.json#/factions/WU/affinity/not_to_be_confused_with; data/factions.json#/factions/WU/raw_enrichment/views_on_other_factions; docs/architecture/colors/azorius/identity.md#false-positive-risks-and-neighbor-boundaries	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The relationship combines explicit upstream comparison boundaries with official mono/two-color relationship material. It is a conservative comparison, not canon diplomacy or proof that a color pair has only one expression.	PRESERVE_WITH_SYNTHESIS_LABEL
VM554-01-04	1	WU	Azorius Senate	PUSHES_BACK	UPSTREAM-DIRECT	It distrusts private exceptions, impulsive intervention, and justice that cannot be made legible to everyone.	data/factions.json#/factions/WU/affinity/repelled_by; data/factions.json#/factions/WU/core_tension; docs/architecture/colors/azorius/identity.md#inhibitors-or-false-positive-risks	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide pushes_back statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-01-05	1	WU	Azorius Senate	REJECTS	UPSTREAM-DIRECT	A successful rule-breaker, secret broker, or battlefield protector is not Azorius when public procedure is treated as disposable.	data/factions.json#/factions/WU/affinity/not_to_be_confused_with; docs/architecture/colors/azorius/identity.md#false-positive-risks	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide rejects statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-02-01	2	UB	House Dimir	CENTER	UPSTREAM-DIRECT	House Dimir (UB) - hidden information as leverage.	data/factions.json#/factions/UB/philosophy; docs/architecture/colors/dimir/identity.md#identity-overview-or-core-drive; docs/architecture/colors/dimir/metaphysics.md#metaphysical-thesis	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide center statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-02-02	2	UB	House Dimir	RESONATES	UPSTREAM-DIRECT	The person observes first, controls disclosure, values anonymity, and prefers advantage that does not require public credit.	data/factions.json#/factions/UB/affinity/drawn_to; docs/architecture/colors/dimir/identity.md#operator-translation-signals	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide resonates statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-02-03	2	UB	House Dimir	CONNECTS	SUPPORTED-SYNTHESIS	Blue supplies knowledge and Black supplies agency. It touches Azorius through information, Orzhov through leverage, Grixis through weakness analysis, and Sultai through secrets, but keeps the method hidden.	data/factions.json#/factions/UB/affinity/not_to_be_confused_with; data/factions.json#/factions/UB/raw_enrichment/views_on_other_factions; docs/architecture/colors/dimir/identity.md#false-positive-risks-and-neighbor-boundaries	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The relationship combines explicit upstream comparison boundaries with official mono/two-color relationship material. It is a conservative comparison, not canon diplomacy or proof that a color pair has only one expression.	PRESERVE_WITH_SYNTHESIS_LABEL
VM554-02-04	2	UB	House Dimir	PUSHES_BACK	UPSTREAM-DIRECT	It resists transparency as an automatic virtue and visible legitimacy as the only valid form of power.	data/factions.json#/factions/UB/affinity/repelled_by; data/factions.json#/factions/UB/core_tension; docs/architecture/colors/dimir/identity.md#inhibitors-or-false-positive-risks	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide pushes_back statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-02-05	2	UB	House Dimir	REJECTS	UPSTREAM-DIRECT	Generic control, mill, theft, or evasive play is not Dimir without secrecy or information asymmetry as the active method.	data/factions.json#/factions/UB/affinity/not_to_be_confused_with; docs/architecture/colors/dimir/identity.md#false-positive-risks	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide rejects statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
