expected_identity,defining_evidence,closest_competitor,mixed_or_uncertain_element,exact_available_answers_selected,branch_path_reached,final_primary,rank_two,rank_three,softmax_share_displayed_as_confidence,direct_positive_evidence_present,minimum_hit_metadata_satisfied_by_strong_authored_hit_proxy,strong_authored_hit_count,false_positive_guardrail_metadata_satisfied,explanation_result,adjacent_result,commander_recommendation_result,acceptable_result_set,unacceptable_false_positives,final_disposition,scenario_limit
ABZAN,"[""Abzan Houses"",""Tarkir"",""WBG"",""White-centered"",""family"",""house continuity"",""endurance"",""Kin-Trees"",""ancestor spirits"",""perennation"",""defensive patience""]",WB,Nearest current numeric competitor WB; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_braided_witness"",""title"":""A braided witness""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_many_currents"",""title"":""Many currents, one course""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_cold_pattern"",""title"":""The cold pattern""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_preserve"",""title"":""Preserve what must not break""},{""stage"":""hall"",""question_id"":""hall_ABZAN_family_endurance"",""answer_id"":""MISSING:hall_ABZAN_family_endurance#answer-1"",""title"":""Keep the house alive""},{""stage"":""hall"",""question_id"":""hall_ABZAN_ancestor_perennation"",""answer_id"":""MISSING:hall_ABZAN_ancestor_perennation#answer-1"",""title"":""Let memory become stewardship""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_ABZAN_family_endurance"",""hall:hall_ABZAN_ancestor_perennation""]",ABZAN,WB,SILVERQUILL,0.686,true,true,4,UNRESOLVED: guardrail is free text and has no executable predicate,"Abzan Houses recognizes the shape of your game as The Ancestral Endurer. Your answers repeatedly expressed preserving duty and family endurance through house continuity. Orzhov Syndicate stayed near the reading, but Abzan Houses was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""WB"",""share"":0.045,""reason"":""Orzhov Syndicate stayed close through calculated implication, preserving duty, family endurance through house continuity.""},{""identity"":""SILVERQUILL"",""share"":0.034,""reason"":""Silverquill College stayed close through balanced convergence, calculated implication, preserving duty.""}]","[""Abzan Armor (Precon)"",""Anafenza, the Foremost"",""Karador, Ghost Chieftain""]","[""ABZAN""]","[""BANT"",""BR"",""COLORLESS"",""DUNE"",""ESPER""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
B,"[""power"",""opportunity"",""self-interest"",""agency"",""cost"",""sacrifice"",""leverage""]",WB,Nearest current numeric competitor WB; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_self_claim"",""title"":""The claim no one can make for me""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_silent_axis"",""title"":""A silent axis""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_cold_pattern"",""title"":""The cold pattern""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_preserve"",""title"":""Preserve what must not break""},{""stage"":""hall"",""question_id"":""hall_B_cost"",""answer_id"":""MISSING:hall_B_cost#answer-1"",""title"":""Pay the cost""},{""stage"":""hall"",""question_id"":""hall_B_graveyard"",""answer_id"":""MISSING:hall_B_graveyard#answer-1"",""title"":""Reclaim it as leverage""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_B_cost"",""hall:hall_B_graveyard""]",B,WB,UB,0.854,true,true,4,UNRESOLVED: guardrail is free text and has no executable predicate,"Black recognizes the shape of your game as The Self-Sovereign Operator. Your answers repeatedly expressed preserving duty and power at a cost. Orzhov Syndicate stayed near the reading, but Black was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""WB"",""share"":0.019,""reason"":""Orzhov Syndicate stayed close through preserving duty, power at a cost, graveyard as resource.""},{""identity"":""UB"",""share"":0.017,""reason"":""House Dimir stayed close through calculated implication, power at a cost, graveyard as resource.""}]","[""K'rrik, Son of Yawgmoth"",""Ayara, First of Locthwain"",""Chainer, Dementia Master""]","[""B""]","[""ABZAN"",""BANT"",""BG"",""BR"",""COLORLESS""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
BANT,"[""Bant"",""exalted"",""champion"",""sigil"",""honor"",""Rafiq"",""Valeron"",""Akrasa"",""Great Conduit"",""community"",""protection"",""refinement""]",INK,Nearest current numeric competitor INK; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_common_root"",""title"":""The common root""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_answerable_motion"",""title"":""Answerable motion""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_whole_chord"",""title"":""The whole chord""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_whole_covenant"",""title"":""Keep the whole covenant""},{""stage"":""hall"",""question_id"":""hall_BANT_champion"",""answer_id"":""MISSING:hall_BANT_champion#answer-1"",""title"":""Public trust and support""},{""stage"":""hall"",""question_id"":""hall_BANT_living_order"",""answer_id"":""MISSING:hall_BANT_living_order#answer-1"",""title"":""Duty held by living community""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_BANT_champion"",""hall:hall_BANT_living_order""]",BANT,INK,JESKAI,0.701,true,true,4,UNRESOLVED: guardrail is free text and has no executable predicate,"Bant recognizes the shape of your game as The Communal Champion. Your answers repeatedly expressed integrated covenant and supported champion. Ink / Altruism stayed near the reading, but Bant was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""INK"",""share"":0.032,""reason"":""Ink / Altruism stayed close through bounded action, balanced chord, integrated covenant.""},{""identity"":""JESKAI"",""share"":0.03,""reason"":""Jeskai Way stayed close through bounded action, balanced chord, integrated covenant.""}]","[""Rafiq of the Many"",""Chulane, Teller of Tales"",""Tuvasa the Sunlit""]","[""BANT""]","[""ABZAN"",""B"",""BG"",""BR"",""COLORLESS""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
BG,"[""decay"",""renewal"",""death"",""life"",""rot"",""undercity"",""survival"",""graveyard"",""cycle"",""reclamation""]",G,Nearest current numeric competitor G; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_outside_measure"",""title"":""The measure outside the map""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_wild_release"",""title"":""A wild release""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_measured_trace"",""title"":""The measured trace""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_whole_covenant"",""title"":""Keep the whole covenant""},{""stage"":""hall"",""question_id"":""hall_BG_reclamation"",""answer_id"":""MISSING:hall_BG_reclamation#answer-1"",""title"":""Build from the rot""},{""stage"":""hall"",""question_id"":""hall_B_cost"",""answer_id"":""MISSING:hall_B_cost#answer-3"",""title"":""Make it a debt""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_BG_reclamation"",""hall:hall_B_cost""]",BG,G,GLINT,0.349,true,true,3,UNRESOLVED: guardrail is free text and has no executable predicate,"Golgari Swarm recognizes the shape of your game as The Resilient Reclaimer. Your answers repeatedly expressed measured inference and integrated covenant. Green stayed near the reading, but Golgari Swarm was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""G"",""share"":0.064,""reason"":""Green stayed close through adaptive release, measured inference, integrated covenant.""},{""identity"":""GLINT"",""share"":0.052,""reason"":""Glint / Chaos stayed close through adaptive release, measured inference, integrated covenant.""}]","[""Jarad, Golgari Lich Lord"",""Meren of Clan Nel Toth"",""The Gitrog Monster""]","[""BG""]","[""ABZAN"",""B"",""BANT"",""BR"",""COLORLESS""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
BR,"[""spectacle"",""performance"",""transgression"",""sensation"",""danger"",""provocation"",""comedy"",""chaos"",""entertainment"",""intensity""]",DUNE,Nearest current numeric competitor DUNE; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_personal_threshold"",""title"":""The threshold in the self""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_wild_release"",""title"":""A wild release""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_whole_chord"",""title"":""The whole chord""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_steward"",""title"":""Steward the change""},{""stage"":""hall"",""question_id"":""hall_BR_intensity"",""answer_id"":""MISSING:hall_BR_intensity#answer-1"",""title"":""Make the discomfort impossible to ignore""},{""stage"":""hall"",""question_id"":""hall_GLINT_living_force"",""answer_id"":""MISSING:hall_GLINT_living_force#answer-4"",""title"":""Hear the storm before acting""},{""stage"":""hall"",""question_id"":""hall_TEMUR_survival_attunement"",""answer_id"":""MISSING:hall_TEMUR_survival_attunement#answer-2"",""title"":""Feed the pressure""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_BR_intensity"",""hall:hall_GLINT_living_force"",""hall:hall_TEMUR_survival_attunement""]",BR,DUNE,R,0.353,true,true,3,UNRESOLVED: guardrail is free text and has no executable predicate,"Cult of Rakdos recognizes the shape of your game as The Transgressive Performer. Your answers repeatedly expressed balanced chord and careful stewardship. Dune / Aggression stayed near the reading, but Cult of Rakdos was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""DUNE"",""share"":0.079,""reason"":""Dune / Aggression stayed close through adaptive release, balanced chord, careful stewardship.""},{""identity"":""R"",""share"":0.053,""reason"":""Red stayed close through adaptive release, balanced chord, careful stewardship.""}]","[""Rakdos, Lord of Riots"",""Judith, the Scourge Diva"",""Rakdos, the Showstopper""]","[""BR""]","[""ABZAN"",""B"",""BANT"",""BG"",""COLORLESS""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
COLORLESS,[],WUBRG,Nearest current numeric competitor WUBRG; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_outside_measure"",""title"":""The measure outside the map""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_silent_axis"",""title"":""A silent axis""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_unlit_edge"",""title"":""The unlit edge""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_without_color"",""title"":""Stand where the lamp does not reach""},{""stage"":""hall"",""question_id"":""hall_COLORLESS_outside_wubrg"",""answer_id"":""MISSING:hall_COLORLESS_outside_wubrg#answer-1"",""title"":""Stay outside the wheel""},{""stage"":""hall"",""question_id"":""hall_COLORLESS_branch_boundary"",""answer_id"":""MISSING:hall_COLORLESS_branch_boundary#answer-1"",""title"":""Chosen restriction""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_COLORLESS_outside_wubrg"",""hall:hall_COLORLESS_branch_boundary""]",COLORLESS,WUBRG,ABZAN,1,true,true,6,UNRESOLVED: guardrail is free text and has no executable predicate,"Colorless recognizes the shape of your game as The Outside-System Architect. Your answers repeatedly expressed outside boundary and outside-WUBRG precision. Five-Color / WUBRG stayed near the reading, but Colorless was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""WUBRG"",""share"":0,""reason"":""Five-Color / WUBRG remained adjacent as the full-spectrum integrator.""},{""identity"":""ABZAN"",""share"":0,""reason"":""Abzan Houses remained adjacent as the ancestral endurer.""}]","[""Zhulodok, Void Gorger"",""Omarthis, Ghostfire Initiate"",""Eldrazi Unbound (Precon)""]","[""COLORLESS""]","[""ABZAN"",""B"",""BANT"",""BG"",""BR""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
DUNE,"[""organized"",""territorial"",""force"",""pressure"",""direct action"",""physical momentum"",""survival"",""multiplication"",""common front"",""four-color"",""without Blue"",""missing-Blue"",""White line"",""Black cost"",""Red ignition"",""Green persistence""]",RG,Nearest current numeric competitor RG; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_braided_witness"",""title"":""A braided witness""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_wild_release"",""title"":""A wild release""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_whole_chord"",""title"":""The whole chord""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_preserve"",""title"":""Preserve what must not break""},{""stage"":""hall"",""question_id"":""hall_DUNE_territorial_force"",""answer_id"":""MISSING:hall_DUNE_territorial_force#answer-1"",""title"":""Claim the ground now""},{""stage"":""hall"",""question_id"":""hall_DUNE_missing_blue"",""answer_id"":""MISSING:hall_DUNE_missing_blue#answer-1"",""title"":""It refuses detached contemplation""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_DUNE_territorial_force"",""hall:hall_DUNE_missing_blue""]",DUNE,RG,BR,0.767,true,true,4,UNRESOLVED: guardrail is free text and has no executable predicate,"Dune / Aggression recognizes the shape of your game as The Common-Front Linebreaker. Your answers repeatedly expressed preserving duty and organized territorial pressure before detached contemplation. Gruul Clans stayed near the reading, but Dune / Aggression was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""RG"",""share"":0.016,""reason"":""Gruul Clans stayed close through adaptive release, balanced chord, preserving duty.""},{""identity"":""BR"",""share"":0.016,""reason"":""Cult of Rakdos stayed close through adaptive release, balanced chord, preserving duty.""}]","[""Saskia the Unyielding"",""Open Hostility (Precon)""]","[""DUNE""]","[""ABZAN"",""BANT"",""BG"",""BR"",""COLORLESS""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
ESPER,"[""Esper"",""Alara"",""WUB"",""Blue-centered perfectibility"",""perfectibility"",""knowledge"",""planning"",""applied information"",""ordered improvement"",""coordination"",""focused control"",""instrumental information"",""designed control"",""optimization""]",SILVERQUILL,Nearest current numeric competitor SILVERQUILL; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_braided_witness"",""title"":""A braided witness""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_answerable_motion"",""title"":""Answerable motion""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_cold_pattern"",""title"":""The cold pattern""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_preserve"",""title"":""Preserve what must not break""},{""stage"":""hall"",""question_id"":""hall_ESPER_perfectibility"",""answer_id"":""MISSING:hall_ESPER_perfectibility#answer-1"",""title"":""Understand, then refine""},{""stage"":""hall"",""question_id"":""hall_ESPER_designed_control"",""answer_id"":""MISSING:hall_ESPER_designed_control#answer-1"",""title"":""Make every piece serve the design""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_ESPER_perfectibility"",""hall:hall_ESPER_designed_control""]",ESPER,SILVERQUILL,ABZAN,0.671,true,true,5,UNRESOLVED: guardrail is free text and has no executable predicate,"Esper recognizes the shape of your game as The Perfecting Systems Architect. Your answers repeatedly expressed preserving duty and perfectibility through applied knowledge. Silverquill College stayed near the reading, but Esper was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""SILVERQUILL"",""share"":0.031,""reason"":""Silverquill College stayed close through bounded action, calculated implication, preserving duty.""},{""identity"":""ABZAN"",""share"":0.03,""reason"":""Abzan Houses stayed close through bounded action, calculated implication, preserving duty.""}]","[""Y'shtola, Night's Blessed"",""Aminatou, Veil Piercer"",""Oloro, Ageless Ascetic""]","[""ESPER""]","[""ABZAN"",""BANT"",""BG"",""BR"",""COLORLESS""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
G,"[""nature"",""acceptance"",""instinct"",""growth"",""interdependence"",""role"",""tradition"",""land""]",UG,Nearest current numeric competitor UG; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_common_root"",""title"":""The common root""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_wild_release"",""title"":""A wild release""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_cold_pattern"",""title"":""The cold pattern""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_transform"",""title"":""Become the changed thing""},{""stage"":""hall"",""question_id"":""hall_G_growth"",""answer_id"":""MISSING:hall_G_growth#answer-1"",""title"":""Let the roots deepen""},{""stage"":""hall"",""question_id"":""hall_G_natural_order"",""answer_id"":""MISSING:hall_G_natural_order#answer-1"",""title"":""Trust the natural pace""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_G_growth"",""hall:hall_G_natural_order""]",G,UG,QUANDRIX,0.729,true,true,5,UNRESOLVED: guardrail is free text and has no executable predicate,"Green recognizes the shape of your game as The Rooted Becoming. Your answers repeatedly expressed transformative cost and organic growth. Simic Combine stayed near the reading, but Green was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""UG"",""share"":0.045,""reason"":""Simic Combine stayed close through transformative cost, organic growth, natural patience.""},{""identity"":""QUANDRIX"",""share"":0.035,""reason"":""Quandrix College stayed close through adaptive release, calculated implication, transformative cost.""}]","[""Azusa, Lost but Seeking"",""Selvala, Heart of the Wilds"",""Goreclaw, Terror of Qal Sisma""]","[""G""]","[""ABZAN"",""B"",""BANT"",""BG"",""BR""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
GLINT,"[""adaptive"",""appetite"",""volatility"",""living force"",""improvisation"",""four-color"",""without White"",""missing-White"",""Blue adaptation"",""Black appetite"",""Red ignition"",""Green living force"",""cascade"",""maelstrom"",""unlicensed"",""civic restraint""]",BR,Nearest current numeric competitor BR; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_self_claim"",""title"":""The claim no one can make for me""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_wild_release"",""title"":""A wild release""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_whole_chord"",""title"":""The whole chord""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_transform"",""title"":""Become the changed thing""},{""stage"":""hall"",""question_id"":""hall_GLINT_living_force"",""answer_id"":""MISSING:hall_GLINT_living_force#answer-1"",""title"":""Keep the living pressure learning""},{""stage"":""hall"",""question_id"":""hall_GLINT_missing_white"",""answer_id"":""MISSING:hall_GLINT_missing_white#answer-1"",""title"":""It refuses civic restraint""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_GLINT_living_force"",""hall:hall_GLINT_missing_white""]",GLINT,BR,BG,0.859,true,true,5,UNRESOLVED: guardrail is free text and has no executable predicate,"Glint / Chaos recognizes the shape of your game as The Storm-Fed Opportunist. Your answers repeatedly expressed transformative cost and living force under pressure rather than generic chaos. Cult of Rakdos stayed near the reading, but Glint / Chaos was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""BR"",""share"":0.018,""reason"":""Cult of Rakdos stayed close through self-authored agency, adaptive release, balanced chord.""},{""identity"":""BG"",""share"":0.014,""reason"":""Golgari Swarm stayed close through adaptive release, balanced chord, transformative cost.""}]","[""Yidris, Maelstrom Wielder"",""Entropic Uprising (Precon)""]","[""GLINT""]","[""ABZAN"",""BANT"",""BG"",""COLORLESS"",""DUNE""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
