id,faction,color_pair,card_name,set_context,type_line,color_identity,canonical_basis,confidence,mechanic_or_theme,translation_function,orzhov_axis,structural_role,narrative_read,animation_motif,tags,source_url
ORZ-001,Orzhov Syndicate,white-black,Absolver Thrull,Guildpact,Creature — Thrull Cleric,{W},Orzhov-watermarked haunt creature,strong,Haunt + enchantment removal,Detain,Absolution Enforcement,Removes binding enchantments while carrying obligation beyond death.,The absolver does not end a debt; it moves the debt into a cleaner ledger.,white-gold censer smoke binding a ghostly contract,"haunt, thrull, clergy, removal, obligation",https://scryfall.com/search?q=%21%22Absolver%20Thrull%22
ORZ-002,Orzhov Syndicate,white-black,Agent of Masks,Guildpact,Creature — Human Advisor,{W}{B},Orzhov-watermarked extortion advisor,strong,Each upkeep drains each opponent,AccretionEngine,Quiet Taxation,Applies unavoidable recurring life drain as institutional pressure.,The mask smiles while every room quietly pays rent to breathe.,masked official collecting black-gold life coins,"drain, advisor, tax, inevitability",https://scryfall.com/search?q=%21%22Agent%20of%20Masks%22
ORZ-003,Orzhov Syndicate,white-black,Angel of Despair,Guildpact,Creature — Angel,{W}{B},Iconic Orzhov-watermarked removal angel,strong,ETB destroy permanent,Override,Divine Repossession,Turns sacred authority into absolute asset seizure.,The angel arrives like a court order from heaven and the permanent is simply no longer yours.,black-winged angel stamping a glowing writ over a shattered permanent,"angel, destroy, permanent, authority",https://scryfall.com/search?q=%21%22Angel%20of%20Despair%22
ORZ-004,Orzhov Syndicate,white-black,Belfry Spirit,Guildpact,Creature — Spirit,{W},Orzhov-watermarked haunt token card,strong,Haunt + Spirit token creation,AccretionEngine,Ghostly Labor,"Creates bodies, then continues producing value after death.",Even the bell tower has employees who remain on payroll after dying.,church bells releasing pale spirits with coin halos,"haunt, tokens, spirits, afterlife",https://scryfall.com/search?q=%21%22Belfry%20Spirit%22
ORZ-005,Orzhov Syndicate,white-black,Benediction of Moons,Guildpact,Sorcery,{W},Orzhov-watermarked life gain spell,supported,Life gain scaled by players,AccretionEngine,Public Benediction,Converts the crowd itself into stabilizing resource.,"A blessing is offered publicly, but the ledger records who benefited.","twin moons over a basilica, white-black light pooling into chalices","lifegain, blessing, church, crowd",https://scryfall.com/search?q=%21%22Benediction%20of%20Moons%22
ORZ-006,Orzhov Syndicate,white-black,Blind Hunter,Guildpact,Creature — Bat,{W}{B},Orzhov-watermarked haunt drain creature,strong,ETB drain + haunt repeats drain,AccretionEngine,Predatory Collection,"Collects life twice: once in body, again as haunting claim.","The hunter bites once, dies, and then the debt keeps flapping.",blind bat trailing a spectral invoice,"drain, haunt, bat, life swing",https://scryfall.com/search?q=%21%22Blind%20Hunter%22
ORZ-007,Orzhov Syndicate,white-black,Castigate,Guildpact,Sorcery,{W}{B},Orzhov-watermarked hand exile spell,strong,Reveal hand + exile nonland card,Override,Confession Extraction,Transforms private intent into admissible evidence and removes it.,The target confesses before knowing the confession has already been sentenced.,"confessional booth opening onto a hand of cards, one sealed in gold wax","discard, exile, hand knowledge, guilt",https://scryfall.com/search?q=%21%22Castigate%22
ORZ-008,Orzhov Syndicate,white-black,Culling Sun,Guildpact,Sorcery,{W}{B},Orzhov-watermarked board control spell,strong,Destroy small creatures,ConstraintField,Selective Purge,Erases low-status bodies while preserving larger power structures.,The sun does not shine equally; it audits the weak first.,black-white eclipse washing small silhouettes from marble steps,"sweeper, hierarchy, small creatures",https://scryfall.com/search?q=%21%22Culling%20Sun%22
ORZ-009,Orzhov Syndicate,white-black,Debtors' Knell,Guildpact,Enchantment,{W/B}{W/B}{W/B},Orzhov-watermarked resurrection engine,strong,Recurring upkeep reanimation,AccretionEngine,Debt Recursion,Turns graveyards into a repeatable labor pool under Orzhov authority.,Death is not retirement; it is a new repayment plan.,cathedral bell tolling as graveyard cards rise on gold chains,"reanimation, debt, enchantment, inevitability",https://scryfall.com/search?q=%21%22Debtors%27%20Knell%22
ORZ-010,Orzhov Syndicate,white-black,Ghost Council of Orzhova,Guildpact,Legendary Creature — Spirit,{W}{B},Original Orzhov guild leadership card,strong,Drain + sacrifice/flicker protection,AccretionEngine,Deathless Governance,Uses expendable bodies to preserve immortal ruling power.,The council survives every scandal by feeding someone else to the process.,"four spectral faces behind a church ledger, coins orbiting","legendary, drain, sacrifice, ghost council",https://scryfall.com/search?q=%21%22Ghost%20Council%20of%20Orzhova%22
ORZ-011,Orzhov Syndicate,white-black,Graven Dominator,Guildpact,Creature — Gargoyle,{W}{B},Orzhov-watermarked hierarchy creature,supported,Sets creatures to 1/1 temporarily,ConstraintField,Status Reduction,Temporarily equalizes bodies downward so the system can dominate.,The gargoyle does not kill the crowd; it makes everyone small enough to manage.,gargoyle shadow flattening creatures into stamped silhouettes,"gargoyle, debuff, hierarchy",https://scryfall.com/search?q=%21%22Graven%20Dominator%22
ORZ-012,Orzhov Syndicate,white-black,Hissing Miasma,Guildpact,Enchantment,{B},Orzhov-watermarked attack tax card,strong,Attackers cost life,ConstraintField,Toll Barrier,Turns aggression into a mandatory payment.,"You may cross Orzhov territory, but the air itself charges admission.",black fog with coin-shaped teeth around attacking figures,"attack tax, prison, life loss",https://scryfall.com/search?q=%21%22Hissing%20Miasma%22
ORZ-013,Orzhov Syndicate,white-black,Mourning Thrull,Guildpact,Creature — Thrull,{W/B},Orzhov-watermarked lifelink thrull,strong,Flying + lifelink,AccretionEngine,Minor Collection Agent,Converts small evasive contact into stabilizing life.,The smallest servant can still return value to the house.,tiny winged thrull carrying a tear-shaped coin,"lifelink, flying, thrull, incremental value",https://scryfall.com/search?q=%21%22Mourning%20Thrull%22
