evidence_family,permitted_use,role_classification,explanation
CRIT-001,identity definitions,DIRECT-AUTHORITY,"Certified identity definitions and reviewed boundaries only; does not by itself validate questionnaire effects or player prevalence. For identity definitions, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CRIT-001,question wording,DIRECT-AUTHORITY,"Certified identity definitions and reviewed boundaries only; does not by itself validate questionnaire effects or player prevalence. For question wording, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CRIT-001,answer wording,DIRECT-AUTHORITY,"Certified identity definitions and reviewed boundaries only; does not by itself validate questionnaire effects or player prevalence. For answer wording, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CRIT-001,positive scoring,DIRECT-AUTHORITY,"Certified identity definitions and reviewed boundaries only; does not by itself validate questionnaire effects or player prevalence. For positive scoring, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CRIT-001,negative scoring,DIRECT-AUTHORITY,"Certified identity definitions and reviewed boundaries only; does not by itself validate questionnaire effects or player prevalence. For negative scoring, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CRIT-001,branching,DIRECT-AUTHORITY,"Certified identity definitions and reviewed boundaries only; does not by itself validate questionnaire effects or player prevalence. For branching, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CRIT-001,tie handling,DIRECT-AUTHORITY,"Certified identity definitions and reviewed boundaries only; does not by itself validate questionnaire effects or player prevalence. For tie handling, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CRIT-001,confidence,DIRECT-AUTHORITY,"Certified identity definitions and reviewed boundaries only; does not by itself validate questionnaire effects or player prevalence. For confidence, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CRIT-001,adjacency,DIRECT-AUTHORITY,"Certified identity definitions and reviewed boundaries only; does not by itself validate questionnaire effects or player prevalence. For adjacency, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CRIT-001,placement explanations,DIRECT-AUTHORITY,"Certified identity definitions and reviewed boundaries only; does not by itself validate questionnaire effects or player prevalence. For placement explanations, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CRIT-001,Commander recommendations,DIRECT-AUTHORITY,"Certified identity definitions and reviewed boundaries only; does not by itself validate questionnaire effects or player prevalence. For Commander recommendations, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CRIT-001,Strategium routing,DIRECT-AUTHORITY,"Certified identity definitions and reviewed boundaries only; does not by itself validate questionnaire effects or player prevalence. For Strategium routing, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CRIT-001,Maze handoffs,DIRECT-AUTHORITY,"Certified identity definitions and reviewed boundaries only; does not by itself validate questionnaire effects or player prevalence. For Maze handoffs, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
