matrix_id,card_name,mana_value,color_identity,type_line,set_context,canonical_tier,mechanical_role,primary_signal,secondary_signal,instinct_axis,combat_axis,resource_axis,board_axis,commander_relevance,vox_mana_read,maze_query_seed,why_canonical,source_url
GRU-001,Borborygmos,7,R/G,Legendary Creature — Cyclops,Guildpact,guild-core,clan parun / massive combat body,force as governance,the biggest voice becomes law,instinct over institution,large attacking creature,mana converted into body mass,single enormous threat,medium,The clan does not debate the mountain; it follows the thing that can move it.,ci=gruul commander pow>=6 o:trample,Original Gruul parun and mythic-scale embodiment of clan force.,https://scryfall.com/search?q=%21%22Borborygmos%22
GRU-002,Borborygmos Enraged,8,R/G,Legendary Creature — Cyclops,Gatecrash,guild-core,land-to-damage engine / trampling commander,terrain becomes ammunition,every drawn land can become a thrown boulder,rage weaponizes landscape,trample pressure plus direct damage,lands become reach,single threat with removal reach,high,Even the ground is not passive when Gruul anger picks it up.,ci=gruul commander o:discard o:land o:damage,Signature Gruul commander turning lands and combat damage into destructive reach.,https://scryfall.com/search?q=%21%22Borborygmos%20Enraged%22
GRU-003,"Ruric Thar, the Unbowed",6,R/G,Legendary Creature — Ogre Warrior,Dragon's Maze,guild-core,anti-spell punishment / forced combat,"talk less, bleed more",noncreature plans become self-harm,instinct punishes abstraction,must attack each combat if able,creature-first construction,taxes spell-heavy boards,very high,Every clever plan pays a blood toll before it gets to matter.,ci=gruul commander o:noncreature o:damage o:attack,Iconic Gruul maze runner; clean anti-control and creature-combat identity.,https://scryfall.com/search?q=%21%22Ruric%20Thar%2C%20the%20Unbowed%22
GRU-004,Nikya of the Old Ways,5,R/G,Legendary Creature — Centaur Druid,Ravnica Allegiance,guild-core,creature-only mana amplification,old ways reject spellcraft,mana doubles when the deck commits to bodies,instinct refuses abstraction,creatures are the plan,mana becomes creature velocity,ramps into huge combat states,high,Power comes when the deck stops asking permission from anything that is not alive.,ci=gruul commander o:mana o:creature -o:noncreature,Ravnica Allegiance Gruul leader representing anti-spell creature primacy.,https://scryfall.com/search?q=%21%22Nikya%20of%20the%20Old%20Ways%22
GRU-005,Domri Rade,3,R/G,Legendary Planeswalker — Domri,Gatecrash,guild-core,creature advantage / fight / emblem pressure,"the riot has a tactician, barely",cards and fights both favor creature density,impulse finds bodies,fight converts bodies to answers,creatures as hand and removal,combat-based interaction,medium,Gruul card advantage is not study; it is finding the next thing willing to charge.,ci=gruul o:creature o:fight planeswalker,First Domri card; aligns Gruul with creature density and fight removal.,https://scryfall.com/search?q=%21%22Domri%20Rade%22
GRU-006,"Domri, Chaos Bringer",4,R/G,Legendary Planeswalker — Domri,Ravnica Allegiance,guild-core,riot/ramp/creature selection,chaos becomes acceleration,mana and riot turn the next body into immediate pressure,impulse fuels choice,riot grants haste or counters,mana accelerates threat deployment,tempo into threat chaining,medium,The crowd does not wait for a plan when the next monster can arrive angry.,ci=gruul o:riot o:creature o:mana,Ravnica Allegiance Domri directly references riot and creature acceleration.,https://scryfall.com/search?q=%21%22Domri%2C%20Chaos%20Bringer%22
GRU-007,"Domri, Anarch of Bolas",3,R/G,Legendary Planeswalker — Domri,War of the Spark,guild-core,creature anthem / mana / fight,anarchy makes bodies louder,every creature enters with more force and fewer questions,anti-control instinct,fight enforces hierarchy,mana supports creature deployment,anthem plus removal pressure,medium,The strongest argument in the room is the one that survives the fight.,ci=gruul o:creature o:fight o:mana,"Domri's War of the Spark card is a compact Gruul package: mana, creature boost, fight.",https://scryfall.com/search?q=%21%22Domri%2C%20Anarch%20of%20Bolas%22
GRU-008,Rhythm of the Wild,3,R/G,Enchantment,Ravnica Allegiance,guild-core,anti-counterspell riot enabler,the wild refuses to be denied,creatures either arrive bigger or arrive now,freedom from control,riot converts entry into choice,creature deployment protection,threat velocity and resilience,high,Gruul does not ask if the creature resolves; it asks whether it hits now or hits harder later.,ci=gruul o:riot o:countered o:haste,Riot support card and classic Gruul anti-control enchantment.,https://scryfall.com/search?q=%21%22Rhythm%20of%20the%20Wild%22
GRU-009,Gruul Spellbreaker,3,R/G,Creature — Ogre Warrior,Ravnica Allegiance,guild-core,riot threat / hexproof protection,the riot refuses legal targeting,haste or size is chosen at entry,choice under pressure,riot attack trigger,efficient pressure,protective combat posture,high,A Gruul answer to control is a body that arrives before the rules can catch it.,ci=gruul o:riot o:hexproof o:attack,Featured example for riot in Ravnica Allegiance and a defining efficient Gruul threat.,https://scryfall.com/search?q=%21%22Gruul%20Spellbreaker%22
GRU-010,Ravager Wurm,6,R/G,Creature — Wurm,Ravnica Allegiance,guild-core,riot finisher / fight or land destruction,arrival is an impact event,"the creature chooses speed or size, then removes an obstacle",instinct destroys blockers,riot into fight pressure,large body plus utility removal,removes creature or land,medium,"When a Gruul finisher enters, something in the way stops being in the way.",ci=gruul o:riot (o:fight OR o:land),Ravnica Allegiance Gruul rare that ties riot to obstacle removal.,https://scryfall.com/search?q=%21%22Ravager%20Wurm%22
