answer_id	question_id	construct_id	stage	review_disposition	construct_fidelity	scenario_fit	option_distinguishability	compound_construct_risk	desirability_or_skill_bias	identity_giveaway_risk	novice_clarity	title_sentence_alignment	observation_alignment	primary_signal_alignment	secondary_signal_alignment	dependency_alignment	exclusion_quality	evidence_authority	jargon_issue	limitation_quality	recommended_action	rationale	owner_review_required
b1.gate.initiative.v1.advance	b1.gate.initiative.v1	C01	Gate	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C01; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.gate.initiative.v1.balance	b1.gate.initiative.v1	C01	Gate	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C01; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.gate.initiative.v1.respond	b1.gate.initiative.v1	C01	Gate	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C01; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.gate.initiative.v1.unsure	b1.gate.initiative.v1	C01	Gate	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C01; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.gate.visibility.v1.board	b1.gate.visibility.v1	C02	Gate	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers visible battlefield resources.' is bounded to C02 and maps to SIG_C02_VISIBLE.	NO
b1.gate.visibility.v1.held	b1.gate.visibility.v1	C02	Gate	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers held or less visible resources.' is bounded to C02 and maps to SIG_C02_HELD.	NO
b1.gate.visibility.v1.split	b1.gate.visibility.v1	C02	Gate	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers a mixed visible/held position.' is bounded to C02 and maps to SIG_C02_MIXED.	NO
b1.gate.visibility.v1.depends	b1.gate.visibility.v1	C02	Gate	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C02; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.gate.disruption.v1.protect	b1.gate.disruption.v1	C03	Gate	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers protection before broad disruption.' is bounded to C03 and maps to SIG_C03_PROTECT.	NO
b1.gate.disruption.v1.recover	b1.gate.disruption.v1	C03	Gate	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers recovery after broad disruption.' is bounded to C03 and maps to SIG_C03_RECOVER.	NO
