question_id	stage	construct_id	current_prompt	commander_situation	cecos_source_refs	source_observation_refs	source_role	direct_player_support	contradiction_or_variation	corpus_support_summary	player_language_fit	commander_recognizability	novice_clarity	experienced_player_depth	answer_distinguishability	identity_giveaway_risk	clinical_or_generic_risk	edhmatch_clarity_comparison	product_fit_disposition	proposed_change	reason	owner_review_required
b1.gate.initiative.v1	Gate	C01	Your turn begins, no urgent threat needs an answer, and you have enough mana to act. What feels best?	An open turn with a choice between advancing and reserving an answer	MANUAL_REFINED | YT-new-new-commander-brackets-refined-player-evidence.md | Players want everyone to try to win but disagree about when pressure is considerate	MANUAL_REFINED | YT-new-new-commander-brackets-refined-player-evidence.md | Players want everyone to try to win but disagree about when pressure is considerate; YOUTUBE_REFINED | YT-commander-clash-archetypes-refined-player-evidence.md | Midrange role and interaction tensions	MIXED	DIRECT-CONDITIONAL	Players vary by deck, table, and present role; the unsure answer appropriately limits inference	Commander sources recognize proactive development versus restraint, but not as a fixed personality	MODERATE	STRONG	STRONG	STRONG	STRONG	LOW	MODERATE	Slightly less immediate because “normal turn” is abstract	OWNER_APPROVED_TUNE_APPLIED	Your turn begins, no urgent threat needs an answer, and you have enough mana to act. What feels best?	Names the actionable Commander state without changing C01 or answer meanings	NO
b1.gate.visibility.v1	Gate	C02	As play comes back around to you, which position usually feels more comfortable?	A visible battlefield compared with cards, mana, and other resources held back	MANUAL_REFINED | YT-the-last-video-on-commander-threat-assessment-refined-player-evidence.md | Visible boards are easier to evaluate than hidden resources	MANUAL_REFINED | YT-the-last-video-on-commander-threat-assessment-refined-player-evidence.md | Visible boards are easier to evaluate than hidden resources; MANUAL_REFINED | YT-the-last-video-on-commander-threat-assessment-refined-player-evidence.md | Self-presentation changes survival	MIXED	DIRECT	Visible and hidden threats are assessed differently; either can be stronger in context	The scenario is repeatedly recognizable in threat-assessment discussion and avoids claiming actual threat level	STRONG	STRONG	STRONG	STRONG	STRONG	LOW	LOW	Equally immediate while preserving less transparent result coding	KEEP	NONE	The prompt is concrete once the existing board/permanent help appears	NO
b1.gate.disruption.v1	Gate	C03	A board wipe—an effect that removes many cards and tokens from the battlefield—is likely next turn. What would you rather have prepared?	Preparing protection, recovery, or reduced exposure before broad removal	MANUAL_REFINED | YT-command-zone-your-commander-may-be-the-problem-refined-player-evidence.md | Players want consistency without commander dependence	MANUAL_REFINED | YT-command-zone-your-commander-may-be-the-problem-refined-player-evidence.md | Players want consistency without commander dependence; MANUAL_REFINED | YT-how-to-find-the-right-commander-refined-player-evidence.md | Commander-centered does not mean no redundancy	MIXED	DIRECT-CONDITIONAL	Protection, recovery, and resilience tradeoffs depend on commander reliance and deck structure	Board-wipe resilience is familiar, the jargon is defined inline, and no answer is universally best	STRONG	STRONG	STRONG	STRONG	STRONG	LOW	LOW	More concrete and behaviorally useful than a broad emotional scenario	KEEP	NONE	Already provides atmosphere plus plain behavioral clarity	NO
b1.gate.tempo.v1	Gate	C04	When your Commander deck is doing what you built it to do, how do you want the advantage to arrive?	Incremental gains, one concentrated turn, or several surges	MANUAL_REFINED | YT-edhrecast-real-reason-commander-players-hate-combo-refined-player-evidence.md | Setup time versus play time affects tolerance	MANUAL_REFINED | YT-edhrecast-real-reason-commander-players-hate-combo-refined-player-evidence.md | Setup time versus play time affects tolerance; MANUAL_REFINED | YT-new-new-commander-brackets-refined-player-evidence.md | Players want longer games but not necessarily passive games	MIXED	DIRECT-CONDITIONAL	Players distinguish incremental play, setup, explosive payoff, and active game length; preferences vary by deck	The construct is real, but “working” is generic product language	MODERATE	MODERATE	STRONG	STRONG	STRONG	LOW	MODERATE	Comparable clarity after one Commander-specific noun	OWNER_APPROVED_TUNE_APPLIED	When your Commander deck is doing what you built it to do, how do you want the advantage to arrive?	Anchors the same C04 rhythm in deck intention without adding archetype or power assumptions	NO
b1.hall.commander-role.v1	Hall	C05	If your commander is removed twice, what should the rest of the deck still be able to do?	Repeated commander removal tests whether the 99 functions independently	MANUAL_REFINED | YT-how-to-find-the-right-commander-refined-player-evidence.md | Commander removal can make the deck feel unplayable	MANUAL_REFINED | YT-how-to-find-the-right-commander-refined-player-evidence.md | Commander as optional gas feels better; MANUAL_REFINED | YT-how-to-find-the-right-commander-refined-player-evidence.md | Top-down linchpin commanders create binary games	MIXED	DIRECT	Players also accept protection-heavy commander dependency as a deliberate tradeoff	This is one of the corpus's clearest Commander-native role distinctions	STRONG	STRONG	STRONG	STRONG	STRONG	LOW	LOW	More Commander-specific and diagnostic than a player-type choice	KEEP	NONE	Prompt directly observes commander reliance without moralizing resilience	NO
b1.hall.engine-shape.v1	Hall	C06	When a card that repeatedly helps your deck is removed, what do you want the rest of the deck to have behind it?	Redundant cards, overlapping engines, or one defended center after disruption	MANUAL_REFINED | YT-how-to-find-the-right-commander-refined-player-evidence.md | Commander-centered does not mean no redundancy	MANUAL_REFINED | YT-how-to-find-the-right-commander-refined-player-evidence.md | Backup commanders in the 99 provide resilience; MANUAL_REFINED | YT-command-zone-your-commander-may-be-the-problem-refined-player-evidence.md | Feast-or-famine commanders create repeated non-games	MIXED	DIRECT-CONDITIONAL	Players value both resilient overlap and intentional centerpiece dependence	The answer explanations make the engine terminology behaviorally legible	STRONG	STRONG	MODERATE	STRONG	STRONG	LOW	LOW	More precise than a general “engine builder” self-label	OWNER_REMEDIATION_APPLIED	When a card that repeatedly helps your deck is removed, what do you want the rest of the deck to have behind it?	Hands-on owner review superseded the prior KEEP judgment; the remediated wording and help preserve C06 while improving novice comprehension.	NO
b1.hall.pressure.v1	Hall	C07	Which kind of progress makes your deck feel like it’s doing its job?	Combat pressure, narrowing opponents' resources, or assembling a noncombat ending	YOUTUBE_REFINED | YT-commander-clash-archetypes-refined-player-evidence.md | Archetype assignment does not guarantee archetype demonstration	YOUTUBE_REFINED | YT-commander-clash-archetypes-refined-player-evidence.md | A player can retain a preferred victory method after another path opens; MANUAL_REFINED | YT-new-new-commander-brackets-refined-player-evidence.md | Voltron’s sequential kills do not map cleanly to full-game timing	MIXED	DIRECT-CONDITIONAL	Hybrid decks and changing roles mean the answers describe preferred progress, not a pure archetype	Three recognizable progress shapes remain distinct without naming factions	STRONG	STRONG	STRONG	STRONG	STRONG	LOW	LOW	More actionable than asking which broad style sounds appealing	OWNER_REMEDIATION_APPLIED	Which kind of progress makes your deck feel like it’s doing its job?	Hands-on owner review superseded the prior KEEP judgment; the remediated wording and help preserve C07 while improving novice comprehension.	NO
b1.hall.mana-window.v1	Hall	C08	If you can either spend most of your mana advancing your own plan or keep it available to answer opponents, which do you prefer?	Tap out to develop, hold mana for opponents, or split resources	MANUAL_REFINED | YT-edhrecast-real-reason-commander-players-hate-combo-refined-player-evidence.md | Interaction windows determine perceived fairness	MANUAL_REFINED | YT-edhrecast-real-reason-commander-players-hate-combo-refined-player-evidence.md | Interaction windows determine perceived fairness; MANUAL_REFINED | YT-new-new-commander-brackets-refined-player-evidence.md | Interaction density changes perceived power and fairness	MIXED	DIRECT-CONDITIONAL	Color access, table pace, and deck role alter the available interaction window	Natural Commander language with a genuinely mixed answer	STRONG	STRONG	STRONG	STRONG	STRONG	LOW	LOW	At least as clear while yielding a bounded observation	OWNER_REMEDIATION_APPLIED	If you can either spend most of your mana advancing your own plan or keep it available to answer opponents, which do you prefer?	Hands-on owner review superseded the prior KEEP judgment; the remediated wording and help preserve C08 while improving novice comprehension.	NO
b1.hall.repeatability.v1	Hall	C09	Across several games with the same deck, how much do you want the path to your main plan to repeat?	Repeat a central plan, vary the route, or keep the plan while changing tools	MANUAL_REFINED | YT-the-case-against-tutors-refined-player-evidence.md | Intentional variance over consistency	MANUAL_REFINED | YT-the-case-against-tutors-refined-player-evidence.md | Intentional variance over consistency; MANUAL_REFINED | YT-the-case-against-tutors-refined-player-evidence.md | Toolbox over combo; MANUAL_REFINED | YT-command-zone-your-commander-may-be-the-problem-refined-player-evidence.md | Variety can be preferred even when it reduces focused strength	MIXED	DIRECT	Players value consistency, intentional variance, or toolbox access for different reasons	The repeated-games frame prevents one unusual game from standing in for preference	STRONG	STRONG	STRONG	STRONG	STRONG	LOW	LOW	More nuanced than a fixed “consistency” type answer	OWNER_REMEDIATION_APPLIED	Across several games with the same deck, how much do you want the path to your main plan to repeat?	Hands-on owner review superseded the prior KEEP judgment; the remediated wording and help preserve C09 while improving novice comprehension.	NO
b1.hall.theme.v1	Hall	C10	For one deck slot, assume you can’t get both: one card fits your theme better, while another does the same job more reliably. Which do you keep?	Theme loyalty compared with functional reliability for the same deck role	MANUAL_REFINED | YT-crim-loans-me-his-casual-commander-deck-refined-player-evidence.md | Theme creates ownership	MANUAL_REFINED | YT-crim-loans-me-his-casual-commander-deck-refined-player-evidence.md | Creative expression outweighs optimization; MANUAL_REFINED | YT-new-new-commander-brackets-refined-player-evidence.md | Theme does not reliably predict weakness	MIXED	DIRECT-CONDITIONAL	Players preserve theme, optimize, or condition the choice on the performance gap	The same-job premise isolates theme versus reliability from deck function	STRONG	STRONG	STRONG	STRONG	STRONG	LOW	LOW	Clearer than a self-label about flavor or optimization	OWNER_REMEDIATION_APPLIED	For one deck slot, assume you can’t get both: one card fits your theme better, while another does the same job more reliably. Which do you keep?	Hands-on owner review superseded the prior KEEP judgment; the remediated wording and help preserve C10 while improving novice comprehension.	NO
b1.hall.threat.v1	Hall	C11	If your board becomes the clearest threat, how do you want the deck to handle that attention?	Embrace archenemy pressure, avoid leading, or pivot as attention changes	MANUAL_REFINED | YT-the-last-video-on-commander-threat-assessment-refined-player-evidence.md | Self-presentation changes survival	MANUAL_REFINED | YT-the-last-video-on-commander-threat-assessment-refined-player-evidence.md | Self-presentation changes survival; YOUTUBE_REFINED | YT-commander-clash-archetypes-refined-player-evidence.md | A turn-zero threat can create an archenemy role before anyone takes a turn	MIXED	DIRECT-CONDITIONAL	Reputation, unfamiliar strategies, and board trajectory can change attention independently of actual strength	Archenemy pressure is recognizable without assuming the deck deserves targeting	STRONG	STRONG	STRONG	STRONG	STRONG	LOW	LOW	More Commander-specific than generic risk tolerance	KEEP	NONE	The prompt cleanly separates desired posture from actual threat assessment	NO
