jargon_id	term	jargon_class	canonical_public_definition	authority_type	authority_reference	rule_or_section	question_ids	validation_status	notes
JRG_BOARD	board	COMMUNITY_STANDARD	Board means the cards and tokens on the battlefield.	COMMITTED_PLAYER_LANGUAGE	E-PLAYER-PACE;E-PLAYER-THREAT	Not a Comprehensive Rules definition; compare rules 110.1 and 403.1	b1.gate.visibility.v1;b1.gate.disruption.v1;b1.hall.pressure.v1;b1.hall.threat.v1;b1.hall.sacrifice.v1;b1.hall.commitment.v1;b1.crucible.sultai.v1;b1.crucible.temur.v1;b1.crucible.glint-dune.v1;b1.crucible.dune-ink.v1	ACTIVE	Player-facing Commander shorthand; never present as a quoted rules definition.
JRG_BOARD_WIPE	board wipe	COMMUNITY_STANDARD	Board wipe means an effect that removes many cards and tokens from the battlefield.	COMMITTED_PLAYER_LANGUAGE	E-PLAYER-PACE;E-PLAYER-COMMANDER	Not a Comprehensive Rules definition	b1.gate.disruption.v1	ACTIVE	Effect is broader than spell and removal is not limited to destruction.
JRG_ENGINE	engine	COMMUNITY_STANDARD	Engine means a card or group of cards that repeatedly produces value.	COMMITTED_PLAYER_LANGUAGE	E-PLAYER-COMMANDER;E-PLAYER-VARIANCE	Not a Comprehensive Rules definition	b1.hall.engine-shape.v1;b1.hall.pressure.v1;b1.crucible.ur.v1;b1.crucible.ug.v1;b1.crucible.temur.v1;b1.crucible.esper.v1;b1.crucible.yore-glint.v1;b1.crucible.witch-yore.v1	ACTIVE	Owner-approved canonical operational explanation for C06 and related scenarios.
JRG_INTERACTION	interaction	COMMUNITY_STANDARD	Interaction means an answer to another player's spell, ability, attack, or permanent.	COMMITTED_PLAYER_LANGUAGE	E-PLAYER-PACE;E-PLAYER-THREAT	Not a Comprehensive Rules definition; constituent rules terms are covered by rules 110, 112, 113, and 508	b1.hall.mana-window.v1;b1.hall.interaction-window.v1;b1.crucible.grixis.v1;b1.crucible.jeskai.v1	ACTIVE	Intentionally includes multiple relevant response windows.
JRG_TABLE_DEAL	table deal	COMMUNITY_STANDARD	Table deal means a spoken agreement between players.	COMMITTED_PLAYER_LANGUAGE	E-PLAYER-PACE;E-PLAYER-THREAT	Not a Comprehensive Rules definition	b1.hall.commitment.v1;b1.crucible.wb.v1	ACTIVE	No implication about honesty, morality, or enforceability.
JRG_SPELL_HEAVY	spell-heavy	COMMUNITY_STANDARD	Spell-heavy means instants or sorceries are central to the deck.	COMMITTED_PLAYER_LANGUAGE	E-PLAYER-PACE;E-PLAYER-THEME	Not a Comprehensive Rules definition; instants rule 304 and sorceries rule 307	b1.crucible.ur.v1	ACTIVE	Deckbuilding shorthand, not a formal archetype assignment.
JRG_FIVE_COLOR	Five-Color	COMMUNITY_STANDARD	Five-Color uses all five colors in the commander's color identity.	OFFICIAL_COMMANDER_FORMAT_PLUS_PLAYER_LABEL	https://magic.wizards.com/en/formats/commander	Commander format Color Identity; Comprehensive Rules 903.4 and 903.5c	b1.crucible.colorless-wubrg.v1	ACTIVE	Five-Color is a player-facing label; color identity is rules-defined.
JRG_COLOR_COUNT	color count	COMMUNITY_STANDARD	Here, color count means the number of colors in the commander's color identity.	ARCHSCRY_OPERATION_OVER_RULES_TERM	https://media.wizards.com/2026/downloads/MagicCompRules%2020260807.txt	Comprehensive Rules 903.4	b1.crucible.mono-multi.v1	ACTIVE	The operational count is boundary evidence only.
JRG_PERMANENT	permanent	RULES_DEFINED	Permanent means a card or token on the battlefield.	OFFICIAL_WOTC_COMPREHENSIVE_RULES	https://media.wizards.com/2026/downloads/MagicCompRules%2020260807.txt	110.1	b1.gate.visibility.v1;b1.hall.sacrifice.v1;b1.crucible.wr.v1;b1.crucible.esper.v1	VERIFIED	Wizards of the Coast Magic Comprehensive Rules; accessed 2026-08-04; published file effective 2026-08-07
JRG_GRAVEYARD	graveyard	RULES_DEFINED	A graveyard is a player's discard pile.	OFFICIAL_WOTC_COMPREHENSIVE_RULES	https://media.wizards.com/2026/downloads/MagicCompRules%2020260807.txt	404.1	b1.gate.disruption.v1;b1.crucible.bg.v1	VERIFIED	Wizards of the Coast Magic Comprehensive Rules; accessed 2026-08-04; published file effective 2026-08-07
