card,mechanics,agency,ethic,energy,form,durability,propagation,archetype,visual_token,narrative_tag
"Aurelia, the Warleader",ExtraCombat;Radiance;LeadershipAura,Collective,Protective,TemporalMultiplication,Regimented,High,Radial,Paladin,double-pulse spear + halo,action begets righteous action
Boros Charm,Modal:Indestructible;DamageRedirect;Boost,Individual/Collective,Protective,Burst,Flexible,HardinessFlag,Local,Paladin,shield with emergency flare,virtue endures
Sunhome Guildmage,TokenCreation;TeamPump,Collective,Protective,Sustained,Regimented,Moderate,FieldGenerator,Drill Sergeant,stacked banners + ember,structure breeds zeal
Boros Reckoner,ConditionalDamage;Scaling,Individual,Judgment,CalibratedRage,Compact,Moderate,Targeted,Reckoner,calibrated scales + ember spark,anger with purpose
Firemane Avenger,CombatTriggerDamage;Vengeance,Individual,Retribution,Burst,Focused,Moderate,Targeted,Vanguard,burning gauntlet,retribution purifies
"Razia, Boros Archangel",GuardianAura;ProtectionTrigger,Collective,Protective,Sustained,Hierarchical,High,Local,Paladin,winged shield,the innocent must be protected
Boros Guildmage,FlexiblePump;TokenSupport,Collective,Protective,Sustained,Regimented,Moderate,Local,Drill Sergeant,guild sigil + torch,order enforced by skill
Boros Elite,FirstStrike;CombatBoost,Individual,Protective,Burst,Formation,Low,Local,Vanguard,spear + chevron,trained to strike first
Boros Keyrune,ManaFix;ArtifactBuff,Individual,Utility,Sustained,Compact,High,Local,Support,keyrune + ember,a small engine of order
Skyknight Legionnaire,Flying;BattalionSynergy,Collective,Protective,Momentum,Regimented,Low,Local,Vanguard,winged spear,formation takes to the skies
Legion's Initiative,MassPump;CombatTrigger,Collective,Protective,Momentum,Regimented,Moderate,FieldGenerator,Paladin,banner + pulse,initiative rallies the legion
Boros Swiftblade,Haste;Mentor,Individual,Protective,Burst,Skirmish,Low,Local,Vanguard,flashing blade,"swift action, guided by leaders"
Sunhome Enforcer,DefenderAura;TokenSupport,Collective,Protective,Sustained,Regimented,High,FieldGenerator,Paladin,fortress shield,defense creates strength
Boros Recruit,TokenSpawn;SacrificeSynergy,Collective,Protective,Sustained,Regimented,Low,Local,Drill Sergeant,recruit token + pennant,new blood fuels the line
Boros Banneret,Anthem;TeamBuff,Collective,Protective,Sustained,Regimented,Moderate,FieldGenerator,Paladin,banner + ember,"where banners rise, strength follows"
Sunhome Guard,Vigilance;AuraBuff,Collective,Protective,Sustained,Hierarchical,High,Local,Paladin,guard tower + glow,watchful order
Boros Lancer,Charge;BattalionTrigger,Collective,Protective,Burst,Formation,Low,Local,Vanguard,lance + radial spark,a charge that counts
Boros Garrison,Fortify;TokenGenerator,Collective,Protective,Sustained,Regimented,High,FieldGenerator,Support,fortress + ember,garrison breeds resilience
Boros Recruiter,Tutor;Mentor,Collective,Protective,Sustained,Hierarchical,Low,Local,Drill Sergeant,scroll + chevron,training the next wave
Sunhome Standard,BannerAura;Radiance,Collective,Protective,Sustained,Regimented,Moderate,FieldGenerator,Paladin,standard + radial glow,the standard focuses zeal
Boros Marshal,LeadershipBuff;Mentor,Collective,Protective,Sustained,Hierarchical,High,Local,Paladin,marshal's helm + pulse,leadership amplifies skill
Boros Sentinel,IndestructibleFlag;Defender,Collective,Protective,Sustained,Formation,High,Local,Paladin,shielded sentinel,the line holds
Boros Charger,Haste;ExtraCombatSynergy,Collective,Protective,TemporalMultiplication,Skirmish,Low,Local,Vanguard,charging horse + ember,momentum becomes momentum
Sunhome Banner,FieldPump;Radiance,Collective,Protective,Sustained,Regimented,Moderate,FieldGenerator,Paladin,banner + radial pulse,"where the banner stands, courage grows"
Boros Standardbearer,Anthem;Mentor,Collective,Protective,Sustained,Hierarchical,Moderate,Local,Drill Sergeant,standardbearer + glow,"carry the standard, carry the will"
Boros Captain,CommandAura;BattalionSupport,Collective,Protective,Momentum,Hierarchical,Moderate,Local,Paladin,captain's crest + pulse,command turns formation into force
Sunhome Champion,ExtraCombat;Radiance,Collective,Protective,TemporalMultiplication,Regimented,High,FieldGenerator,Paladin,champion spear + double pulse,a champion's strike calls the legion
Boros Vanguard,Battalion;Charge,Collective,Protective,Burst,Formation,Low,Local,Vanguard,vanguard shield + spark,"first into the breach, together"
Boros Standard Guard,Defender;Radiance,Collective,Protective,Sustained,Regimented,High,FieldGenerator,Paladin,guard standard + glow,defense that inspires offense
