Identity	Eligible card rationales	Cards shown	Missing coverage	Why rejected	Source needed
W — White	0	None	Gap: no owner-approved public relationship.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
U — Blue	0	None	Gap: no owner-approved public relationship.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
B — Black	0	None	Gap: no owner-approved public relationship.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
R — Red	0	None	Gap: no owner-approved public relationship.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
G — Green	0	None	Gap: no owner-approved public relationship.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
WU — Azorius Senate	2	Isperia, Supreme Judge; Grand Arbiter Augustin IV	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Current relationship bridge depends on generic color, product, or mechanical analogy rather than a direct native identity/card anchor. | Candidate uses missing, string-only, or incomplete claim/source provenance.	Owner approval, rejection, or narrowing of the preserved proposed rationale. | Direct official card/identity association or a separately adjudicated bounded mechanical-example bridge; current analogy is insufficient. | Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
UB — House Dimir	1	Lazav, Dimir Mastermind	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Existing wording contains reviewer/source-method language and is not eligible as player copy.	Owner approval, rejection, or narrowing of the preserved proposed rationale. | Owner-reviewed player wording that remains within the existing relationship evidence, or rejection.
BR — Cult of Rakdos	2	Rakdos, Lord of Riots; Rakdos, the Showstopper	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance. | Current relationship bridge depends on generic color, product, or mechanical analogy rather than a direct native identity/card anchor.	Owner approval, rejection, or narrowing of the preserved proposed rationale. | Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators. | Direct official card/identity association or a separately adjudicated bounded mechanical-example bridge; current analogy is insufficient.
RG — Gruul Clans	3	Borborygmos Enraged; Nikya of the Old Ways; Ruric Thar, the Unbowed	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Owner approval, rejection, or narrowing of the preserved proposed rationale. | Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
WG — Selesnya Conclave	1	Trostani, Selesnya's Voice	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Existing wording contains reviewer/source-method language and is not eligible as player copy.	Owner approval, rejection, or narrowing of the preserved proposed rationale. | Owner-reviewed player wording that remains within the existing relationship evidence, or rejection.
WB — Orzhov Syndicate	4	Teysa Karlov; Teysa, Orzhov Scion; Karlov of the Ghost Council	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Current relationship bridge depends on generic color, product, or mechanical analogy rather than a direct native identity/card anchor.	Owner approval, rejection, or narrowing of the preserved proposed rationale. | Direct official card/identity association or a separately adjudicated bounded mechanical-example bridge; current analogy is insufficient.
