test_id,requirement,setup,expected_result,likely_automated_or_manual,owning_file,blocking_or_nonblocking
QF-001,REQ-A-002|REQ-A-003,"Run a valid adaptive path that finishes after seven questions","Result finalizes once; rank/numeric payload matches pre-Gate-A snapshot; bounded state reveal opens","Automated","assets/js/quick-reading-tests.js","Blocking"
QF-002,REQ-A-002|REQ-A-003,"Run a valid adaptive path that reaches eight questions","Eighth answer finalizes once; numeric payload and stopping behavior remain unchanged","Automated","assets/js/quick-reading-tests.js","Blocking"
QF-003,REQ-A-003,"Answer three questions then activate Back","Prior selection is removed; replayed trail and next question match deterministic replay; focus returns correctly","Automated+manual","assets/js/index.js","Blocking"
QF-004,REQ-A-003,"Go Back and choose a different prior answer","Later branch and final state derive only from replayed selections; no stale explanation remains","Automated","assets/js/quick-reading-tests.js","Blocking"
QF-005,REQ-A-003,"Interrupt before current completion rule is met","Incomplete state shows continue/restart; no primary dossier Matrix or identity recommendation","Automated+manual","assets/js/index.js","Blocking"
QF-006,REQ-A-003,"Load malformed quick/result state","Invalid state renders safe retry/restart and does not overwrite cache or saved data","Automated","assets/js/shared.js","Blocking"
QF-007,REQ-A-002|REQ-A-003,"Open Archscry directly with a valid cached/profile/handoff result","Normalized bounded state opens correct original identity without numeric public confidence","Automated","assets/js/index.js","Blocking"
QF-008,REQ-A-002|REQ-A-003,"Refresh a valid primary and eligible alternative view","Original result/numerics persist; requested view is allowed only if eligible; otherwise primary restores safely","Automated","assets/js/index.js","Blocking"
RS-001,REQ-A-003|REQ-A-005,"Valid completed non-tied result with no explicit higher state","Primary state says Current best fit; named identity and bounded explanation appear; no certainty claim","Automated+manual","assets/js/archscry-presentation.js","Blocking"
RS-002,REQ-A-003|REQ-A-004,"Fixture with exact raw top-two score equality","Tied state shows two co-leaders; serialized primary unchanged; rank three hidden","Automated+manual","assets/js/archscry-presentation.js","Blocking"
RS-003,REQ-A-003|REQ-A-004,"Completed fixture meeting owner-approved close rule with direct rank-two support","Close state shows one Close alternative and relative-not-confidence notice; no share or band","Automated+manual","assets/js/archscry-presentation.js","Blocking"
RS-004,REQ-A-003,"Fixture carrying explicit compatible mixed state","Mixed state is preserved; no definitive primary claim; only authorized identity exploration appears","Automated+manual","assets/js/shared.js","Blocking"
RS-005,REQ-A-003,"Fixture carrying explicit compatible contradictory state","Conflicting-signals notice names recorded observations; routine negative deltas alone do not trigger state","Automated","assets/js/archscry-presentation.js","Blocking"
RS-006,REQ-A-003,"Fixture carrying explicit compatible insufficient state","No named primary close alternative identity recommendations or full dossier appears","Automated+manual","assets/js/index.js","Blocking"
RS-007,REQ-A-002|REQ-A-003,"Legacy result with primary but missing evidence/stage/confidence detail","Unknown/legacy state appears; historical identity is qualified; no fabricated number/alternative","Automated+manual","assets/js/shared.js","Blocking"
RS-008,REQ-A-003,"Unknown faction or unsafe result field type","Invalid state blocks dossier Matrix and handoff; restart/retry remains usable","Automated","assets/js/shared.js","Blocking"
RS-009,REQ-A-003,"Partial current quiz with next question available","Incomplete state offers continuation; no result is synthesized from partial scores","Automated","assets/js/index.js","Blocking"
RS-010,REQ-A-002|REQ-A-003,"Restore older guild/scores-only profile","Legacy notice and limited dossier render; authored Matrix is labeled identity context; no numeric confidence","Automated+manual","assets/js/shared.js","Blocking"
PR-001,REQ-A-002,"Render reveal summary dossier alternative saved and legacy fixtures","No public placement percentage confidence meter or numeric strength output exists","Automated","research/archscry-dossier-followup-tests.js","Blocking"
PR-002,REQ-A-001,"Search rendered Archscry output and public templates","No Bayesian description appears; Adaptive weighted reading is used where model is named","Automated","research/archscry-dossier-followup-tests.js","Blocking"
PR-003,REQ-A-002,"Render all result-state fixtures","No strong/moderate/emerging placement band or clear-edge certainty is derived from share","Automated","research/archscry-dossier-followup-tests.js","Blocking"
PR-004,REQ-A-004,"Render result with rank two failing close eligibility and any rank three","No adjacent/nearby/affinity card or view link appears; internal arrays remain unchanged","Automated","research/archscry-adjacent-navigation-tests.js","Blocking"
PR-005,REQ-A-005,"Render primary examples for Boros Izzet Prismari Bant Colorless WUBRG and Yore","Copy separates recorded observation identity signal and limitation; no enduring-trait claim","Automated+owner review","research/archscry-dossier-followup-tests.js","Blocking"
PR-006,REQ-A-005,"Render evidence trail with prompt answer signal and deltas","Signals section traces answer to bounded observation/effect and never invents missing IDs/provenance","Automated+manual","assets/js/commander-dossier.js","Blocking"
PR-007,REQ-A-005,"Render Commander/deck/Maze starts for primary close mixed and insufficient","Recommendations are qualified exploration; mixed/insufficient visibility follows owner decision; URLs unchanged","Automated+manual","assets/js/index.js","Blocking"
CP-001,REQ-A-002,"Cache and restore complete current result with additive fields","All old fields/numerics plus new state round-trip; unknown extra fields survive","Automated","assets/js/shared.js","Blocking"
CP-002,REQ-A-002,"Save/load profile placement_result and legacy columns","Field shapes identity scores mana_scores decree state and versions reconcile without migration","Automated","assets/js/shared.js","Blocking"
CP-003,REQ-A-002,"Start vm_saveWithGoogle then complete vm_checkPendingSave return","Pending/current result and additive state survive OAuth; event renders same primary/state","Automated","assets/js/shared.js","Blocking"
CP-004,REQ-A-002,"Restore a current saved reading with supplied confidence","Supplied numeric confidence remains internal/storage; public output uses bounded state only","Automated","assets/js/shared.js","Blocking"
CP-005,REQ-A-002,"Restore legacy reading with no confidence","Unknown state renders; confidence is not fabricated as 0 0.6 0.66 or any percent","Automated","assets/js/shared.js","Blocking"
CP-006,REQ-A-002,"Restore legacy reading with existing numeric confidence","Existing value survives normalization/storage but is hidden from all public surfaces","Automated","assets/js/shared.js","Blocking"
CP-007,REQ-A-002|REQ-A-005,"Open primary dossier","Dossier opens normally for allowed state; safe decree/status and original recommendation/Matrix data render","Automated+manual","research/archscry-dossier-followup-tests.js","Blocking"
CP-008,REQ-A-004,"Open eligible rank-two comparison","Active view changes only; original primary result/answers/numerics remain; close limitation persists","Automated+manual","research/archscry-adjacent-navigation-tests.js","Blocking"
CP-009,REQ-A-004,"Activate Back to original reading from comparison","Primary identity dossier authored Matrix and source context restore without rescore","Automated","research/archscry-adjacent-navigation-tests.js","Blocking"
CP-010,REQ-A-002|REQ-A-005,"Normalize/cache/save result containing decree and render the optional terminal reveal","Stored decree/decreeCopy remain compatible; only proven reveal use gets bounded public copy; no new dossier text/audit consumer appears","Automated","assets/js/commander-dossier.js","Blocking"
CP-011,REQ-A-002,"Normalize/cache/save result with optional color_weights and one without it","Supplied field is preserved unchanged; missing field is not fabricated or assigned public meaning","Automated","assets/js/shared.js","Blocking"
CP-012,REQ-A-002,"Resolve primary and alternative authored preview_scores across all identities","Authored five-axis arrays axes labels fallback and canvas visibility are unchanged","Automated+manual","assets/js/dossier-radar.js","Blocking"
CP-013,REQ-A-002,"Run fixed answer path and build dossier manaAlignment","placementResult.mana_scores and five dossier values equal pre-Gate-A snapshot and remain separate from radar","Automated","assets/js/quick-reading-tests.js","Blocking"
CP-014,REQ-A-002|REQ-A-005,"Render and use external/private deck links from primary and comparison","URLs identity context auth behavior and saved link data are unchanged; only framing is qualified","Automated+manual","assets/js/deck-links-tests.js","Blocking"
CP-015,REQ-A-002|REQ-A-005,"Render commander recommendations for allowed states","Candidates legality/context/order stay unchanged; public copy does not claim placement proves suitability","Automated+manual","research/archscry-dossier-followup-tests.js","Blocking"
CP-016,REQ-A-002,"Open a personalized Maze path from primary and comparison","Handoff retains complete placement result original primary active fit reading ID queries and return URL","Automated","research/maze-search-tests.js","Blocking"
CP-017,REQ-A-002,"Return from Maze using generated return URL","Correct original result/state and requested eligible view restore; Maze panel/anchor appears once","Automated+manual","research/maze-search-tests.js","Blocking"
CP-018,REQ-A-002|REQ-A-003,"Render required state and dossier surfaces at desktop viewport","No overflow duplicate hierarchy hidden limitation or Matrix regression","Manual+visual harness","scripts/visual-regression-archscry.mjs","Blocking"
CP-019,REQ-A-002|REQ-A-003,"Render required state and dossier surfaces at 320-390px/mobile viewport","State/notice/tabs/cards/Matrix reflow without clipping and primary actions remain visible","Manual+visual harness","scripts/visual-regression-archscry.mjs","Blocking"
CP-020,REQ-A-003,"Navigate Quick reveal state tabs comparison and return with keyboard only","Native activation focus order visible focus and announced state/limitations remain correct","Manual+automated DOM","assets/js/index.js","Blocking"
