sourcePage,productSection,deckName,mainCommander,secondaryCommanders,colors,theme,deckDescription,iconicCards,notesMechanicsMentioned,playstyleTags,primaryTheme,secondaryTheme,mainStrategy,mechanics,creatureTypeFocus,beginnerFriendly,complexity,politicalSocialPlay,combatFocus,comboPotential,graveyardFocus,tokenFocus,artifactFocus,enchantmentFocus,spellslingerFocus,rampFocus,controlFocus,aggression,valueEngine,recommendedFor,notRecommendedFor,voxManaPlacementFit,colorPhilosophySummary,whatThisDeckTeachesAboutItsColors,beginnerLesson,strategyLesson,voxManaBasicsPageUse,relatedArchetypes,relatedMechanics
https://cardgamebase.com/commander-precons/,Secrets of Strixhaven Commander Precons,Silverquill Influence,"Killian, Decisive Mentor",,White; Black,"Auras, making opponents fight","Uses negative Auras on opponents' creatures to weaken or neutralize them, while the goad mechanic forces opponents to attack each other. A political and disruptive deck that irritates opponents rather than winning through traditional combat or combos.","Killian, Decisive Mentor; Breena, the Demagogue; Inkshield; Shadrix Silverquill; Liesa, Forgotten Archangel",Goad mechanic; Auras on opponents' creatures; enchantress elements present but not central,enchantments; politics; control; auras,Negative Auras,Goad / forced attack politics,"Attach negative Auras to opponents' creatures to neutralize threats, then goad them into attacking each other, protecting yourself while others fight",Goad,unclear from source,2,3,4,3,2,1,1,1,4,2,1,3,2,3,"Players who enjoy disrupting opponents, political gameplay, and enchantment-based control rather than straightforward combat or combo wins","Players who prefer direct, aggressive strategies or dislike making enemies at the table",Strong fit for White/Black (Orzhov) players who value structure and ambition — using White's order/protection and Black's willingness to impose costs on others,"White brings structure and protection, while Black brings the willingness to weaken and exploit opponents. Together they create a deck that enforces rules on the table while making others pay for breaking them.",Shows how White and Black combine control of social dynamics — White through rules-enforcement (goad) and Black through resource denial (negative Auras).,"Not ideal for beginners due to the nuance of political gameplay, but great for players who have a basic grasp of Commander and want to explore social mechanics.",Teaches players that winning doesn't always require direct attacks — disrupting opponents and redirecting threats is a valid path to victory.,Excellent example for teaching Goad and enchantment-based disruption; good case study for White-Black political identity.,pillowfort; politics; enchantress; control,Goad; Auras; Enchantments matter
https://cardgamebase.com/commander-precons/,Secrets of Strixhaven Commander Precons,Prismari Artistry,"Rootha, Mastering the Moment",,Blue; Red,"Expensive spells, Elementals","Focused on casting powerful and expensive instants and sorceries, with Elementals as a mascot creature type. Players who enjoy casting high-impact spells in a Izzet shell will find this deck satisfying.","Rootha, Mastering the Moment; Zaffai, Thunder Conductor; Creative Technique; Elemental Masterpiece; Magma Opus",Expensive instants and sorceries; Elemental creature type support; original Strixhaven Magma Opus referenced as flavor example,spellslinger; tribal; big spells,Expensive instants and sorceries,Elementals tribal,"Cast large, impactful instants and sorceries for payoffs, supported by Elemental creature synergies",,Elementals,2,3,1,2,3,1,1,1,1,4,2,2,2,3,"Players who love casting big spells and want a flashy, high-power spell-focused experience with a creature type subtheme",Players who prefer creature-heavy strategies or value-oriented board presence over spell-casting payoffs,Strong fit for Blue/Red (Izzet) personalities — Blue's love of knowledge and planning combined with Red's impulse and big dramatic plays,"Blue provides the calculation and card advantage needed to set up big spells, while Red provides the explosive, high-cost payoffs that make those spells devastating.","Shows how Izzet combines Blue's planning with Red's love of powerful, dramatic moments — using expensive spells as both the plan and the payoff.",Best for players with some Commander experience who already understand resource management; introduces the spellslinger archetype.,Teaches mana curve management and how to set up large spell turns by building resources over multiple turns.,Good example deck for explaining the spellslinger archetype and Blue-Red color identity.,spellslinger; big spells; tribal,Instants matter; Sorceries matter; Elemental synergy
https://cardgamebase.com/commander-precons/,Secrets of Strixhaven Commander Precons,Witherbloom Pestilence,"Dina, Essence Brewer",,Black; Green,"Sacrifice, life drain","Combines sacrifice and life drain strategies with a new twist. Not the most original in concept, but strong for players who enjoy either or both themes. Offers fresh synergies between the two.","Dina, Essence Brewer; Gyome, Master Chef; Willowdusk, Essence Seer; Pest Infestation; Marshland Bloodcaster",Sacrifice synergies; life drain effects; described as combining two fan-favorite themes,sacrifice; life drain; graveyard; aristocrats,Sacrifice,Life drain,"Sacrifice creatures and permanents to generate life drain effects, slowly bleeding opponents while extracting value from the graveyard",Sacrifice,unclear from source,2,3,1,2,3,3,2,1,1,1,2,2,2,3,Players who enjoy sacrifice-based aristocrat strategies and draining opponents' life totals for value,Players who dislike managing life totals or prefer combat-heavy or combo-focused strategies,Good fit for Black/Green (Golgari) players drawn to Black's resource-exchange and sacrifice themes combined with Green's creature base as fodder,"Black brings the willingness to sacrifice and exploit, while Green provides the creature base and growth needed to fuel that sacrifice engine.",Shows how Black uses creatures as a resource rather than an end goal — with Green ensuring there is always more to sacrifice.,Good introduction to aristocrat-style play for players who understand basic creature combat and want to explore sacrifice synergies.,Teaches how sacrifice loops and life drain generate incremental advantage over a long game.,Useful for explaining Black-Green color identity and the classic aristocrats archetype on a basics page.,aristocrats; sacrifice; life drain; reanimator,Sacrifice; Life drain; Graveyard recursion
https://cardgamebase.com/commander-precons/,Secrets of Strixhaven Commander Precons,Lorehold Spirit,"Quintorius, History Chaser",,White; Red,"Cards leaving graveyard, Spirits","An unusual take on White-Red that cares about cards leaving the graveyard and Spirit creatures. The main commander is a powerful planeswalker, which is a distinctive feature. Differs significantly from typical aggressive White-Red decks.","Quintorius, Field Historian; Osgir, the Reconstructor; Losheel, Clockwork Scholar; Reconstruct History; Excavation Technique",Cards leaving graveyard synergies; Spirit creature type; commander is a planeswalker,graveyard; tribal; spirits; value,Cards leaving graveyard,Spirits tribal,"Trigger effects by removing cards from the graveyard, supported by Spirit creature synergies, with the commander generating value from graveyard interaction",Graveyard exile triggers,Spirits,2,3,1,2,2,4,1,1,1,1,1,2,2,3,Players who enjoy unusual graveyard-light strategies and tribal Spirit gameplay in an unexpected color combination,Players expecting a standard aggressive Red-White deck or those who dislike graveyard-dependent strategies,"Fits White/Red players who appreciate order (White's structure) and passion (Red's emotion), channeled through a historically-flavored Spirit theme",White brings structure and history-preservation while Red brings passion and the excitement of reclaiming what's been lost. Together they honor the past in a literal mechanical sense.,Demonstrates that White-Red can do much more than aggro — it can build value engines around unusual synergies like graveyard departures.,"Not ideal for first-time players due to its unusual theme, but good for intermediate players who want to learn about graveyard triggers in a lower-power context.","Teaches players to think about graveyard interaction in a non-traditional way — not filling it, but triggering effects when cards leave it.",Good example of a White-Red deck that defies typical color expectations; useful for teaching color flexibility.,tribal; graveyard; value engine,Graveyard exile triggers; Spirit synergy
https://cardgamebase.com/commander-precons/,Secrets of Strixhaven Commander Precons,Quandrix Unlimited,"Zimone, Infinite Analyst",,Blue; Green,"+1/+1 counters, X-cost spells","A Blue-Green deck that uses +1/+1 counters as a subtheme, with X-cost spells as the primary focus. These flexible spells allow small early plays and explosively powerful late-game turns. The commander creates board states unlike other precons.","Zimone, Quandrix Prodigy; Adrix and Nev, Twincasters; Esix, Fractal Bloom; Paradox Zone; Oversimplify",+1/+1 counters; X-cost spells described as primary theme; flexible mana sinks; powerful late-game plays,counters; big spells; ramp; value,X-cost spells,+1/+1 counters,"Ramp into large X-cost spells for flexible, scalable effects, while using +1/+1 counters as a subtheme to support board presence",Proliferate,unclear from source,2,4,1,2,3,1,1,1,1,3,3,2,2,4,"Players who enjoy mathematical, flexible gameplay with powerful late-game turns and scalable spells",Players who prefer straightforward creature-based strategies or dislike managing multiple resource types,Excellent fit for Blue/Green (Simic) players who value knowledge and planning (Blue) combined with growth and inevitability (Green),Blue's analytical approach and Green's ramp capability combine to make X-cost spells scale in ways neither color could manage alone.,"Demonstrates Blue's love of flexibility and optimization, plus Green's ramp as an engine that makes Blue's plans more powerful.",Best for players comfortable with mana management; teaches how X-cost spells scale with available mana.,Teaches players about mana sinks and how to set up large turns with ramp and card advantage.,Good example for explaining Simic identity and how ramp plus card advantage creates powerful late-game turns.,counters; big spells; ramp; control,X-cost spells; +1/+1 counters; Ramp
https://cardgamebase.com/commander-precons/,TMNT Commander Precon,Turtle Power!,Heroes in a Half Shell,,White; Blue; Black; Red; Green,"Turtles, +1/+1 counters, selecting commanders","A five-color deck built around the Teenage Mutant Ninja Turtles IP. Offers significant customization via five partner commander options, allowing players to choose their preferred play style. Highlighted as the standout product of the TMNT set despite a mixed overall reception.","Heroes in a Half Shell; Leonardo, True Leader; Donatello, Weaponized Nerd; Raphael, Fiery Rebel; Michelangelo, Party Dude; Splinter, Sensei",Partner commanders (five options); +1/+1 counters; Turtle creature type; commander selection as a feature,tribal; counters; five-color; modular,Turtles tribal / Commander selection,+1/+1 counters,"Select a commander from five partner options to customize play style, then build around Turtle tribal synergies and +1/+1 counter payoffs",Partner,Turtles,2,4,2,3,2,1,1,1,1,1,2,2,3,3,"Players who enjoy flexibility and customization, TMNT fans, and players interested in five-color decks with tribal themes","Players who prefer focused, single-theme decks or those who dislike IP crossover sets",Fits players who test across multiple color identities; the partner system mirrors a personality that values choice and adaptability over specialization,All five colors together represent a team of diverse skills working toward a common goal — a direct reflection of the TMNT's cooperative spirit.,Good introduction to five-color identity and how each color contributes a different role in a unified strategy.,"The partner system adds complexity, but the tribal focus makes it approachable for players familiar with creature-based strategies.",Teaches players about Commander selection as a strategic choice and how different commanders dramatically change a deck's play pattern.,Useful for introducing the partner mechanic and five-color identity on a basics page; also appeals to pop culture crossover players.,tribal; counters; five-color goodstuff,Partner; +1/+1 counters; Tribal
https://cardgamebase.com/commander-precons/,Lorwyn Eclipsed Commander Precons,Dance of the Elements,"Ashling, the Limitless",,White; Blue; Black; Red; Green,"Elementals, sacrifice, duplicate","A powerful five-color deck centered on casting massive Elementals using evoke costs granted by the commander, then sacrificing and copying them. Described as not a generic five-color goodstuff pile — it has a distinct, cohesive identity.","Ashling, the Limitless; Omnath, Locus of All; Nissa, Resurgent Animist; Vicious Battlerager; Horde of Notions",Evoke mechanic; sacrifice synergies; copying/duplicating creatures; Elemental creature type,tribal; sacrifice; big creatures; five-color; evoke,Elementals tribal,Sacrifice and copy synergies,"Cast large Elementals cheaply via evoke, then sacrifice and copy them for massive value and board impact",Evoke,Elementals,2,4,1,3,4,2,2,1,1,1,3,1,3,4,"Players who love casting giant creatures, exploring sacrifice and copy synergies, and playing unique five-color decks with a clear identity","Players who prefer straightforward aggro or linear strategies, or those who dislike complex board states",Fits adventurous five-color players who value both power and creativity; aligns with Red's chaos and Green's love of massive creatures,All five colors are unified through elemental forces — each color's elemental creatures contributing to a singular powerful identity that transcends individual color philosophies.,Shows that five-color decks don't have to be unfocused — a strong tribal theme can give all five colors a unified purpose.,"Complex for beginners due to evoke timing and sacrifice/copy interactions, but rewarding for players ready to learn stack mechanics.",Teaches players about evoke as a value tool and how sacrifice and copy effects can generate disproportionate value from a single card.,Excellent example for explaining the Evoke mechanic and how tribal synergies can unify a five-color identity.,tribal; sacrifice; combo; big creatures,Evoke; Sacrifice; Copy effects; Elemental synergy
https://cardgamebase.com/commander-precons/,Lorwyn Eclipsed Commander Precons,Blight Curse,"Auntie Ool, Cursewretch",,Black; Red; Green,"-1/-1 counters, creature combos","A Jund deck heavily featuring -1/-1 counters, a rare and unusual mechanic. Rewards applying counters to both your own and opponents' creatures. Despite the narrow theme, the deck offers meaningful upgrade directions and is described as powerful.","Auntie Ool, Cursewretch; Grief; Solitude; Endurance; Subtlety",-1/-1 counters on own and opponents' creatures; creature combos,counters; combo; aggro; unique mechanics,-1/-1 counters,Creature combos,"Apply -1/-1 counters strategically to trigger rewards whether placed on your own or opponents' creatures, building toward creature-based combo payoffs",,unclear from source,1,4,2,3,4,2,1,1,1,1,2,2,3,3,"Players who enjoy unusual, rarely-seen mechanics and are looking for a powerful, unique Jund deck with combo potential","Beginners or players who prefer familiar, straightforward archetypes — this deck requires understanding of an unusual mechanic",Fits Black/Red/Green (Jund) players who value power and are drawn to Black's willingness to harm their own resources and Red's chaotic energy,"Black's willingness to harm and sacrifice, Red's aggression, and Green's creature base combine to weaponize weakness itself — turning -1/-1 counters into a strength.","Demonstrates how Jund can turn debuffs into advantages, subverting the typical expectation that -1/-1 counters are purely negative.",Not recommended for new players; best for experienced players familiar with counter mechanics who want something deeply unusual.,Teaches players about symmetrical effects and how to build decks that benefit more from shared negative effects than opponents do.,Excellent example for explaining rare mechanics and how color identity can subvert player expectations.,combo; counters; aggro; control,-1/-1 counters; Creature combos
https://cardgamebase.com/commander-precons/,Edge of Eternities Commander Precons,World Shaper,"Hearthhull, the Worldseed",,Black; Red; Green,Sacrificing lands,"A land sacrifice deck that generates benefits from sacrificing lands, with built-in recursion to return them from the graveyard. Enables powerful combos out of the box and scales easily with upgrades. The commander is a Spacecraft, reflecting new Edge of Eternities rules allowing legendary vehicles/spacecraft as commanders.","Hearthhull, the Worldseed; Gitrog, Horror of Zhava; Titania, Voice of Gaea; Scapeshift; Splendid Reclamation",Sacrificing lands; land recursion from graveyard; combo-enabled; Spacecraft commander type,lands; sacrifice; combo; ramp; graveyard,Land sacrifice,Land recursion from graveyard,"Sacrifice lands for powerful effects, then recur them from the graveyard to repeat the process, building toward land-based combo wins",Landfall,unclear from source,1,4,1,2,5,3,1,1,1,1,4,1,2,4,"Players who enjoy land-based strategies, sacrifice loops, and combo-oriented gameplay with a unique mechanical identity","Players who prefer conventional creature or spell-based strategies, or beginners unfamiliar with land destruction effects",Fits Green/Black/Red players who value Green's land-as-resource philosophy combined with Black's willingness to sacrifice and Red's explosive payoffs,Green's deep connection to lands meets Black's willingness to consume resources and Red's explosive destruction — lands become both fuel and engine.,Shows how Jund colors can approach land themes differently from typical Gruul land decks — treating lands as expendable combo pieces rather than stable mana bases.,Too complex for beginners; better suited to experienced players ready to explore land-based combo strategies.,"Teaches players about land sacrifice loops, graveyard recursion, and how to build self-sustaining resource engines.",Good example for explaining land sacrifice strategies and how Green's land philosophy can extend into sacrifice loops.,lands; combo; sacrifice; ramp,Land sacrifice; Land recursion; Graveyard interaction
https://cardgamebase.com/commander-precons/,Edge of Eternities Commander Precons,Counter Intelligence,"Inspirit, Flagship Vessel",,White; Blue; Red,"Artifacts, proliferate",An atypical artifact deck where artifacts serve as a subtheme to the main focus: proliferate with charge counters. Charge counters tied to artifacts are the key resource. The proliferate mechanic adds counters to any permanent or player already with counters. The commander is a Spacecraft reflecting new Edge of Eternities rules.,"Inspirit, Flagship Vessel; Urza, Lord High Artificer; Rings of Brighthearth; Magistrate's Scepter; Voltaic Key",Proliferate; charge counters; artifacts; Mirrodin block flavor referenced; Spacecraft commander type,artifacts; counters; proliferate; control,Proliferate / charge counters,Artifacts,"Use proliferate to stack charge counters on artifacts and other permanents, building incremental advantages and leveraging charge counter payoffs",Proliferate,unclear from source,2,4,1,2,3,1,1,4,1,2,2,3,2,4,"Players who enjoy counter-stacking strategies, artifact synergies, and the satisfaction of incremental advantage building through proliferate",Players who prefer aggressive or straightforward creature combat; those who dislike tracking multiple counter types,Fits White/Blue/Red (Jeskai) players who value Blue's planning and methodical advantage with Red's artifact-invention energy and White's structural support,Blue's love of counters and incremental planning pairs with White's order and Red's inventive artifact affinity to build a methodical advantage engine.,Demonstrates how Jeskai colors use artifacts and proliferate as tools of control and incremental value generation.,Moderately complex; best for players who understand basic artifact gameplay and want to explore counter manipulation.,Teaches players about proliferate as a force multiplier and how charge counters create exponential value from artifacts.,Excellent for explaining proliferate and charge counters; good example of how artifacts can serve as a secondary theme in a counter-focused deck.,artifacts; counters; control; proliferate,Proliferate; Charge counters; Artifact synergy
