identity,canonical_name,institution_type,colors,behavioral_definition_used_by_placement_metadata,primary_boundary_or_tension,supporting_question_ids,opposing_question_ids,required_positive_min_hits_in_metadata,required_positive_min_hits_enforced_by_runtime,false_positive_guardrail_in_metadata,supporting_answer_count,strong_supporting_answer_count,opposing_answer_count,gate_supporting_answer_count,hall_supporting_answer_count,crucible_supporting_answer_count,targeted_hall_question_count,targeted_crucible_question_count,exhaustive_primary_count,exhaustive_primary_share,exhaustive_rank2_count,exhaustive_rank3_count,reachability_status,minimum_positive_evidence_when_primary,maximum_positive_evidence_when_primary,minimum_primary_confidence,maximum_primary_confidence,exhaustive_maximum_primary_probability,minimum_primary_gap,maximum_primary_gap,exact_tie_primary_count,golden_path_primary,golden_path_confidence,copy_complete,copy_audit_status,commander_recommendation_count,commander_candidate_pool_count,native_exact_precon_count,other_exact_precon_count,stretch_precon_count,copy_source,recommendation_source,known_semantic_risk,evidence_strength,bias_indicators
ABZAN,Abzan Houses,wedge,"[""W"",""B"",""G""]","Abzan Houses is the White-centered WBG Tarkir wedge expression whose source-bound floor is endurance, survival, family, house continuity, ancestor obligation, perennation, active defense, and defensive patience.","Vox Mana synthesis models Abzan's tension as family continuity becoming exclusion, rigidity, political burden, or duty that outlives consent.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_ABZAN_family_endurance"",""hall_ABZAN_ancestor_perennation"",""hall_TEMUR_elemental_memory"",""hall_SULTAI_resource_conversion"",""hall_SULTAI_dead_usefulness"",""hall_MARDU_total_commitment"",""hall_DUNE_missing_blue"",""crucible_ABZAN_MARDU"",""crucible_ABZAN_SULTAI""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_ABZAN_family_endurance"",""hall_ABZAN_ancestor_perennation"",""hall_TEMUR_survival_attunement"",""hall_TEMUR_elemental_memory"",""hall_SULTAI_resource_conversion"",""hall_SULTAI_dead_usefulness"",""hall_MARDU_total_commitment"",""hall_GLINT_missing_white"",""hall_DUNE_territorial_force"",""hall_DUNE_missing_blue"",""crucible_ABZAN_MARDU"",""crucible_ABZAN_SULTAI""]",2,false,"Do not treat support-only mechanics, Commander/operator rows, manual-fill lore, architecture prose, seed files, Dromoka's brood, or color composition alone as Abzan evidence.",20,14,23,11,7,2,2,2,167,0.00621,328,287,reachable-in-exhaustive-valid-paths,0,0,0.059,0.754,0.754,0,0.721,13,ABZAN,0.686,true,warning,3,4,0,6,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
B,Black,color,"[""B""]","Black is the mono-color expression of agency under harsh conditions: it looks at fear, death, ambition, cost, and opportunity without flinching.","Black can be brutally honest about power, but the tools that free it can also consume it.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_B_cost"",""hall_B_graveyard"",""hall_GRIXIS_survival_opening"",""hall_SULTAI_resource_conversion"",""hall_MARDU_war_name_oath"",""hall_YORE_engineered_agency"",""hall_COLORLESS_outside_wubrg"",""hall_COLORLESS_branch_boundary"",""hall_WUBRG_full_spectrum"",""crucible_B_UB"",""crucible_B_BR"",""crucible_B_BG"",""crucible_B_WB""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_B_cost"",""hall_B_graveyard"",""hall_U_understanding"",""hall_U_possibility"",""hall_INK_protected_abundance"",""hall_INK_missing_black"",""hall_COLORLESS_outside_wubrg"",""hall_COLORLESS_branch_boundary"",""crucible_B_UB"",""crucible_B_BR"",""crucible_B_BG"",""crucible_B_WB""]",2,false,"Do not place Black for darkness, villainy, or cruelty alone; require power, agency, self-interest, opportunity, or cost conversion.",23,11,23,10,9,4,2,4,2210,0.082184,1785,1821,reachable-in-exhaustive-valid-paths,0,0,0.059,0.927,0.927,0,0.912,20,B,0.854,true,warning,3,3,0,2,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,primary-share-over-2x-uniform|can-win-with-zero-positive-evidence
BANT,Bant,shard,"[""W"",""U"",""G""]","Bant is the Alara shard identity of White-centered Bant shard public excellence: a living community recognizes a champion, binds that excellence to sigils and sacred order, and rejects collapse into generic harmony, mere procedure, unchecked growth, or perfected control.","Bant's harmony can become rigid or insular when the order cannot hear dissent, absorb disruption, or correct itself after contact with values it was not built around.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_BANT_champion"",""hall_BANT_living_order"",""hall_ESPER_perfectibility"",""hall_ESPER_designed_control"",""hall_GRIXIS_survival_opening"",""hall_GRIXIS_volatile_calculation"",""hall_NAYA_living_whole"",""hall_NAYA_abundance_instinct"",""hall_ABZAN_family_endurance"",""hall_TEMUR_survival_attunement"",""hall_JESKAI_way_form"",""hall_INK_protected_abundance"",""hall_INK_missing_black"",""hall_WITCH_patient_cultivation"",""hall_WITCH_missing_red"",""crucible_BANT_ESPER"",""crucible_NAYA_BANT""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_BANT_champion"",""hall_BANT_living_order"",""hall_ESPER_perfectibility"",""hall_ESPER_designed_control"",""hall_GRIXIS_survival_opening"",""hall_GRIXIS_volatile_calculation"",""hall_NAYA_living_whole"",""hall_ABZAN_family_endurance"",""hall_GLINT_missing_white"",""crucible_BANT_ESPER"",""crucible_NAYA_BANT""]",3,false,Do not score Bant highly from color identity or generic value alone. Require a champion-order evidence cluster.,34,13,21,14,18,2,2,2,390,0.014503,606,781,reachable-in-exhaustive-valid-paths,0,0,0.07,0.709,0.709,0,0.677,6,BANT,0.701,true,warning,3,3,0,8,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
BG,Golgari Swarm,guild,"[""B"",""G""]","Golgari Swarm is the black-green guild whose authoritative signal is death-to-life reclamation, decay, undercity survival, food production, and graveyard resource use.","The Swarm can make loss useful, but it becomes a false positive when only generic resilience, nature, morbidity, or black-green color identity is present.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_B_graveyard"",""hall_G_growth"",""hall_G_natural_order"",""hall_RG_wild"",""hall_BG_reclamation"",""hall_JUND_appetite_consequence"",""hall_NAYA_abundance_instinct"",""hall_ABZAN_family_endurance"",""hall_ABZAN_ancestor_perennation"",""hall_SULTAI_resource_conversion"",""hall_SULTAI_dead_usefulness"",""hall_MARDU_total_commitment"",""hall_MARDU_war_name_oath"",""hall_YORE_artifice_boundary"",""hall_GLINT_living_force"",""hall_GLINT_missing_white"",""hall_DUNE_territorial_force"",""hall_DUNE_missing_blue"",""hall_INK_protected_abundance"",""hall_WITCH_patient_cultivation"",""hall_WITCH_missing_red"",""hall_WITHERBLOOM_essence"",""crucible_B_BG"",""crucible_G_BG"",""crucible_BG_WITHERBLOOM""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_BG_reclamation"",""hall_INK_protected_abundance"",""hall_INK_missing_black"",""crucible_B_BG"",""crucible_G_BG"",""crucible_BG_WITHERBLOOM""]",2,false,"Do not award for generic resilience or nature language without decay, death, or reclamation.",48,12,14,11,34,3,1,3,779,0.028969,365,422,reachable-in-exhaustive-valid-paths,0,0,0.078,0.786,0.786,0.001,0.752,0,BG,0.349,true,warning,3,3,2,4,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
BR,Cult of Rakdos,guild,"[""B"",""R""]","Cult of Rakdos is the black-red guild whose authoritative signal is performance, spectacle, anti-authoritarian provocation, dangerous entertainment, and demonic patronage.","The Cult can reveal pressure through spectacle, but it becomes a false positive when reduced to generic aggression or unbounded disruption.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_B_cost"",""hall_B_graveyard"",""hall_R_ignition"",""hall_R_freedom"",""hall_BR_intensity"",""hall_RG_wild"",""hall_GRIXIS_survival_opening"",""hall_GRIXIS_volatile_calculation"",""hall_JUND_instinct_pressure"",""hall_JUND_appetite_consequence"",""hall_NAYA_living_whole"",""hall_ABZAN_ancestor_perennation"",""hall_TEMUR_survival_attunement"",""hall_SULTAI_resource_conversion"",""hall_MARDU_total_commitment"",""hall_MARDU_war_name_oath"",""hall_YORE_engineered_agency"",""hall_YORE_artifice_boundary"",""hall_GLINT_living_force"",""hall_GLINT_missing_white"",""hall_DUNE_territorial_force"",""hall_DUNE_missing_blue"",""hall_INK_protected_abundance"",""hall_WITCH_missing_red"",""hall_PRISMARI_expression"",""crucible_B_BR"",""crucible_R_BR"",""crucible_BR_RG""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_W_shelter"",""hall_W_duty"",""hall_U_understanding"",""hall_U_possibility"",""hall_BR_intensity"",""hall_INK_protected_abundance"",""hall_INK_missing_black"",""hall_WITCH_patient_cultivation"",""hall_WITCH_missing_red"",""hall_QUANDRIX_pattern"",""crucible_B_BR"",""crucible_R_BR"",""crucible_BR_RG""]",2,false,"Do not award for generic chaos if the answer is grief, survival, or anti-civilization loss.",50,16,21,10,37,3,1,3,1209,0.044959,639,535,reachable-in-exhaustive-valid-paths,0,0,0.069,0.779,0.779,0,0.749,2,BR,0.353,true,warning,3,7,4,1,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
COLORLESS,Colorless,colorless,[],"Colorless is Vox Mana's controlled outside-WUBRG expression: governed as its own placeable product lane, not a sixth color, for chosen restriction, machine logic, void, desolation, and precise colorless/generic separation.","Colorless gains clarity by standing outside WUBRG, but loses clarity the moment outside-ness becomes a generic catch-all.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_COLORLESS_outside_wubrg"",""hall_COLORLESS_branch_boundary"",""hall_WUBRG_full_spectrum"",""crucible_COLORLESS_WUBRG""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_COLORLESS_outside_wubrg"",""hall_COLORLESS_branch_boundary"",""hall_WUBRG_full_spectrum"",""crucible_COLORLESS_WUBRG""]",2,false,"Require precise outside-WUBRG language, branch separation, strict Commander/devoid/five-color boundaries, and controlled public-expansion boundaries. Treat all guidance here as controlled placement, dossier scaffolding, and approved Home Identity Signal preview only, not public routing, Commander Compass, or broad recommendation approval.",8,8,23,4,3,1,2,1,187,0.006954,21,0,reachable-in-exhaustive-valid-paths,0,0,0.323,1,1,0.242,1,0,COLORLESS,1,true,warning,3,3,1,0,0,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
DUNE,Dune / Aggression,four_color,"[""B"",""R"",""G"",""W""]","Dune / Aggression is Vox Mana's four-color without Blue expression for organized territorial pressure, direct action, common-front force, and survival-minded multiplication without Blue-style distance.","Dune claims ground through coordinated force before detached contemplation can cool the moment, but common-front pressure can become domination when every body, cost, and opening is treated as something to spend forward.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_DUNE_territorial_force"",""hall_DUNE_missing_blue"",""hall_INK_protected_abundance"",""hall_WITCH_missing_red"",""crucible_GLINT_DUNE"",""crucible_DUNE_INK""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_DUNE_territorial_force"",""hall_DUNE_missing_blue"",""hall_INK_protected_abundance"",""hall_WITCH_patient_cultivation"",""hall_WITCH_missing_red"",""hall_WUBRG_full_spectrum"",""crucible_GLINT_DUNE"",""crucible_DUNE_INK""]",2,false,"Do not award Dune for generic combat, tokens, same-color goodstuff, single-commander familiarity, Dune-Brood/Nephilim anchoring alone, or adjacent shard/wedge language. Require the full four-color without Blue synthesis: organized territorial pressure, direct action, White line, Black cost, Red ignition, Green persistence, and refusal of detached contemplation.",20,9,18,14,4,2,2,2,541,0.020118,614,1219,reachable-in-exhaustive-valid-paths,0,0,0.057,0.767,0.767,0,0.75,13,DUNE,0.767,true,warning,2,2,0,1,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
ESPER,Esper,shard,"[""W"",""U"",""B""]","Esper is the Blue-centered white-blue-black Alara shard in which perfectibility is modeled through knowledge, planning, applied information, ordered improvement, and focused control.","Vox Mana models Esper's tension as perfectibility drifting into over-control, where the unoptimized starts to look like an error to correct.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_ESPER_perfectibility"",""hall_ESPER_designed_control"",""hall_GRIXIS_volatile_calculation"",""hall_YORE_engineered_agency"",""hall_YORE_artifice_boundary"",""hall_COLORLESS_outside_wubrg"",""hall_COLORLESS_branch_boundary"",""crucible_BANT_ESPER"",""crucible_ESPER_GRIXIS""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_ESPER_perfectibility"",""hall_ESPER_designed_control"",""hall_GRIXIS_survival_opening"",""hall_GRIXIS_volatile_calculation"",""hall_YORE_artifice_boundary"",""hall_COLORLESS_outside_wubrg"",""hall_COLORLESS_branch_boundary"",""crucible_BANT_ESPER"",""crucible_ESPER_GRIXIS""]",3,false,"Do not score Esper highly from color identity, artifacts, or generic control alone. Require the Blue-centered perfectibility cluster with White structure and Black focused control.",23,11,19,13,8,2,2,2,341,0.012681,511,499,reachable-in-exhaustive-valid-paths,0,0,0.055,0.772,0.772,0,0.737,18,ESPER,0.671,true,warning,3,6,0,10,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
G,Green,color,"[""G""]","Green is the mono-color expression of the living web: it trusts that the world already has shape, that beings are born with roles and capacities, and that strength comes from growing into what is natural rather than redesigning the self from nothing.","Green can offer deep belonging and primal power, but it can over-trust the existing system or mistake what is familiar for what is natural.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_G_growth"",""hall_G_natural_order"",""hall_TEMUR_survival_attunement"",""hall_SULTAI_resource_conversion"",""hall_YORE_engineered_agency"",""hall_COLORLESS_outside_wubrg"",""hall_COLORLESS_branch_boundary"",""crucible_G_WG"",""crucible_G_UG"",""crucible_G_BG"",""crucible_G_RG""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_G_growth"",""hall_G_natural_order"",""hall_ESPER_designed_control"",""hall_YORE_engineered_agency"",""hall_COLORLESS_outside_wubrg"",""hall_COLORLESS_branch_boundary"",""crucible_G_WG"",""crucible_G_UG"",""crucible_G_BG"",""crucible_G_RG""]",2,false,"Do not place Green for life, healing, or growth alone; require nature, role, instinct, interdependence, or natural-system trust.",20,9,23,9,7,4,2,4,1037,0.038563,1253,1186,reachable-in-exhaustive-valid-paths,0,0,0.061,0.856,0.856,0,0.844,52,G,0.729,true,warning,3,3,0,1,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
GLINT,Glint / Chaos,four_color,"[""U"",""B"",""R"",""G""]","Glint / Chaos is Vox Mana's four-color without White expression for adaptive appetite, volatility, living force, and storm-fed opportunity under pressure.","Glint learns, feeds, and grows under pressure without asking civic restraint for permission, but appetite and improvisation can become predatory when nothing above the self is trusted to hold the world steady.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_GLINT_living_force"",""hall_GLINT_missing_white"",""hall_DUNE_territorial_force"",""hall_DUNE_missing_blue"",""hall_INK_protected_abundance"",""hall_WITCH_missing_red"",""crucible_YORE_GLINT"",""crucible_GLINT_DUNE""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_GLINT_living_force"",""hall_GLINT_missing_white"",""hall_DUNE_territorial_force"",""hall_DUNE_missing_blue"",""hall_INK_protected_abundance"",""hall_WITCH_patient_cultivation"",""hall_WITCH_missing_red"",""hall_WUBRG_full_spectrum"",""crucible_YORE_GLINT"",""crucible_GLINT_DUNE""]",2,false,"Do not award Glint for generic chaos, cascade, high-variance play, Yidris familiarity, Glint-Eye/Nephilim anchoring alone, UBRG goodstuff, or adjacent shard/wedge language. Require the full four-color without White synthesis: adaptive appetite, volatility, living force, Blue adaptation, Black appetite, Red ignition, Green living force, and refusal of White-style civic restraint.",22,11,19,14,6,2,2,2,864,0.03213,2004,1605,reachable-in-exhaustive-valid-paths,0,0,0.075,0.859,0.859,0,0.841,21,GLINT,0.859,true,warning,2,2,0,1,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
