matrix_id,card_name,color_identity,card_type_band,canonicality_tier,rakdos_role,mechanical_axis,mechanical_signals,narrative_axis,narrative_signals,placement_usage,animation_hook,query_seed,source_url,confidence,notes
rakdos-001,Rakdos the Defiler,BR,legendary creature,guild-canonical,founder/demon patron,catastrophic sacrifice,attack trigger; sacrifice; punishment; commander-pressure,the final act,devotion to ruin; spectacle as consequence; loyalty paid in permanents,deep lore anchor; high-intensity warning card,stage-collapse,"!""Rakdos the Defiler""",https://scryfall.com/search?q=%21%22Rakdos%20the%20Defiler%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-002,"Rakdos, Lord of Riots",BR,legendary creature,guild-canonical,guildmaster/commander anchor,damage-gated cost collapse,opponent life loss; cost reduction; flying; trample; big-creature payoff,riot economics,pain opens the gate; damage becomes permission; excess becomes acceleration,primary commander/deck-start anchor,bloodlight-gate,"!""Rakdos, Lord of Riots""",https://scryfall.com/search?q=%21%22Rakdos%2C%20Lord%20of%20Riots%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-003,"Rakdos, the Showstopper",BR,legendary creature,guild-canonical,guildmaster/show finale,coin-flip destruction,randomized creature destruction; demon/devil/imp exemption,applause and bodies,the show consumes the room; chaos has favorites; performance selects survivors,high-theater lore/mechanics bridge,curtain-fire,"!""Rakdos, the Showstopper""",https://scryfall.com/search?q=%21%22Rakdos%2C%20the%20Showstopper%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-004,"Rakdos, Patron of Chaos",BR,legendary creature,guild-canonical,modern Rakdos patron,chaos offer,opponent choice; card advantage; spectacle of risk,patronage through disorder,favor is unstable; the audience helps choose the knife,modern Ravnica update anchor,patron-flicker,"!""Rakdos, Patron of Chaos""",https://scryfall.com/search?q=%21%22Rakdos%2C%20Patron%20of%20Chaos%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-005,"Judith, the Scourge Diva",BR,legendary creature,guild-canonical,performance commander,death ping anthem,creature death; damage; anthem; sacrifice support,soloist of blood,every death is stage direction; charisma turns casualties into pressure,aristocrats/performance bridge,solo-spotlight,"!""Judith, the Scourge Diva""",https://scryfall.com/search?q=%21%22Judith%2C%20the%20Scourge%20Diva%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-006,"Judith, Carnage Connoisseur",BR,legendary creature,guild-canonical,spell spectacle commander,spell deathtouch/lifelink pressure,instant/sorcery synergy; damage; death-touching spells; lifelink option,curated carnage,violence becomes taste; art direction for pain; spellcraft as performance,spellslinger-aristocrats bridge,velvet-flame,"!""Judith, Carnage Connoisseur""",https://scryfall.com/search?q=%21%22Judith%2C%20Carnage%20Connoisseur%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-007,"Lyzolda, the Blood Witch",BR,legendary creature,guild-canonical,blood witch/aristocrats root,sacrifice for cards/damage,sacrifice; card draw; damage; color-matter sacrifice,blood as currency,bodies are resources; truth is extracted through cost,sacrifice-engine anchor,blood-ink-burst,"!""Lyzolda, the Blood Witch""",https://scryfall.com/search?q=%21%22Lyzolda%2C%20the%20Blood%20Witch%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-008,"Exava, Rakdos Blood Witch",BR,legendary creature,guild-canonical,unleash champion,haste for counters,first strike; haste; +1/+1 counters; unleash payoff,unleashed momentum,restraint rejected; modified bodies become immediate action,unleash/counter bridge,counter-spark,"!""Exava, Rakdos Blood Witch""",https://scryfall.com/search?q=%21%22Exava%2C%20Rakdos%20Blood%20Witch%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-009,Rakdos Augermage,BR,creature,guild-canonical,hellbent ritualist,mutual discard pressure,hellbent-adjacent; hand attack; risk exchange,public confession,knowledge is dragged into the open; privacy burns for momentum,hand-pressure anchor,handflare,"!""Rakdos Augermage""",https://scryfall.com/search?q=%21%22Rakdos%20Augermage%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-010,Rix Maadi Guildmage,BR,creature,guild-canonical,guildmage,life-loss amplification,life loss; blocking punishment; activated pressure,back-alley show runner,the crowd pays life to watch; defense becomes shame,small-engine utility anchor,gutter-marquee,"!""Rix Maadi Guildmage""",https://scryfall.com/search?q=%21%22Rix%20Maadi%20Guildmage%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-011,Rakdos Guildmage,BR,creature,guild-canonical,original guildmage,token/pump pressure,temporary tokens; power boost; late-game mana outlet,street troupe engine,the cult manufactures threats and throws them away,guild-history anchor,imp-token-pop,"!""Rakdos Guildmage""",https://scryfall.com/search?q=%21%22Rakdos%20Guildmage%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-012,Rix Maadi Reveler,R,creature,mechanic-canonical,spectacle rummager,spectacle card flow,spectacle; discard/draw; hand reset; opponent-life-loss gate,revelation by indulgence,"hurt someone first, then tell the truth; impulse becomes filtering",spectacle UX example,reveler-card-flare,"!""Rix Maadi Reveler""",https://scryfall.com/search?q=%21%22Rix%20Maadi%20Reveler%22&unique=cards,high,"Included because it carries a Rakdos set mechanic or Rakdos-limited play pattern, even when mono-colored."
rakdos-013,Spawn of Mayhem,B,creature,mechanic-canonical,spectacle demon,life-loss pressure clock,spectacle; flying; trample; upkeep damage; +1/+1 counter growth,demon born from applause,the show breeds bigger threats; shared pain escalates,spectacle threat anchor,demon-shadow-pulse,"!""Spawn of Mayhem""",https://scryfall.com/search?q=%21%22Spawn%20of%20Mayhem%22&unique=cards,high,"Included because it carries a Rakdos set mechanic or Rakdos-limited play pattern, even when mono-colored."
rakdos-014,Theater of Horrors,BR,enchantment,guild-canonical,stage engine,damage-gated impulse draw,exile play access; opponent life-loss gate; damage outlet,the venue remembers,the stage archives pain; access is earned through injury,value-engine/lore panel anchor,marquee-glow,"!""Theater of Horrors""",https://scryfall.com/search?q=%21%22Theater%20of%20Horrors%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-015,Captive Audience,BR,enchantment,guild-canonical,set-piece curse,opponent-choice doom clock,life total set; discard; token swarm; donated punishment,forced participation,the audience cannot leave; choice becomes humiliation,narrative set-piece anchor,audience-lock,"!""Captive Audience""",https://scryfall.com/search?q=%21%22Captive%20Audience%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-016,Bedevil,BR,instant,guild-canonical,clean removal,modal destruction,destroy artifact; destroy creature; destroy planeswalker,practical cruelty,"if it can stand above the show, break it",removal/deck-start staple,knife-cut,"!""Bedevil""",https://scryfall.com/search?q=%21%22Bedevil%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-017,Dreadbore,BR,sorcery,guild-canonical,assassin removal,creature/planeswalker removal,destroy creature; destroy planeswalker; low-cost answer,celebrity execution,even icons can be dragged offstage,removal identity anchor,spotlight-drop,"!""Dreadbore""",https://scryfall.com/search?q=%21%22Dreadbore%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-018,Terminate,BR,instant,black-red staple,clean kill spell,destroy creature; cannot regenerate,finality; efficiency; creature removal,no encore,the cleanest violence is the one that ends the scene,b/r removal staple anchor,hard-cut-blackout,"!""Terminate""",https://scryfall.com/search?q=%21%22Terminate%22&unique=cards,medium,Included as a Rakdos-adjacent black-red archetype anchor; keep separate from strict Ravnica guild canon if needed.
rakdos-019,Rakdos Charm,BR,instant,guild-canonical,modal punishment,graveyard/artifact/token punishment,graveyard exile; artifact destruction; creature-controller damage,three cruel jokes,every board state hides a punchline; excess is punished,utility/deck-start staple,three-spark-wheel,"!""Rakdos Charm""",https://scryfall.com/search?q=%21%22Rakdos%20Charm%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-020,Rakdos's Return,BR,sorcery,guild-canonical,mythic finisher,damage plus discard,X damage; opponent discard; resource collapse,the bill comes due,the riot ends by emptying hand and life together,finisher/lore anchor,red-black-wave,"!""Rakdos's Return""",https://scryfall.com/search?q=%21%22Rakdos%27s%20Return%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-021,Slaughter Games,BR,sorcery,guild-canonical,named-card execution,uncounterable extraction,name a card; search/exile; anti-combo pressure,script removal,the act is named before it dies; certainty used cruelly,control-pressure edge case,name-burn,"!""Slaughter Games""",https://scryfall.com/search?q=%21%22Slaughter%20Games%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-022,Carnival // Carnage,BR,split card,guild-canonical,spectacle split expression,ping/discard/life loss,small damage; discard; life loss; split modality,opening act / main event,a joke becomes a beating; small sparks lead to public ruin,modality/naming anchor,split-stage-swipe,"!""Carnival // Carnage""",https://scryfall.com/search?q=%21%22Carnival%20//%20Carnage%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-023,Master of Cruelties,BR,creature,guild-canonical,sadistic finisher,life-total collapse,first strike; deathtouch; attacks alone; set life to 1,one-person show,all attention narrows to a single impossible wound,boss-threat anchor,single-spotlight-lunge,"!""Master of Cruelties""",https://scryfall.com/search?q=%21%22Master%20of%20Cruelties%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-024,Sire of Insanity,BR,creature,guild-canonical,hand-empty demon,global discard,each end step discard hand; resource denial,nothing left backstage,the show burns every plan; everyone improvises from zero,hellbent/disruption anchor,hand-ash-fall,"!""Sire of Insanity""",https://scryfall.com/search?q=%21%22Sire%20of%20Insanity%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-025,Mayhem Devil,BR,creature,black-red staple,sacrifice payoff,sacrifice payoff,sacrifice trigger; damage any target; treasure/food/clue synergy,gleeful collateral,everything broken throws a spark; destruction feeds performance,aristocrats/sacrifice anchor,spark-chain,"!""Mayhem Devil""",https://scryfall.com/search?q=%21%22Mayhem%20Devil%22&unique=cards,medium,Included as a Rakdos-adjacent black-red archetype anchor; keep separate from strict Ravnica guild canon if needed.
