question_id,phase,answer_id,audit_answer_id,exact_title,exact_copy,authored_signal,intended_construct,actual_dimensions_tested,positive_identities,strong_positive_identities,suppressed_identities,uncertainty_representation,evidence_authority,final_disposition,remediation_implication
gate_v2_locus_of_trust,gate,gate_v2_trust_self_claim,gate_v2_trust_self_claim,The claim no one can make for me,"I start with agency: the private decision, the necessary edge, the first motion I can own.",self-authored agency,expression-and-performance,"[""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference""]","[""B"",""R"",""WR"",""BR"",""ESPER"",""GRIXIS"",""JUND"",""SULTAI"",""MARDU"",""YORE"",""GLINT"",""DUNE"",""BG"",""RG"",""UB"",""UR"",""LOREHOLD"",""WB"",""PRISMARI"",""SILVERQUILL"",""WITHERBLOOM""]","[""B"",""R"",""BR"",""GRIXIS"",""JUND"",""MARDU"",""YORE"",""GLINT"",""UB"",""UR"",""PRISMARI""]","[""W"",""G"",""WU"",""BANT"",""NAYA"",""INK"",""COLORLESS"",""WUBRG"",""QUANDRIX"",""WG"",""UG""]",ABSENT,No answer-level source or claim reference,REPLACE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
gate_v2_locus_of_trust,gate,gate_v2_trust_personal_threshold,gate_v2_trust_personal_threshold,The threshold in the self,"I listen for the moment where desire, danger, and choice become too clear to outsource.",personal threshold,uncontrolled-editorial-construct,"[""social-behavior"",""psychographic-or-motivational-inference-risk""]","[""B"",""R"",""WR"",""BR"",""ESPER"",""GRIXIS"",""JUND"",""TEMUR"",""SULTAI"",""MARDU"",""JESKAI"",""YORE"",""GLINT"",""DUNE"",""BG"",""RG"",""UB"",""UR"",""LOREHOLD"",""WB"",""PRISMARI"",""SILVERQUILL"",""WITHERBLOOM""]","[""B"",""R"",""BR"",""GRIXIS""]","[""W"",""G"",""WU"",""BANT"",""COLORLESS"",""WUBRG"",""QUANDRIX"",""WG"",""UG""]",ABSENT,No answer-level source or claim reference,REPLACE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
gate_v2_locus_of_trust,gate,gate_v2_trust_braided_witness,gate_v2_trust_braided_witness,A braided witness,"I want each part of the situation named, given weight, and brought into one accountable center.",integrated whole,protection-and-duty,"[""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference""]","[""W"",""U"",""B"",""R"",""G"",""WU"",""BANT"",""WR"",""BR"",""ESPER"",""GRIXIS"",""JUND"",""NAYA"",""ABZAN"",""TEMUR"",""SULTAI"",""MARDU"",""JESKAI"",""YORE"",""GLINT"",""DUNE"",""INK"",""WITCH"",""WUBRG"",""BG"",""RG"",""UB"",""UR"",""LOREHOLD"",""WB"",""PRISMARI"",""QUANDRIX"",""WG"",""SILVERQUILL"",""UG"",""WITHERBLOOM""]","[""WUBRG""]","[""COLORLESS""]",ABSENT,No answer-level source or claim reference,REPLACE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
gate_v2_locus_of_trust,gate,gate_v2_trust_common_root,gate_v2_trust_common_root,The common root,"I trust the pattern that keeps people, place, and continuity from splintering under strain.",communal continuity,uncontrolled-editorial-construct,"[""social-behavior""]","[""W"",""U"",""G"",""WU"",""BANT"",""WR"",""ESPER"",""NAYA"",""ABZAN"",""TEMUR"",""SULTAI"",""JESKAI"",""YORE"",""GLINT"",""DUNE"",""INK"",""WITCH"",""RG"",""UR"",""LOREHOLD"",""PRISMARI"",""QUANDRIX"",""WG"",""UG""]","[""W"",""U"",""G"",""WU"",""BANT"",""WR"",""NAYA"",""ABZAN"",""TEMUR"",""JESKAI"",""DUNE"",""INK"",""WITCH"",""RG"",""LOREHOLD"",""QUANDRIX"",""WG"",""UG""]","[""B"",""BR"",""GRIXIS"",""COLORLESS"",""WUBRG"",""UB""]",ABSENT,No answer-level source or claim reference,REPLACE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
gate_v2_locus_of_trust,gate,gate_v2_trust_outside_measure,gate_v2_trust_outside_measure,The measure outside the map,I trust the constraint that does not ask the old language for permission before it becomes real.,outside boundary,uncontrolled-editorial-construct,"[""social-behavior""]","[""COLORLESS""]","[""COLORLESS""]","[""W"",""U"",""B"",""R"",""G"",""WU"",""BANT"",""WR"",""BR"",""ESPER"",""GRIXIS"",""JUND"",""NAYA"",""ABZAN"",""TEMUR"",""SULTAI"",""MARDU"",""JESKAI"",""YORE"",""GLINT"",""DUNE"",""INK"",""WITCH"",""WUBRG"",""BG"",""RG"",""UB"",""UR"",""LOREHOLD"",""WB"",""PRISMARI"",""QUANDRIX"",""WG"",""SILVERQUILL"",""UG"",""WITHERBLOOM""]",ABSENT,No answer-level source or claim reference,REPLACE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
gate_v2_pressure_becomes,gate,gate_v2_pressure_form,gate_v2_pressure_form,A form that can hold,"Pressure should become structure: named, testable, and steady enough to keep harm from spreading.",ordered containment,procedure-and-order,"[""social-behavior"",""philosophical-preference""]","[""W"",""U"",""WU"",""BANT"",""ESPER"",""GRIXIS"",""JESKAI"",""YORE"",""UB"",""UR"",""WB"",""PRISMARI"",""SILVERQUILL""]","[""W"",""U"",""WU"",""ESPER"",""JESKAI"",""UB""]","[""B"",""R"",""G"",""BR"",""JUND"",""NAYA"",""ABZAN"",""TEMUR"",""SULTAI"",""GLINT"",""DUNE"",""COLORLESS"",""WUBRG"",""BG"",""RG"",""WG"",""WITHERBLOOM""]",ABSENT,No answer-level source or claim reference,REPLACE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
gate_v2_pressure_becomes,gate,gate_v2_pressure_answerable_motion,gate_v2_pressure_answerable_motion,Answerable motion,"It should move, but with a visible thread back to responsibility, memory, and consequence.",bounded action,speed-and-action,"[""abstract-scenario-preference""]","[""W"",""U"",""WU"",""BANT"",""WR"",""ESPER"",""GRIXIS"",""NAYA"",""ABZAN"",""TEMUR"",""SULTAI"",""MARDU"",""JESKAI"",""YORE"",""GLINT"",""DUNE"",""INK"",""WITCH"",""UB"",""UR"",""LOREHOLD"",""WB"",""PRISMARI"",""QUANDRIX"",""WG"",""SILVERQUILL"",""UG""]","[""U"",""WU"",""BANT"",""ESPER"",""JESKAI""]","[""COLORLESS"",""WUBRG""]",ABSENT,No answer-level source or claim reference,REPLACE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
gate_v2_pressure_becomes,gate,gate_v2_pressure_many_currents,gate_v2_pressure_many_currents,"Many currents, one course","It should become a working convergence: different forces kept distinct, then aimed together.",balanced convergence,speed-and-action,"[""abstract-scenario-preference""]","[""W"",""U"",""B"",""R"",""G"",""WU"",""BANT"",""WR"",""BR"",""ESPER"",""GRIXIS"",""JUND"",""NAYA"",""ABZAN"",""TEMUR"",""SULTAI"",""MARDU"",""JESKAI"",""YORE"",""GLINT"",""DUNE"",""INK"",""WITCH"",""WUBRG"",""BG"",""RG"",""UB"",""UR"",""LOREHOLD"",""WB"",""PRISMARI"",""QUANDRIX"",""WG"",""SILVERQUILL"",""UG"",""WITHERBLOOM""]","[""WUBRG""]","[""COLORLESS""]",ABSENT,No answer-level source or claim reference,REPLACE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
gate_v2_pressure_becomes,gate,gate_v2_pressure_wild_release,gate_v2_pressure_wild_release,A wild release,"It should become adaptation, appetite, heat, and movement before a brittle answer snaps shut.",adaptive release,growth-and-nature,"[""psychographic-or-motivational-inference-risk""]","[""B"",""R"",""G"",""BANT"",""WR"",""BR"",""GRIXIS"",""JUND"",""NAYA"",""ABZAN"",""TEMUR"",""SULTAI"",""MARDU"",""YORE"",""GLINT"",""DUNE"",""INK"",""WITCH"",""BG"",""RG"",""UB"",""UR"",""LOREHOLD"",""WB"",""PRISMARI"",""QUANDRIX"",""WG"",""SILVERQUILL"",""UG"",""WITHERBLOOM""]","[""B"",""R"",""G"",""BR"",""GRIXIS"",""JUND"",""NAYA"",""ABZAN"",""TEMUR"",""SULTAI"",""MARDU"",""GLINT"",""DUNE"",""INK"",""WITCH"",""BG"",""RG"",""QUANDRIX"",""WG"",""UG"",""WITHERBLOOM""]","[""W"",""U"",""WU"",""COLORLESS"",""WUBRG""]",ABSENT,No answer-level source or claim reference,REPLACE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
gate_v2_pressure_becomes,gate,gate_v2_pressure_silent_axis,gate_v2_pressure_silent_axis,A silent axis,"It should become a hard boundary: not loud, not ornamental, simply outside the usual bargain.",outside boundary,speed-and-action,"[""abstract-scenario-preference""]","[""COLORLESS""]","[""COLORLESS""]","[""W"",""U"",""B"",""R"",""G"",""WU"",""BANT"",""WR"",""BR"",""ESPER"",""GRIXIS"",""JUND"",""NAYA"",""ABZAN"",""TEMUR"",""SULTAI"",""MARDU"",""JESKAI"",""YORE"",""GLINT"",""DUNE"",""INK"",""WITCH"",""WUBRG"",""BG"",""RG"",""UB"",""UR"",""LOREHOLD"",""WB"",""PRISMARI"",""QUANDRIX"",""WG"",""SILVERQUILL"",""UG"",""WITHERBLOOM""]",ABSENT,No answer-level source or claim reference,REPLACE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
