defect_id,category,affected_identities_questions_routes,exact_reproduction,machine_readable_evidence_reference,user_facing_impact,severity,severity_rationale,severity_depends_on_cecos,root_cause,smallest_viable_correction,required_evidence_dependency,requirement_ids,repair_gate,validation_required,blocks_trustworthy_placement,reconciliation_note
VM551-D001,logic,All identities,Compare buildPlacementModel output wiring with raw placement discriminator_questions.,research/build-faction-artifacts.mjs,Live Hall/Crucible effects are a separate hard-coded editorial bank with no claim links.,Critical,Can invalidate the public placement/confidence claim across the system.,"NO: direct implementation, data, rendering, or pipeline evidence.",Canonical evidence and signal vocabulary,REQ-LOGIC-001 canonical question-to-signal contracts,Canonical evidence and signal vocabulary,REQ-LOGIC-001,Gate B1,Live evidence effects derive from canonical reviewed identity contracts.,yes,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D002,logic,All identities,Trace createInitialAdaptiveState through likelihoodToDelta softmaxScores and buildAdaptivePlacementResult.,assets/js/adaptive-placement.js,Bayesian vocabulary describes an additive heuristic classifier.,Critical,Can invalidate the public placement/confidence claim across the system.,"NO: direct implementation, data, rendering, or pipeline evidence.",Model contract and public terminology,REQ-LOGIC-002 prohibit Bayesian/probability claims pending validation,Model contract and public terminology,REQ-LOGIC-002,Gate A,Probability terminology is used only for fitted or formally justified probability contracts.,yes,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D003,confidence,All results,Run audit-placement-system.mjs and inspect analysis-summary.json.,assets/js/adaptive-placement.js,Top softmax share and top-two separation are presented as confidence/strength.,Critical,Can invalidate the public placement/confidence claim across the system.,PARTLY: implementation evidence establishes the defect; draft.4 confirms evidence/unknown/claim boundary.,Calibration corpus and decision contract,REQ-CONF-001 replace decorative share with confidence-state contract,Calibration corpus and decision contract,REQ-CONF-001,Gate A,Confidence represents evidence amount quality agreement distinctiveness stability and empirical calibration.,yes,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D004,logic,All identities,Run audit-placement-system-remediation.mjs; inspect below_strong_minimum_hit_proxy_by_identity and negative_only_winner_total.,sensitivity-dependency-collision-analysis.json,A primary can be presented even when the authored strong-hit proxy does not meet the identity's own generated minimum; the earlier stronger negative-only claim is withdrawn.,High,"Can materially mislead placement interpretation, evidence authority, or first-pilot correctness.",PARTLY: implementation evidence establishes the defect; draft.4 confirms evidence/unknown/claim boundary.,Controlled signal/evidence contracts,REQ-LOGIC-003 enforce minimum evidence and false-positive guardrails,Controlled signal/evidence contracts,REQ-LOGIC-003,Gate B1,Exhaustive strong-hit/minimum contract test plus all-37 false-positive scenario review.,yes,REVISED: original zero-positive-evidence metric was invalid; severity reduced Critical -> High while the unenforced minimum contract remains material.
VM551-D005,logic,All results,Run exhaustive audit and inspect rankAdaptiveFactions sort.,assets/js/adaptive-placement.js,Lexicographic identity key silently chooses the primary.,High,"Can materially mislead placement interpretation, evidence authority, or first-pilot correctness.",PARTLY: implementation evidence establishes the defect; draft.4 confirms evidence/unknown/claim boundary.,Decision serializer and UI,REQ-LOGIC-004 explicit tie contract,Decision serializer and UI,REQ-LOGIC-004,Gate A,Exact ties produce an explicit tied or mixed result.,yes,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D006,adjacency,All results,Inspect buildAdaptivePlacementResult and any result.,assets/js/adaptive-placement.js,Adjacent means numerical ranks two and three.,High,"Can materially mislead placement interpretation, evidence authority, or first-pilot correctness.","NO: direct implementation, data, rendering, or pipeline evidence.",Identity relationship data and UI,REQ-ADJ-001 relationship-typed adjacency contract,Identity relationship data and UI,REQ-ADJ-001,Gate A,Adjacent means a reviewed philosophical/behavioral relationship with independent support.,yes,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D007,confidence,WUBRG to BG representative result,Take WUBRG-oriented Gate answers then Build from the rot; open Golgari adjacent view.,assets/js/commander-dossier.js,Contradictory strength labels appear on one view.,High,"Can materially mislead placement interpretation, evidence authority, or first-pilot correctness.","NO: direct implementation, data, rendering, or pipeline evidence.",Confidence and adjacency contracts,REQ-CONF-002 single confidence-state source and adjacency minimum,Confidence and adjacency contracts,REQ-CONF-002,Gate A,One evidence-strength state is used consistently and weak runner-ups are not called adjacent.,yes,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D008,question-design,All questionnaire answers,Inspect question-to-signal-matrix.csv.,data/placement-model.json,Every question forces a directional answer.,High,"Can materially mislead placement interpretation, evidence authority, or first-pilot correctness.",PARTLY: implementation evidence establishes the defect; draft.4 confirms evidence/unknown/claim boundary.,Question UX and scoring,REQ-QUESTION-001 neutral/mixed/unsure contract,Question UX and scoring,REQ-QUESTION-001,Gate A,Players can preserve uncertainty or mixed preference without forced evidence.,yes,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D009,data-pipeline,Hall and Crucible,Inspect source_answer_id in question-to-signal-matrix.csv.,data/placement-model.json,Hall/Crucible answers are identified only by question plus array position.,High,"Can materially mislead placement interpretation, evidence authority, or first-pilot correctness.","NO: direct implementation, data, rendering, or pipeline evidence.",Builder and migration,REQ-DATA-001 stable answer IDs and schema enforcement,Builder and migration,REQ-DATA-001,Gate B1,Every answer has stable versioned identity independent of array order.,yes,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D010,evidence,All questionnaire answers,Inspect live model and claim-evidence-register.csv.,data/placement-model.json,All 356 live mappings are unproven editorial interpretations.,High,"Can materially mislead placement interpretation, evidence authority, or first-pilot correctness.",PARTLY: implementation evidence establishes the defect; draft.4 confirms evidence/unknown/claim boundary.,Canonical evidence registry,REQ-EVID-001 answer-level provenance and claim classification,Canonical evidence registry,REQ-EVID-001,Gate B1,Every material answer-to-signal effect is traceable to evidence class and review decision.,yes,PRESERVED after implementation evidence and draft.4 re-adjudication.
