identity_id	identity_name	identity_family	supporting_constructs	boundary_constructs	strongest_likely_competitors	minimum_independent_observations	current_evidence_quality	pilot_question_ids	pilot_coverage	uncovered_risks	evidence_provenance
ABZAN	Abzan Houses	wedge	C03;C14;C13	C03;C14	WITCH:35;YORE:16;W:16;WU:14;UB:12	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.setup.v1;b1.hall.commitment.v1;b1.crucible.mono-multi.v1	STRUCTURAL-BROAD-AND-FAMILY; no direct identity-specific discriminator	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
B	Black	color	C12;C11;C09	C12;C11	GLINT:230;YORE:213;WITHERBLOOM:193;R:187;SULTAI:134	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.sacrifice.v1;b1.hall.threat.v1;b1.hall.repeatability.v1;b1.crucible.mono-multi.v1	STRUCTURAL-BROAD-AND-FAMILY; no direct identity-specific discriminator	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
BANT	Bant	shard	C05;C03;C09	C05;C03	WITCH:59;WUBRG:56;INK:56;W:44;U:40	4 across at least 2 stages; include 1 direct boundary observation	HIGH-CONFUSION-RISK	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.commander-role.v1;b1.hall.repeatability.v1;b1.crucible.mono-multi.v1;b1.crucible.bant.v1	STRUCTURAL-DIRECT-HYPOTHESIS; not empirically validated	High confusion or insufficient distinctiveness; preserve close/insufficient until player evidence supports mapping.	E-AUDIT;E-CERTIFIED;E-CECOS
BG	Golgari Swarm	guild	C12;C03;C06	C12;C03	GLINT:198;B:79;G:77;WITCH:62;BR:56	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.sacrifice.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1;b1.crucible.bg.v1	STRUCTURAL-DIRECT-HYPOTHESIS; not empirically validated	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
BR	Cult of Rakdos	guild	C11;C12;C04	C11;C12	YORE:169;GLINT:159;B:88;R:83;WUBRG:67	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.threat.v1;b1.hall.sacrifice.v1;b1.crucible.mono-multi.v1	STRUCTURAL-BROAD-AND-FAMILY; no direct identity-specific discriminator	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
COLORLESS	Colorless	colorless	C15;C06;C10	C15;C06	WUBRG:81;B:26;U:17;G:12;W:11	4 across at least 2 stages; include 1 direct boundary observation	INSUFFICIENT-DISTINCTIVENESS-EVIDENCE	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.breadth.v1;b1.hall.engine-shape.v1;b1.hall.theme.v1;b1.crucible.mono-multi.v1;b1.crucible.colorless-wubrg.v1	STRUCTURAL-DIRECT-HYPOTHESIS; not empirically validated	High confusion or insufficient distinctiveness; preserve close/insufficient until player evidence supports mapping.	E-AUDIT;E-CERTIFIED;E-CECOS
DUNE	Dune / Aggression	four_color	C07;C11;C13	C07;C11	B:77;R:70;G:57;WITCH:34;WITHERBLOOM:31	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.pressure.v1;b1.hall.threat.v1;b1.hall.commitment.v1;b1.crucible.mono-multi.v1;b1.crucible.glint-dune.v1;b1.crucible.dune-ink.v1	STRUCTURAL-DIRECT-HYPOTHESIS; not empirically validated	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
ESPER	Esper	shard	C06;C08;C09	C06;C08	U:52;B:40;YORE:35;JESKAI:30;W:30	4 across at least 2 stages; include 1 direct boundary observation	INSUFFICIENT-DISTINCTIVENESS-EVIDENCE	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.engine-shape.v1;b1.hall.interaction-window.v1;b1.hall.repeatability.v1;b1.crucible.mono-multi.v1;b1.crucible.esper.v1	STRUCTURAL-DIRECT-HYPOTHESIS; not empirically validated	High confusion or insufficient distinctiveness; preserve close/insufficient until player evidence supports mapping.	E-AUDIT;E-CERTIFIED;E-CECOS
G	Green	color	C03;C14;C10	C03;C14	NAYA:138;U:121;GLINT:112;B:82;QUANDRIX:70	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.setup.v1;b1.hall.theme.v1;b1.crucible.mono-multi.v1	STRUCTURAL-BROAD-AND-FAMILY; no direct identity-specific discriminator	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
GLINT	Glint / Chaos	four_color	C09;C01;C11	C09;C01	B:182;R:75;G:59;NAYA:56;WUBRG:37	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.repeatability.v1;b1.hall.threat.v1;b1.crucible.mono-multi.v1;b1.crucible.yore-glint.v1;b1.crucible.glint-dune.v1	STRUCTURAL-DIRECT-HYPOTHESIS; not empirically validated	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
