pair_id	identity_a	identity_b	cluster	shared_constructs	approved_question_ids	observable_distinction_recorded	baseline_disposition	final_disposition	mapping_action	provenance
ABZAN__MARDU	ABZAN	MARDU	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C13	b1.gate.disruption.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	ABZAN uses Disruption response evidence; MARDU uses Initiative posture evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#ABZAN__MARDU;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#ABZAN__MARDU
ABZAN__SILVERQUILL	ABZAN	SILVERQUILL	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C13	b1.gate.disruption.v1;b1.hall.threat.v1;b1.crucible.mono-multi.v1	ABZAN uses Disruption response evidence; SILVERQUILL uses Threat posture evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#ABZAN__SILVERQUILL;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#ABZAN__SILVERQUILL
ABZAN__SULTAI	ABZAN	SULTAI	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C14	b1.gate.disruption.v1;b1.hall.sacrifice.v1;b1.crucible.mono-multi.v1	ABZAN uses Disruption response evidence; SULTAI uses Resource sacrifice evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#ABZAN__SULTAI;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#ABZAN__SULTAI
ABZAN__WITCH	ABZAN	WITCH	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C14	b1.gate.disruption.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	ABZAN uses Disruption response evidence; WITCH uses Engine concentration evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#ABZAN__WITCH;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#ABZAN__WITCH
ABZAN__YORE	ABZAN	YORE	C1_YORE_NON_CLEAN_OBSERVABILITY		b1.gate.disruption.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	ABZAN uses Disruption response evidence; YORE uses Engine concentration evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_NOT_CLEANLY_OBSERVABLE	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#ABZAN__YORE;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#ABZAN__YORE
B__R	B	R	C2_MONO_IDENTITY_NOT_SEPARATED_BY_BREADTH	C11	b1.hall.sacrifice.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	B uses Resource sacrifice evidence; R uses Initiative posture evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#B__R;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#B__R
B__U	B	U	C2_MONO_IDENTITY_NOT_SEPARATED_BY_BREADTH	C16	b1.hall.sacrifice.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	B uses Resource sacrifice evidence; U uses Initiative posture evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#B__U;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#B__U
B__W	B	W	C2_MONO_IDENTITY_NOT_SEPARATED_BY_BREADTH		b1.hall.sacrifice.v1;b1.gate.disruption.v1;b1.crucible.mono-multi.v1	B uses Resource sacrifice evidence; W uses Disruption response evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#B__W;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#B__W
BANT__GLINT	BANT	GLINT	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C09	b1.hall.commander-role.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	BANT uses Commander reliance evidence; GLINT uses Initiative posture evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#BANT__GLINT;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#BANT__GLINT
BANT__INK	BANT	INK	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C03	b1.hall.commander-role.v1;b1.hall.commitment.v1;b1.crucible.mono-multi.v1	BANT uses Commander reliance evidence; INK uses Public commitment evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#BANT__INK;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#BANT__INK
