question_id	stage	pool_order	primary_construct_id	question_prompt	answer_ids	primary_observation	competitor_pair_or_family	evidence_provenance	dependency_group	adaptive_ask_when	do_not_ask_when	jargon_term_ids	jargon_help	scoring_status
b1.gate.initiative.v1	Gate	1	C01	Your turn begins, no urgent threat needs an answer, and you have enough mana to act. What feels best?	b1.gate.initiative.v1.advance;b1.gate.initiative.v1.balance;b1.gate.initiative.v1.respond;b1.gate.initiative.v1.unsure	Preference to advance a plan first or preserve resources to answer others.	all identities	E-PLAYER-PACE;E-PLAYER-THREAT;E-CECOS;E-VOICE	DG_C01	Always; Gate 1.	Never use alone for identity support.	JRG_THREAT	Players use threat for a card, battlefield, or plan they believe they need to answer.	DESIGN-ONLY-NONSCORING
b1.gate.visibility.v1	Gate	2	C02	As play comes back around to you, which position usually feels more comfortable?	b1.gate.visibility.v1.board;b1.gate.visibility.v1.held;b1.gate.visibility.v1.split;b1.gate.visibility.v1.depends	Preference for power visible on the battlefield or held in hand, mana, or other less visible zones.	all identities	E-PLAYER-THREAT;E-PLAYER-PACE;E-CECOS;E-VOICE	DG_C02	Always; Gate 2.	Do not infer actual threat level.	JRG_BOARD;JRG_PERMANENT	Board means the cards and tokens on the battlefield. Permanent means a card or token on the battlefield.	DESIGN-ONLY-NONSCORING
b1.gate.disruption.v1	Gate	3	C03	A board wipe—an effect that removes many cards and tokens from the battlefield—is likely next turn. What would you rather have prepared?	b1.gate.disruption.v1.protect;b1.gate.disruption.v1.recover;b1.gate.disruption.v1.limit;b1.gate.disruption.v1.depends	Preference to protect an established position, reduce exposure, or recover after broad disruption.	all identities	E-PLAYER-PACE;E-PLAYER-COMMANDER;E-CECOS;E-VOICE	DG_C03	Always; Gate 3.	Do not treat the answer as proof the deck is resilient.	JRG_BOARD_WIPE;JRG_BOARD;JRG_GRAVEYARD	A graveyard is a player's discard pile.	DESIGN-ONLY-NONSCORING
b1.gate.tempo.v1	Gate	4	C04	When your Commander deck is doing what you built it to do, how do you want the advantage to arrive?	b1.gate.tempo.v1.small;b1.gate.tempo.v1.burst;b1.gate.tempo.v1.waves;b1.gate.tempo.v1.depends	Preference for repeated small gains, cycles, or one concentrated payoff.	all identities	E-PLAYER-PACE;E-PLAYER-THREAT;E-CECOS;E-VOICE	DG_C04	Always; Gate 4.	Do not infer game length or ending mode.			DESIGN-ONLY-NONSCORING
b1.hall.commander-role.v1	Hall	5	C05	If your commander is removed twice, what should the rest of the deck still be able to do?	b1.hall.commander-role.v1.function;b1.hall.commander-role.v1.partial;b1.hall.commander-role.v1.center	How much the deck should depend on its commander being available.	commander-centric versus resilient 99	E-PLAYER-COMMANDER;E-CECOS;E-VOICE	DG_C05	Ask when commander reliance could separate remaining candidates.	Do not test commander affection or deck quality.			DESIGN-ONLY-NONSCORING
b1.hall.engine-shape.v1	Hall	6	C06	Opponents have learned how to stop your main engine. When you revise the deck, what structure do you want next?	b1.hall.engine-shape.v1.central;b1.hall.engine-shape.v1.replace;b1.hall.engine-shape.v1.overlap;b1.hall.engine-shape.v1.purpose	Whether revision preserves one central engine, replaces functions, overlaps modules, or preserves purpose while changing tools.	U;UB;UR;BG;LOREHOLD;QUANDRIX;WITHERBLOOM;SULTAI;COLORLESS;WUBRG;ESPER	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	DG_C06	Ask when engine structure remains a live separator and DG_C06 has not been observed.	Do not ask after another C06 observation; artifacts, machinery, redundancy, or toolbox play cannot establish Colorless or Yore.	JRG_ENGINE	An engine is a repeatable set of cards whose pieces create more value together than they do alone.	ENGINE-MAPPING-HYPOTHESIS
b1.hall.pressure.v1	Hall	7	C07	The player ahead uses all their mana and leaves one turn where the table can take control. Which kind of pressure do you want your deck to create?	b1.hall.pressure.v1.coordinate;b1.hall.pressure.v1.combat;b1.hall.pressure.v1.abundance;b1.hall.pressure.v1.burst;b1.hall.pressure.v1.resources;b1.hall.pressure.v1.engine	The channel through which the player wants to turn one opening into progress toward ending the game.	R;BR;RG;JUND;NAYA;MARDU;WR;DUNE;PRISMARI;WU;WB;UR;COLORLESS	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	DG_C07	Ask when live candidates agree on proactive play but differ in coordinated, embodied, abundant, burst, restrictive, or engine pressure.	Do not ask after DG_C07 is observed; combat, a large turn, or a noncombat engine never establishes identity by itself.			ENGINE-MAPPING-HYPOTHESIS
b1.hall.mana-window.v1	Hall	8	C08	If you can either spend most of your mana advancing your own plan or keep it available to answer opponents, which do you prefer?	b1.hall.mana-window.v1.own;b1.hall.mana-window.v1.others;b1.hall.mana-window.v1.split	Preference to commit mana on one's own turn or retain options during opponents' turns.	Blue, Azorius, Esper, Jeskai, and cadence boundaries	E-PLAYER-PACE;E-PLAYER-THREAT;E-CECOS;E-VOICE	DG_C08	Ask when Gate initiative leaves families close.	Do not count independently from C01 when both describe one cadence.			DESIGN-ONLY-NONSCORING
b1.hall.repeatability.v1	Hall	9	C09	Across several games with the same deck, how much do you want the path to your main plan to repeat?	b1.hall.repeatability.v1.same;b1.hall.repeatability.v1.varied;b1.hall.repeatability.v1.toolbox	Preference for familiar access to a central plan or greater game-to-game variance.	all identities	E-PLAYER-VARIANCE;E-PLAYER-PACE;E-CECOS;E-VOICE	DG_C09	Ask when candidates differ in repeatability.	Do not reduce the answer to tutor count.			DESIGN-ONLY-NONSCORING
b1.hall.theme.v1	Hall	10	C10	For one deck slot, assume you can’t get both: one card fits your theme better, while another does the same job more reliably. Which do you keep?	b1.hall.theme.v1.theme;b1.hall.theme.v1.reliable;b1.hall.theme.v1.gap	Willingness to keep thematic expression when a more reliable role-player exists.	theme-first players; all identities	E-PLAYER-THEME;E-PLAYER-COMMANDER;E-PLAYER-PACE;E-CECOS;E-VOICE	DG_C10	Ask when attachment may explain contradictory behavior answers.	Do not use alone for identity support.	JRG_THEME	Here, theme means a chosen story, visual idea, creature type, or self-imposed concept.	DESIGN-ONLY-NONSCORING
b1.hall.threat.v1	Hall	11	C11	If your board becomes the clearest threat, how do you want the deck to handle that attention?	b1.hall.threat.v1.embrace;b1.hall.threat.v1.avoid;b1.hall.threat.v1.pivot	Preference to avoid early attention, adapt to attention, or embrace being the visible threat.	visible-pressure and hidden-resource families	E-PLAYER-THREAT;E-PLAYER-COMMANDER;E-CECOS;E-VOICE	DG_C11	Ask when visibility separates candidates.	Do not infer actual power or social conduct.	JRG_THREAT;JRG_BOARD	Players use threat for a card, battlefield, or plan they believe they need to answer. Board means the cards and tokens on the battlefield.	DESIGN-ONLY-NONSCORING
b1.hall.sacrifice.v1	Hall	12	C12	You can give up a useful permanent now for cards or another lasting resource. What feels natural?	b1.hall.sacrifice.v1.convert;b1.hall.sacrifice.v1.preserve;b1.hall.sacrifice.v1.renew	Willingness to spend permanents, life, cards, or position as fuel for later advantage.	resource-conversion families	E-PLAYER-PACE;E-PLAYER-THREAT;E-CECOS;E-VOICE	DG_C12	Ask when candidates differ in voluntary conversion.	Do not equate sacrifice with graveyard or Black identity.	JRG_PERMANENT;JRG_BOARD	Permanent means a card or token on the battlefield. Board means the cards and tokens on the battlefield.	DESIGN-ONLY-NONSCORING
b1.hall.commitment.v1	Hall	13	C13	The table agrees to stop a repeatable threat. Before your next turn, the board changes and that threat is weaker but still present. What should the agreement require now?	b1.hall.commitment.v1.procedure;b1.hall.commitment.v1.access;b1.hall.commitment.v1.terms;b1.hall.commitment.v1.short;b1.hall.commitment.v1.reopen	How a public agreement should persist or change after the board changes.	W;WU;WG;ABZAN;MARDU;BANT;WB;SILVERQUILL;INK;WUBRG	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	DG_C13	Ask when public procedure, shared access, durable obligation, bounded coordination, or revisable influence separates the live frontier.	Do not ask when the player lacks a recognizable table-agreement context or DG_C13 is already observed; a deal preference cannot name an identity alone.	JRG_REPEATABLE	Repeatable means a card or engine that can create the same threat again if the table leaves it in place.	ENGINE-MAPPING-HYPOTHESIS
b1.hall.setup.v1	Hall	14	C14	Your deck becomes much stronger after several setup turns, but the table is already developing threats. What must the setup do along the way?	b1.hall.setup.v1.early;b1.hall.setup.v1.staged;b1.hall.setup.v1.long;b1.hall.setup.v1.change	What contribution a longer development plan must make while the current table continues to move.	G;WG;ABZAN;NAYA;BG;QUANDRIX;WITHERBLOOM;BANT;TEMUR;GLINT;INK;WITCH;UG	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	DG_C14	Ask when development horizon separates the live frontier and DG_C14 has not been observed.	Do not ask after another C14 observation; long setup, early help, or incremental value cannot establish an identity alone.	JRG_SETUP	Setup means the turns and cards a plan needs before it can produce its main payoff.	ENGINE-MAPPING-HYPOTHESIS
b1.hall.breadth.v1	Hall	15	C15	Once you know what you want a deck to do, how much do you want the available cards to shape the challenge?	b1.hall.breadth.v1.narrow;b1.hall.breadth.v1.broad;b1.hall.breadth.v1.concept	Preference for how much of the deckbuilding boundary should come from the available card pool versus restrictions the builder chooses within broader access.	mono/multicolor; four-color; Colorless; WUBRG	E-PLAYER-COMMANDER;E-PLAYER-PACE;E-CERTIFIED;E-CECOS;E-VOICE	DG_C15	Ask when color-count families remain plausible after behavior evidence.	Never assign a color-count identity from this answer.			DESIGN-ONLY-NONSCORING
b1.hall.interaction-window.v1	Hall	16	C08	An opponent begins a decisive turn, but you do not yet know which card matters most. When do you want your deck to use the card or mana it kept available?	b1.hall.interaction-window.v1.before;b1.hall.interaction-window.v1.after;b1.hall.interaction-window.v1.pressure;b1.hall.interaction-window.v1.split	The commitment point at which hidden information becomes sufficient to spend a held answer.	U;UB;WU;W;UR;JESKAI	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	DG_C08	Ask when information use and interaction timing separate the live frontier and DG_C08 has not been observed.	Do not ask after another C08 observation; waiting, prevention, or split mana alone cannot establish a color or faction.			ENGINE-MAPPING-HYPOTHESIS
b1.hall.information-to-plan.v1	Hall	17	C16	A dangerous opposing play has been stopped, and you now have enough cards to choose among several workable plans. What do you most want to do next?	b1.hall.information-to-plan.v1.consolidate;b1.hall.information-to-plan.v1.open;b1.hall.information-to-plan.v1.exploit;b1.hall.information-to-plan.v1.depends	After interaction or new card access creates several viable options, preference to consolidate one route, retain broad optionality, or exploit the current opening.	Esper; Blue; Black; Azorius; Dimir; Grixis; Jeskai; control; combo; toolbox; midrange; tempo	E-CERTIFIED;E-PLAYER-PACE;E-PLAYER-THREAT;E-PLAYER-VARIANCE;E-CECOS;E-VOICE	DG_C16	Ask adaptively when remaining candidates differ in how new information becomes route commitment and at least two independent behavioral observations already exist.	Do not ask when no real choice among routes exists, when the result is already stable, or as proof of skill, archetype, or identity.			DESIGN-ONLY-NONSCORING
b1.crucible.ur.v1	Crucible	18	C04	Your spell-heavy deck has mana for a major turn. Which payoff sounds more like the plan?	b1.crucible.ur.v1.workshop;b1.crucible.ur.v1.showcase;b1.crucible.ur.v1.neither	Preference for repeated small gains, cycles, or one concentrated payoff.	UR vs PRISMARI	E-CERTIFIED;E-PLAYER-THEME;E-PLAYER-PACE;E-AUDIT;E-CECOS;E-VOICE	DG_C04	Ask only when UR/PRISMARI remain close after two independent observations.	Do not ask if spell-heavy behavior was never observed.	JRG_SPELL_HEAVY;JRG_ENGINE	Spell-heavy means instants or sorceries are central to the deck. An engine is a card or group of cards that repeatedly helps your deck—for example by drawing cards, making mana or tokens, or building counters.	DESIGN-ONLY-NONSCORING
b1.crucible.bg.v1	Crucible	19	C12	Several cards from your battlefield went to your graveyard. What do you want that loss to enable?	b1.crucible.bg.v1.reclaim;b1.crucible.bg.v1.exchange;b1.crucible.bg.v1.neither	Willingness to spend permanents, life, cards, or position as fuel for later advantage.	BG vs WITHERBLOOM	E-CERTIFIED;E-PLAYER-PACE;E-AUDIT;E-CECOS;E-VOICE	DG_C12	Ask only when BG/WITHERBLOOM remain close.	Do not ask if graveyard use was never observed.	JRG_GRAVEYARD	A graveyard is a player's discard pile.	DESIGN-ONLY-NONSCORING
b1.crucible.wr.v1	Crucible	20	C03	An opponent targets an important permanent. Which response would you rather have built toward?	b1.crucible.wr.v1.intervene;b1.crucible.wr.v1.recover;b1.crucible.wr.v1.neither	Preference to protect an established position, reduce exposure, or recover after broad disruption.	WR vs LOREHOLD	E-CERTIFIED;E-PLAYER-COMMANDER;E-AUDIT;E-CECOS;E-VOICE	DG_C03	Ask only when WR/LOREHOLD remain close.	Do not ask from one Gate answer alone.	JRG_PERMANENT	Permanent means a card or token on the battlefield.	DESIGN-ONLY-NONSCORING
b1.crucible.ug.v1	Crucible	21	C06	When building an engine, which structure fits your deck?	b1.crucible.ug.v1.adapt;b1.crucible.ug.v1.scale;b1.crucible.ug.v1.neither	Preference for one central engine, replaceable pieces, or overlapping small engines.	UG vs QUANDRIX	E-CERTIFIED;E-PLAYER-COMMANDER;E-AUDIT;E-CECOS;E-VOICE	DG_C06	Ask only when UG/QUANDRIX remain close.	Do not ask without the engine definition.	JRG_ENGINE	An engine is a card or group of cards that repeatedly helps your deck—for example by drawing cards, making mana or tokens, or building counters.	DESIGN-ONLY-NONSCORING
b1.crucible.wb.v1	Crucible	22	C13	A table deal could solve the immediate problem facing both you and another player. What makes it worth accepting?	b1.crucible.wb.v1.terms;b1.crucible.wb.v1.influence;b1.crucible.wb.v1.neither	How much spoken table agreements should bind later choices.	WB vs SILVERQUILL	E-CERTIFIED;E-PLAYER-PACE;E-AUDIT;E-CECOS;E-VOICE	DG_C13	Ask only when WB/SILVERQUILL remain close.	Record unknown without relevant deal experience.	JRG_TABLE_DEAL	Table deal means a spoken agreement between players.	DESIGN-ONLY-NONSCORING
b1.crucible.bant.v1	Crucible	23	C05	Your commander can carry much of your plan. What role should the rest of the deck play?	b1.crucible.bant.v1.refine;b1.crucible.bant.v1.network;b1.crucible.bant.v1.neither	How much the deck should depend on its commander being available.	BANT vs WITCH/INK/W/adjacent three-color	E-CERTIFIED;E-PLAYER-COMMANDER;E-AUDIT;E-CECOS;E-VOICE	DG_C05	Ask only when BANT and a listed competitor remain close.	One commander-reliance observation cannot prove Bant.			DESIGN-ONLY-NONSCORING
b1.crucible.grixis.v1	Crucible	24	C01	You are behind with one turn to change the game. Which first move fits?	b1.crucible.grixis.v1.calculate;b1.crucible.grixis.v1.convert;b1.crucible.grixis.v1.neither	Preference to advance a plan first or preserve resources to answer others.	GRIXIS vs B/YORE/GLINT/UB/BR	E-CERTIFIED;E-PLAYER-PACE;E-AUDIT;E-CECOS;E-VOICE	DG_C01	Ask only when Grixis and a listed competitor remain close.	Do not infer survival motive.	JRG_INTERACTION	Interaction means an answer to another player's spell, ability, attack, or permanent.	DESIGN-ONLY-NONSCORING
b1.crucible.sultai.v1	Crucible	25	C12	A creature, a card, and some life could each become fuel. How should the deck use them?	b1.crucible.sultai.v1.best;b1.crucible.sultai.v1.cycle;b1.crucible.sultai.v1.neither	Willingness to spend permanents, life, cards, or position as fuel for later advantage.	SULTAI vs B/GLINT/BG/U/WITCH	E-CERTIFIED;E-PLAYER-PACE;E-AUDIT;E-CECOS;E-VOICE	DG_C12	Ask only when Sultai and a listed competitor remain close.	Do not test ruthlessness or values.	JRG_BOARD	Board means the cards and tokens on the battlefield.	DESIGN-ONLY-NONSCORING
b1.crucible.temur.v1	Crucible	26	C01	The table changes and your planned sequence no longer fits. What should the deck do?	b1.crucible.temur.v1.adapt;b1.crucible.temur.v1.reset;b1.crucible.temur.v1.neither	Preference to advance a plan first or preserve resources to answer others.	TEMUR vs G/INK/GLINT/PRISMARI/LOREHOLD	E-CERTIFIED;E-PLAYER-PACE;E-AUDIT;E-CECOS;E-VOICE	DG_C01	Ask only when Temur and a listed competitor remain close.	Do not equate improvisation with personality.	JRG_BOARD;JRG_ENGINE	Board means the cards and tokens on the battlefield. An engine is a card or group of cards that repeatedly helps your deck—for example by drawing cards, making mana or tokens, or building counters.	DESIGN-ONLY-NONSCORING
b1.crucible.esper.v1	Crucible	27	C06	You have answered the immediate threat and can now turn control into advantage. What structure do you want?	b1.crucible.esper.v1.designed;b1.crucible.esper.v1.flexible;b1.crucible.esper.v1.neither	Preference for one central engine, replaceable pieces, or overlapping small engines.	ESPER vs U/YORE/JESKAI/W/WU	E-CERTIFIED;E-PLAYER-COMMANDER;E-PLAYER-THREAT;E-AUDIT;E-CECOS;E-VOICE	DG_C06	Ask only when Esper and a listed competitor remain close after independent observations.	Do not treat control, artifacts, or one answer as Esper proof.	JRG_ENGINE;JRG_PERMANENT;JRG_THREAT	An engine is a card or group of cards that repeatedly helps your deck—for example by drawing cards, making mana or tokens, or building counters. Permanent means a card or token on the battlefield. Players use threat for a card, battlefield, or plan they believe they need to answer.	DESIGN-ONLY-NONSCORING
b1.crucible.jeskai.v1	Crucible	28	C08	You can attack this turn, but an opponent may make a decisive play before your next turn. What timing fits?	b1.crucible.jeskai.v1.sequence;b1.crucible.jeskai.v1.commit;b1.crucible.jeskai.v1.wait	Preference to commit mana on one's own turn or retain options during opponents' turns.	JESKAI vs INK/LOREHOLD/W/U/NAYA/ESPER	E-CERTIFIED;E-PLAYER-PACE;E-PLAYER-THREAT;E-AUDIT;E-CECOS;E-VOICE	DG_C08	Ask only when Jeskai and a listed competitor remain close after independent observations.	Do not treat combat, open mana, or one answer as Jeskai proof.	JRG_INTERACTION	Interaction means an answer to another player's spell, ability, attack, or permanent.	DESIGN-ONLY-NONSCORING
b1.crucible.yore-glint.v1	Crucible	29	C09	When a complex engine starts, how predictable should the next turn be?	b1.crucible.yore-glint.v1.engineered;b1.crucible.yore-glint.v1.improvise;b1.crucible.yore-glint.v1.neither	Preference for familiar access to a central plan or greater game-to-game variance.	YORE vs GLINT	E-CERTIFIED;E-PLAYER-VARIANCE;E-AUDIT;E-CECOS;E-VOICE	DG_C09	Ask only when Yore/Glint remain close.	Do not infer missing-color philosophy.	JRG_ENGINE	An engine is a card or group of cards that repeatedly helps your deck—for example by drawing cards, making mana or tokens, or building counters.	DESIGN-ONLY-NONSCORING
b1.crucible.glint-dune.v1	Crucible	30	C11	When you become the threat, what shape should that pressure take?	b1.crucible.glint-dune.v1.shifting;b1.crucible.glint-dune.v1.front;b1.crucible.glint-dune.v1.neither	Preference to avoid early attention, adapt to attention, or embrace being the visible threat.	GLINT vs DUNE	E-CERTIFIED;E-PLAYER-THREAT;E-AUDIT;E-CECOS;E-VOICE	DG_C11	Ask only when Glint/Dune remain close.	Do not infer aggression or color absence.	JRG_THREAT;JRG_BOARD	Players use threat for a card, battlefield, or plan they believe they need to answer. Board means the cards and tokens on the battlefield.	DESIGN-ONLY-NONSCORING
b1.crucible.dune-ink.v1	Crucible	31	C13	Several players can benefit from your board. What public commitment do you prefer?	b1.crucible.dune-ink.v1.front;b1.crucible.dune-ink.v1.commons;b1.crucible.dune-ink.v1.neither	How much spoken table agreements should bind later choices.	DUNE vs INK	E-CERTIFIED;E-PLAYER-PACE;E-AUDIT;E-CECOS;E-VOICE	DG_C13	Ask only when Dune/Ink remain close.	Do not infer altruism, force, or morality.	JRG_PUBLIC_COMMITMENT;JRG_BOARD	Here, public commitment means an agreement stated so the table can hear it. Board means the cards and tokens on the battlefield.	DESIGN-ONLY-NONSCORING
b1.crucible.ink-witch.v1	Crucible	32	C14	Your deck can influence the game early or keep resources to build toward larger turns. Which timing fits?	b1.crucible.ink-witch.v1.share;b1.crucible.ink-witch.v1.compound;b1.crucible.ink-witch.v1.depends	How long a deck may develop before meaningfully affecting the table.	INK vs WITCH	E-CERTIFIED;E-PLAYER-PACE;E-AUDIT;E-CECOS;E-VOICE	DG_C14	Ask only when Ink/Witch remain close.	Do not infer generosity or selfishness.			DESIGN-ONLY-NONSCORING
b1.crucible.witch-yore.v1	Crucible	33	C06	When an engine organizes your plan, which structure do you want?	b1.crucible.witch-yore.v1.compound;b1.crucible.witch-yore.v1.convert;b1.crucible.witch-yore.v1.neither	Preference for one central engine, replaceable pieces, or overlapping small engines.	WITCH vs YORE	E-CERTIFIED;E-PLAYER-COMMANDER;E-AUDIT;E-CECOS;E-VOICE	DG_C06	Ask only when Witch/Yore remain close.	Do not infer nature versus artifice.	JRG_ENGINE	An engine is a card or group of cards that repeatedly helps your deck—for example by drawing cards, making mana or tokens, or building counters.	DESIGN-ONLY-NONSCORING
