source	role	what_it_supports	what_it_does_not_support
data/scryfall/raw/bulk-manifest.json + oracle-cards.json	current card-data corpus (2026-08-20 bulk)	Commander legality fields, color identity, type line, Oracle text, and enumerated command-zone components	A player's motive, preference, philosophy, or Vox Mana identity
C:/Users/obake/Downloads/MTG_Partner_Commander_Database_Enriched_Four_Color_Frontier.xlsx	verified analytical workbook	Independent 2026-07-13 baseline of 124 Partner components, 2,017 legal pairs, 43 four-color pairs, and 11 WUBR pairs	Current completeness after its snapshot or behavioral identity
C:/Users/obake/Downloads/Commander_Scryfall_Query_Atlas.pdf	retrieval framework	Difference between exact and subset color-identity searches; bounded archetype query recipes	Legal paired command-zone enumeration or identity evidence
Wizards Commander format and Partner rules	primary rules framework	Combined command-zone color identity and restrictions for generic Partner, Partner variants, named Partner, and Doctor's companion	Any Yore behavioral construct
C:/Users/obake/Downloads/extracts_Corpus/manual_raw/8_14_26/32 Deck Challenge_FillablePDF_buildIntoApp.txt	direct player evidence	One player describes rule-zero Yore-Tiller as a fun reanimator	Legal Commander status, population prevalence, or a second independent Yore construct
C:/Users/obake/Downloads/extracts_Corpus/CodexAssist/web-research/raw/comments/WEB-mtgsalvation-four-color-manabase-comments.md	direct player evidence	One Breya builder describes artifact focus, artifact reanimation, utility lands, and setup choices	A stable cross-player Yore preference or separation from generic recursion/toolbox play
C:/Users/obake/Downloads/extracts_Corpus/CodexAssist/youtube-research/raw/comments/YT-command-zone-196-biggest-commander-mistakes-comments.md	direct player evidence	One Breya player describes multiple win options and assembling an established combo	Construct independence, Yore uniqueness, or freedom from combo/optimization false positives
C:/Users/obake/Downloads/Pasted%20text%28339%29.md	generic Commander framework / negative control	Singleton decks commonly use functional equivalence, redundancy, recursion, role density, modular utility, and commander-independent resilience	Yore-specific naming authority
docs/architecture/colors/yore/identity.md + metaphysics.md	certified semantic authority	Yore's center and explicit exclusions: constructed agency against natural surrender; mechanics alone are insufficient	New behavioral observation or permission to name from artifacts/redundancy
data/placement/gate-b1-mapping.source.json + VM-551/555 adjudications	current placement authority	C06 replacement and C09 repeatability are independent but presently approximate, non-naming Yore directions	Permission to upgrade without new behavioral evidence
