Record ID	Type	Term	Aliases	Proposed copy	Provenance role	Primary locator	Supporting locators	Limitations	Disposition	Owner decision	Replacement locator	Copy SHA-256
glossary_aristocrats	GLOSSARY_TERM	Aristocrats		Winning through creatures dying, sacrifice loops, and drain or value payoffs.	vox_mana_commander_vocabulary	data/taxonomy/vox-mana-tags.json#aristocrats		A teaching definition only; the term does not prove an identity, placement, power level, or player preference.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_aristocrats	4584a875562c3c6731c93ebd06ce3abdb5d107d616773c6cc5e1f6f649da4c82
glossary_big_spell_storm	GLOSSARY_TERM	Big Spell Storm	big-spell storm	A spellslinger plan that builds mana and spell count toward a concentrated turn of large spells; it may use the Storm keyword, but does not have to.	deterministic_taxonomy_composition	data/taxonomy/vox-mana-tags.json#big-mana	data/taxonomy/vox-mana-tags.json#spellslinger | data/taxonomy/vox-mana-tags.json#storm	A proposed Vox Mana teaching label, not an official rules term. Owner review must confirm that the composition is useful and does not blur the Storm keyword.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_big_spell_storm	81609579f08bdeb3a157ea2f19c2be74feed61b1d577c3467078a671065d6147
glossary_blink_flicker	GLOSSARY_TERM	Blink/Flicker	blink | flicker	Exiling permanents and returning them to reuse enter-the-battlefield effects or dodge removal.	vox_mana_commander_vocabulary	data/taxonomy/vox-mana-tags.json#blink		A teaching definition only; the term does not prove an identity, placement, power level, or player preference.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_blink_flicker	4ef2cbd904a651482257028a9a27ffa655d0d4abf75a543cf774adbd269b607f
glossary_colorless_mana	GLOSSARY_TERM	Colorless mana	true colorless source	Colorless mana is mana with no color. A {C} cost can be paid only with colorless mana.	official_game_rule	docs/research/colorless/source-material/official/colorless-off-001-current-comprehensive-rules.md#rules-106-10-107-4c	https://magic.wizards.com/en/rules	Explains the game term only; it does not establish an identity relationship or placement preference.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_colorless_mana	390411cc29919109e13f1f18305abf95b49f2e8f349428ebd82cd096be19d0dd
glossary_convoke	GLOSSARY_TERM	Convoke		As you cast a spell with convoke, your creatures can be tapped to help pay its mana cost; each tapped creature pays for one mana of its color or one generic mana.	official_game_rule	https://magic.wizards.com/en/news/feature/guilds-ravnica-mechanics-2018-09-04#convoke	https://magic.wizards.com/en/rules	Explains the game term only; it does not establish an identity relationship or placement preference.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_convoke	3b687c46e653566bbde6b3cc93f8e3d7f6dc8f72fdc9c53250a044bab4d8405e
glossary_devoid	GLOSSARY_TERM	Devoid		A card with devoid is colorless even if colored mana symbols appear in its mana cost. Devoid does not remove those colors from the card's Commander color identity.	official_game_rule	https://magic.wizards.com/en/news/feature/modern-horizons-3-mechanics#devoid	https://magic.wizards.com/en/rules	Explains the game term only; it does not establish an identity relationship or placement preference.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_devoid	3e7d1e3dcae938fb0ddbc7f12c2218d37132efe226d5d2d88e7c2bc1a64cd2d9
glossary_etb	GLOSSARY_TERM	ETB	enters the battlefield | enter-the-battlefield	Using effects that trigger when permanents enter the battlefield.	vox_mana_commander_vocabulary	data/taxonomy/vox-mana-tags.json#etb		A teaching definition only; the term does not prove an identity, placement, power level, or player preference.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_etb	31ad8fb2d0a1bb25966c36388b6a4675f36c72a5d1683e474f9870bbf09c98f9
glossary_generic_mana	GLOSSARY_TERM	Generic mana	generic cost | generic mana cost	A generic mana cost is shown with a number and can be paid with mana of any color or with colorless mana; it is a cost, not a type of mana.	official_game_rule	docs/research/colorless/source-material/official/colorless-off-001-current-comprehensive-rules.md#rules-107-4b-107-4c	https://magic.wizards.com/en/rules	Explains the game term only; it does not establish an identity relationship or placement preference.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_generic_mana	b0ecb7482987addf912c2d0322f2aef8f575d6d1f3f6bf7fadfbcd0b180a25a9
glossary_goad	GLOSSARY_TERM	Goad	goaded	Until your next turn, a goaded creature attacks each combat if able and attacks a player other than you if able.	official_game_rule	https://magic.wizards.com/en/news/making-magic/its-another-conspiracy-2016-08-15#goad	https://magic.wizards.com/en/rules	Explains the game term only; it does not establish an identity relationship or placement preference.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_goad	94dba553a65589f416b72e9ca14203893f254fb39b8c91595c2435909af1268c
glossary_mana_rocks	GLOSSARY_TERM	Mana rocks	mana rock	Getting access to more mana than normal for your turn count.	vox_mana_commander_vocabulary	data/taxonomy/vox-mana-tags.json#ramp		A teaching definition only; the term does not prove an identity, placement, power level, or player preference.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_mana_rocks	bfdfcc9ba8d9407890571ac294f4c8bc07eab4030bc41696b3a06f58a7011593
