id,school,color_pair,card_name,source_set_or_product,canonical_basis,structural_role,mechanical_signal,lorehold_expression_axis,core_pattern,white_signal,red_signal,artifact_relic_signal,spirit_history_signal,excavation_signal,historical_medium,narrative_taxon,animation_signature,translation_hook,ui_use,confidence,source_url
LOREHOLD-001,Lorehold,Red/White,Ageless Guardian,Strixhaven: School of Mages,Lorehold-aligned STX campus card / white guardian archetype,campus sentinel,defensive body / guardian pressure point,preserve the site before interpreting it,excavation + precedent -> revived action,5,1,1,2,2,"campus stone, vigilance, custodial duty",preservation duty,stone shield pulse,ConstraintField,"Use for low-heat Lorehold reads: custody, preservation, held ground.",medium,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-002,Lorehold,Red/White,"Alibou, Ancient Witness",Commander 2021 / Lorehold Legacies,Lorehold-watermarked Commander 2021 card; secondary commander for Lorehold Legacies,ancient witness,artifact creature attack trigger / damage + scry,relics become testimony in motion,excavation + precedent -> revived action,4,4,5,4,4,"animated artifact witness, recovered machine-memory",relic testimony,bronze eye flare + attack-scry sweep,AccretionEngine,Flag artifact-heavy Lorehold as remembered machinery waking into action.,high,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-003,Lorehold,Red/White,Angel of the Ruins,Commander 2021 / Lorehold Legacies,Official Lorehold Legacies deck card / ruin-relic motif,ruin purifier,artifact/enchantment exile on entry; cycling as archaeological routing,"cleanse the site, preserve the lesson",excavation + precedent -> revived action,5,1,4,3,5,"ruin-angel, recovered monument, removal-as-restoration",site restoration,dust wings + relic exile flash,Detain,"Use as white-side removal that feels like excavation cleanup, not generic control.",medium,https://magic.wizards.com/en/news/announcements/commander-2021-edition-decklists-2021-04-05
LOREHOLD-004,Lorehold,Red/White,Antiquities on the Loose,Secrets of Strixhaven,Scryfall set:sos Lorehold watermark result,unsealed relic event,antiquity/relic release pressure,the archive breaks containment,excavation + precedent -> revived action,2,5,5,3,5,"loose artifacts, broken seals, animated finds",reckless excavation,relic-case burst + tumbling artifacts,Override,Use when a Lorehold panel needs red-side adventure and dangerous discovery.,high,https://scryfall.com/search?as=grid&order=name&q=set%3Asos+watermark%3Alorehold&unique=cards
LOREHOLD-005,Lorehold,Red/White,Archaeomancer's Map,Commander 2021 / Lorehold Legacies,Official Lorehold Legacies deck card; archaeomancy naming and product fit,field-route map,land catch-up / map-based resource recovery,history must be mapped before it can be restored,excavation + precedent -> revived action,5,1,4,2,5,"field map, parchment, annotated routes",archival method,map-line draw + plains marker glow,ConstraintField,Use for planning/route UI states and resource normalization.,high,https://magic.wizards.com/en/news/announcements/commander-2021-edition-decklists-2021-04-05
LOREHOLD-006,Lorehold,Red/White,"Augusta, Dean of Order // Plargg, Dean of Chaos",Strixhaven: School of Mages,Lorehold dean card; white order/red chaos dichotomy,college tension embodiment,team formation / rummage-discovery; modal dean split,order records; chaos discovers,excavation + precedent -> revived action,5,5,2,4,4,"dean office, field notes, orderly archive vs reckless dig",order_vs_chaos,split-panel dean pivot,ConstraintField,Best single row for explaining Lorehold as RW tension rather than Boros combat.,high,https://magic.wizards.com/en/news/feature/planeswalkers-guide-strixhaven-2021-04-01
LOREHOLD-007,Lorehold,Red/White,"Augusta, Order Returned",Secrets of Strixhaven,Wizards SOS story and Lorehold character continuity,returned dean,spirit/stone authority; order after death,precedent survives the body,excavation + precedent -> revived action,5,2,4,5,3,"statue-spirit dean, school charter, living precedent",living precedent,stone apparition + rule-line glow,Detain,Use for afterlife-as-institution and guardian-mentor panel copy.,high,https://magic.wizards.com/en/news/magic-story/secrets-of-strixhaven-field-studies-in-a-future-tense
LOREHOLD-008,Lorehold,Red/White,Audacious Reshapers,Commander 2021 / Lorehold Legacies,Official Lorehold Legacies deck card,reckless refitter,sacrifice artifact to reveal/cheat artifact; self-risk,break the relic to rebuild the future,excavation + precedent -> revived action,1,5,5,1,4,"workshop accident, refitted relic, dangerous prototype",reckless reconstruction,sparking gear rupture,Override,Use for high-risk artifact transformation and red-side dig energy.,high,https://edhrec.com/precon/lorehold-legacies
LOREHOLD-009,Lorehold,Red/White,Blade Historian,Strixhaven: School of Mages,Lorehold-aligned STX battle-history card,battle chronicler,double strike anthem / martial history embodied,history becomes combat doctrine,excavation + precedent -> revived action,4,5,2,4,2,"war scrolls, battlefield precedent, blade lecture",war memory,crossed-blade manuscript flare,AccretionEngine,"Use for Lorehold combat outputs that feel like doctrine, not simple aggression.",high,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-010,Lorehold,Red/White,Bronze Guardian,Commander 2021 / Lorehold Legacies,Official Lorehold Legacies deck card,relic protector,artifact ward / power scaling with artifacts,the hoard guards itself,excavation + precedent -> revived action,5,1,5,3,4,"bronze statue, warded collection, animated defense",preservation duty,bronze ward lattice,ConstraintField,Use when artifact density should read as protected archive.,high,https://edhrec.com/precon/lorehold-legacies
LOREHOLD-011,Lorehold,Red/White,Defossilize,Secrets of Strixhaven,Scryfall set:sos Lorehold watermark result / archaeomancy theme,fossil revival spell,restore ancient remains / revive preserved form,the buried past stands up again,excavation + precedent -> revived action,3,3,4,5,5,"fossils, strata, revived remains",revived history,bone-dust assembly,AccretionEngine,Use for explicit excavation-to-reanimation patterns.,high,https://scryfall.com/search?as=grid&order=name&q=set%3Asos+watermark%3Alorehold&unique=cards
LOREHOLD-012,Lorehold,Red/White,Digsite Engineer,Commander 2021 / Lorehold Legacies,Official Lorehold Legacies deck card,field engineer,artifact creation / construct production,excavation needs tools and teams,excavation + precedent -> revived action,4,2,5,2,5,"digsite scaffolds, field constructs, tools",archaeological logistics,tool-grid construct spark,ConstraintField,Use for UI modules that translate messy discovery into field systems.,high,https://edhrec.com/precon/lorehold-legacies
LOREHOLD-013,Lorehold,Red/White,Doomskar Oracle,Strixhaven: School of Mages,Lorehold-aligned STX spirit/white support card,battle oracle,spirit support / lifegain from second spell,ritual repetition reads the battle,excavation + precedent -> revived action,5,2,1,5,1,"oracle chant, spirit lesson, battlefield omen",spiritual instruction,oracle ring + second-spell pulse,AccretionEngine,Use for repeated-action Lorehold that feels ceremonial.,medium,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-014,Lorehold,Red/White,Fuming Effigy,Strixhaven: School of Mages,Lorehold-aligned STX graveyard-leaves card,angry monument,cards leaving graveyard trigger damage,disturbed history lashes out,excavation + precedent -> revived action,1,5,4,5,4,"effigy, grave-dust, offended monument",disturbed monument,statue smoke + ember ping,Override,Use as the cleanest red-side marker for Lorehold graveyard-leaves identity.,high,https://scryfall.com/search?q=wm%3Alorehold
