construct_id	name	plain_definition	commander_example	does_not_mean	applicable_identity_families	likely_confusion_pairs	required_evidence	stage	dependency_overlap	allowed_primary_signals	scoring_boundary
C01	Initiative posture	Preference to advance a plan first or preserve resources to answer others.	Develop the main plan on an open turn versus wait with responses.	Aggression, skill, speed, or power.	all; mono; guild; shard/wedge	R/U; Grixis/Temur; Jeskai/Mardu	E-PLAYER-PACE;E-PLAYER-THREAT;E-CECOS; future player comparison across calm, behind, and disrupted contexts	Gate	All C01 scenarios share DG_C01 and cannot stack. Initiative posture may vary by game context; systematic divergence requires later split or restriction before scoring authority.	SIG_C01_BALANCED;SIG_C01_PROACTIVE;SIG_C01_REACTIVE;SIG_C01_UNKNOWN	Observation capture only; no weights or identity points.
C02	Resource visibility	Preference for power visible on the battlefield or held in hand, mana, or other less visible zones.	End a turn with useful permanents versus cards and mana held back.	Deception, control, fairness, or actual threat.	all; Dimir; Grixis; visible-pressure families	U/UB; Glint/Grixis; Colorless/WUBRG	E-PLAYER-THREAT;E-PLAYER-PACE;E-CECOS	Gate	Overlaps C08 and C11; visibility is not threat level.	SIG_C02_CONDITIONAL;SIG_C02_HELD;SIG_C02_MIXED;SIG_C02_VISIBLE	Observation capture only; no weights or identity points.
C03	Disruption response	Preference to protect an established position, reduce exposure, or recover after broad disruption.	Prepare protection before a board wipe versus recovery afterward.	Resilience, interaction density, or high power.	all; White; Abzan; Bant; Boros; Lorehold	Boros/Lorehold; White/Bant; Abzan/Witch	E-PLAYER-PACE;E-PLAYER-COMMANDER;E-CECOS	Gate	Overlaps C05/C06; commander protection is not commander dependence.	SIG_C03_CONDITIONAL;SIG_C03_LIMIT_EXPOSURE;SIG_C03_PROTECT;SIG_C03_RECOVER;SIG_C03_UNKNOWN	Observation capture only; no weights or identity points.
C04	Advantage tempo	Preference for repeated small gains, cycles, or one concentrated payoff.	Draw or build a little each turn versus save for one major sequence.	Game length, ending mode, or power.	all; Red; Izzet; Prismari; engine families	Izzet/Prismari; Red/Jeskai; Witch/Yore	E-PLAYER-PACE;E-PLAYER-THREAT;E-CECOS	Gate	Overlaps C14; setup length and payoff rhythm differ.	SIG_C04_CONCENTRATED;SIG_C04_CONDITIONAL;SIG_C04_CYCLICAL;SIG_C04_INCREMENTAL;SIG_C04_UNKNOWN	Observation capture only; no weights or identity points.
C05	Commander reliance	How much the deck should depend on its commander being available.	Commander as centerpiece versus role-player while the 99 still functions.	Commander affection, synergy, or strength.	all	Bant/Witch; mono/multicolor; commander-centric/resilient 99	E-PLAYER-COMMANDER;E-CECOS	Hall	Separate from C03 protection and C06 engine concentration.	SIG_C05_CENTERPIECE;SIG_C05_RESILIENT_99;SIG_C05_ROLE_PLAYER;SIG_C05_UNKNOWN	Observation capture only; no weights or identity points.
C06	Engine concentration	Preference for one central engine, replaceable pieces, or overlapping small engines.	One permanent makes the plan work versus several interchangeable pieces.	Consistency, tutoring, complexity, or commander reliance.	all; Esper; Simic; Quandrix; Yore; Witch	Simic/Quandrix; Witch/Yore; Esper/Yore	E-PLAYER-COMMANDER;E-PLAYER-VARIANCE;E-CECOS	Hall	Overlaps C05/C09; shares a dependency group.	SIG_C06_CENTRAL;SIG_C06_MODULAR;SIG_C06_REDUNDANT;SIG_C06_UNKNOWN	Observation capture only; no weights or identity points.
C07	Pressure channel	Preferred way to move the game toward an ending.	Combat damage, narrowed resources, or an assembled noncombat engine.	Power, morality, speed, or opponent enjoyment.	all; Boros; Gruul; Naya; Mardu; Dune	Boros/Lorehold; Naya/Dune; Temur/Mardu	E-PLAYER-THREAT;E-PLAYER-PACE;E-CECOS	Hall	Overlaps C04/C11; ending mode is not payoff rhythm or visibility.	SIG_C07_COMBAT;SIG_C07_NONCOMBAT_ENGINE;SIG_C07_RESOURCE_CONTROL	Observation capture only; no weights or identity points.
C08	Mana commitment and interaction window	Preference to commit mana on one's own turn or retain options during opponents' turns.	Spend mana developing now versus leave it for a key opposing action.	Personality, skill, interaction density, or Blue identity.	all; Blue; Azorius; Esper; Jeskai	U/WU; Jeskai/Esper; mono/multicolor	E-PLAYER-PACE;E-PLAYER-THREAT;E-CECOS	Hall	C01 and both C08 items share a cap when they describe one cadence.	SIG_C08_COMMIT_WINDOW;SIG_C08_EARLY_WINDOW;SIG_C08_LATE_WINDOW;SIG_C08_OPPONENT_TURN;SIG_C08_OWN_TURN;SIG_C08_SPLIT	Observation capture only; no weights or identity points.
C09	Repeatability preference	Preference for familiar access to a central plan or greater game-to-game variance.	Use redundancy to see the same plan often versus accept different routes.	Tutor count, optimization, competence, or budget.	all; Izzet; Yore; Glint; WUBRG	Yore/Glint; Izzet/Prismari; mono/multicolor	E-PLAYER-VARIANCE;E-PLAYER-PACE;E-CECOS	Hall	Overlaps C06; repeatability is not engine centrality.	SIG_C09_CONSISTENT;SIG_C09_TOOLBOX;SIG_C09_UNKNOWN;SIG_C09_VARIANT	Observation capture only; no weights or identity points.
C10	Theme-efficiency tradeoff	Willingness to keep thematic expression when a more reliable role-player exists.	Keep an on-theme card versus replace it with a more efficient equivalent.	Low power, inexperience, budget, or aesthetic color preference.	all; colleges; Ink; Colorless; WUBRG	Prismari/Izzet; Ink/Witch; Colorless/WUBRG	E-PLAYER-THEME;E-PLAYER-COMMANDER;E-PLAYER-PACE;E-CECOS	Hall	A secondary deckbuilding layer; never sufficient for identity.	SIG_C10_CONDITIONAL;SIG_C10_EFFICIENCY_FIRST;SIG_C10_THEME_FIRST	Observation capture only; no weights or identity points.
