id,card_name,set_or_context,type_line,color_identity,canonical_basis,mechanic_or_role,primary_mechanic_tags,board_role,tempo_profile,structural_axis,vox_mana_read,narrative_tags,animation_hook,placement_usage,source_url
SIMIC-001,Aquastrand Spider,Dissension,Creature — Spider Mutant,G,Simic watermark / Dissension graft anchor,graft / reach,graft,early blocker; counter seed,scaling / compounding,cytoplast lattice,A low-cost organism carrying transferable growth counters into the ecosystem.,graft; +1/+1 counters,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-002,Assault Zeppelid,Dissension,Creature — Beast,G/U,Simic watermark / Dissension creature,evasive body,evasion,airborne pressure,threat pressure,hybridized muscle and flight,A blunt aerial krasis that turns biological scale into combat pressure.,krasis,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-003,Coiling Oracle,Dissension,Creature — Snake Elf Druid,G/U,Simic watermark / iconic Simic card,ETB value / ramp draw,reveal/ramp,information-growth bridge,resource acceleration,symbiotic omen,"The perfect Simic sentence: reveal, learn, grow, or draw.",knowledge; growth,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-004,Cytoplast Manipulator,Dissension,Creature — Human Wizard Mutant,U,Simic watermark / graft control anchor,counter control / theft,graft/control,hostile adaptation,scaling / compounding,cytoplast command field,Counter placement becomes social control: marked organisms can be redirected.,graft; +1/+1 counters; override,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-005,Cytoplast Root-Kin,Dissension,Creature — Elemental Mutant,G,Simic watermark / graft payoff,counter lord / graft payoff,graft/payoff,board amplification,scaling / compounding,root-system surge,The board becomes a shared organism where every counter matters.,graft; +1/+1 counters,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-006,Cytoshape,Dissension,Instant,G/U,Simic watermark / biomancy spell,temporary transformation,copy/transform,combat trick,utility / flexible,cellular mimicry,Identity becomes mutable for one critical exchange.,biomancy,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-007,Cytospawn Shambler,Dissension,Creature — Elemental Mutant,G,Simic watermark / graft finisher,large graft body,graft/body,top-end mass,scaling / compounding,mutant overgrowth,A huge adapted body that carries stored growth into the field.,graft; adapt,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-008,Experiment Kraj,Dissension,Legendary Creature — Ooze Mutant,G/U,Simic leader-adjacent legendary / experiment apex,activated ability assimilation,counter/ability theft,engine commander,scaling / compounding,apex cytoplast organism,Kraj turns every enhanced creature into part of its own nervous system.,+1/+1 counters; override,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-009,Helium Squirter,Dissension,Creature — Beast Mutant,U,Simic watermark / graft evasion,graft / grants flying,graft/evasion,mobility mutation,scaling / compounding,buoyant adaptation,The organism spreads flight as a transferable adaptation.,graft; adapt,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-010,"Momir Vig, Simic Visionary",Dissension,Legendary Creature — Elf Wizard,G/U,Simic founder / named guild visionary,creature tutoring,creature tutor,guild founder strategist,utility / flexible,biomantic search algorithm,The founder treats every organism as a searchable branch of the future.,biomancy,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
