proposal_id	proposal_type	identity_key	canonical_card_name	canonical_card_id	proposed_copy	provenance	limitations	disposition	owner_decision	replacement_locator
packet1_rationale_abzan_2b3f791a_d672_46fb_a03a_96e19f2c3121	CARD_RATIONALE	ABZAN	Felothar the Steadfast	2b3f791a-d672-46fb-a03a-96e19f2c3121	Felothar makes an Abzan defensive board matter in combat: creatures assign combat damage using toughness, and defenders can attack.	{"identity_authority":"data/raw-factions/abzan/abzan.claims.json","certified_identity_claims":[{"claim_id":"abzan_claim_0002","statement":"Abzan's design identity emphasizes endurance and survival through proactive defense, active defense, long-game planning, and Green growth after pressure is survived."},{"claim_id":"abzan_claim_0011","statement":"The official Tarkir: Dragonstorm Commander Decklists page verifies Abzan Armor as a White; Black; Green Commander deck with Felothar the Steadfast as face commander and Betor, Ancestor's Voice as featured commander."}],"relationship_lead":"data/raw-factions/abzan/abzan.claims.json#abzan_claim_0011","canonical_card_data":"data/scryfall/indexes/commander-index.json#oracle_id=2b3f791a-d672-46fb-a03a-96e19f2c3121","evidence_roles":{"identity_ownership":"certified_identity_claims","card_behavior":"canonical_card_data","proposed_bridge":"owner_review_required"}}	This proposal joins verified card behavior to the cited certified identity claims for owner review. The card does not prove the identity by color, product membership, or mechanic alone; it does not infer player motivation. Owner must approve, revise, or reject the exact bounded bridge.	REVIEW_REQUIRED		data/dossier/card-rationale-relationships.source.json#pending-abzan
packet1_rationale_b_cbe3a4e7_5dbe_4f58_8ee6_a1762b65acfd	CARD_RATIONALE	B	K'rrik, Son of Yawgmoth	cbe3a4e7-5dbe-4f58-8ee6-a1762b65acfd	K'rrik makes Black's resource-conversion pattern literal by letting life pay for black mana symbols and rewarding additional black spells with +1/+1 counters.	{"identity_authority":"data/raw-factions/black/black.claims.json","certified_identity_claims":[{"claim_id":"black_claim_0004","statement":"Black's thematic center includes death, fear, pain, decay, disease, corruption, manipulation, sacrifice, individualism, and resource conversion; it distrusts self-denial for others' sake."},{"claim_id":"black_claim_0007","statement":"Black's mechanical texture includes unconditional creature destruction, discard, sacrifice, reanimation, graveyard use, life as a cost, drain, deathtouch, menace, and card draw paid for with resources."}],"relationship_lead":"data/raw-factions/black/black.claims.json#black_claim_0007","canonical_card_data":"data/scryfall/indexes/commander-index.json#oracle_id=cbe3a4e7-5dbe-4f58-8ee6-a1762b65acfd","evidence_roles":{"identity_ownership":"certified_identity_claims","card_behavior":"canonical_card_data","proposed_bridge":"owner_review_required"}}	This proposal joins verified card behavior to the cited certified identity claims for owner review. The card does not prove the identity by color, product membership, or mechanic alone; it does not infer player motivation. Owner must approve, revise, or reject the exact bounded bridge.	REVIEW_REQUIRED		data/dossier/card-rationale-relationships.source.json#pending-b
packet1_rationale_colorless_ec726c54_987b_48ed_8ffa_ec73a5e35333	CARD_RATIONALE	COLORLESS	Zhulodok, Void Gorger	ec726c54-987b-48ed-8ffa-ec73a5e35333	Zhulodok is a bounded example of Colorless's Eldrazi-scale branch: colorless spells cast from hand with mana value seven or greater receive cascade twice.	{"identity_authority":"data/raw-factions/colorless/colorless.claims.json","certified_identity_claims":[{"claim_id":"colorless_claim_0005","statement":"Commander, five-color Eldrazi, and Phyrexia material must remain bounded: Eldrazi Unbound is support-only Colorless Commander texture, Eldrazi Incursion is five-color comparator support, Phyrexia is distinction-only context, and none of these independently authorizes broad Commander viability, lore proof, placement eligibility, or raw claim expansion."},{"claim_id":"colorless_claim_0006","statement":"Colorless can be used as controlled placement attraction for players drawn to a chosen restriction outside WUBRG: artifact-machine problem solving, Eldrazi scale, Wastes or terrain austerity, clean mana systems, resource denial, or engine-expression play. This is Vox Mana placement synthesis, not official MTG color philosophy."}],"relationship_lead":"data/raw-factions/colorless/colorless.claims.json#colorless_claim_0005","canonical_card_data":"data/scryfall/indexes/commander-index.json#oracle_id=ec726c54-987b-48ed-8ffa-ec73a5e35333","evidence_roles":{"identity_ownership":"certified_identity_claims","card_behavior":"canonical_card_data","proposed_bridge":"owner_review_required"}}	This proposal joins verified card behavior to the cited certified identity claims for owner review. The card does not prove the identity by color, product membership, or mechanic alone; it does not infer player motivation. Owner must approve, revise, or reject the exact bounded bridge.	REVIEW_REQUIRED		data/dossier/card-rationale-relationships.source.json#pending-colorless
packet1_rationale_dune_e54d207c_51b8_458e_86a1_2633ac064c8e	CARD_RATIONALE	DUNE	Saskia the Unyielding	e54d207c-51b8-458e-86a1-2633ac064c8e	Saskia turns visible combat into concentrated pressure: you choose a player, and combat damage dealt elsewhere is repeated against that player.	{"identity_authority":"data/raw-factions/dune/dune.claims.json","certified_identity_claims":[{"claim_id":"dune_claim_0003","statement":"The Dune / Aggression BRGW four-color lane is framed by the color it excludes: Blue."},{"claim_id":"dune_claim_0005","statement":"The current Dune / Aggression frame may discuss direct action, physical momentum, territorial pressure, organized force, and rejection of detached contemplation, but detailed metaphysical, Commander, strategic, or competitive claims should remain bounded beyond the approved evidence floor."}],"relationship_lead":"data/raw-factions/dune/dune.claims.json#dune_claim_0005","canonical_card_data":"data/scryfall/indexes/commander-index.json#oracle_id=e54d207c-51b8-458e-86a1-2633ac064c8e","evidence_roles":{"identity_ownership":"certified_identity_claims","card_behavior":"canonical_card_data","proposed_bridge":"owner_review_required"}}	This proposal joins verified card behavior to the cited certified identity claims for owner review. The card does not prove the identity by color, product membership, or mechanic alone; it does not infer player motivation. Owner must approve, revise, or reject the exact bounded bridge.	REVIEW_REQUIRED		data/dossier/card-rationale-relationships.source.json#pending-dune
packet1_rationale_esper_3268251a_8292_44f9_9267_c961b182f739	CARD_RATIONALE	ESPER	Y'shtola, Night's Blessed	3268251a-8292-44f9-9267-c961b182f739	Y'shtola links planned noncreature spells and a known life-loss threshold to repeatable card access and pressure.	{"identity_authority":"data/raw-factions/esper/esper.claims.json","certified_identity_claims":[{"claim_id":"esper_claim_0003","statement":"Esper's Blue-centered design philosophy treats potential as accessible through knowledge, planning, change, and applied information."},{"claim_id":"esper_claim_0006","statement":"Black supports Esper's Blue center through control, information value, focus, and vision, while introducing ethical risk."}],"relationship_lead":"data/raw-factions/esper/esper.claims.json#esper_claim_0003","canonical_card_data":"data/scryfall/indexes/commander-index.json#oracle_id=3268251a-8292-44f9-9267-c961b182f739","evidence_roles":{"identity_ownership":"certified_identity_claims","card_behavior":"canonical_card_data","proposed_bridge":"owner_review_required"}}	This proposal joins verified card behavior to the cited certified identity claims for owner review. The card does not prove the identity by color, product membership, or mechanic alone; it does not infer player motivation. Owner must approve, revise, or reject the exact bounded bridge.	REVIEW_REQUIRED		data/dossier/card-rationale-relationships.source.json#pending-esper
packet1_rationale_g_6c2c8bf3_9bf8_4a86_89d3_3bb36260dc51	CARD_RATIONALE	G	Azusa, Lost but Seeking	6c2c8bf3-9bf8-4a86-89d3-3bb36260dc51	Azusa gives Green's land-based growth a direct Commander example by allowing two additional land plays on each of your turns.	{"identity_authority":"data/raw-factions/green/green.claims.json","certified_identity_claims":[{"claim_id":"green_claim_0004","statement":"Green centers life, growth, nature, reality, community, interdependence, past wisdom, ancestry, tradition, instinct, animals, and plants; it resists unnatural change that creates what was not meant to exist or disrupts ecosystems, while allowing slow purposeful evolution."},{"claim_id":"green_claim_0007","statement":"Green's mechanical texture includes efficient creatures, +1/+1 counters, mana and lands, Fight/Bite, reach, trample, artifact and enchantment destruction, card draw or filtering tied to creatures and lands, and anti-flying tools."}],"relationship_lead":"data/raw-factions/green/green.claims.json#green_claim_0007","canonical_card_data":"data/scryfall/indexes/commander-index.json#oracle_id=6c2c8bf3-9bf8-4a86-89d3-3bb36260dc51","evidence_roles":{"identity_ownership":"certified_identity_claims","card_behavior":"canonical_card_data","proposed_bridge":"owner_review_required"}}	This proposal joins verified card behavior to the cited certified identity claims for owner review. The card does not prove the identity by color, product membership, or mechanic alone; it does not infer player motivation. Owner must approve, revise, or reject the exact bounded bridge.	REVIEW_REQUIRED		data/dossier/card-rationale-relationships.source.json#pending-g
packet1_rationale_glint_9efe8aff_9a7d_4397_b5fd_c1a0fad7c15f	CARD_RATIONALE	GLINT	Yidris, Maelstrom Wielder	9efe8aff-9a7d-4397-b5fd-c1a0fad7c15f	Yidris converts successful combat into volatile follow-up routes by giving spells cast from hand cascade for the rest of that turn.	{"identity_authority":"data/raw-factions/glint/glint.claims.json","certified_identity_claims":[{"claim_id":"glint_claim_0003","statement":"The Glint / Chaos UBRG four-color lane is framed by the color it excludes: White."},{"claim_id":"glint_claim_0005","statement":"The current Glint / Chaos frame may discuss rejection of White-style imposed order, communal obligation, and civic restraint in favor of appetite, adaptation, force, and volatility, but detailed psychology remains bounded and should not be canonized beyond the approved evidence floor."}],"relationship_lead":"data/raw-factions/glint/glint.claims.json#glint_claim_0005","canonical_card_data":"data/scryfall/indexes/commander-index.json#oracle_id=9efe8aff-9a7d-4397-b5fd-c1a0fad7c15f","evidence_roles":{"identity_ownership":"certified_identity_claims","card_behavior":"canonical_card_data","proposed_bridge":"owner_review_required"}}	This proposal joins verified card behavior to the cited certified identity claims for owner review. The card does not prove the identity by color, product membership, or mechanic alone; it does not infer player motivation. Owner must approve, revise, or reject the exact bounded bridge.	REVIEW_REQUIRED		data/dossier/card-rationale-relationships.source.json#pending-glint
packet1_rationale_grixis_f5092c14_eec4_472c_999c_ba96c36b2fbb	CARD_RATIONALE	GRIXIS	Kess, Dissident Mage	f5092c14-eec4-472c-999c-ba96c36b2fbb	Kess turns a spent instant or sorcery into one more planned option by letting you cast one such card from your graveyard during each of your turns.	{"identity_authority":"data/raw-factions/grixis/grixis.claims.json","certified_identity_claims":[{"claim_id":"grixis_claim_0003","statement":"Black's Grixis framing centers survival, self-advocacy, agency, and adapting to reality as it is."},{"claim_id":"grixis_claim_0004","statement":"Blue contributes subtle problem-solving, study, planning, weakness analysis, and information leverage inside Black's Grixis frame."},{"claim_id":"grixis_claim_0006","statement":"The UBR synthesis is Black mixing Red zeal with Blue manipulation and smarts into an actively conniving survival world."}],"relationship_lead":"data/raw-factions/grixis/grixis.claims.json#grixis_claim_0004","canonical_card_data":"data/scryfall/indexes/commander-index.json#oracle_id=f5092c14-eec4-472c-999c-ba96c36b2fbb","evidence_roles":{"identity_ownership":"certified_identity_claims","card_behavior":"canonical_card_data","proposed_bridge":"owner_review_required"}}	This proposal joins verified card behavior to the cited certified identity claims for owner review. The card does not prove the identity by color, product membership, or mechanic alone; it does not infer player motivation. Owner must approve, revise, or reject the exact bounded bridge.	REVIEW_REQUIRED		data/dossier/card-rationale-relationships.source.json#pending-grixis
packet1_rationale_ink_53ee4254_fef7_49ec_aafc_0320987764e6	CARD_RATIONALE	INK	Kynaios and Tiro of Meletis	53ee4254-fef7-49ec-aafc-0320987764e6	Kynaios and Tiro make Ink's shared-resource frame visible: their end-step ability gives every player a chance to develop mana or draw, while their controller also draws.	{"identity_authority":"data/raw-factions/ink/ink.claims.json","certified_identity_claims":[{"claim_id":"ink_claim_0003","statement":"The Ink / Altruism RGWU four-color lane is framed by the color it excludes: Black."},{"claim_id":"ink_claim_0005","statement":"The current Ink / Altruism frame may discuss shared prosperity, community benefit, protected generosity, and open knowledge, but detailed metaphysical, Commander, strategic, comparative, or symbolic claims should remain bounded beyond the approved evidence floor."}],"relationship_lead":"data/raw-factions/ink/ink.claims.json#ink_claim_0005","canonical_card_data":"data/scryfall/indexes/commander-index.json#oracle_id=53ee4254-fef7-49ec-aafc-0320987764e6","evidence_roles":{"identity_ownership":"certified_identity_claims","card_behavior":"canonical_card_data","proposed_bridge":"owner_review_required"}}	This proposal joins verified card behavior to the cited certified identity claims for owner review. The card does not prove the identity by color, product membership, or mechanic alone; it does not infer player motivation. Owner must approve, revise, or reject the exact bounded bridge.	REVIEW_REQUIRED		data/dossier/card-rationale-relationships.source.json#pending-ink
packet1_rationale_jeskai_40ed32a6_ad56_48c7_aecf_b4238c34c212	CARD_RATIONALE	JESKAI	Shiko and Narset, Unified	40ed32a6-ad56-48c7-aecf-b4238c34c212	Shiko and Narset reward deliberate spell sequencing: the second spell each turn can be copied when it targets a permanent or player.	{"identity_authority":"data/raw-factions/jeskai/jeskai.claims.json","certified_identity_claims":[{"claim_id":"jeskai_claim_0002","statement":"Jeskai design identity has Blue as its center through perfection, knowledge, tools, discipline, and self-improvement, with Red adding action and White adding peace, order, structure, and shared form."},{"claim_id":"jeskai_claim_0003","statement":"Cunning is Jeskai's wedge attribute and broad design vocabulary, expressed through knowledge, preparation, tricks, spell interaction, tempo, protection, and prowess-like design texture."},{"claim_id":"jeskai_claim_0011","statement":"The official Tarkir: Dragonstorm Commander Decklists page verifies Jeskai Striker as a White; Blue; Red Commander deck with Shiko and Narset, Unified as face commander and Elsha, Threefold Master as featured commander."}],"relationship_lead":"data/raw-factions/jeskai/jeskai.claims.json#jeskai_claim_0003","canonical_card_data":"data/scryfall/indexes/commander-index.json#oracle_id=40ed32a6-ad56-48c7-aecf-b4238c34c212","evidence_roles":{"identity_ownership":"certified_identity_claims","card_behavior":"canonical_card_data","proposed_bridge":"owner_review_required"}}	This proposal joins verified card behavior to the cited certified identity claims for owner review. The card does not prove the identity by color, product membership, or mechanic alone; it does not infer player motivation. Owner must approve, revise, or reject the exact bounded bridge.	REVIEW_REQUIRED		data/dossier/card-rationale-relationships.source.json#pending-jeskai
