identity_id	identity_name	primary_behavioral_explanation	nearest_useful_alternative	observable_distinction	honest_limitation	commander_expression	table_read	useful_archetype_links	optional_profile_enrichment	recommendation_direction	dossier_learning_value	maze_or_matrix_next_step	owner_review_required	certified_identity_context	answer_observation_sources	certified_identity_sources	nearest_alternative_sources	content_readiness	instrument_observability	mapping_validation	content_rationale	observability_rationale	unresolved_validation_need
ABZAN	Abzan Houses	The reading can describe protection, recovery, long setup, and commitments that preserve a durable position	Witch / Growth	Abzan should require durable protection or recovery across disruption; Witch should require a compounding growth trajectory	The pilot has no direct Abzan discriminator and the competitor boundary is not player-validated	Resilient creature networks, counters, recursion, or value that survives loss	A position meant to endure rather than merely grow unchecked	Midrange; recursion; counters	Master Planner only if long-term compounding is separately self-reported	Explore commanders that keep a board or community functional after disruption	Certified identity language can teach accountable endurance and the risk of rigidity	Compare Abzan with Witch and White in Matrix; open recovery-oriented Maze paths	YES	Abzan treats survival as a duty carried by family, ancestor memory, and the living house.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/abzan/abzan.placement.json;data/raw-factions/abzan/abzan.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/witch/witch.placement.json;data/raw-factions/witch/witch.profile.json	CONTENT_READY	PARTIALLY_OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool observes relevant broad or family behavior but has no direct identity-specific discriminator.	Direct identity-specific observation and validated Abzan/Witch boundary
B	Black	The reading can explain willingness to convert permanents, life, or cards and accept visible threat for durable advantage	Golgari Swarm	Black should center flexible ambition and resource conversion; Golgari should center reuse of what died	Broad constructs do not establish mono-color preference or separate Black from four-color conversion identities	Sacrifice, reanimation, drain, resource exchange, or graveyard value	Resources are expendable when the exchange advances the plan	Aristocrats; reanimator; combo; midrange	Spike or Johnny/Jenny only as optional reasons for using the same conversion pattern	Explore mono-Black commanders that turn one resource into another with a defined finish	Certified mono identity can teach ambition, cost, and recursion without diagnosing personality	Compare Black with Golgari and Glint; use Maze for sacrifice or recursion starts	YES	Black believes the world offers no guaranteed fairness.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/black/black.placement.json;data/raw-factions/black/black.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/golgari_swarm/golgari_swarm.placement.json;data/raw-factions/golgari_swarm/golgari_swarm.profile.json	CONTENT_READY	PARTIALLY_OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool observes relevant broad or family behavior but has no direct identity-specific discriminator.	Direct mono-versus-neighbor discriminator and empirical mono-color evidence
BANT	Bant	The reading can describe a central commander elevated by a 99 that still functions as a visible support network	Azorius Senate	Bant concentrates living communal support behind a central line; Azorius prioritizes procedure, preparation, and managed stability	C05 observes commander reliance and support structure, not Bant's certified public-honor or accountable-excellence context, and the boundary remains high-confusion	Exalted or Voltron support, creature-forward value, enchantress, blink, or protected boards	Visible champion plus supporting network	Voltron; midrange; enchantress; blink	Vorthos may enrich the honorable-community lens; never cause placement	Explore commanders whose 99 can still function while elevating a central piece	Certified dossier material gives a strong learning path around accountable excellence	Compare Bant with Azorius and Selesnya; open protected-champion Maze paths	YES	Bant treats excellence as honorable when it remains answerable to the whole.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/bant/bant.placement.json;data/raw-factions/bant/bant.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/azorius_senate/azorius_senate.placement.json;data/raw-factions/azorius_senate/azorius_senate.profile.json	CONTENT_READY	OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool contains at least one direct bounded boundary hypothesis; empirical mapping and false-positive evidence remain absent.	Validated C05 boundary evidence and false-positive data against Azorius, Witch, WUBRG, and Ink
BG	Golgari Swarm	The reading can explain a preference to reuse what died and make removal part of a recurring resource cycle	Witherbloom College	Golgari reuses the graveyard; Witherbloom treats life movement and exchange as the central material	The B1 directional association remains evidence-required even though the Atlas boundary is explicit	Recursion, self-mill, sacrifice, death triggers, and returning creatures	A lost permanent may still be a future resource	Recursion; aristocrats; midrange	Master Planner may enrich repeated reuse; Vorthos may enrich cycle-of-life meaning	Explore commanders that recur creatures or turn deaths into repeatable value	Atlas and certified identity records can teach the graveyard-versus-life boundary	Compare Golgari with Witherbloom; open graveyard-reuse Maze paths	NO	Golgari blends Black ambition with Green growth.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/golgari_swarm/golgari_swarm.placement.json;data/raw-factions/golgari_swarm/golgari_swarm.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/witherbloom/witherbloom.placement.json;data/raw-factions/witherbloom/witherbloom.profile.json	CONTENT_READY	OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool contains at least one direct bounded boundary hypothesis; empirical mapping and false-positive evidence remain absent.	Player validation of answer-to-identity direction; content explanation is ready
BR	Cult of Rakdos	The reading can explain visible threat, voluntary loss, and explosive momentum from risk or sacrifice	Prismari College	Rakdos converts loss and volatility into momentum; Prismari builds toward a dramatic spell performance	The pilot has no direct Rakdos discriminator and broad behavior can also describe Black or Red	Sacrifice, madness, discard, damage, forced combat, goad, and theatrical risk	A volatile board can still be a deliberate threat	Aggro; aristocrats; group slug; discard	Timmy/Tammy may explain desired spectacle; never infer it from volatility	Explore commanders that turn risk, discarded cards, or sacrificed pieces into pressure	Atlas lens can explain spectacle without equating chaos with randomness	Compare Rakdos with Black and Red; open sacrifice-pressure Maze paths	NO	Rakdos blends Black ambition with Red freedom.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/cult_of_rakdos/cult_of_rakdos.placement.json;data/raw-factions/cult_of_rakdos/cult_of_rakdos.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/prismari/prismari.placement.json;data/raw-factions/prismari/prismari.profile.json	CONTENT_READY	PARTIALLY_OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool observes relevant broad or family behavior but has no direct identity-specific discriminator.	Direct pilot discriminator is absent, but result explanation and discovery value are available
COLORLESS	Colorless	The reading can explain attraction to an imposed card-pool limitation as part of the deckbuilding challenge	Five-Color / WUBRG	Colorless begins with an imposed boundary: the available pool is already constrained, and solving within it is part of the challenge. Five-Color preserves broad access first and then chooses its boundary	This boundary remains unvalidated. A preference for restrictions does not by itself establish Colorless, and the reading must not infer artifacts, Eldrazi, big mana, combo, complexity, or difficulty	A Commander whose available card pool creates a limitation the player actively wants to solve; no card type or archetype is implied	The card-pool limitation is visible, but it does not reveal how the deck will behave at the table	Constraint-led builds; no archetype inferred	System Architect may enrich constraint-solving only after placement	Compare the same desired play pattern under different available card pools before exploring a Colorless Commander	Certified Colorless records can teach absence-of-color constraints and non-equivalence to generic artifacts	Compare Colorless with WUBRG and the same play pattern in a colored identity	YES	Colorless explores what remains when the five colors are not the grammar of the answer.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/colorless/colorless.placement.json;data/raw-factions/colorless/colorless.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/wubrg/wubrg.placement.json;data/raw-factions/wubrg/wubrg.profile.json	CONTENT_READY	OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool contains at least one direct bounded boundary hypothesis; empirical mapping and false-positive evidence remain absent.	Independent behavioral evidence beyond liking an imposed limitation, plus player validation against broad-access decks with self-chosen restrictions
DUNE	Dune / Aggression	The reading can explain a visible shared front, public commitment, and pressure that asks the table to answer now	Ink / Altruism	Dune coordinates immediate pressure; Ink preserves shared access or broad benefit	The direct four-color association is evidence-required and the public labels are Vox Mana expressions, not official factions	Combat pressure, goad, shared attack incentives, or aggressive multicolor coordination	A public front may attract archenemy attention even when it benefits others	Aggro; midrange; political combat	Social Negotiator may enrich finite coordination, not determine Dune	Explore commanders that turn multicolor breadth into an immediate visible push	Certified four-color dossier can teach the non-Blue pressure lane and its false-positive boundaries	Compare Dune with Ink and Naya; open public-pressure Maze paths	YES	Dune believes presence should claim ground before detached contemplation can cool the moment.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/dune/dune.placement.json;data/raw-factions/dune/dune.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/ink/ink.placement.json;data/raw-factions/ink/ink.profile.json	CONTENT_READY	OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool contains at least one direct bounded boundary hypothesis; empirical mapping and false-positive evidence remain absent.	Player evidence for Dune/Ink distinction and public comprehension of the expression name
ESPER	Esper	The reading can describe using new information to choose a specific route, then supporting it with held interaction and a designed engine	Azorius Senate	Esper's structural hypothesis combines information-to-plan consolidation, organized engine structure, and timed interaction; Azorius centers public procedure and managed stability	C16, C06, and C08 now make the boundary structurally observable, but their Esper association remains unvalidated and generic control, combo, toolbox, and artifact decks remain false positives	Control or artifact-oriented decks where information and structure feed a named closing plan	Hidden inevitability may matter more than visible board size	Control; engine-control; artifacts; combo	System Architect may enrich mechanism coherence after placement	Explore commanders that make interaction feed a repeatable advantage system with an explicit finish	Certified dossier material can teach engineered inevitability if the placement boundary is made honest	Compare Esper with Azorius, Dimir, and Yore; open control-to-engine Maze paths	YES	Esper treats potential as a design problem.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/esper/esper.placement.json;data/raw-factions/esper/esper.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/azorius_senate/azorius_senate.placement.json;data/raw-factions/azorius_senate/azorius_senate.profile.json	CONTENT_READY	OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	C16 now observes information-to-plan conversion; C06 and C08 separately observe structure and interaction timing. Together they provide structural coverage without validating the Esper association.	Eligible player evidence that information-to-plan consolidation plus independent structure and interaction observations distinguish Esper from Blue, Black, Azorius, Dimir, Grixis, Jeskai, and generic control/combo/toolbox patterns
G	Green	The reading can explain preference for growth, recovery, setup, and theme-coherent creature or land development	Naya	Green should explore one color's growth and interdependence; Naya should add visible awe and combat expression	Broad constructs do not establish mono-Green or separate it from Simic/Quandrix growth	Ramp, lands, creatures, counters, tokens, recursion, or combat	Small resource pieces can represent large future trajectory	Ramp; stompy; landfall; tokens; midrange	Timmy/Tammy or Master Planner may enrich why growth is satisfying	Explore mono-Green commanders that translate mana or board growth into a clear finish	Certified mono identity can teach growth and interdependence without assuming simplicity	Compare Green with Naya, Simic, and Quandrix; open growth Maze paths	YES	Green believes the world is not an unsolved machine.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/green/green.placement.json;data/raw-factions/green/green.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/naya/naya.placement.json;data/raw-factions/naya/naya.profile.json	CONTENT_READY	PARTIALLY_OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool observes relevant broad or family behavior but has no direct identity-specific discriminator.	Direct mono-color discriminator and validated separation from multicolor growth identities
GLINT	Glint / Chaos	The reading can explain improvisational routes, shifting pressure angles, and adaptation to available pieces	Yore / Artifice	Glint redirects through changing pieces; Yore prefers an engineered repeatable sequence	The identity association is evidence-required and “chaos” can be misread as random play	Flexible multicolor engines, cascade, graveyard/toolbox pivots, or changing win routes	Uncertainty can conceal real threat rather than signal low power	Toolbox; combo; midrange; value	Johnny/Jenny may enrich expressive improvisation only by self-report	Explore commanders whose plan remains coherent while the route changes game to game	Certified four-color material can teach the non-White lane and distinguish improvisation from disorder	Compare Glint with Yore, Black, and Red; open variable-route Maze paths	YES	Glint believes the world should stay alive long enough to learn from pressure.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/glint/glint.placement.json;data/raw-factions/glint/glint.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/yore/yore.placement.json;data/raw-factions/yore/yore.profile.json	CONTENT_READY	OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool contains at least one direct bounded boundary hypothesis; empirical mapping and false-positive evidence remain absent.	Player comprehension of the Glint label and validated engineered/improvised boundary
