id,school,color_pair,card_name,source_set_or_product,canonical_basis,structural_role,mechanical_signal,prismari_expression_axis,core_pattern,blue_signal,red_signal,elemental_signal,performance_signal,improvisation_signal,elemental_medium,narrative_taxon,animation_signature,translation_hook,ui_use,confidence,source_url
PRISMARI-001,Prismari,Blue/Red,Abstract Paintmage,Secrets of Strixhaven,Prismari watermark search result,signal interpreter,spellcraft payoff / art-as-output,abstraction through performance,technique + emotion -> elemental spectacle,4,3,3,5,4,"paint, light, living pigment",performed research,paint-splash glyph bloom,AccretionEngine,Use as a card-row example for art becoming readable structure.,medium,https://scryfall.com/search?q=wm%3Aprismari
PRISMARI-002,Prismari,Blue/Red,Colorstorm Stallion,Secrets of Strixhaven,Prismari watermark search result,living color carrier,creature pressure / color spectacle,unleashed imagination,technique + emotion -> elemental spectacle,2,4,5,4,5,"chromatic storm, hoofbeat, kinetic paint",elemental medium,galloping color trail,Override,Good for high-energy transition or hover animation examples.,medium,https://scryfall.com/card/sos/180/colorstorm-stallion
PRISMARI-003,Prismari,Blue/Red,Creative Outburst,Strixhaven: School of Mages,Prismari watermark; named STX card,burst payoff,"large instant, damage, card selection, treasure outlet",big spell as emotional release,technique + emotion -> elemental spectacle,4,5,5,4,4,"fire, force, raw motion",spectacle as truth,diagonal burst + ember cards,Override,Use when a placement has high red energy but still wants tactical card flow.,high,https://scryfall.com/card/stx/171/creative-outburst
PRISMARI-004,Prismari,Blue/Red,Creative Technique,Commander 2021 / Secrets of Strixhaven Commander,Prismari watermark search result,audience-participation spell,demonstrate / copied spell / spectacle risk,performance shared with the room,technique + emotion -> elemental spectacle,2,5,3,5,5,"stage flare, reveal, applause shock",improvised breakthrough,mirrored spotlight split,Override,Use to model showmanship that risks giving the table a copy of the moment.,medium,https://scryfall.com/search?q=%22Creative+Technique%22+%22Watermark%3A+Prismari%22
PRISMARI-005,Prismari,Blue/Red,Elemental Masterpiece,Strixhaven: School of Mages,Prismari watermark; named STX card,summoned artwork,"large sorcery, Elemental tokens, treasure discard mode",art becomes animate force,technique + emotion -> elemental spectacle,4,4,5,5,3,"flying elemental bodies, living color",elemental medium,two elemental silhouettes emerging from brush trails,AccretionEngine,Core example for turning a high-cost spell into a board-state visual.,high,https://scryfall.com/card/stx/182/elemental-masterpiece
PRISMARI-006,Prismari,Blue/Red,Elementalist's Palette,Commander 2021 / Secrets of Strixhaven Commander,Prismari watermark search result,resource amplifier,X-spell support / mana storage,technique stores future expression,technique + emotion -> elemental spectacle,4,3,4,3,3,"palette, reagent light, stored energy",technique vs emotion,color wells filling then discharging,AccretionEngine,Useful for resource meters and pre-cast charge states.,medium,https://scryfall.com/search?q=%22Elementalist%27s+Palette%22+%22Watermark%3A+Prismari%22
PRISMARI-007,Prismari,Blue/Red,Expressive Iteration,Strixhaven / Secrets of Strixhaven Commander,Prismari flavor and watermark result,selection loop,card selection / exile play pattern,passion refined through revision,technique + emotion -> elemental spectacle,5,3,2,4,4,"repeated sketch, red-blue tension",performed research,three-card fan cycling into one flame stroke,ConstraintField,"Good model for UI states where the user sees options, tests one, and commits.",high,https://scryfall.com/card/soc/309/expressive-iteration
PRISMARI-008,Prismari,Blue/Red,Galazeth Prismari,Strixhaven / Secrets of Strixhaven Commander,Prismari founder dragon; Prismari watermark,founder / source principle,treasure conversion into instant/sorcery mana,elemental art made operational,technique + emotion -> elemental spectacle,5,4,5,4,3,"dragon-scale energy, treasure-as-cadence",founder axiom,dragon sigil ignites resource nodes,AccretionEngine,Best anchor for Prismari root identity and resource-conversion logic.,high,https://scryfall.com/card/stx/189/galazeth-prismari
PRISMARI-009,Prismari,Blue/Red,Inspiring Refrain,Commander 2021,Prismari watermark search result,recurring cadence,suspend / repeated card flow,inspiration returns on rhythm,technique + emotion -> elemental spectacle,4,2,1,5,3,"music, meter, suspended phrase",rhythmic study,measure marks counting down into shimmer,Detain,Good for delayed animation timing and repeatable lore beats.,medium,https://scryfall.com/search?q=%22Inspiring+Refrain%22+%22Watermark%3A+Prismari%22
PRISMARI-010,Prismari,Blue/Red,Maelstrom Muse,Strixhaven: School of Mages,Prismari watermark; named STX card,cost-reduction muse,attack trigger reduces next instant/sorcery,movement lowers the cost of creation,technique + emotion -> elemental spectacle,4,4,5,5,4,"vortex, flight, self-inspiration",kinetic technique,spiral wind tunnel into spell glyph,AccretionEngine,Strong row for motion before spellcasting payoff.,high,https://scryfall.com/card/stx/202/maelstrom-muse
