identity	semantic_boundary	primary_confusions	existing_signal_1	existing_signal_2	independence_status	routing_status	gap_type	required_observation	disposition
WU	Public procedure must create visible accountability; reactive control or White order alone is insufficient.	W;U;BANT;WITCH;JESKAI	b1.hall.mana-window.v1.others (C08 opponent-turn optionality; broad)	b1.hall.commitment.v1.terms (C13 durable commitment; broad)	Two independent constructs exist but neither is identity-naming.	BROAD_ROUTE_ONLY; no direct Azorius boundary item.	IDENTITY_SIGNAL	Observe choosing a public, consistently applied procedure over private discretion or a temporary pact in a concrete Commander dispute.	COVER_WITH_VM555-Q02_AND_Q05; primary signal only; preserve non-scoring status.
UB	Information is deliberately hidden and converted into adaptive leverage; control, secrecy, or held resources alone are insufficient.	U;B;YORE;GLINT;QUANDRIX	b1.gate.visibility.v1.held (C02 held resources; broad)	b1.hall.mana-window.v1.others (C08 opponent-turn optionality; broad)	Independent broad observations exist but do not establish purposeful information leverage.	BROAD_ROUTE_ONLY; no direct Dimir boundary item.	IDENTITY_SIGNAL	Observe how revealed information changes a previously hidden plan, separating leverage-seeking adaptation from generic reactive control.	COVER_WITH_VM555-Q05; primary signal only.
BR	Visible desire and risk are accepted as the point of action; aggression, sacrifice, or survival calculation alone are insufficient.	R;B;GLINT;YORE;WUBRG	b1.hall.threat.v1.embrace (C11 visible threat; broad)	b1.hall.sacrifice.v1.convert (C12 conversion; broad)	Independent broad constructs exist but neither distinguishes appetite from calculated utility.	BROAD_ROUTE_ONLY; no direct Rakdos boundary item.	IDENTITY_SIGNAL	Observe taking an exposed, immediate payoff because the experience matters now, distinct from patient conversion or coordinated duty.	COVER_WITH_VM555-Q03; primary signal only.
RG	Immediate embodied agency answers imposed constraint; combat, nature, or proactive play alone are insufficient.	R;G;NAYA;GLINT;WR	b1.hall.pressure.v1.combat (C07 combat pressure; broad)	b1.gate.initiative.v1.advance (C01 proactive development; broad)	Independent broad constructs exist but neither distinguishes liberation from abundance, duty, or appetite.	BROAD_ROUTE_ONLY; no direct Gruul boundary item.	IDENTITY_SIGNAL	Observe breaking or ignoring a constraining plan to restore immediate agency rather than preserving formation or cultivating the board.	COVER_WITH_VM555-Q01_AND_Q03; primary signal only.
WG	Belonging is maintained through consent and mutual support; tokens, harmony, hierarchy, or public order alone are insufficient.	W;G;NAYA;WITCH;INK	b1.hall.commitment.v1.terms (C13 durable commitment; broad)	b1.gate.disruption.v1.protect (C03 protection; broad)	Independent broad constructs exist but do not distinguish consent-based interdependence.	BROAD_ROUTE_ONLY; no direct Selesnya boundary item.	IDENTITY_SIGNAL	Observe preserving shared access through a consensual common commitment rather than command, private contract, or temporary coordination.	COVER_WITH_VM555-Q02; primary signal only.
UR	Iterative experiment seeks discovery through repeated adjustment; spells, novelty, or one spectacular payoff alone are insufficient.	PRISMARI;GLINT;JESKAI;R;U	b1.crucible.ur.v1.workshop (C04 iterative payoff; current naming signal)	b1.hall.engine-shape.v1 (C06 engine structure; broad only)	One legitimate naming signal exists; the C06 opportunity is independent but not yet a bounded corroborating observation.	DIRECT_PAIR_ROUTE_EXISTS; second responsible signal absent.	CORROBORATION	Observe changing an engine after unexpected results to learn what it can do, independently of payoff rhythm.	CORROBORATE_WITH_VM555-Q04; do not repeat C04 wording.
BG	Loss becomes a continuing material cycle through reclamation and reuse; graveyards or immediate conversion alone are insufficient.	WITHERBLOOM;B;G;GLINT;WITCH	b1.crucible.bg.v1.reclaim (C12 reclamation; current naming signal)	b1.hall.engine-shape.v1 (C06 engine structure; broad only)	One naming signal plus an independent broad construct; corroboration is not identity-bounded.	DIRECT_PAIR_ROUTE_EXISTS; second responsible signal absent.	CORROBORATION	Observe rebuilding a functioning engine from resources already spent, separate from the C12 choice to recycle rather than convert.	CORROBORATE_WITH_VM555-Q04_OR_Q06.
WR	Immediate coordinated protection serves a public formation; combat, intervention, or White/Red action alone are insufficient.	LOREHOLD;R;W;JESKAI;NAYA	b1.crucible.wr.v1.intervene (C03 immediate protection; current naming signal)	b1.hall.pressure.v1.combat (C07 combat pressure; broad)	One naming signal plus an independent broad construct; the second is not yet formation-specific.	DIRECT_PAIR_ROUTE_EXISTS; second responsible signal absent.	CORROBORATION	Observe converting a brief opening into coordinated public action rather than personal spectacle, instinct, or archival recovery.	CORROBORATE_WITH_VM555-Q03.
WB	Obligations remain binding and carry enforceable cost; drain, wealth, sacrifice, or influence alone are insufficient.	SILVERQUILL;W;B;YORE;WITCH	b1.crucible.wb.v1.terms (C13 binding terms; current naming signal)	b1.hall.sacrifice.v1 (C12 resource-cost posture; independent broad opportunity)	Independent opportunities are structurally sufficient for the ordinary threshold when a third broad observation is present.	ROUTING_CONTENDED; avoid Hall C13 plus Crucible C13 duplication and route the exact WB/Silverquill boundary only when live.	ROUTING	No new question. Route an independent C12 or C09 observation before the existing C13 Crucible.	ROUTING_SPEC_ONLY; NO_NEW_ITEM.
UG	Adaptation emerges from living, overlapping systems; generic growth, counters, or one ideal mathematical engine are insufficient.	QUANDRIX;G;U;GLINT;WITCH	b1.crucible.ug.v1.adapt (C06 modular engines; current naming signal)	b1.gate.disruption.v1.recover plus b1.hall.setup.v1 (C03/C14 independent broad opportunities)	Three independent construct opportunities already exist if Hall C06 is not counted with the C06 Crucible.	ROUTING_CONTENDED; current evidence can be assembled through C03, C14, then the exact C06 boundary.	ROUTING	No new question. Route C14 when UG/Quandrix remains live and reserve the C06 Crucible for the boundary.	ROUTING_SPEC_ONLY; NO_NEW_ITEM.
LOREHOLD	Past resources become usable counsel and recovered material; immediate Boros intervention or generic graveyard value is insufficient.	WR;NAYA;JESKAI;INK;YORE	b1.crucible.wr.v1.recover (C03 archival recovery; current naming signal)	b1.hall.engine-shape.v1 (C06 engine structure; broad only)	One naming signal plus an independent broad construct; no second archive-specific observation.	DIRECT_PAIR_ROUTE_EXISTS; second responsible signal absent.	CORROBORATION	Observe reconstructing a present plan from previously used pieces or remembered information, independently of the protect-versus-recover choice.	CORROBORATE_WITH_VM555-Q04.
PRISMARI	Expressive craft builds toward a deliberate showcase; spells, creativity, or concentrated payoff alone are insufficient.	UR;GLINT;JESKAI;R;U	b1.crucible.ur.v1.showcase (C04 expressive concentration; current naming signal)	b1.hall.threat.v1.embrace (C11 visible threat; broad)	One naming signal plus an independent broad observation that lacks performance-craft specificity.	DIRECT_PAIR_ROUTE_EXISTS; second responsible signal absent.	CORROBORATION	Observe choosing a visible, authored finish because presentation shapes the result, independently of payoff size.	CORROBORATE_WITH_VM555-Q03; retain theme as explanation only.
QUANDRIX	One formal pattern is cultivated until it scales; generic counters, value, or adaptive modularity are insufficient.	UG;U;G;GLINT;TEMUR	b1.crucible.ug.v1.scale (C06 central engine; current naming signal)	b1.hall.setup.v1.long (C14 long setup; broad)	One naming signal plus an independent broad setup observation; mathematical scaling is not yet corroborated.	DIRECT_PAIR_ROUTE_EXISTS; second responsible signal absent.	CORROBORATION	Observe accepting a long development horizon because one measurable pattern compounds, independently of engine concentration.	CORROBORATE_WITH_VM555-Q06.
SILVERQUILL	Language changes present social position without requiring durable future obligation; politics, praise, or binding terms alone are insufficient.	WB;ESPER;ABZAN;B;BR	b1.crucible.wb.v1.influence (C13 revisable influence; current naming signal)	b1.hall.threat.v1.pivot (C11 adaptive threat posture; broad)	One naming signal and one independent broad opportunity do not yet meet the ordinary three-observation naming threshold.	ROUTING_CONTENDED; C13 Hall and Crucible cannot stack, and C10 theme cannot name.	ROUTING_AND_CORROBORATION	Observe influence changing who is exposed or protected in a different behavioral context from making a deal.	DIAGNOSE_ROUTE_FIRST; candidate support may come from VM555-Q03 or Q05 only if identity specificity survives review.
WITHERBLOOM	Life, death, and spent material are actively exchanged to cultivate the next advantage; graveyards, sacrifice, or Golgari-style reclamation alone are insufficient.	BG;B;G;GLINT;BR;UB	b1.crucible.bg.v1.exchange (C12 immediate conversion; current naming signal)	b1.hall.setup.v1 or b1.hall.engine-shape.v1 (C14/C06 broad opportunities)	One naming signal plus independent broad setup and engine observations; neither is cultivation-specific.	DIRECT_PAIR_ROUTE_EXISTS; second responsible signal absent.	CORROBORATION	Observe an early contribution produced by converting one resource class into another, independently of the recycle-versus-convert choice.	CORROBORATE_WITH_VM555-Q06_OR_Q04.
W	Protection and order are justified publicly and applied beyond private interest; authority, control, or helpfulness alone are insufficient.	WU;WG;WR;WB;BANT	b1.gate.disruption.v1.protect (C03 protection; broad)	b1.hall.commitment.v1.terms (C13 durable commitment; broad)	Independent broad observations exist but no mono-White naming boundary.	BROAD_ROUTE_ONLY; mono/multicolor C15 cannot assign White.	IDENTITY_SIGNAL	Observe selecting a public protection standard that applies consistently even when private advantage points elsewhere.	COVER_WITH_VM555-Q02; primary signal only.
U	Understanding preserves options and deliberately improves a system; control, secrecy, or engine centrality alone are insufficient.	WU;UB;UG;UR;ESPER;JESKAI	b1.hall.mana-window.v1.others (C08 opponent-turn optionality; broad)	b1.hall.engine-shape.v1 (C06 engine structure; broad)	Independent broad constructs exist but no mono-Blue naming boundary.	BROAD_ROUTE_ONLY; mono/multicolor C15 cannot assign Blue.	IDENTITY_SIGNAL	Observe delaying commitment to gather information and revise the model, distinct from secrecy, procedure, or trained action.	COVER_WITH_VM555-Q05; primary signal only.
B	Self-determination owns cost and converts vulnerability into leverage; evil, sacrifice, or ambition alone are insufficient.	WB;UB;BR;BG;SULTAI;GLINT	b1.hall.sacrifice.v1.convert (C12 voluntary conversion; broad)	b1.hall.threat.v1.pivot (C11 adaptive threat; broad)	Independent broad observations exist but no mono-Black naming boundary.	BROAD_ROUTE_ONLY; mono/multicolor C15 cannot assign Black.	IDENTITY_SIGNAL	Observe accepting a personal cost to preserve agency when public, communal, or natural constraints would deny the choice.	COVER_WITH_VM555-Q01; primary signal only.
R	Present truth is expressed through immediate action; aggression, chaos, spectacle, or speed alone are insufficient.	BR;RG;WR;UR;JUND;MARDU	b1.gate.initiative.v1.advance (C01 proactive development; broad)	b1.hall.threat.v1.embrace (C11 visible threat; broad)	Independent broad observations exist but no mono-Red naming boundary.	BROAD_ROUTE_ONLY; mono/multicolor C15 cannot assign Red.	IDENTITY_SIGNAL	Observe acting on a current conviction before certainty or permission, distinct from appetite, instinct, duty, or performance.	COVER_WITH_VM555-Q03_OR_Q05; primary signal only.
