field_or_family,canonical_writer,additional_writers,computation_source,semantic_role,serialized_location,normalizers,cache_consumers,saved_profile_consumers,legacy_consumers,ranking_consumers,stopping_consumers,dossier_consumers,presentation_consumers,graph_or_matrix_consumers,recommendation_consumers,deck_link_consumers,adjacent_view_consumers,maze_handoff_consumers,test_consumers,gate_a_public_treatment,gate_a_internal_treatment,compatibility_rule,migration_required,evidence_paths,unresolved_consumer_risk,compatibility_disposition
identity_scores,assets/js/adaptive-placement.js:createInitialAdaptiveState|applyAdaptiveAnswer,audit generators,Equal log prior plus authored deltas suppressions and lateral inhibition,Accumulated internal identity score vector,adaptive state only; ranked top_matches.score snapshots,None,None,None,None,rankAdaptiveFactions,softmaxScores indirectly drives stopping,None,None,None,None,None,None,None,adaptive and quick-reading tests,Do not label or expose as accuracy strength,Preserve for ranking replay and regression,PRESERVE-INTERNAL-HIDE-PUBLICLY,No,assets/js/adaptive-placement.js:45-61|106-235|275-295,UNRESOLVED: externally supplied interview results may use a different score contract,PRESERVE-INTERNAL-HIDE-PUBLICLY
softmax_share_probability,assets/js/adaptive-placement.js:softmaxScores|rankAdaptiveFactions,buildAdaptivePlacementResult aliases share as confidence,Exponentiated normalized arbitrary accumulated scores,Internal rank share and current stopping input,ranked entries probability; result confidence and top_matches confidence aliases,assets/js/shared.js:normalizeMatch|normalizePlacementResult,vm_last_result through aliased confidence,profiles.confidence and placement_result through aliased confidence,legacy normalization aliases missing confidence to fabricated values,rankAdaptiveFactions,needsCrucible|shouldFinishAdaptiveReading,signal-band and active-match sorting,archscry-presentation.js confidence percent/band,None,buildManaScores indirectly,None,adjacent_matches ordering,placementResult copied into Maze handoff,placement and bias tests,Remove calibrated probability/confidence claims,Preserve current internal ranking and stopping semantics,PRESERVE-INTERNAL-HIDE-PUBLICLY,No,assets/js/adaptive-placement.js:244-295|341-357|434-455|603-649,UNRESOLVED: interview-service result semantics are outside local static authority,PRESERVE-INTERNAL-HIDE-PUBLICLY
confidence,assets/js/adaptive-placement.js:buildAdaptivePlacementResult,assets/js/shared.js:normalizePlacementResult|makeLegacyPlacementResult,Top softmax share for adaptive results; fabricated fallback for missing legacy data,Serialized legacy-compatible numeric alias presently misused as public confidence,placement_result.confidence|profiles.confidence|vm_last_result.confidence|vm_pending_result.confidence,assets/js/shared.js:normalizePlacementResult,vm_last_result,profiles.confidence|placement_result,makeLegacyPlacementResult|normalizePlacementResult,None,None,commander-dossier signal band,archscry-presentation percent/band and index result copy,None,indirect claim/reason selection,None,active match copy and sorting,placementResult copied into Maze handoff,placement quick-reading persistence and browser tests,Do not render numeric confidence; missing legacy remains unknown,Keep field name and shape for compatibility; null is allowed for unknown,PRESERVE-INTERNAL-HIDE-PUBLICLY,No,assets/js/adaptive-placement.js:603-649|assets/js/shared.js:194-280|484-613|assets/js/archscry-presentation.js:777-783,UNRESOLVED: database and remote interview consumers beyond committed code,PRESERVE-INTERNAL-HIDE-PUBLICLY
confidence_gap,assets/js/adaptive-placement.js:buildAdaptivePlacementResult,assets/js/shared.js:normalizePlacementResult,Top minus runner-up softmax share,Serialized separation metric currently not calibrated,placement_result.confidence_gap|vm_last_result|vm_pending_result,assets/js/shared.js:normalizePlacementResult,vm_last_result,placement_result,legacy missing normalizes null,None,adaptive stopping computes equivalent gap before serialization,None,No direct committed public reader located,None,None,None,None,placementResult copied into Maze handoff,placement and normalization tests,Do not present as certainty or accuracy,Preserve field and current internal meaning for replay/compatibility,PRESERVE-INTERNAL-HIDE-PUBLICLY,No,assets/js/adaptive-placement.js:632-649|assets/js/shared.js:194-226,UNRESOLVED: indirect/dynamic consumers may read the serialized field,PRESERVE-INTERNAL-HIDE-PUBLICLY
mana_scores,assets/js/adaptive-placement.js:buildManaScores|buildAdaptivePlacementResult,assets/js/shared.js legacy fallback and profile scores alias,Color-weighted ranked softmax shares normalized to WUBRG integers 1-10,Placement-derived mana alignment payload,placement_result.mana_scores|profiles.scores|vm_last_result|vm_pending_result,assets/js/shared.js:normalizePlacementResult,vm_last_result,profiles.scores|placement_result,legacy profile scores fallback,None,None,assets/js/commander-dossier.js:buildManaAlignment,export/text dossier surfaces,Separate from authored radar; dossier manaAlignment uses it,indirect dossier context,deck links use identity fields not mana_scores,retained when switching adjacent view,placementResult copied into Maze handoff and read by Maze fallback,quick-reading dossier Maze tests,Do not call it confidence or authored Matrix,Preserve values field shape and downstream payload,PRESERVE-UNCHANGED,No,assets/js/adaptive-placement.js:538-554|632-649|assets/js/shared.js:194-226|assets/js/commander-dossier.js:2441-2446,UNRESOLVED: any remote profile readers are not locally enumerable,PRESERVE-UNCHANGED
decree,assets/js/adaptive-placement.js:buildAdaptiveDecree|buildAdaptivePlacementResult,assets/js/quick-reading.js:buildQuickDecree|buildQuickPlacementResult; supabase/functions/guild-recruiter/index.ts:normalizeDecisionResult|archived interview result,Adaptive top and runner-up plus supporting signals and authored expression; quick-path answers; archived interview decision,Public placement explanation and decree,placement_result.decree|profiles.decree|vm_last_result|vm_pending_result|archived current_result,assets/js/shared.js:normalizePlacementResult,vm_last_result|vm_pending_result through vm_beginGoogleSave and vm_finishPendingSave,profiles.decree|profiles.placement_result through vm_savePlacementResult,makeLegacyPlacementResult authored fallback|legacy profiles.decree column,None,None,assets/js/commander-dossier.js:buildCommanderDossier decreeCopy,assets/js/index.js result reveal|dossier text export and audit,None,No direct committed recommendation input located,No direct committed deck-link input located,primary decree retained while alternative dossier substitutes reasonItStayedClose,placementResult copied into Maze handoff; research-init.js active result and reading paths consume decree,quick-reading placement persistence OAuth dossier and Maze tests,Render only demonstrated bounded claims or safe fallbacks; do not use decree as calibrated certainty,Preserve field name shape authored text and replay or legacy payload,PRESERVE-UNCHANGED,No,assets/js/adaptive-placement.js:569-588|641; assets/js/quick-reading.js:296-320|341-357; supabase/functions/guild-recruiter/index.ts:34|163-203|382-386|438-454; assets/js/shared.js:194-226|264-280|290-300|484-550|565-613; docs/supabase-profile-update.sql:25|54|200-207; docs/reference/data-contracts.md:155-168|285-299; assets/js/index.js:1191-1218|2938; assets/js/commander-dossier.js:3052-3123; research/research-init.js:2108-2177,UNRESOLVED: deployed database consumers and remote or archived interview producers cannot be exhaustively proven from committed local code,PRESERVE-UNCHANGED
color_weights,NONE-IN-CURRENT-LOCAL-QUICK-PATH,EXTERNAL-OR-ARCHIVED-PRODUCER-UNRESOLVED,Supplied optional color-weight map; current local scoring paths do not derive or fabricate it,Optional serialized color-affinity evidence,placement_result.color_weights|vm_last_result|vm_pending_result|profiles.placement_result,assets/js/shared.js:normalizePlacementResult,vm_last_result|vm_pending_result,profiles.placement_result,legacy aggregate may omit field,None,None,No direct committed field reader located,No direct committed field renderer located,No direct committed graph or Matrix reader located,No direct committed recommendation reader located,No direct committed deck-link reader located,Preserved only through aggregate placement result,Preserved only through aggregate Maze placementResult handoff,normalization persistence and compatibility tests should cover supplied and missing values,Do not fabricate or infer a public value; render nothing when absent,Preserve supplied value and optional field shape without manufacturing a default,PRESERVE-UNCHANGED,No,assets/js/shared.js:194-226|290-300|484-550|565-613; docs/reference/data-contracts.md:242-248; docs/architecture/data-flow-map.md:60; docs/architecture/core-logic-and-algorithms.md:30,EXTERNAL-OR-ARCHIVED-PRODUCER-UNRESOLVED; no local adaptive or quick writer and no direct local field consumer beyond normalization and aggregate propagation,PRESERVE-UNCHANGED
authored_preview_scores,data/identity-layers.json:expressions.*.preview_scores,research/build-faction-artifacts.mjs:readJson(identityLayersPath)|buildPlacementModel|displayData.identity_layers propagation,Hand-authored Order Knowledge Ambition Freedom Growth values,Preferred authored Mana Alignment Matrix shape,data/identity-layers.json expressions.*.preview_scores|generated data/factions.json identity_layers expressions,assets/js/vm-radar.js:previewScores,None,None,None,None,None,dossier radar profile and section,dossier-radar.js and vm-radar.js,vm-radar.js:resolveRadarProfile,No direct placement recommendation role,None,active dossier faction chooses authored expression,No direct Maze payload use,radar source-generated and presentation tests,Keep visible as authored identity visualization; never present as confidence raw placement ledger or calibration,Preserve authored source values and downstream propagated shape unchanged,PRESERVE-UNCHANGED,No,data/identity-layers.json:expressions.*.preview_scores; research/build-faction-artifacts.mjs:11|5065|5079-5088; assets/js/vm-radar.js:2-6|141-153|225-254; assets/js/dossier-radar.js:27-34; docs/reference/archscry-identity-matrix-data-map.md:44-70,UNRESOLVED: no deployed or external consumer inventory; source authority is locally resolved and the builder is only a reader and propagator,PRESERVE-UNCHANGED
authored_matrix_component_averages,assets/js/vm-radar.js:averageComponentScores,COMPONENT_PROFILES constants,Mean of authored mono-color component profiles or Colorless fallback,Fallback authored Mana Alignment Matrix shape,computed radar profile data and scores object,assets/js/vm-radar.js:resolveRadarProfile,None,None,None,None,None,dossier radar profile and section,dossier-radar.js and vm-radar.js,vm-radar.js:resolveRadarProfile,No direct placement recommendation role,None,active dossier faction chooses components,No direct Maze payload use,radar and presentation tests,Keep visible as authored identity visualization,Preserve unchanged and separate from confidence,PRESERVE-UNCHANGED,No,assets/js/vm-radar.js:18-55|148-160|225-254,UNRESOLVED: no independent calibration is claimed or required for this authored visual,PRESERVE-UNCHANGED
top_matches,assets/js/adaptive-placement.js:buildAdaptivePlacementResult,assets/js/shared.js:normalizePlacementResult fallback,Top three numeric ranks with score confidence identity and reason,Ranked result summary and compatibility container,placement_result.top_matches|vm_last_result|vm_pending_result,assets/js/shared.js:normalizeMatch|normalizePlacementResult,vm_last_result,placement_result,legacy fallback synthesizes rank one,rank order originates here,None,commander-dossier activeMatch and summary,archscry result summary and confidence copy,None,reason and evidence selection,deck-link metadata uses primary aggregate not top_matches,active and alternative lookup,placementResult copied into Maze handoff,quick-reading dossier tests,Render bounded primary/alternative states instead of certainty,Preserve array shape/order and numeric internals,PRESERVE-UNCHANGED,No,assets/js/adaptive-placement.js:603-649|assets/js/shared.js:160-250|assets/js/commander-dossier.js:2766-2820,UNRESOLVED: remote consumers may depend on match subfields,PRESERVE-UNCHANGED
