card_id,card_name,card_type,tier,domain,constraint_class,accretion_weight,detain_flag,override_priority,field_strength,narrative_role,animation_preset,tags,description
IZ-001,The Anchor,Anchor,I,Spatial,Hard,1.0,TRUE,0,9,Foundation,settle,"root,fixed,ground","Establishes the immovable reference point from which all other cards are measured. Cannot be displaced by standard Override unless tier ≥ III."
IZ-002,The Null Vessel,Null,I,Void,Soft,0.0,FALSE,0,0,Vacuum,dissolve,"empty,receiver,zero","Absorbs adjacent card effects without propagating them. Useful as a buffer or silence zone in dense constraint grids."
IZ-003,The Override,Override,II,Causal,Override,2.0,FALSE,10,8,Disruptor,snap,"authority,cancel,replace","Supersedes any single non-Hard constraint in play. Resolved before standard card actions in the same phase."
IZ-004,The Detain,Detain,II,Social,Lock,1.5,TRUE,5,6,Arrester,freeze,"hold,pause,binding","Places a detainment token on target card. Detained cards cannot move, trigger, or propagate until token is removed."
IZ-005,The Flux Wave,Flux,II,Temporal,Soft,1.2,FALSE,3,5,Catalyst,ripple,"change,flow,momentum","Advances all Temporal domain cards by one phase-step. Interacts with AccretionEngine to compound phase acceleration."
IZ-006,Constraint Field Alpha,Constraint,II,Spatial,Hard,1.8,TRUE,4,7,Boundary,pulse,"perimeter,limit,zone","Projects a spatial constraint zone affecting all cards within two grid positions. Cards inside cannot be Overridden below tier II."
IZ-007,The Accretion Node,Accretion,III,Cognitive,Soft,3.0,FALSE,2,6,Accumulator,grow,"stack,build,compound","Gains +0.5 accretion_weight each round it remains in play. At weight 5.0 it auto-resolves into a Singularity card."
IZ-008,Liminal Gate,Liminal,II,Spatial,Soft,0.8,FALSE,1,4,Threshold,shimmer,"transition,door,between","Allows one card per phase to cross domain boundaries without triggering constraint checks. Closes after three uses."
IZ-009,The Echo,Echo,I,Semantic,Soft,0.5,FALSE,2,3,Mirror,reflect,"copy,repeat,resonance","Duplicates the last resolved card's effect at half magnitude. Cannot echo another Echo (no recursive loops)."
IZ-010,Void Surge,Void,III,Void,Hard,2.5,TRUE,8,9,Disruptor,burst,"nothing,collapse,reset","Destroys all Soft constraint tokens in play. Detained cards within range are released. Triggers AccretionEngine reset."
IZ-011,The Somatic Pulse,Somatic,I,Somatic,Soft,0.7,FALSE,1,4,Signal,throb,"body,sensation,impulse","Propagates a physical-domain signal to all adjacent Somatic cards, triggering their passive abilities simultaneously."
IZ-012,Affective Bloom,Affective,I,Affective,Soft,0.9,FALSE,1,5,Amplifier,bloom,"emotion,spread,color","Raises field_strength of all Affective domain cards in play by +1 until the next phase reset."
IZ-013,Hard Ceiling,Constraint,III,Causal,Hard,2.2,TRUE,9,8,Limiter,clamp,"maximum,cap,absolute","Sets an absolute upper bound on any numeric property (weight, strength, priority) for all cards in the active zone."
IZ-014,Social Weave,Social,II,Social,Soft,1.1,FALSE,2,5,Connector,weave,"network,bond,relationship","Links two Social domain cards. Linked cards share field_strength; if one is Detained, both are affected."
