record_type	current_question_id	current_answer_id	audit_answer_id	stage	current_wording	current_answer_title	current_answer_copy	current_scoring_effects	audit_question_disposition	audit_answer_disposition	abstraction_burden	double_barrel_status	mood_roleplay_dependence	desirability_bias	attempted_constructs	salvageable_observation	proposed_disposition	evidence_boundary
current_answer_effect	gate_v2_locus_of_trust	gate_v2_trust_self_claim	gate_v2_trust_self_claim	gate	When the ground shifts, what do you trust first?	The claim no one can make for me	I start with agency: the private decision, the necessary edge, the first motion I can own.	strong=B,R,BR,GRIXIS,JUND,MARDU,YORE,GLINT,UB,UR,PRISMARI;positive=B,R,WR,BR,ESPER,GRIXIS,JUND,SULTAI,MARDU,YORE,GLINT,DUNE,BG,RG,UB,UR,LOREHOLD,WB,PRISMARI,SILVERQUILL,WITHERBLOOM;suppressed=W,G,WU,BANT,NAYA,INK,COLORLESS,WUBRG,QUANDRIX,WG,UG	REPLACE	REPLACE	HIGH	NO	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Broad Gate routing; authored signals: self-authored agency | personal threshold | integrated whole | communal continuity | outside boundary | ["social-behavior","psychographic-or-motivational-inference-risk","aesthetic-or-narrative-preference"]	Concept only: self-authored agency. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	gate_v2_locus_of_trust	gate_v2_trust_personal_threshold	gate_v2_trust_personal_threshold	gate	When the ground shifts, what do you trust first?	The threshold in the self	I listen for the moment where desire, danger, and choice become too clear to outsource.	strong=B,R,BR,GRIXIS;positive=B,R,WR,BR,ESPER,GRIXIS,JUND,TEMUR,SULTAI,MARDU,JESKAI,YORE,GLINT,DUNE,BG,RG,UB,UR,LOREHOLD,WB,PRISMARI,SILVERQUILL,WITHERBLOOM;suppressed=W,G,WU,BANT,COLORLESS,WUBRG,QUANDRIX,WG,UG	REPLACE	REPLACE	HIGH	NO	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Broad Gate routing; authored signals: self-authored agency | personal threshold | integrated whole | communal continuity | outside boundary | ["social-behavior","psychographic-or-motivational-inference-risk","aesthetic-or-narrative-preference"]	Concept only: personal threshold. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	gate_v2_locus_of_trust	gate_v2_trust_braided_witness	gate_v2_trust_braided_witness	gate	When the ground shifts, what do you trust first?	A braided witness	I want each part of the situation named, given weight, and brought into one accountable center.	strong=WUBRG;positive=W,U,B,R,G,WU,BANT,WR,BR,ESPER,GRIXIS,JUND,NAYA,ABZAN,TEMUR,SULTAI,MARDU,JESKAI,YORE,GLINT,DUNE,INK,WITCH,WUBRG,BG,RG,UB,UR,LOREHOLD,WB,PRISMARI,QUANDRIX,WG,SILVERQUILL,UG,WITHERBLOOM;suppressed=COLORLESS	REPLACE	REPLACE	HIGH	NO	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Broad Gate routing; authored signals: self-authored agency | personal threshold | integrated whole | communal continuity | outside boundary | ["social-behavior","psychographic-or-motivational-inference-risk","aesthetic-or-narrative-preference"]	Concept only: integrated whole. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	gate_v2_locus_of_trust	gate_v2_trust_common_root	gate_v2_trust_common_root	gate	When the ground shifts, what do you trust first?	The common root	I trust the pattern that keeps people, place, and continuity from splintering under strain.	strong=W,U,G,WU,BANT,WR,NAYA,ABZAN,TEMUR,JESKAI,DUNE,INK,WITCH,RG,LOREHOLD,QUANDRIX,WG,UG;positive=W,U,G,WU,BANT,WR,ESPER,NAYA,ABZAN,TEMUR,SULTAI,JESKAI,YORE,GLINT,DUNE,INK,WITCH,RG,UR,LOREHOLD,PRISMARI,QUANDRIX,WG,UG;suppressed=B,BR,GRIXIS,COLORLESS,WUBRG,UB	REPLACE	REPLACE	HIGH	NO	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Broad Gate routing; authored signals: self-authored agency | personal threshold | integrated whole | communal continuity | outside boundary | ["social-behavior","psychographic-or-motivational-inference-risk","aesthetic-or-narrative-preference"]	Concept only: communal continuity. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	gate_v2_locus_of_trust	gate_v2_trust_outside_measure	gate_v2_trust_outside_measure	gate	When the ground shifts, what do you trust first?	The measure outside the map	I trust the constraint that does not ask the old language for permission before it becomes real.	strong=COLORLESS;positive=COLORLESS;suppressed=W,U,B,R,G,WU,BANT,WR,BR,ESPER,GRIXIS,JUND,NAYA,ABZAN,TEMUR,SULTAI,MARDU,JESKAI,YORE,GLINT,DUNE,INK,WITCH,WUBRG,BG,RG,UB,UR,LOREHOLD,WB,PRISMARI,QUANDRIX,WG,SILVERQUILL,UG,WITHERBLOOM	REPLACE	REPLACE	HIGH	NO	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Broad Gate routing; authored signals: self-authored agency | personal threshold | integrated whole | communal continuity | outside boundary | ["social-behavior","psychographic-or-motivational-inference-risk","aesthetic-or-narrative-preference"]	Concept only: outside boundary. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	gate_v2_pressure_becomes	gate_v2_pressure_form	gate_v2_pressure_form	gate	When pressure gathers, what should it become?	A form that can hold	Pressure should become structure: named, testable, and steady enough to keep harm from spreading.	strong=W,U,WU,ESPER,JESKAI,UB;positive=W,U,WU,BANT,ESPER,GRIXIS,JESKAI,YORE,UB,UR,WB,PRISMARI,SILVERQUILL;suppressed=B,R,G,BR,JUND,NAYA,ABZAN,TEMUR,SULTAI,GLINT,DUNE,COLORLESS,WUBRG,BG,RG,WG,WITHERBLOOM	REPLACE	REPLACE	HIGH	NO	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Broad Gate routing; authored signals: ordered containment | bounded action | balanced convergence | adaptive release | outside boundary | ["social-behavior","psychographic-or-motivational-inference-risk","philosophical-preference"]	Concept only: ordered containment. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	gate_v2_pressure_becomes	gate_v2_pressure_answerable_motion	gate_v2_pressure_answerable_motion	gate	When pressure gathers, what should it become?	Answerable motion	It should move, but with a visible thread back to responsibility, memory, and consequence.	strong=U,WU,BANT,ESPER,JESKAI;positive=W,U,WU,BANT,WR,ESPER,GRIXIS,NAYA,ABZAN,TEMUR,SULTAI,MARDU,JESKAI,YORE,GLINT,DUNE,INK,WITCH,UB,UR,LOREHOLD,WB,PRISMARI,QUANDRIX,WG,SILVERQUILL,UG;suppressed=COLORLESS,WUBRG	REPLACE	REPLACE	HIGH	NO	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Broad Gate routing; authored signals: ordered containment | bounded action | balanced convergence | adaptive release | outside boundary | ["social-behavior","psychographic-or-motivational-inference-risk","philosophical-preference"]	Concept only: bounded action. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	gate_v2_pressure_becomes	gate_v2_pressure_many_currents	gate_v2_pressure_many_currents	gate	When pressure gathers, what should it become?	Many currents, one course	It should become a working convergence: different forces kept distinct, then aimed together.	strong=WUBRG;positive=W,U,B,R,G,WU,BANT,WR,BR,ESPER,GRIXIS,JUND,NAYA,ABZAN,TEMUR,SULTAI,MARDU,JESKAI,YORE,GLINT,DUNE,INK,WITCH,WUBRG,BG,RG,UB,UR,LOREHOLD,WB,PRISMARI,QUANDRIX,WG,SILVERQUILL,UG,WITHERBLOOM;suppressed=COLORLESS	REPLACE	REPLACE	HIGH	NO	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Broad Gate routing; authored signals: ordered containment | bounded action | balanced convergence | adaptive release | outside boundary | ["social-behavior","psychographic-or-motivational-inference-risk","philosophical-preference"]	Concept only: balanced convergence. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	gate_v2_pressure_becomes	gate_v2_pressure_wild_release	gate_v2_pressure_wild_release	gate	When pressure gathers, what should it become?	A wild release	It should become adaptation, appetite, heat, and movement before a brittle answer snaps shut.	strong=B,R,G,BR,GRIXIS,JUND,NAYA,ABZAN,TEMUR,SULTAI,MARDU,GLINT,DUNE,INK,WITCH,BG,RG,QUANDRIX,WG,UG,WITHERBLOOM;positive=B,R,G,BANT,WR,BR,GRIXIS,JUND,NAYA,ABZAN,TEMUR,SULTAI,MARDU,YORE,GLINT,DUNE,INK,WITCH,BG,RG,UB,UR,LOREHOLD,WB,PRISMARI,QUANDRIX,WG,SILVERQUILL,UG,WITHERBLOOM;suppressed=W,U,WU,COLORLESS,WUBRG	REPLACE	REPLACE	HIGH	NO	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Broad Gate routing; authored signals: ordered containment | bounded action | balanced convergence | adaptive release | outside boundary | ["social-behavior","psychographic-or-motivational-inference-risk","philosophical-preference"]	Concept only: adaptive release. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	gate_v2_pressure_becomes	gate_v2_pressure_silent_axis	gate_v2_pressure_silent_axis	gate	When pressure gathers, what should it become?	A silent axis	It should become a hard boundary: not loud, not ornamental, simply outside the usual bargain.	strong=COLORLESS;positive=COLORLESS;suppressed=W,U,B,R,G,WU,BANT,WR,BR,ESPER,GRIXIS,JUND,NAYA,ABZAN,TEMUR,SULTAI,MARDU,JESKAI,YORE,GLINT,DUNE,INK,WITCH,WUBRG,BG,RG,UB,UR,LOREHOLD,WB,PRISMARI,QUANDRIX,WG,SILVERQUILL,UG,WITHERBLOOM	REPLACE	REPLACE	HIGH	NO	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Broad Gate routing; authored signals: ordered containment | bounded action | balanced convergence | adaptive release | outside boundary | ["social-behavior","psychographic-or-motivational-inference-risk","philosophical-preference"]	Concept only: outside boundary. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
