identity_a	identity_b	audit_basis	audit_path_count_or_marker	coverage_category	observable_behavioral_distinction	pilot_question_ids	why_defensible	when_not_to_ask	pilot_coverage_status	evidence_provenance
ABZAN	MARDU	MANDATORY-COVERAGE	mandatory structural coverage	adjacent three-color	ABZAN uses Disruption response evidence; MARDU uses Initiative posture evidence. No direct pair claim is made.	b1.gate.disruption.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
ABZAN	SILVERQUILL	EXACT-TIE	1	accepted exact tie	ABZAN uses Disruption response evidence; SILVERQUILL uses Threat posture evidence. No direct pair claim is made.	b1.gate.disruption.v1;b1.hall.threat.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
ABZAN	SULTAI	MANDATORY-COVERAGE	mandatory structural coverage	adjacent three-color	ABZAN uses Disruption response evidence; SULTAI uses Resource sacrifice evidence. No direct pair claim is made.	b1.gate.disruption.v1;b1.hall.sacrifice.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
ABZAN	WITCH	EXACT-TIE	9	accepted exact tie	ABZAN uses Disruption response evidence; WITCH uses Engine concentration evidence. No direct pair claim is made.	b1.gate.disruption.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
ABZAN	YORE	EXACT-TIE	4	accepted exact tie	ABZAN uses Disruption response evidence; YORE uses Engine concentration evidence. No direct pair claim is made.	b1.gate.disruption.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
B	ESPER	EXACT-TIE	2	accepted exact tie	B uses Resource sacrifice evidence; ESPER uses Engine concentration evidence. No direct pair claim is made.	b1.hall.sacrifice.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
B	GLINT	HIGH-FREQUENCY-P1/P2	230;182	>=100 authored paths; not player prevalence	B uses Resource sacrifice evidence; GLINT uses Initiative posture evidence. No direct pair claim is made.	b1.hall.sacrifice.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
B	PRISMARI	EXACT-TIE	4	accepted exact tie	B uses Resource sacrifice evidence; PRISMARI uses Advantage tempo evidence. No direct pair claim is made.	b1.hall.sacrifice.v1;b1.gate.tempo.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
B	R	EXACT-TIE;HIGH-FREQUENCY-P1/P2	187;162;4;3	accepted exact tie;>=100 authored paths; not player prevalence	B uses Resource sacrifice evidence; R uses Initiative posture evidence. No direct pair claim is made.	b1.hall.sacrifice.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
B	RG	EXACT-TIE	3	accepted exact tie	B uses Resource sacrifice evidence; RG uses Pressure channel evidence. No direct pair claim is made.	b1.hall.sacrifice.v1;b1.hall.pressure.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
