defect_id,category,severity,implementation_effort,affected_route_or_identity,source_file,runtime_evidence,reproduction,expected_behavior,actual_behavior,evidence_classification,recommended_requirement,implementation_dependency,blocks_trustworthy_placement
VM551-D001,logic,Critical,Large,All identities,research/build-faction-artifacts.mjs,"Builder lines 4831-4832 copy hard-coded QUESTION_BANK Hall and Crucible data while recovered discriminator contracts remain metadata.","Compare buildPlacementModel output wiring with raw placement discriminator_questions.","Live evidence effects derive from canonical reviewed identity contracts.","Live Hall/Crucible effects are a separate hard-coded editorial bank with no claim links.",Observed code and generated data,REQ-LOGIC-001 canonical question-to-signal contracts,Canonical evidence and signal vocabulary,yes
VM551-D002,logic,Critical,Large,All identities,assets/js/adaptive-placement.js,"likelihoodToDelta selects a nearest arbitrary lookup delta; softmax output is labeled confidence.","Trace createInitialAdaptiveState through likelihoodToDelta softmaxScores and buildAdaptivePlacementResult.","Probability terminology is used only for fitted or formally justified probability contracts.","Bayesian vocabulary describes an additive heuristic classifier.",Observed code and model configuration,REQ-LOGIC-002 prohibit Bayesian/probability claims pending validation,Model contract and public terminology,yes
VM551-D003,confidence,Critical,Large,All results,assets/js/adaptive-placement.js,"26,891 paths show share range 0.055-1.000; no calibration corpus exists.","Run audit-placement-system.mjs and inspect analysis-summary.json.","Confidence represents evidence amount quality agreement distinctiveness stability and empirical calibration.","Top softmax share and top-two separation are presented as confidence/strength.",Exhaustive model analysis,REQ-CONF-001 replace decorative share with confidence-state contract,Calibration corpus and decision contract,yes
VM551-D004,logic,Critical,Medium,All identities,assets/js/adaptive-placement.js,"Every identity wins at least one valid path with zero direct positive evidence despite metadata minimum-hit contracts.","Inspect minimum_positive_evidence_when_primary in identity matrix.","Primary placement requires its reviewed minimum independent positive evidence.","Suppression of competitors and tie ordering can create a primary with zero positive hits.",Exhaustive model analysis,REQ-LOGIC-003 enforce minimum evidence and false-positive guardrails,Controlled signal/evidence contracts,yes
VM551-D005,logic,High,Medium,All results,assets/js/adaptive-placement.js,"333 terminal paths have exact top-score ties; ranking sorts by faction key after probability.","Run exhaustive audit and inspect rankAdaptiveFactions sort.","Exact ties produce an explicit tied or mixed result.","Lexicographic identity key silently chooses the primary.",Exhaustive model analysis and code,REQ-LOGIC-004 explicit tie contract,Decision serializer and UI,yes
VM551-D006,adjacency,High,Large,All results,assets/js/adaptive-placement.js,"adjacent_matches is topMatches.slice(1 3).","Inspect buildAdaptivePlacementResult and any result.","Adjacent means a reviewed philosophical/behavioral relationship with independent support.","Adjacent means numerical ranks two and three.",Observed code,REQ-ADJ-001 relationship-typed adjacency contract,Identity relationship data and UI,yes
VM551-D007,confidence,High,Medium,WUBRG to BG representative result,assets/js/commander-dossier.js,"Browser result showed Golgari at 1% as adjacent while summary said Strong adjacent signal and panel said Emerging 1%.","Take WUBRG-oriented Gate answers then Build from the rot; open Golgari adjacent view.","One evidence-strength state is used consistently and weak runner-ups are not called adjacent.","Contradictory strength labels appear on one view.",Observed runtime,REQ-CONF-002 single confidence-state source and adjacency minimum,Confidence and adjacency contracts,yes
VM551-D008,question-design,High,Large,All questionnaire answers,data/placement-model.json,"0 of 356 answers offer explicit neutral none unsure or mixed handling.","Inspect question-to-signal-matrix.csv.","Players can preserve uncertainty or mixed preference without forced evidence.","Every question forces a directional answer.",Complete generated-data inventory,REQ-QUESTION-001 neutral/mixed/unsure contract,Question UX and scoring,yes
VM551-D009,data-pipeline,High,Medium,Hall and Crucible,data/placement-model.json,"336 of 356 answers lack stable IDs.","Inspect source_answer_id in question-to-signal-matrix.csv.","Every answer has stable versioned identity independent of array order.","Hall/Crucible answers are identified only by question plus array position.",Complete generated-data inventory,REQ-DATA-001 stable answer IDs and schema enforcement,Builder and migration,yes
VM551-D010,evidence,High,Large,All questionnaire answers,data/placement-model.json,"0 questions and 0 answers carry claim/source references.","Inspect live model and claim-evidence-register.csv.","Every material answer-to-signal effect is traceable to evidence class and review decision.","All 356 live mappings are unproven editorial interpretations.",Complete generated-data and claim inventory,REQ-EVID-001 answer-level provenance and claim classification,Canonical evidence registry,yes
VM551-D011,logic,High,Large,All identities,data/placement-model.json,"required_positive_min_hits and false_positive_guardrail exist per identity but runtime never reads them.","Search adaptive-placement.js for placement_axes required_positive_min_hits.","Recovered guardrails are enforced or explicitly declared non-runtime.","They are inert metadata.",Observed code/data mismatch,REQ-LOGIC-005 enforce identity evidence contracts,Runtime decision engine,yes
VM551-D012,data-pipeline,High,Medium,All model data,data/placement-model.schema.json,"Schema permits untyped scoring stages question_bank and coarse faction objects.","Review placement-model.schema.json against live model.","Schema enforces IDs controlled signals effects references ranges and invariants.","Malformed or untraceable contracts can validate.",Observed schema,REQ-DATA-002 strong schema and semantic validator,Schema migration and builder,yes
VM551-D013,logic,High,Medium,All identities,assets/js/adaptive-placement.js,"suppression_multiplier and broad_match_penalty are unused; no current answer emits prunes.","Search runtime reads and count answer prunes.","Declared scoring controls are applied tested or removed from the contract.","Configuration implies controls that do not affect current outcomes.",Observed code and complete data count,REQ-LOGIC-006 eliminate dead scoring controls,Model version migration,yes
VM551-D014,question-design,High,Large,Gate,data/placement/gate-compression.source.json,"Four abstract questions are fixed for every player and propagate color loadings into many identities.","Review Gate source and buildGateCompressionGate.","Early questions capture separable observable Commander behavior and do not predetermine broad identity families.","Metaphorical/philosophical answers create wide color-derived effects before identity-specific evidence.",Observed source and builder,REQ-QUESTION-002 behavior-first Gate redesign,Research and user testing,yes
VM551-D015,bias,High,Large,37 identities,docs/audits/vm551-placement-system/identity-reachability-opportunity-matrix.csv,"Primary share ranges Black 8.2184% to Abzan 0.6210%; support opportunities range 8-59.","Run exhaustive audit and sort matrix.","Identity opportunities are normalized or calibrated with documented expected distributions.","Question opportunity and winner shares differ by more than an order of magnitude.",Exhaustive model analysis,REQ-LOGIC-007 opportunity normalization and bias gates,Question redesign and calibration,yes
VM551-D016,bias,High,Medium,Colorless,docs/audits/vm551-placement-system/identity-reachability-opportunity-matrix.csv,"Colorless is primary and rank two reachable but has zero rank-three coverage; maximum share reaches 1.0.","Inspect Colorless row and exhaustive summary.","Every identity has tested primary/alternative/adjacent behavior without pathological concentration.","Colorless has an incomplete ranking-state footprint and extreme certainty.",Exhaustive model analysis,REQ-TEST-001 all-identity rank-state coverage,Decision and confidence contracts,yes
