identity,raw_identity_id,claim_id,statement,semantic_role,canon_status,confidence,source_ids,source_types,evidence_locations,evidence_classification,public_claim_suitability,live_scoring_link
ABZAN,abzan,abzan_claim_0001,Abzan is the White-centered WBG Tarkir wedge expression identified by the normalized Abzan evidence packet.,substantive_claim,Source-supported identity,High,"[""src_vm_abzan_evidence_ledger_20260531"",""src_wotc_rosewater_abzan_we_will_survive""]","[""Curated evidence ledger"",""Official Wizards design article capture""]","[{""source_id"":""src_vm_abzan_evidence_ledger_20260531"",""locator"":""docs/research/abzan/abzan-evidence-ledger.md#L9-L40"",""note"":""Abzan is the White-centered White-Black-Green Tarkir wedge identity."",""locator_type"":""line_range"",""bounded_paraphrase"":""Abzan is the White-centered White-Black-Green Tarkir wedge identity."",""evidence_scope"":""identity-boundary"",""interpretation_level"":""direct-or-bounded-interpretation""},{""source_id"":""src_wotc_rosewater_abzan_we_will_survive"",""locator"":""docs/research/canon/mark_rosewater_official_three_color/Abzan_We Will Survive _ MAGIC_ THE GATHERING.md#L1-L90"",""note"":""Abzan is the White-centered White-Black-Green Tarkir wedge identity."",""locator_type"":""line_range"",""bounded_paraphrase"":""Abzan is the White-centered White-Black-Green Tarkir wedge identity."",""evidence_scope"":""identity-boundary"",""interpretation_level"":""direct-or-bounded-interpretation""}]",Internal synthesis or editorial interpretation grounded in cited sources,Requires editorial qualification and an explicit Commander-behavior interpretive bridge,None: live answer likelihoods do not reference claim IDs.
ABZAN,abzan,abzan_claim_0002,"Abzan's design identity emphasizes endurance and survival through proactive defense, active defense, long-game planning, and Green growth after pressure is survived.",substantive_claim,Official design commentary,High,"[""src_vm_abzan_evidence_ledger_20260531"",""src_wotc_rosewater_abzan_we_will_survive""]","[""Curated evidence ledger"",""Official Wizards design article capture""]","[{""source_id"":""src_vm_abzan_evidence_ledger_20260531"",""locator"":""docs/research/abzan/abzan-evidence-ledger.md#L9-L40"",""note"":""Abzan's source-bound design frame emphasizes endurance, active defense, long-game survival, and growth after pressure."",""locator_type"":""line_range"",""bounded_paraphrase"":""Abzan's source-bound design frame emphasizes endurance, active defense, long-game survival, and growth after pressure."",""evidence_scope"":""design-identity"",""interpretation_level"":""direct-or-bounded-interpretation""},{""source_id"":""src_wotc_rosewater_abzan_we_will_survive"",""locator"":""docs/research/canon/mark_rosewater_official_three_color/Abzan_We Will Survive _ MAGIC_ THE GATHERING.md#L1-L90"",""note"":""Abzan's source-bound design frame emphasizes endurance, active defense, long-game survival, and growth after pressure."",""locator_type"":""line_range"",""bounded_paraphrase"":""Abzan's source-bound design frame emphasizes endurance, active defense, long-game survival, and growth after pressure."",""evidence_scope"":""design-identity"",""interpretation_level"":""direct-or-bounded-interpretation""}]",Internal synthesis or editorial interpretation grounded in cited sources,Requires editorial qualification and an explicit Commander-behavior interpretive bridge,None: live answer likelihoods do not reference claim IDs.
ABZAN,abzan,abzan_claim_0003,"Khans-era Abzan society grounds endurance in family, duty, kin-tree practice, ancestor spirits, and defined kinship categories.",substantive_claim,Official Tarkir lore capture,High,"[""src_vm_abzan_evidence_ledger_20260531"",""src_wotc_tarkir_khans_pg_part_1""]","[""Curated evidence ledger"",""Official Wizards lore guide capture""]","[{""source_id"":""src_vm_abzan_evidence_ledger_20260531"",""locator"":""docs/research/abzan/abzan-evidence-ledger.md#L9-L40"",""note"":""Khans-era Abzan society is grounded in family, duty, kin-tree practice, ancestor spirits, and kinship categories."",""locator_type"":""line_range"",""bounded_paraphrase"":""Khans-era Abzan society is grounded in family, duty, kin-tree practice, ancestor spirits, and kinship categories."",""evidence_scope"":""khans-era-family-duty"",""interpretation_level"":""direct-or-bounded-interpretation""},{""source_id"":""src_wotc_tarkir_khans_pg_part_1"",""locator"":""docs/research/canon/source-material/tarkir/planeswalkers-guide-khans-part-1.md#L1-L220"",""note"":""Khans-era Abzan society is grounded in family, duty, kin-tree practice, ancestor spirits, and kinship categories."",""locator_type"":""line_range"",""bounded_paraphrase"":""Khans-era Abzan society is grounded in family, duty, kin-tree practice, ancestor spirits, and kinship categories."",""evidence_scope"":""khans-era-family-duty"",""interpretation_level"":""direct-or-bounded-interpretation""}]",Internal synthesis or editorial interpretation grounded in cited sources,Requires editorial qualification and an explicit Commander-behavior interpretive bridge,None: live answer likelihoods do not reference claim IDs.
ABZAN,abzan,abzan_claim_0004,"Khans and Fate Reforged Abzan material supports era-bound roles, magic, named anchors, family bonds, lineage, dragon-scale armor, and dragon-threat context.",substantive_claim,Official Tarkir lore capture,High,"[""src_vm_abzan_evidence_ledger_20260531"",""src_wotc_tarkir_khans_pg_part_1"",""src_wotc_tarkir_fate_reforged_pg""]","[""Curated evidence ledger"",""Official Wizards lore guide capture""]","[{""source_id"":""src_vm_abzan_evidence_ledger_20260531"",""locator"":""docs/research/abzan/abzan-evidence-ledger.md#L9-L40"",""note"":""Khans and Fate Reforged evidence supports bounded roles, magic, named anchors, family bonds, lineage, and dragon-threat context."",""locator_type"":""line_range"",""bounded_paraphrase"":""Khans and Fate Reforged evidence supports bounded roles, magic, named anchors, family bonds, lineage, and dragon-threat context."",""evidence_scope"":""bounded-era-lore"",""interpretation_level"":""direct-or-bounded-interpretation""},{""source_id"":""src_wotc_tarkir_khans_pg_part_1"",""locator"":""docs/research/canon/source-material/tarkir/planeswalkers-guide-khans-part-1.md#L1-L220"",""note"":""Khans and Fate Reforged evidence supports bounded roles, magic, named anchors, family bonds, lineage, and dragon-threat context."",""locator_type"":""line_range"",""bounded_paraphrase"":""Khans and Fate Reforged evidence supports bounded roles, magic, named anchors, family bonds, lineage, and dragon-threat context."",""evidence_scope"":""bounded-era-lore"",""interpretation_level"":""direct-or-bounded-interpretation""},{""source_id"":""src_wotc_tarkir_fate_reforged_pg"",""locator"":""docs/research/canon/source-material/tarkir/planeswalkers-guide-fate-reforged.md#L1-L220"",""note"":""Khans and Fate Reforged evidence supports bounded roles, magic, named anchors, family bonds, lineage, and dragon-threat context."",""locator_type"":""line_range"",""bounded_paraphrase"":""Khans and Fate Reforged evidence supports bounded roles, magic, named anchors, family bonds, lineage, and dragon-threat context."",""evidence_scope"":""bounded-era-lore"",""interpretation_level"":""direct-or-bounded-interpretation""}]",Internal synthesis or editorial interpretation grounded in cited sources,Requires editorial qualification and an explicit Commander-behavior interpretive bridge,None: live answer likelihoods do not reference claim IDs.
ABZAN,abzan,abzan_claim_0005,"Khanfall and Dromoka-era material provide transition and suppression context, while Dromoka's brood remains separate from Abzan Houses.",substantive_claim,Official Tarkir chronology with source boundary,High,"[""src_vm_abzan_evidence_ledger_20260531"",""src_wotc_tarkir_fate_reforged_pg"",""src_wotc_tarkir_dragons_pg_part_1"",""src_wotc_tarkir_dragons_pg_part_2"",""src_wotc_tarkir_story_khanfall""]","[""Curated evidence ledger"",""Official Wizards lore guide capture"",""Official Wizards story capture""]","[{""source_id"":""src_vm_abzan_evidence_ledger_20260531"",""locator"":""docs/research/abzan/abzan-evidence-ledger.md#L9-L40"",""note"":""Khanfall and Dromoka-era sources establish transition, suppression, and Dromoka/Abzan separation boundaries."",""locator_type"":""line_range"",""bounded_paraphrase"":""Khanfall and Dromoka-era sources establish transition, suppression, and Dromoka/Abzan separation boundaries."",""evidence_scope"":""transition-boundary"",""interpretation_level"":""direct-or-bounded-interpretation""},{""source_id"":""src_wotc_tarkir_fate_reforged_pg"",""locator"":""docs/research/canon/source-material/tarkir/planeswalkers-guide-fate-reforged.md#L1-L220"",""note"":""Khanfall and Dromoka-era sources establish transition, suppression, and Dromoka/Abzan separation boundaries."",""locator_type"":""line_range"",""bounded_paraphrase"":""Khanfall and Dromoka-era sources establish transition, suppression, and Dromoka/Abzan separation boundaries."",""evidence_scope"":""transition-boundary"",""interpretation_level"":""direct-or-bounded-interpretation""},{""source_id"":""src_wotc_tarkir_dragons_pg_part_1"",""locator"":""docs/research/canon/source-material/tarkir/planeswalkers-guide-dragons-part-1.md#L1-L220"",""note"":""Khanfall and Dromoka-era sources establish transition, suppression, and Dromoka/Abzan separation boundaries."",""locator_type"":""line_range"",""bounded_paraphrase"":""Khanfall and Dromoka-era sources establish transition, suppression, and Dromoka/Abzan separation boundaries."",""evidence_scope"":""transition-boundary"",""interpretation_level"":""direct-or-bounded-interpretation""},{""source_id"":""src_wotc_tarkir_dragons_pg_part_2"",""locator"":""docs/research/canon/source-material/tarkir/planeswalkers-guide-dragons-part-2.md#L1-L220"",""note"":""Khanfall and Dromoka-era sources establish transition, suppression, and Dromoka/Abzan separation boundaries."",""locator_type"":""line_range"",""bounded_paraphrase"":""Khanfall and Dromoka-era sources establish transition, suppression, and Dromoka/Abzan separation boundaries."",""evidence_scope"":""transition-boundary"",""interpretation_level"":""direct-or-bounded-interpretation""},{""source_id"":""src_wotc_tarkir_story_khanfall"",""locator"":""docs/research/canon/source-material/tarkir/story-khanfall.md#L1-L220"",""note"":""Khanfall and Dromoka-era sources establish transition, suppression, and Dromoka/Abzan separation boundaries."",""locator_type"":""line_range"",""bounded_paraphrase"":""Khanfall and Dromoka-era sources establish transition, suppression, and Dromoka/Abzan separation boundaries."",""evidence_scope"":""transition-boundary"",""interpretation_level"":""direct-or-bounded-interpretation""}]",Internal synthesis or editorial interpretation grounded in cited sources,Requires editorial qualification and an explicit Commander-behavior interpretive bridge,None: live answer likelihoods do not reference claim IDs.
ABZAN,abzan,abzan_claim_0006,"Modern Dragonstorm-era Abzan are loyal and enduring, revived after Dromoka suppression, governed by the Council of Houses, and structured around extended house membership and major houses.",substantive_claim,Official modern Tarkir guide capture,High,"[""src_vm_abzan_evidence_ledger_20260531"",""src_wotc_tarkir_dragonstorm_pg_part_1""]","[""Curated evidence ledger"",""Official Wizards modern Tarkir guide capture""]","[{""source_id"":""src_vm_abzan_evidence_ledger_20260531"",""locator"":""docs/research/abzan/abzan-evidence-ledger.md#L9-L40"",""note"":""Modern Dragonstorm Abzan are revived, loyal, enduring, council-led, and organized around extended house membership."",""locator_type"":""line_range"",""bounded_paraphrase"":""Modern Dragonstorm Abzan are revived, loyal, enduring, council-led, and organized around extended house membership."",""evidence_scope"":""modern-house-identity"",""interpretation_level"":""direct-or-bounded-interpretation""},{""source_id"":""src_wotc_tarkir_dragonstorm_pg_part_1"",""locator"":""docs/research/canon/source-material/tarkir/planeswalkers-guide-dragonstorm-part-1.md#L1-L260"",""note"":""Modern Dragonstorm Abzan are revived, loyal, enduring, council-led, and organized around extended house membership."",""locator_type"":""line_range"",""bounded_paraphrase"":""Modern Dragonstorm Abzan are revived, loyal, enduring, council-led, and organized around extended house membership."",""evidence_scope"":""modern-house-identity"",""interpretation_level"":""direct-or-bounded-interpretation""}]",Internal synthesis or editorial interpretation grounded in cited sources,Requires editorial qualification and an explicit Commander-behavior interpretive bridge,None: live answer likelihoods do not reference claim IDs.
ABZAN,abzan,abzan_claim_0007,"Modern Abzan civic and military life includes trade networks, fortified refuge, patient defensive strength, organized military support, and daily trades and arts.",substantive_claim,Official modern Tarkir guide capture,High,"[""src_vm_abzan_evidence_ledger_20260531"",""src_wotc_tarkir_dragonstorm_pg_part_1""]","[""Curated evidence ledger"",""Official Wizards modern Tarkir guide capture""]","[{""source_id"":""src_vm_abzan_evidence_ledger_20260531"",""locator"":""docs/research/abzan/abzan-evidence-ledger.md#L9-L40"",""note"":""Modern Abzan civic and military life supports trade, fortified refuge, patient defense, organized support, daily trades, and arts."",""locator_type"":""line_range"",""bounded_paraphrase"":""Modern Abzan civic and military life supports trade, fortified refuge, patient defense, organized support, daily trades, and arts."",""evidence_scope"":""modern-civic-military"",""interpretation_level"":""direct-or-bounded-interpretation""},{""source_id"":""src_wotc_tarkir_dragonstorm_pg_part_1"",""locator"":""docs/research/canon/source-material/tarkir/planeswalkers-guide-dragonstorm-part-1.md#L1-L260"",""note"":""Modern Abzan civic and military life supports trade, fortified refuge, patient defense, organized support, daily trades, and arts."",""locator_type"":""line_range"",""bounded_paraphrase"":""Modern Abzan civic and military life supports trade, fortified refuge, patient defense, organized support, daily trades, and arts."",""evidence_scope"":""modern-civic-military"",""interpretation_level"":""direct-or-bounded-interpretation""}]",Internal synthesis or editorial interpretation grounded in cited sources,Requires editorial qualification and an explicit Commander-behavior interpretive bridge,None: live answer likelihoods do not reference claim IDs.
ABZAN,abzan,abzan_claim_0008,"Modern Abzan central belief is perennation, with life/death continuity, ancestor guidance, Kin-Tree bonding, earth manipulation, and spirit summoning as source-bound practices.",substantive_claim,Official modern Tarkir guide capture,High,"[""src_vm_abzan_evidence_ledger_20260531"",""src_wotc_tarkir_dragonstorm_pg_part_1""]","[""Curated evidence ledger"",""Official Wizards modern Tarkir guide capture""]","[{""source_id"":""src_vm_abzan_evidence_ledger_20260531"",""locator"":""docs/research/abzan/abzan-evidence-ledger.md#L9-L40"",""note"":""Perennation binds life/death continuity, ancestor guidance, Kin-Tree bonding, earth manipulation, and spirit summoning."",""locator_type"":""line_range"",""bounded_paraphrase"":""Perennation binds life/death continuity, ancestor guidance, Kin-Tree bonding, earth manipulation, and spirit summoning."",""evidence_scope"":""perennation-metaphysics"",""interpretation_level"":""direct-or-bounded-interpretation""},{""source_id"":""src_wotc_tarkir_dragonstorm_pg_part_1"",""locator"":""docs/research/canon/source-material/tarkir/planeswalkers-guide-dragonstorm-part-1.md#L1-L260"",""note"":""Perennation binds life/death continuity, ancestor guidance, Kin-Tree bonding, earth manipulation, and spirit summoning."",""locator_type"":""line_range"",""bounded_paraphrase"":""Perennation binds life/death continuity, ancestor guidance, Kin-Tree bonding, earth manipulation, and spirit summoning."",""evidence_scope"":""perennation-metaphysics"",""interpretation_level"":""direct-or-bounded-interpretation""}]",Internal synthesis or editorial interpretation grounded in cited sources,Requires editorial qualification and an explicit Commander-behavior interpretive bridge,None: live answer likelihoods do not reference claim IDs.
ABZAN,abzan,abzan_claim_0009,"Modern Abzan dragonstorm-era context includes defensive dragon hunting or capture, house-associated dragons, storm refuge, protective walls, and source-bound geography.",substantive_claim,Official modern Tarkir guide capture,High,"[""src_vm_abzan_evidence_ledger_20260531"",""src_wotc_tarkir_dragonstorm_pg_part_1"",""src_wotc_tarkir_dragonstorm_pg_part_2""]","[""Curated evidence ledger"",""Official Wizards modern Tarkir guide capture""]","[{""source_id"":""src_vm_abzan_evidence_ledger_20260531"",""locator"":""docs/research/abzan/abzan-evidence-ledger.md#L9-L40"",""note"":""Modern Abzan dragonstorm context is bounded to defensive dragon handling, house dragons, storm refuge, protective walls, and geography."",""locator_type"":""line_range"",""bounded_paraphrase"":""Modern Abzan dragonstorm context is bounded to defensive dragon handling, house dragons, storm refuge, protective walls, and geography."",""evidence_scope"":""modern-dragonstorm-context"",""interpretation_level"":""direct-or-bounded-interpretation""},{""source_id"":""src_wotc_tarkir_dragonstorm_pg_part_1"",""locator"":""docs/research/canon/source-material/tarkir/planeswalkers-guide-dragonstorm-part-1.md#L1-L260"",""note"":""Modern Abzan dragonstorm context is bounded to defensive dragon handling, house dragons, storm refuge, protective walls, and geography."",""locator_type"":""line_range"",""bounded_paraphrase"":""Modern Abzan dragonstorm context is bounded to defensive dragon handling, house dragons, storm refuge, protective walls, and geography."",""evidence_scope"":""modern-dragonstorm-context"",""interpretation_level"":""direct-or-bounded-interpretation""},{""source_id"":""src_wotc_tarkir_dragonstorm_pg_part_2"",""locator"":""docs/research/canon/source-material/tarkir/planeswalkers-guide-dragonstorm-part-2.md#L1-L220"",""note"":""Modern Abzan dragonstorm context is bounded to defensive dragon handling, house dragons, storm refuge, protective walls, and geography."",""locator_type"":""line_range"",""bounded_paraphrase"":""Modern Abzan dragonstorm context is bounded to defensive dragon handling, house dragons, storm refuge, protective walls, and geography."",""evidence_scope"":""modern-dragonstorm-context"",""interpretation_level"":""direct-or-bounded-interpretation""}]",Internal synthesis or editorial interpretation grounded in cited sources,Requires editorial qualification and an explicit Commander-behavior interpretive bridge,None: live answer likelihoods do not reference claim IDs.
ABZAN,abzan,abzan_claim_0010,"Generic WBG, generic defense or graveyard themes, Dromoka's brood, Commander products, seed files, and non-live packet status are not sufficient Abzan Houses proof.",substantive_claim,Source-supported boundary,High,"[""src_vm_abzan_evidence_ledger_20260531""]","[""Curated evidence ledger""]","[{""source_id"":""src_vm_abzan_evidence_ledger_20260531"",""locator"":""docs/research/abzan/abzan-evidence-ledger.md#L9-L40"",""note"":""Generic WBG, generic mechanics, Dromoka's brood, Commander products, seed files, and non-live packet status are insufficient Abzan proof."",""locator_type"":""line_range"",""bounded_paraphrase"":""Generic WBG, generic mechanics, Dromoka's brood, Commander products, seed files, and non-live packet status are insufficient Abzan proof."",""evidence_scope"":""metadata-and-false-positive-guardrail"",""interpretation_level"":""direct-or-bounded-interpretation""}]",Internal synthesis or editorial interpretation grounded in cited sources,Requires editorial qualification and an explicit Commander-behavior interpretive bridge,None: live answer likelihoods do not reference claim IDs.
