case_id,utterance,disposition,primary_query,confidence,missing_components,forbidden_present,failure_reasons,unresolved_terms,compiler_error
VM578-001,I want colorless but only wolves or other creatures like wolves and i would like deathouch and haste if possible,PARTIAL,type:wolf type:creature c:c kw:haste kw:deathtouch,0.8,,,optionality needs owner review,want; only; other; like; would; possible,
VM578-002,blue and green worm creatures that help me trigger etb effects,PARTIAL,type:worm type:creature c:ug o:enters,0.69,,,optionality needs owner review; functional-language unresolved,help; trigger; effects,
VM578-003,cards I can run in my simic commander deck,PASS,id<=ug legal:commander,0.6,,,,can; run,
VM578-004,exactly blue and green cards,PASS,c=ug,0.78,,,,,
VM578-005,no colors outside blue and green for commander,PARTIAL,c:ug legal:commander,0.6,id<=ug,,required constraint missing; color-vs-identity interpretation; OR/exclusion/scope handling,colors; outside,
VM578-006,mono black cards for my golgari deck,FAIL,c:bg,0.53,c=b id<=bg legal:commander,,required constraint missing; color-vs-identity interpretation; OR/exclusion/scope handling,mono,
VM578-007,colorless cards for my five color deck,PARTIAL,c:wubrg c:c,0.88,id<=wubrg legal:commander,,required constraint missing; color-vs-identity interpretation,,
VM578-008,blue or green but not multicolor,PARTIAL,c<=ug,0.65,-c:m,,required constraint missing; color-vs-identity interpretation; OR/exclusion/scope handling,multicolor,
VM578-009,rakdos commanders that make treasure,PARTIAL,id=br o:treasure is:commander legal:commander,0.96,,,optionality needs owner review,,
VM578-010,cards for a mono red commander that are not red,PARTIAL,-c:r is:commander legal:commander,0.81,id<=r,,required constraint missing; color-vs-identity interpretation; OR/exclusion/scope handling,mono,
VM578-011,azorius cards with white or blue identity,FAIL,c<=wu,0.59,id<=wu,,required constraint missing; color-vs-identity interpretation; OR/exclusion/scope handling,identity,
VM578-012,green white enchantments for my selesnya commander list,PARTIAL,type:enchantment id<=wg legal:commander,0.78,id<=gw,,required constraint missing; color-vs-identity interpretation,commander; list,
VM578-013,five color commanders that care about lands,PARTIAL,type:land id=wubrg is:commander legal:commander,0.86,,,optionality needs owner review,care; about,
VM578-014,colorless commanders that make colorless mana,PARTIAL,id:c is:commander legal:commander produces:c,0.96,id=c,,required constraint missing; color-vs-identity interpretation; high-confidence bad or incomplete interpretation,,
VM578-015,cards legal in commander with no color identity,PARTIAL,is:commander legal:commander,0.56,id=c,,required constraint missing; color-vs-identity interpretation,color; identity,
VM578-016,red dragons with haste,PASS,type:dragon c:r kw:haste,0.96,,,,,
VM578-017,black creatures with deathtouch,PASS,type:creature c:b kw:deathtouch,0.96,,,,,
VM578-018,two mana counterspells,FAIL,otag:counterspell,0.46,mv=2,,required constraint missing,two; mana,
VM578-019,cheap removal spells in black,PARTIAL,c:b otag:removal usd<=1,0.96,,,optionality needs owner review,,
VM578-020,creatures with flying and vigilance,PASS,type:creature kw:flying kw:vigilance,0.96,,,,,
VM578-021,artifacts with equip,PARTIAL,t:artifact kw:equip,0.94,type:artifact,,required constraint missing; high-confidence bad or incomplete interpretation,,
VM578-022,green cards with landfall,PASS,c:g kw:landfall,0.94,,,,,
VM578-023,white creatures with ward,PASS,type:creature c:w kw:ward,0.96,,,,,
VM578-024,instant speed card draw,PARTIAL,type:instant otag:draw,0.71,,,optionality needs owner review,speed,
