"id","origin","claim","disposition","severity","confidence","source_ids","current_evidence","action","owner_required"
"RT-001","VM551-D035","The earlier audit used the wrong CECOS draft and an unpreserved external legality claim.","DISPROVEN_CURRENT","NOTE","HIGH","SRC-AUTHORITY; SRC-DEFECTS","The accepted authority now pins CECOS draft.4 to exact object 947bf45bf6a191839b5fb4fa6c65980ed9d5737e and explicitly withdraws draft.2. This finding is resolved as governance, while implementation-derived claims still require individual retest.","Keep the exact-object rule; do not revive the rejected draft.2 framing.","NO"
"RT-002","VM551-D002; VM551-D003; VM551-D007; VM551-D023","The public result presents heuristic scores as Bayesian probability, calibrated confidence, or fabricated legacy certainty.","DISPROVEN_CURRENT","NOTE","HIGH","SRC-DEFECTS; SRC-ENGINE-CONTRACT; SRC-INVARIANTS; SRC-FOCUSED; SRC-ENGINE-EVIDENCE","The current engine uses bounded named states and public labels such as current-best-fit/close/insufficient; numeric public confidence is explicitly unauthorized. All 37 traces retain internal scores without treating them as calibrated player-facing probability.","Protect the no-public-probability invariant.","NO"
"RT-003","VM551-D005; VM551-D006","Lexicographic order silently chooses ties and numerical rank is mislabeled as adjacency.","DISPROVEN_CURRENT","NOTE","HIGH","SRC-DEFECTS; SRC-FOCUSED; SRC-ENGINE-CONTRACT; SRC-ENGINE-EVIDENCE","Current focused validation requires deterministic ordering without manufacturing a clear primary, and the public contract preserves close/tied/mixed/insufficient states plus independently qualified alternatives. The Jund witness currently returns close rather than forced primary certainty.","Retain explicit bounded states and qualification rules.","NO"
"RT-004","VM551-D008","Every questionnaire item forces directional evidence.","DISPROVEN_CURRENT","NOTE","HIGH","SRC-DEFECTS; SRC-ENGINE-CONTRACT; SRC-FOCUSED; SRC-INVARIANTS","Unknown, conditional, and non-directional answers are neutral in the current engine and excessive uncertainty yields insufficient rather than a forced identity.","Keep uncertainty responses neutral and separately auditable.","NO"
"RT-005","VM551-D009; VM551-D012","Answers lack stable IDs and malformed or untraceable contracts can validate.","DISPROVEN_CURRENT","NOTE","HIGH","SRC-DEFECTS; SRC-INVARIANTS; SRC-ENGINE-EVIDENCE","The current invariant report has no duplicate IDs, orphan signals, missing constructs, or answers missing provenance; all current witness traces pin model and witness hashes.","Protect schema and semantic validation in the build gate.","NO"
"RT-006","VM551-D010; VM551-D020","Answer-to-identity and lore-to-behavior bridges are editorial hypotheses without player validation.","NEEDS_PLAYER_DATA","HIGH","HIGH","SRC-DEFECTS; SRC-ARCHITECTURE; SRC-PLAYER-VALIDATION; SRC-ENGINE-CONTRACT","Current mappings remain explicitly MAPPING_HYPOTHESIS. Deterministic reproduction verifies implementation, not whether real players interpret the items or identity associations as intended.","Run the separately authorized player-validation protocol before any empirical accuracy claim.","YES"
"RT-007","VM551-D014","The Gate relies on broad metaphorical identity philosophy before observable Commander behavior.","DISPROVEN_CURRENT","NOTE","MEDIUM","SRC-DEFECTS; SRC-ARCHITECTURE; SRC-ENGINE-CONTRACT; SRC-INVARIANTS","The current architecture is behavior-first and construct-led, with four fixed Gate questions and later adaptive questions. This establishes current structural intent; player comprehension remains covered by RT-010.","Protect behavior-first wording while testing comprehension with players.","NO"
"RT-008","VM551-D015; VM551-D040","Unequal authored opportunity and target reachability may conceal population bias or neighbor confusion.","NEEDS_PLAYER_DATA","HIGH","HIGH","SRC-DEFECTS; SRC-SYNTHETIC; SRC-ENGINE-SUMMARY; SRC-PLAYER-VALIDATION; SRC-ENGINE-EVIDENCE","The current engine has 36 responsible named witness paths and one intentional bounded state, but its synthetic report is explicitly non-empirical. Targeted witness success does not establish ordinary-player outcome distribution, fairness, or neighbor distinctiveness.","Measure confusion, representational failure, and outcome distribution with recruited players.","YES"
"RT-009","VM551-D017","One inferred answer can be narrated as broad personality or Commander truth.","DISPROVEN_CURRENT","NOTE","MEDIUM","SRC-DEFECTS; SRC-DOSSIER-EVIDENCE; SRC-ENGINE-CONTRACT; SRC-FOCUSED","All 37 direct Dossier Review records mark placement provenance NOT_ASSERTED and render canonical identity content without implying it was entailed by a single answer. Current engine qualification prevents one answer from creating a clear primary.","Preserve the direct-review provenance boundary and qualification minimums.","NO"
"RT-010","VM551-D038","Question wording may remain abstract, double-barreled, or hard for novice and experienced players to interpret consistently.","NEEDS_PLAYER_DATA","HIGH","HIGH","SRC-DEFECTS; SRC-PLAYER-VALIDATION; SRC-ARCHITECTURE","The design was narrowed and approved structurally, but the player-validation plan explicitly remains protocol-only. Current engine tests cannot establish comprehension, recall, or response stability.","Authorize cognitive interviews and the planned novice/experienced-player validation slices.","YES"
"RT-011","VM551-D029","A user-visible result does not itself carry exact input, model, and evidence-contract provenance.","CONFIRMED_CURRENT","MEDIUM","HIGH","SRC-DEFECTS; SRC-DOSSIER-EVIDENCE; SRC-ENGINE-EVIDENCE","This audit can reconstruct exact model, witness, trace, screenshot, and rendered-record hashes, but the current direct Dossier Review surface does not expose an exact evidence manifest to the user. The audit packet mitigates review reproducibility without changing the product serializer.","Owner decision: keep provenance audit-only or authorize a future bounded result-manifest/export surface.","YES"
"RT-012","VM551-D036","One-answer perturbations frequently flip the primary without stability disclosure.","UNCLEAR_CURRENT","MEDIUM","MEDIUM","SRC-DEFECTS; SRC-SENSITIVITY; SRC-MUTATION; SRC-ENGINE-CONTRACT; SRC-ENGINE-EVIDENCE","The historical rate applies to the superseded engine. Current representative mutation validation passes and the public contract can return close/insufficient, but the current audit did not recreate the historical exhaustive 44,005 comparison universe under the new engine.","Keep current mutation witnesses; only authorize a new exhaustive sweep if owner risk judgment requires it.","YES"
"RT-013","VM551-D039","Repeated constructs can be counted as independent evidence and inflate stopping or confidence.","DISPROVEN_CURRENT","NOTE","HIGH","SRC-DEFECTS; SRC-ENGINE-CONTRACT; SRC-FOCUSED; SRC-INVARIANTS","The current engine keeps only the strongest positive and contradiction within each dependency group, and current focused validation covers dependency and neutral-evidence behavior.","Protect dependency-group caps and separate behavioral/lens ledgers.","NO"
"RT-014","Yore current observability boundary","All 37 identities should be forceable as behaviorally named results.","PRODUCT_DESIGN","NOTE","HIGH","SRC-ARCHITECTURE; SRC-LENS; SRC-ENGINE-SUMMARY; SRC-ENGINE-EVIDENCE","The approved architecture says Yore is not cleanly observable from Commander behavior. ENGINE-YORE responsibly returns insufficient while the other 36 witnesses reproduce their named outcomes.","Owner confirms the intentional bounded Yore behavior remains preferable to forced closure.","YES"
"RT-015","Owner-approved identity-lens architecture","A self-report lens should be treated as behavioral scoring or allowed to name/flip an identity.","PRODUCT_DESIGN","NOTE","HIGH","SRC-LENS; SRC-ARCHITECTURE; SRC-FOCUSED","The approved lens is optional, non-scoring, separate, bounded to already plausible candidates, and cannot independently name or flip a result. It remains non-production and needs separate validation.","Owner decides whether to retain the future lens obligation or remain behavior-only with explicit uncertainty.","YES"
"RT-016","VM-579 direct Dossier Review provenance seam","A direct dossier render can be mistaken for evidence that the placement engine reached that identity.","DISPROVEN_CURRENT","NOTE","HIGH","SRC-DOSSIER-EVIDENCE; SRC-ENGINE-EVIDENCE","The current packet keeps separate audit IDs and artifacts for direct dossier rendering versus current-engine witnesses. All dossier rows say NOT_ASSERTED; all engine rows independently record witness provenance and trace hashes.","Keep the two evidence seams separate in review and future automation.","NO"
