record_id	question_id	answer_id	change_type	construct_id	documented_gaps	behavioral_observation	naming_role	false_positive_analysis	exclusions	novice_comprehension	routing_eligibility	change_reason	evidence_provenance	status
IC-Q-001	b1.hall.commitment.v1		MATERIALLY_REFINED	C13	W;WU;WG;ABZAN;MARDU;BANT;WB;SILVERQUILL;INK;WUBRG	How a public agreement should persist or change after the board changes.	Question supplies only bounded observations; identity-specific naming is authorized per answer and still requires an independent dependency and construct.	The scenario remains reusable across identities; no mechanic, faction, color, moral quality, or obviously desirable option is treated as sufficient proof.	Do not ask when the player lacks a recognizable table-agreement context or DG_C13 is already observed; a deal preference cannot name an identity alone.	Repeatable means a card or engine that can create the same threat again if the table leaves it in place.	Ask when public procedure, shared access, durable obligation, bounded coordination, or revisable influence separates the live frontier.	Materially rewritten from a generic deal-duration item because VM-555 found it could not separate procedure, commons, obligation, coordination, and revisable influence.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-Q-002	b1.hall.pressure.v1		MATERIALLY_REFINED	C07	R;BR;RG;JUND;NAYA;MARDU;WR;DUNE;PRISMARI;WU;WB;UR;COLORLESS	The channel through which the player wants to turn one opening into progress toward ending the game.	Question supplies only bounded observations; identity-specific naming is authorized per answer and still requires an independent dependency and construct.	The scenario remains reusable across identities; no mechanic, faction, color, moral quality, or obviously desirable option is treated as sufficient proof.	Do not ask after DG_C07 is observed; combat, a large turn, or a noncombat engine never establishes identity by itself.	Uses direct Commander turn, board, card, mana, or deck-revision language without unexplained archetype terms.	Ask when live candidates agree on proactive play but differ in coordinated, embodied, abundant, burst, restrictive, or engine pressure.	Materially rewritten because the former three-channel item collapsed distinct combat and visible-payoff boundaries needed by VM-555.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-Q-003	b1.hall.engine-shape.v1		MATERIALLY_REFINED	C06	U;UB;UR;BG;LOREHOLD;QUANDRIX;WITHERBLOOM;SULTAI;COLORLESS;WUBRG;ESPER	Whether revision preserves one central engine, replaces functions, overlaps modules, or preserves purpose while changing tools.	Question supplies only bounded observations; identity-specific naming is authorized per answer and still requires an independent dependency and construct.	The scenario remains reusable across identities; no mechanic, faction, color, moral quality, or obviously desirable option is treated as sufficient proof.	Do not ask after another C06 observation; artifacts, machinery, redundancy, or toolbox play cannot establish Colorless or Yore.	An engine is a repeatable set of cards whose pieces create more value together than they do alone.	Ask when engine structure remains a live separator and DG_C06 has not been observed.	Materially rewritten because deck-revision context and a stable-purpose/flexible-tool option close more C06 corroboration gaps without adding a second C06 dependency.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-Q-004	b1.hall.interaction-window.v1		MATERIALLY_REFINED	C08	U;UB;WU;W;UR;JESKAI	The commitment point at which hidden information becomes sufficient to spend a held answer.	Question supplies only bounded observations; identity-specific naming is authorized per answer and still requires an independent dependency and construct.	The scenario remains reusable across identities; no mechanic, faction, color, moral quality, or obviously desirable option is treated as sufficient proof.	Do not ask after another C08 observation; waiting, prevention, or split mana alone cannot establish a color or faction.	Uses direct Commander turn, board, card, mana, or deck-revision language without unexplained archetype terms.	Ask when information use and interaction timing separate the live frontier and DG_C08 has not been observed.	Narrowly refined to the VM-555 commitment-window scenario and given a split line; it remains one C08 observation rather than a stackable third timing item.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-Q-005	b1.hall.setup.v1		MATERIALLY_REFINED	C14	G;WG;ABZAN;NAYA;BG;QUANDRIX;WITHERBLOOM;BANT;TEMUR;GLINT;INK;WITCH;UG	What contribution a longer development plan must make while the current table continues to move.	Question supplies only bounded observations; identity-specific naming is authorized per answer and still requires an independent dependency and construct.	The scenario remains reusable across identities; no mechanic, faction, color, moral quality, or obviously desirable option is treated as sufficient proof.	Do not ask after another C14 observation; long setup, early help, or incremental value cannot establish an identity alone.	Setup means the turns and cards a plan needs before it can produce its main payoff.	Ask when development horizon separates the live frontier and DG_C14 has not been observed.	Materially rewritten because the former duration preference did not observe whether setup participates in the current game or yields to the board.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-Q-006	b1.crucible.disruption-boundary.v1		ADDED	C03	B;G;R;RG;BG;LOREHOLD;WITHERBLOOM;SULTAI;TEMUR;GLINT;ESPER	The first response chosen after a central plan is removed while other board resources remain.	Question supplies only bounded observations; identity-specific naming is authorized per answer and still requires an independent dependency and construct.	The scenario remains reusable across identities; no mechanic, faction, color, moral quality, or obviously desirable option is treated as sufficient proof.	Do not count independently from Gate C03; do not ask merely to add evidence or when another eligible question separates the frontier better.	Uses direct Commander turn, board, card, mana, or deck-revision language without unexplained archetype terms.	Ask only when disruption response is the highest-value unresolved boundary and DG_C03 detail can change the responsible result.	Net-new targeted C03 item retained because B lacks an identity-specific behavioral trigger and G/RG disruption adaptation cannot be observed by the fixed broad Gate answer alone.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-007	b1.hall.commitment.v1	b1.hall.commitment.v1.procedure	RETAINED_OR_ADDED_CONTRACT	C13	W;WU	Prefers public procedural consistency after circumstances change.	Identity-specific trigger only for W;WU; no score bonus and no standalone naming.	Public consistency can be chosen for convenience, fairness, threat management, or social comfort; it requires independent evidence.	Procedure alone does not establish White, Azorius, or Bant; private advantage and experience with table agreements remain separate.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask when public procedure, shared access, durable obligation, bounded coordination, or revisable influence separates the live frontier.	Materially rewritten from a generic deal-duration item because VM-555 found it could not separate procedure, commons, obligation, coordination, and revisable influence.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-008	b1.hall.commitment.v1	b1.hall.commitment.v1.access	RETAINED_OR_ADDED_CONTRACT	C13	WG;BANT;WUBRG	Prefers protecting a shared resource or opportunity after circumstances change.	Identity-specific trigger only for WG; no score bonus and no standalone naming.	A player may preserve access for tactical benefit, generosity, politics, or theme; independent evidence is required.	Shared access does not establish Selesnya, Ink, Bant, or WUBRG; helping the table is not identity proof.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask when public procedure, shared access, durable obligation, bounded coordination, or revisable influence separates the live frontier.	Materially rewritten from a generic deal-duration item because VM-555 found it could not separate procedure, commons, obligation, coordination, and revisable influence.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-009	b1.hall.commitment.v1	b1.hall.commitment.v1.terms	RETAINED_OR_ADDED_CONTRACT	C13	ABZAN	Prefers durable obligation despite a changed immediate advantage.	Identity-specific trigger only for ABZAN; no score bonus and no standalone naming.	Deal-keeping can reflect reputation management or table norms rather than durable-obligation preference.	Keeping a deal does not establish Orzhov, Abzan, or moral character.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask when public procedure, shared access, durable obligation, bounded coordination, or revisable influence separates the live frontier.	Materially rewritten from a generic deal-duration item because VM-555 found it could not separate procedure, commons, obligation, coordination, and revisable influence.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-010	b1.hall.commitment.v1	b1.hall.commitment.v1.short	RETAINED_OR_ADDED_CONTRACT	C13	MARDU;WR;DUNE	Prefers bounded coordination tied to the present opening.	Identity-specific trigger only for MARDU; no score bonus and no standalone naming.	A short deal may be tactically obvious rather than an enduring behavioral preference.	Short coordination does not establish Boros, Mardu, Dune, or combat preference.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask when public procedure, shared access, durable obligation, bounded coordination, or revisable influence separates the live frontier.	Materially rewritten from a generic deal-duration item because VM-555 found it could not separate procedure, commons, obligation, coordination, and revisable influence.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-011	b1.hall.commitment.v1	b1.hall.commitment.v1.reopen	RETAINED_OR_ADDED_CONTRACT	C13	SILVERQUILL	Prefers revisable present influence over a binding future commitment.	Corroborating directional observation only; never a naming trigger.	Players may reopen a deal because it became impossible, not because they prefer revisable influence.	Revisability alone does not establish Silverquill, political skill, or selfishness.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask when public procedure, shared access, durable obligation, bounded coordination, or revisable influence separates the live frontier.	Materially rewritten from a generic deal-duration item because VM-555 found it could not separate procedure, commons, obligation, coordination, and revisable influence.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-012	b1.hall.pressure.v1	b1.hall.pressure.v1.coordinate	RETAINED_OR_ADDED_CONTRACT	C07	WR;DUNE;MARDU	Prefers formation-based combat pressure during a shared opening.	Corroborating directional observation only; never a naming trigger.	The tactically strongest attack may look coordinated without reflecting a stable preference.	Combat coordination does not establish Boros, Mardu, Dune, duty, or leadership.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask when live candidates agree on proactive play but differ in coordinated, embodied, abundant, burst, restrictive, or engine pressure.	Materially rewritten because the former three-channel item collapsed distinct combat and visible-payoff boundaries needed by VM-555.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-013	b1.hall.pressure.v1	b1.hall.pressure.v1.combat	RETAINED_OR_ADDED_CONTRACT	C07	R;RG;JUND	Prefers immediate embodied combat pressure from the current board.	Identity-specific trigger only for R;RG;JUND; no score bonus and no standalone naming.	Many decks attack when shields are down; independent motive and context remain necessary.	Combat alone does not establish Red, Gruul, Jund, aggression, or experience level.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask when live candidates agree on proactive play but differ in coordinated, embodied, abundant, burst, restrictive, or engine pressure.	Materially rewritten because the former three-channel item collapsed distinct combat and visible-payoff boundaries needed by VM-555.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
