question_id,phase,exact_prompt,answer_identifiers_or_missing_status,intended_construct,actual_dimensions_tested,commander_relevance,wording_clarity,abstraction_burden,double_barreled_status,desirability_or_steering_risk,lore_dependence,mood_dependence,answer_overlap,repeated_signal_group,correlated_signal_group,uncertainty_representation,false_positive_risk,false_negative_risk,scoring_consistency,explanation_consistency,evidence_authority,final_disposition,remediation_implication
gate_v2_locus_of_trust,gate,"When the ground shifts, what do you trust first?","[""gate_v2_trust_self_claim"",""gate_v2_trust_personal_threshold"",""gate_v2_trust_braided_witness"",""gate_v2_trust_common_root"",""gate_v2_trust_outside_measure""]",Broad Gate routing; authored signals: self-authored agency | personal threshold | integrated whole | communal continuity | outside boundary,"[""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference""]",HIGH,LOW,HIGH,NO,HIGH,NOT-EXPLICIT,PRESENT,0.103,"[""agency-and-leverage"",""uncontrolled-editorial-construct""]",overlapping:agency-and-leverage+uncontrolled-editorial-construct,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,INCONSISTENT effect-count spread 7,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
gate_v2_pressure_becomes,gate,"When pressure gathers, what should it become?","[""gate_v2_pressure_form"",""gate_v2_pressure_answerable_motion"",""gate_v2_pressure_many_currents"",""gate_v2_pressure_wild_release"",""gate_v2_pressure_silent_axis""]",Broad Gate routing; authored signals: ordered containment | bounded action | balanced convergence | adaptive release | outside boundary,"[""social-behavior"",""psychographic-or-motivational-inference-risk"",""philosophical-preference""]",HIGH,LOW,HIGH,NO,HIGH,NOT-EXPLICIT,PRESENT,0.107,"[""procedure-and-order"",""speed-and-action"",""uncontrolled-editorial-construct"",""growth-and-nature""]",overlapping:procedure-and-order+speed-and-action+uncontrolled-editorial-construct+growth-and-nature,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,INCONSISTENT effect-count spread 8,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
gate_v2_first_signal,gate,What signal reaches you first?,"[""gate_v2_signal_cold_pattern"",""gate_v2_signal_measured_trace"",""gate_v2_signal_whole_chord"",""gate_v2_signal_live_spark"",""gate_v2_signal_unlit_edge""]",Broad Gate routing; authored signals: calculated implication | measured inference | balanced chord | felt ignition | outside boundary,"[""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference""]",LOW,LOW,HIGH,NO,HIGH,NOT-EXPLICIT,PRESENT,0.154,"[""uncontrolled-editorial-construct"",""speed-and-action""]",overlapping:uncontrolled-editorial-construct+speed-and-action,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,INCONSISTENT effect-count spread 14,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
gate_v2_cost_of_oath,gate,What cost can an oath fairly ask of you?,"[""gate_v2_oath_preserve"",""gate_v2_oath_steward"",""gate_v2_oath_whole_covenant"",""gate_v2_oath_transform"",""gate_v2_oath_without_color""]",Broad Gate routing; authored signals: preserving duty | careful stewardship | integrated covenant | transformative cost | outside boundary,"[""social-behavior"",""philosophical-preference""]",LOW,LOW,HIGH,NO,HIGH,NOT-EXPLICIT,NOT-EXPLICIT,0.185,"[""protection-and-duty"",""uncontrolled-editorial-construct"",""agency-and-leverage""]",overlapping:protection-and-duty+uncontrolled-editorial-construct+agency-and-leverage,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,INCONSISTENT effect-count spread 9,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_W_shelter,hall,A frightened group needs protection before trust has time to grow. What response feels most dependable?,"[""MISSING:hall_W_shelter#answer-1"",""MISSING:hall_W_shelter#answer-2"",""MISSING:hall_W_shelter#answer-3"",""MISSING:hall_W_shelter#answer-4""]",Differentiate W; authored signals: shelter through structure | procedure first | urgent guardianship | belonging as shelter,"[""social-behavior"",""psychographic-or-motivational-inference-risk""]",MEDIUM,MEDIUM-HIGH,MEDIUM,NO,HIGH,NOT-EXPLICIT,PRESENT,0.143,"[""procedure-and-order"",""uncontrolled-editorial-construct"",""community-and-belonging""]",overlapping:procedure-and-order+uncontrolled-editorial-construct+community-and-belonging,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM-HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 4,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
hall_W_duty,hall,"A structure is imperfect, but it still keeps more people safe than improvisation. What matters most?","[""MISSING:hall_W_duty#answer-1"",""MISSING:hall_W_duty#answer-2"",""MISSING:hall_W_duty#answer-3"",""MISSING:hall_W_duty#answer-4""]",Differentiate W; authored signals: duty to maintain shelter | airtight procedure | case-first intervention | shared care,"[""social-behavior"",""psychographic-or-motivational-inference-risk""]",MEDIUM,MEDIUM-HIGH,LOW,YES,HIGH,NOT-EXPLICIT,PRESENT,0.083,"[""protection-and-duty"",""procedure-and-order"",""uncontrolled-editorial-construct"",""community-and-belonging""]",overlapping:protection-and-duty+procedure-and-order+uncontrolled-editorial-construct+community-and-belonging,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM-HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 4,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
hall_B_cost,hall,"A choice will cost life, comfort, or loyalty, but it keeps your fate from belonging to someone else. What makes the exchange honest?","[""MISSING:hall_B_cost#answer-1"",""MISSING:hall_B_cost#answer-2"",""MISSING:hall_B_cost#answer-3"",""MISSING:hall_B_cost#answer-4""]",Differentiate B; authored signals: power at a cost | secret leverage | binding debt | unrestrained appetite,"[""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference""]",LOW,LOW,HIGH,YES,HIGH,NOT-EXPLICIT,PRESENT,0.1,"[""agency-and-leverage"",""uncontrolled-editorial-construct""]",overlapping:agency-and-leverage+uncontrolled-editorial-construct,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,INCONSISTENT effect-count spread 5,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_B_graveyard,hall,"Something useful has died, failed, or been spent. What should happen to it now?","[""MISSING:hall_B_graveyard#answer-1"",""MISSING:hall_B_graveyard#answer-2"",""MISSING:hall_B_graveyard#answer-3"",""MISSING:hall_B_graveyard#answer-4""]",Differentiate B; authored signals: graveyard as resource | cycle of decay | memorial duty | public pressure,"[""gameplay-or-deck-behavior"",""social-behavior"",""psychographic-or-motivational-inference-risk""]",HIGH,LOW,HIGH,NO,HIGH,NOT-EXPLICIT,PRESENT,0.15,"[""decay-and-renewal"",""protection-and-duty"",""speed-and-action""]",overlapping:decay-and-renewal+protection-and-duty+speed-and-action,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 3,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_U_understanding,hall,The room wants action before the variables are clear. What response feels most responsible?,"[""MISSING:hall_U_understanding#answer-1"",""MISSING:hall_U_understanding#answer-2"",""MISSING:hall_U_understanding#answer-3"",""MISSING:hall_U_understanding#answer-4""]",Differentiate U; authored signals: act after understanding | formal procedure | hidden leverage | volatile experiment,"[""social-behavior"",""psychographic-or-motivational-inference-risk""]",HIGH,LOW,HIGH,NO,HIGH,NOT-EXPLICIT,PRESENT,0.1,"[""uncontrolled-editorial-construct"",""procedure-and-order"",""agency-and-leverage"",""experiment-and-invention""]",overlapping:uncontrolled-editorial-construct+procedure-and-order+agency-and-leverage+experiment-and-invention,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,INCONSISTENT effect-count spread 5,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_U_possibility,hall,A person or system seems limited by its current shape. What makes progress trustworthy?,"[""MISSING:hall_U_possibility#answer-1"",""MISSING:hall_U_possibility#answer-2"",""MISSING:hall_U_possibility#answer-3"",""MISSING:hall_U_possibility#answer-4""]",Differentiate U; authored signals: optimization through knowledge | biological adaptation | rapid experimentation | knowledge as leverage,"[""gameplay-or-deck-behavior"",""social-behavior"",""psychographic-or-motivational-inference-risk"",""philosophical-preference""]",HIGH,LOW,HIGH,YES,HIGH,NOT-EXPLICIT,PRESENT,0.087,"[""knowledge-and-deliberation"",""growth-and-nature"",""experiment-and-invention""]",overlapping:knowledge-and-deliberation+growth-and-nature+experiment-and-invention,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,INCONSISTENT effect-count spread 5,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
