identity	prior_public_path	current_responsible_candidate_reachable	current_primary_reachable	blocker	disposition	evidence_locator
BG	NAMED_THROUGH_CLOSE_STATE_WITH_ONE_NAMING_DEPENDENCY	false	false	The approved exact/bounded naming answer supplies one positive dependency/construct; no second independently mapped behavioral observation exists.	BOUND_UNTIL_SECOND_INDEPENDENT_POSITIVE_AUTHORITY_EXISTS	docs/reports/vm551-gate-b1-placement-engine/identity-reachability.json#identity=BG;data/placement/gate-b1-mapping.source.json#mapping_rules
COLORLESS	NAMED_THROUGH_CLOSE_STATE_WITH_ONE_NAMING_DEPENDENCY	false	false	The approved exact/bounded naming answer supplies one positive dependency/construct; no second independently mapped behavioral observation exists.	BOUND_UNTIL_SECOND_INDEPENDENT_POSITIVE_AUTHORITY_EXISTS	docs/reports/vm551-gate-b1-placement-engine/identity-reachability.json#identity=COLORLESS;data/placement/gate-b1-mapping.source.json#mapping_rules
DUNE	NAMED_THROUGH_CLOSE_STATE_WITH_ONE_NAMING_DEPENDENCY	false	false	The approved exact/bounded naming answer supplies one positive dependency/construct; no second independently mapped behavioral observation exists.	BOUND_UNTIL_SECOND_INDEPENDENT_POSITIVE_AUTHORITY_EXISTS	docs/reports/vm551-gate-b1-placement-engine/identity-reachability.json#identity=DUNE;data/placement/gate-b1-mapping.source.json#mapping_rules
GLINT	NAMED_THROUGH_CLOSE_STATE_WITH_ONE_NAMING_DEPENDENCY	false	false	The approved exact/bounded naming answer supplies one positive dependency/construct; no second independently mapped behavioral observation exists.	BOUND_UNTIL_SECOND_INDEPENDENT_POSITIVE_AUTHORITY_EXISTS	docs/reports/vm551-gate-b1-placement-engine/identity-reachability.json#identity=GLINT;data/placement/gate-b1-mapping.source.json#mapping_rules
INK	NAMED_THROUGH_CLOSE_STATE_WITH_ONE_NAMING_DEPENDENCY	false	false	The approved exact/bounded naming answer supplies one positive dependency/construct; no second independently mapped behavioral observation exists.	BOUND_UNTIL_SECOND_INDEPENDENT_POSITIVE_AUTHORITY_EXISTS	docs/reports/vm551-gate-b1-placement-engine/identity-reachability.json#identity=INK;data/placement/gate-b1-mapping.source.json#mapping_rules
LOREHOLD	NAMED_THROUGH_CLOSE_STATE_WITH_ONE_NAMING_DEPENDENCY	false	false	The approved exact/bounded naming answer supplies one positive dependency/construct; no second independently mapped behavioral observation exists.	BOUND_UNTIL_SECOND_INDEPENDENT_POSITIVE_AUTHORITY_EXISTS	docs/reports/vm551-gate-b1-placement-engine/identity-reachability.json#identity=LOREHOLD;data/placement/gate-b1-mapping.source.json#mapping_rules
PRISMARI	NAMED_THROUGH_CLOSE_STATE_WITH_ONE_NAMING_DEPENDENCY	false	false	The approved exact/bounded naming answer supplies one positive dependency/construct; no second independently mapped behavioral observation exists.	BOUND_UNTIL_SECOND_INDEPENDENT_POSITIVE_AUTHORITY_EXISTS	docs/reports/vm551-gate-b1-placement-engine/identity-reachability.json#identity=PRISMARI;data/placement/gate-b1-mapping.source.json#mapping_rules
QUANDRIX	NAMED_THROUGH_CLOSE_STATE_WITH_ONE_NAMING_DEPENDENCY	false	false	The approved exact/bounded naming answer supplies one positive dependency/construct; no second independently mapped behavioral observation exists.	BOUND_UNTIL_SECOND_INDEPENDENT_POSITIVE_AUTHORITY_EXISTS	docs/reports/vm551-gate-b1-placement-engine/identity-reachability.json#identity=QUANDRIX;data/placement/gate-b1-mapping.source.json#mapping_rules
UR	NAMED_THROUGH_CLOSE_STATE_WITH_ONE_NAMING_DEPENDENCY	false	false	The approved exact/bounded naming answer supplies one positive dependency/construct; no second independently mapped behavioral observation exists.	BOUND_UNTIL_SECOND_INDEPENDENT_POSITIVE_AUTHORITY_EXISTS	docs/reports/vm551-gate-b1-placement-engine/identity-reachability.json#identity=UR;data/placement/gate-b1-mapping.source.json#mapping_rules
WITHERBLOOM	NAMED_THROUGH_CLOSE_STATE_WITH_ONE_NAMING_DEPENDENCY	false	false	The approved exact/bounded naming answer supplies one positive dependency/construct; no second independently mapped behavioral observation exists.	BOUND_UNTIL_SECOND_INDEPENDENT_POSITIVE_AUTHORITY_EXISTS	docs/reports/vm551-gate-b1-placement-engine/identity-reachability.json#identity=WITHERBLOOM;data/placement/gate-b1-mapping.source.json#mapping_rules
WR	NAMED_THROUGH_CLOSE_STATE_WITH_ONE_NAMING_DEPENDENCY	false	false	The approved exact/bounded naming answer supplies one positive dependency/construct; no second independently mapped behavioral observation exists.	BOUND_UNTIL_SECOND_INDEPENDENT_POSITIVE_AUTHORITY_EXISTS	docs/reports/vm551-gate-b1-placement-engine/identity-reachability.json#identity=WR;data/placement/gate-b1-mapping.source.json#mapping_rules
WUBRG	NAMED_THROUGH_CLOSE_STATE_WITH_ONE_NAMING_DEPENDENCY	false	false	The approved exact/bounded naming answer supplies one positive dependency/construct; no second independently mapped behavioral observation exists.	BOUND_UNTIL_SECOND_INDEPENDENT_POSITIVE_AUTHORITY_EXISTS	docs/reports/vm551-gate-b1-placement-engine/identity-reachability.json#identity=WUBRG;data/placement/gate-b1-mapping.source.json#mapping_rules
