name,mana_cost,type_line,oracle_text,power,toughness,set,collector_number,rarity,scryfall_uri
Hydroid Krasis,"{X}{G}{U}",Creature — Jellyfish Hydra Beast,"When you cast this spell, you gain half X life and draw half X cards, rounded down. Flying, trample. Hydroid Krasis enters the battlefield with X +1/+1 counters on it.",0,0,RNA,183,rare,https://scryfall.com/card/rna/183/hydroid-krasis
Lonis Cryptozoologist,"{G}{U}",Legendary Creature — Elf Scout,"Whenever you cast a creature spell, create a 1/1 green Snake token. {1}, Sacrifice a Snake: Investigate.",2,2,AFR,225,uncommon,https://scryfall.com/card/afr/225/lonis-cryptozoologist
Unruly Krasis,"{1}{G}{U}",Creature — Krasis,"Trample. When Unruly Krasis enters the battlefield, put two +1/+1 counters on target creature you control.",3,3,GRN,175,uncommon,https://scryfall.com/card/grn/175/unruly-krasis
Scuttling Sentinel,"{4}{G}",Creature — Crocodile Construct,"Adapt 3. Whenever you cast an instant or sorcery spell, untap Scuttling Sentinel.",3,4,RNA,138,common,https://scryfall.com/card/rna/138/scuttling-sentinel
Biomancer's Familiar,"{G}{U}",Creature — Mutant,"Activated abilities of creatures you control cost {2} less to activate. This effect can't reduce the amount of mana an ability costs to activate to less than one mana. Each creature you control enters the battlefield with an additional +1/+1 counter on it if it would enter with adapt counters.",2,2,RNA,159,rare,https://scryfall.com/card/rna/159/biomancers-familiar
Prime Speaker Zegana,"{4}{G}{U}",Legendary Creature — Merfolk Wizard,"Prime Speaker Zegana enters the battlefield with X +1/+1 counters on it, where X is the greatest power among other creatures you control. When Prime Speaker Zegana enters the battlefield, draw cards equal to its power.",1,1,GTC,183,mythic,https://scryfall.com/card/gtc/183/prime-speaker-zegana
Zegana Utopian Speaker,"{2}{G}{U}",Legendary Creature — Merfolk Shaman,"When Zegana, Utopian Speaker enters the battlefield, if you control another creature with a +1/+1 counter on it, draw a card. {4}{G}{U}: Adapt 4. Each creature you control with a +1/+1 counter on it has trample and hexproof.",4,4,RNA,214,rare,https://scryfall.com/card/rna/214/zegana-utopian-speaker
Simic Ascendancy,"{G}{U}",Enchantment,"Whenever one or more +1/+1 counters are put on a creature you control, put that many growth counters on Simic Ascendancy. At the beginning of your upkeep, if Simic Ascendancy has twenty or more growth counters on it, you win the game.",,,RNA,207,rare,https://scryfall.com/card/rna/207/simic-ascendancy
Uro Titan of Nature's Wrath,"{1}{G}{U}",Legendary Creature — Elder Giant,"When Uro enters the battlefield, sacrifice it unless it escaped. Whenever Uro enters the battlefield or attacks, you gain 3 life and draw a card, then you may put a land card from your hand onto the battlefield. Escape—{G}{G}{U}{U}, Exile five other cards from your graveyard.",6,6,THB,229,mythic,https://scryfall.com/card/thb/229/uro-titan-of-natures-wrath
Oko Thief of Crowns,"{1}{G}{U}",Legendary Planeswalker — Oko,"+2: Create a Food token. +1: Target artifact or creature loses all abilities and becomes a green Elk creature with base power and toughness 3/3. −5: Exchange control of target artifact or creature you control and target creature an opponent controls with power 3 or less.",,,,ELD,197,mythic,https://scryfall.com/card/eld/197/oko-thief-of-crowns
Simic Charm,"{G}{U}",Instant,"Choose one — Target creature gets +3/+3 until end of turn. / Permanents you control gain hexproof until end of turn. / Return target creature to its owner's hand.",,,GTC,198,uncommon,https://scryfall.com/card/gtc/198/simic-charm
Breeding Pool,,Land — Forest Island,"({T}: Add {G} or {U}.)",,,RNA,246,rare,https://scryfall.com/card/rna/246/breeding-pool
Growth Spiral,"{G}{U}",Instant,"Draw a card. You may put a land card from your hand onto the battlefield.",,,RNA,178,common,https://scryfall.com/card/rna/178/growth-spiral
Incubation Druid,"{1}{G}",Creature — Elf Druid,"You may choose not to untap Incubation Druid during your untap step. {T}: Add one mana of any type that a land you control could produce. If Incubation Druid has a +1/+1 counter on it, add three mana of that type instead. Adapt 3.",0,2,RNA,131,rare,https://scryfall.com/card/rna/131/incubation-druid
Hadana's Climb,"{1}{G}{U}",Legendary Enchantment — Saga,"I — Put a +1/+1 counter on target creature you control. II — Put a +1/+1 counter on target creature you control. III — Flip Hadana's Climb. // Winged Temple of Orazca — Land. {T}: Add {G} or {U}. {T}: Double the power and toughness of target creature you control until end of turn.",,,RIX,175,rare,https://scryfall.com/card/rix/175/hadanas-climb-winged-temple-of-orazca
Sharktocrab,"{2}{G}{U}",Creature — Shark Octopus Crab,"Adapt 4. Whenever one or more +1/+1 counters are put on Sharktocrab, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.",4,4,RNA,209,uncommon,https://scryfall.com/card/rna/209/sharktocrab
Experiment Kraj,"{4}{G}{U}",Legendary Creature — Ooze Mutant,"Experiment Kraj has all activated abilities of each other creature with a +1/+1 counter on it. {T}: Put a +1/+1 counter on target creature.",4,6,DIS,118,rare,https://scryfall.com/card/dis/118/experiment-kraj
Master Biomancer,"{2}{G}{U}",Creature — Elf Wizard,"Each other creature you control enters the battlefield with a number of additional +1/+1 counters on it equal to Master Biomancer's power and as a Mutant in addition to its other types.",2,4,GTC,179,mythic,https://scryfall.com/card/gtc/179/master-biomancer
Pir Imaginative Rascal,"{2}{G}",Legendary Creature — Human,"If one or more counters would be put on a permanent your team controls, that many plus one of each of those kinds of counters are put on that permanent instead.",1,1,BBD,26,rare,https://scryfall.com/card/bbd/26/pir-imaginative-rascal
Toothy Imaginary Friend,"{3}{U}",Legendary Creature — Illusion,"Whenever you draw a card, put a +1/+1 counter on Toothy, Imaginary Friend. When Toothy leaves the battlefield, draw cards equal to the number of +1/+1 counters on it.",1,1,BBD,9,rare,https://scryfall.com/card/bbd/9/toothy-imaginary-friend
Biogenic Ooze,"{3}{G}{G}",Creature — Ooze,"When Biogenic Ooze enters the battlefield, create a 2/2 green Ooze creature token. At the beginning of your end step, put a +1/+1 counter on each Ooze you control. {2}{G}{G}{G}: Create a 2/2 green Ooze creature token.",2,2,RNA,122,mythic,https://scryfall.com/card/rna/122/biogenic-ooze
Simic Guildmage,"{G/U}{G/U}",Creature — Elf Wizard,"{1}{G}: Move a +1/+1 counter from target creature to another target creature. {1}{U}: Attach target Aura enchanting a permanent to another permanent with the same card type.",2,2,DIS,134,uncommon,https://scryfall.com/card/dis/134/simic-guildmage
Vorel of the Hull Clade,"{1}{G}{U}",Legendary Creature — Human Merfolk,"{G}{U}, {T}: Double the number of each kind of counter on target artifact, creature, or land.",1,4,GTC,201,rare,https://scryfall.com/card/gtc/201/vorel-of-the-hull-clade
Combine Guildmage,"{G}{U}",Creature — Merfolk Wizard,"{2}{G}, {T}: Target creature gets +1/+1 until end of turn for each counter on it. {2}{U}, {T}: Adapt 1.",2,2,RNA,163,uncommon,https://scryfall.com/card/rna/163/combine-guildmage
Frilled Mystic,"{G}{G}{U}{U}",Creature — Elf Lizard Wizard,"Flash. When Frilled Mystic enters the battlefield, you may counter target spell.",3,3,RNA,174,uncommon,https://scryfall.com/card/rna/174/frilled-mystic
Applied Biomancy,"{G}{U}",Instant,"Choose one or both — Target creature gets +2/+2 until end of turn. / Return target creature to its owner's hand.",,,RNA,154,common,https://scryfall.com/card/rna/154/applied-biomancy
Benthic Biomancer,"{U}",Creature — Merfolk Wizard,"Adapt 1. Whenever one or more +1/+1 counters are put on Benthic Biomancer, draw a card, then discard a card.",1,1,RNA,32,rare,https://scryfall.com/card/rna/32/benthic-biomancer
Champion of Wits,"{2}{U}",Creature — Naga Wizard,"When Champion of Wits enters the battlefield, you may draw cards equal to its power. If you do, discard two cards. Eternalize—{5}{U}{U}.",2,1,HOU,30,rare,https://scryfall.com/card/hou/30/champion-of-wits
Galloping Lizrog,"{3}{G}{U}",Creature — Frog Lizard,"Trample. When Galloping Lizrog enters the battlefield, you may remove any number of +1/+1 counters from among creatures you control. If you do, put twice that many +1/+1 counters on Galloping Lizrog.",3,3,RNA,175,uncommon,https://scryfall.com/card/rna/175/galloping-lizrog
Skatewing Spy,"{4}{U}",Creature — Vedalken Rogue,"Adapt 2. Each creature you control with a +1/+1 counter on it has flying.",3,3,RNA,50,uncommon,https://scryfall.com/card/rna/50/skatewing-spy
Simic Sky Swallower,"{5}{G}{U}",Creature — Leviathan,"Trample, shroud, flying.",6,6,DIS,135,rare,https://scryfall.com/card/dis/135/simic-sky-swallower
Tatyova Benthic Druid,"{3}{G}{U}",Legendary Creature — Merfolk Druid,"Landfall — Whenever a land enters the battlefield under your control, you gain 1 life and draw a card.",3,3,DOM,214,uncommon,https://scryfall.com/card/dom/214/tatyova-benthic-druid
Kiora the Crashing Wave,"{2}{G}{U}",Legendary Planeswalker — Kiora,"+1: Until your next turn, prevent all damage that would be dealt to and dealt by target permanent an opponent controls. −1: Draw a card. You may play an additional land this turn. −5: You get an emblem with 'At the beginning of your end step, create a 9/9 blue Kraken creature token.'",,,,BNG,149,mythic,https://scryfall.com/card/bng/149/kiora-the-crashing-wave
Krasis Incubation,"{2}{G}{U}",Enchantment — Aura,"Enchant creature. Enchanted creature gets +2/+2 and has '{1}{G}{U}: Return Krasis Incubation and enchanted creature to their owner's hand.'",,,GTC,181,uncommon,https://scryfall.com/card/gtc/181/krasis-incubation
Plasm Capture,"{G}{G}{U}{U}",Instant,"Counter target spell. At the beginning of your next main phase, add X mana in any combination of colors, where X is that spell's mana value.",,,GTC,191,rare,https://scryfall.com/card/gtc/191/plasm-capture
Kiora Master of the Depths,"{2}{G}{U}",Legendary Planeswalker — Kiora,"+1: Untap up to one target creature and up to one target land. −2: Reveal the top four cards of your library. Put up to two creature and/or land cards from among them into your hand. Put the rest into your graveyard. −8: You get an emblem with 'Whenever a creature enters the battlefield under your control, you may have it fight target creature.' Then create three 8/8 blue Octopus creature tokens.",,,,BFZ,215,mythic,https://scryfall.com/card/bfz/215/kiora-master-of-the-depths
