matrix_id,card_name,mana_value,color_identity,type_line,set_context,canonical_tier,mechanical_role,primary_signal,secondary_signal,rhetoric_axis,status_axis,resource_axis,board_axis,commander_relevance,vox_mana_read,maze_query_seed,why_canonical,source_url
SLQ-001,"Silverquill, the Disputant",5,W/B,Legendary Creature — Elder Dragon,Secrets of Strixhaven,current-school-core,founder dragon / casualty rhetoric engine,every spell can demand a sacrifice,flying-vigilance public authority plus casualty spell pressure,verdict-as-cost,founder-status,creatures-as-rhetorical-payment,airborne-judge,very high,The argument wins because every spell asks the table what it is willing to sacrifice to be heard.,ci=wb commander (o:casualty OR o:sacrifice) t:dragon,Current Silverquill founder-style anchor from Secrets of Strixhaven with explicit Silverquill identity and casualty/spells pressure.,https://scryfall.com/search?q=%21%22Silverquill%2C%20the%20Disputant%22
SLQ-002,"Killian, Decisive Mentor",2,W/B,Legendary Creature — Human Warlock,Secrets of Strixhaven Commander,current-commander-core,enchantment / aura politics commander,enchantments become social control,"tap, goad, and draw through enchanted attackers",persuasion-through-aura,mentor-status,auras-to-cards,goaded-combat,very high,The lesson is not merely attached to a creature; it redirects the room.,ci=wb commander (o:aura OR o:enchantment OR o:goad),Current Silverquill Influence commander anchor for enchantment-politics and public manipulation.,https://scryfall.com/search?q=%21%22Killian%2C%20Decisive%20Mentor%22
SLQ-003,"Abigale, Poet Laureate // Heroic Stanza",4,W/B,Legendary Creature — Human Warlock // Sorcery,Secrets of Strixhaven,current-school-core,poetry / stanza as battlefield text,the poem becomes a command line,spell-backed leadership and written performance,poetic-edict,laureate-status,spell-as-script,stanza-board-shift,high,"A Silverquill poem is not decoration; it changes who stands, who attacks, and who matters.",wm:silverquill (o:poet OR o:stanza OR o:target),Current Silverquill character/card result tying rhetoric directly to gameplay text and identity.,https://scryfall.com/search?q=%21%22Abigale%2C%20Poet%20Laureate%20//%20Heroic%20Stanza%22
SLQ-004,Silverquill Charm,2,W/B,Instant,Secrets of Strixhaven,current-mechanic-core,modal repartee / counters-removal-drain,one spell speaks in three registers,"counters, small-creature exile, and life swing",modal-rhetoric,charm-status,life-as-leverage,precise-removal,high,"The same sentence can praise, dismiss, or wound depending on who needs to hear it.",wm:silverquill t:instant (o:+1/+1 OR o:exile OR o:life),"Current Silverquill modal card cleanly expressing support, removal, and drain as rhetorical modes.",https://scryfall.com/search?q=%21%22Silverquill%20Charm%22
SLQ-005,Conciliator's Duelist,3,W/B,Creature — Human Warlock,Secrets of Strixhaven,current-mechanic-core,duel / target-matter creature,conflict is staged as persuasion,repartee-style targeting and combat leverage,duel-rhetoric,conciliator-status,targeting-resource,duel-body,medium,The duel is not private violence; it is a public argument with a winner.,wm:silverquill t:creature (o:target OR o:counter),Current Silverquill Secrets card named in SOS search results and aligned to target-matter dueling.,https://scryfall.com/search?q=%21%22Conciliator%27s%20Duelist%22
SLQ-006,Killian's Confidence,2,W/B,Sorcery,Secrets of Strixhaven,current-mechanic-core,confidence / counter and card flow,certainty becomes a counter,targeted creature growth plus card replacement,confidence-rhetoric,mentor-status,spell-to-card,single-body-push,medium,"Confidence is a resource: it marks the body, then replaces itself with another line.",wm:silverquill o:+1/+1 o:draw,Current Killian-linked Silverquill spell anchoring targeted growth and rhetorical confidence.,https://scryfall.com/search?q=%21%22Killian%27s%20Confidence%22
SLQ-007,Social Snub,3,B,Sorcery,Secrets of Strixhaven,current-mechanic-core,social rejection / sacrifice-drain,exclusion becomes removal,edict pressure plus life movement,snub-rhetoric,social-status,life-drain,table-edict,medium,The insult works because the room agrees someone has to leave.,wm:silverquill (o:sacrifice OR o:life OR o:lose life),Current Silverquill card name and effect family reinforce status pressure and group punishment.,https://scryfall.com/search?q=%21%22Social%20Snub%22
SLQ-008,Stirring Honormancer,3,W,Creature — Human Cleric,Secrets of Strixhaven,current-mechanic-core,honor / counter-bearing support,honor gives shape to action,support creature for counter and combat posture,honor-rhetoric,public-status,counter-support,combat-formation,medium,Honor is not passive virtue here; it is a visible mark that changes combat math.,wm:silverquill t:creature (o:+1/+1 OR o:counter),Current Silverquill card from SOS discussion supporting counter/creature pressure.,https://scryfall.com/search?q=%21%22Stirring%20Honormancer%22
SLQ-009,"Scriv, the Obligator",3,W/B,Legendary Creature — Human Warlock,Secrets of Strixhaven,current-school-core,obligation / contract-pressure legend,every promise becomes enforceable,status and obligation translated into board pressure,obligation-rhetoric,obligator-status,promise-as-resource,contract-field,high,Silverquill does not only persuade; it makes promises expensive to break.,ci=wb commander (o:obligat OR o:target OR o:counter),Current SOS Silverquill legend named in card discussions; cleanly supports obligation/status taxonomy.,https://scryfall.com/search?q=%21%22Scriv%2C%20the%20Obligator%22
SLQ-010,Moment of Reckoning,5,W/B,Sorcery,Secrets of Strixhaven,current-mechanic-core,reckoning / selective reset,the room is forced to account for itself,board punishment framed as verdict,reckoning-rhetoric,judgment-status,reset-as-leverage,board-verdict,high,A Silverquill reset should feel like the speech that makes every mask come off.,wm:silverquill (o:destroy OR o:exile OR o:each),Current Silverquill card from SOS coverage; strong verdict/reset narrative hook.,https://scryfall.com/search?q=%21%22Moment%20of%20Reckoning%22
