Workbook Row,Source Location / Row Identity,Source Category,Term / Archetype,Old Intent Class,New Intent Class,Old Preferred Strategy,New Preferred Strategy,Old Master Query Fragment,New Master Query Fragment,Old Fallback / Alternate,New Fallback / Alternate,Old Translator Behavior,New Translator Behavior,Old Master Status,New Master Status,Old Confidence,New Confidence,Old Ambiguity / Guardrail,New Ambiguity / Guardrail,Old Authority,New Authority,Old Last Reviewed,New Last Reviewed,Authority / Evidence Source,CAL / GOV Rule Trace,Status Movement,Concise Reason for Change
340,Keywords!A3:C3,Evergreen Keyword Actions,Counter,Keyword action,Polysemous action,oracle:,governed intent branch,"o:""Counter""",,,counterspell lens + counter-on-object lens + counter-manipulation lens,Translate with wording caveat,Disambiguate before query assembly,Review,Review,0.82,0.82,Some action words are ordinary English too; results may need object/context filters.,"Counter is overloaded: counter a spell/ability, place a counter, or manipulate counters. Never default the bare word to one branch or emit a generic o:counter query as settled intent.",https://scryfall.com/docs/syntax,CAL-029 / Calibration V3.2,2026-08-21,2026-08-27,Calibration V3.2 Learned_Rules,CAL-029; CAL-037,unchanged,Replace an unsafe bare Oracle search with the governed polysemy branch.
620,KeywordActions!A19:B19,Keyword Action,Counter,Keyword action,Polysemous action,oracle:,governed intent branch,"o:""Counter""",,,counterspell lens + counter-on-object lens + counter-manipulation lens,Translate with wording caveat,Disambiguate before query assembly,Review,Review,0.82,0.82,Some action words are ordinary English too; results may need object/context filters.,"Counter is overloaded: counter a spell/ability, place a counter, or manipulate counters. Never default the bare word to one branch or emit a generic o:counter query as settled intent.",https://scryfall.com/docs/syntax,CAL-029 / Calibration V3.2,2026-08-21,2026-08-27,Calibration V3.2 Learned_Rules,CAL-029; CAL-037,unchanged,Apply the same governed polysemy branch to the duplicate source vocabulary row.
908,ColorPie!A35:E35,Color Pie Ability,"Creature destruction, mass (Destroy all)",Color-pie semantic concept,Multi-Lens function,Oracle regex,governed Multi-Lens recipe,o:/destroy all.*creature/,"otag:board-wipe (o:""destroy all creatures"" or o:""exile all creatures"" or o:""each creature gets -"" or o:""damage to each creature"" or o:""sacrifice all"")",,Tagger-only alternate lane + Oracle-only wording-review lane,Use curated mapping; otherwise keep unresolved,Run the high-confidence core; preserve role-labeled alternate lanes,Review,Production-ready,0.68,0.86,"Color Pie prose describes design space, not necessarily literal Oracle wording. Never use the source phrase as a blind o: search.","The intersection is the high-confidence core, not complete truth. Keep legitimate Tagger-only resets/sweepers and Oracle-only wording in separate lanes; reject self-board sacrifice/exile/destruction false positives.",https://scryfall.com/docs/syntax,EV-003 / Calibration V3.2,2026-08-21,2026-08-27,Evidence Gate CLOSED V3.2; EV-003,CAL-020; CAL-044; CAL-055; EV-003,promoted,Convert the single destroy-all regex into the frozen board-wipe differential architecture.
909,ColorPie!A36:E36,Color Pie Ability,Destroy all creatures controlled by one player,Color-pie semantic concept,Multi-Lens function,Semantic concept,governed Multi-Lens recipe,,"(o:""destroy all creatures target opponent controls"" or o:""exile all creatures target opponent controls"")",,"all-opponents / spare-my-board lane: (o:""destroy all creatures you don't control"" or o:""exile all creatures you don't control"" or o:""destroy all creatures your opponents control"" or o:""exile all creatures your opponents control"") + save-one/chosen-survivor lane + tribal/chosen-type survivor lane",Use curated mapping; otherwise keep unresolved,"Separate target-one-opponent, all-opponents/spare-my-board, save-one, and tribal-survivor meanings",Semantic,Review,0.3,0.68,"Color Pie prose describes design space, not necessarily literal Oracle wording. Never use the source phrase as a blind o: search.",The target-one-opponent lane represents the source concept but remains pending narrow exact-name/live validation. Do not substitute the EV-001 all-opponents/spare-my-board lane for one-player intent; keep save-one and tribal survivor effects separate.,https://scryfall.com/docs/syntax,Owner Review finding; EV-001 / Calibration V3.2,2026-08-21,2026-08-27,Owner Review finding 2026-08-27; Evidence Gate CLOSED V3.2 EV-001/EV-003,CAL-020; CAL-043; CAL-044; CAL-055; EV-001; EV-003,promoted,Separate the unvalidated target-one-opponent family from EV-001's all-opponents/spare-my-board family and retain Review status.
964,ColorPie!A91:E91,Color Pie Ability,"""Flicker""",Color-pie semantic concept,Multi-Lens function,Semantic concept,governed Multi-Lens recipe,,"o:""exile target"" o:return o:battlefield",,repeatable blink-engine lane + payoff/watcher lane,Use curated mapping; otherwise keep unresolved,"Separate blink enablers, repeatable engines, and payoffs",Semantic,Review,0.3,0.82,"Color Pie prose describes design space, not necessarily literal Oracle wording. Never use the source phrase as a blind o: search.",Do not blend blink with ordinary bounce or graveyard recursion. The Oracle fragment is a candidate enabler lens; engines and payoffs are separate roles.,https://scryfall.com/docs/syntax,CAL-017 / Calibration V3.2,2026-08-21,2026-08-27,Calibration V3.2 Learned_Rules and query cookbook,CAL-017; CAL-043,promoted,Replace an unresolved Flicker concept with the governed three-role recipe while retaining Review status.
987,ColorPie!A114:E114,Color Pie Ability,Increasing counters and/or tokens,Color-pie semantic concept,Multi-Lens function,Oracle regex,governed Multi-Lens recipe,o:/create.*token/,,,counter-creation/counter-matters lanes + token-generation/token-matters lanes,Use curated mapping; otherwise keep unresolved,Branch by counters versus tokens and by producer versus payoff,Review,Review,0.68,0.68,"Color Pie prose describes design space, not necessarily literal Oracle wording. Never use the source phrase as a blind o: search.",A create-token query cannot represent the counter half of this composite term. Keep counter type and producer/payoff intent explicit rather than hiding one side.,https://scryfall.com/docs/syntax,CAL-033; CAL-043 / Calibration V3.2,2026-08-21,2026-08-27,Calibration V3.2 Learned_Rules,CAL-033; CAL-043,unchanged,Remove a token-only query that silently discarded the counter branch.
1002,ColorPie!A129:E129,Color Pie Ability,"Mana production, permanent",Color-pie semantic concept,Multi-Lens mana-production concept,Semantic concept,structured signal + role classifier,,produces:[MANA],,direct self-production + alternative activation + land-untap + grantor/support lanes,Use curated mapping; otherwise keep unresolved,"Retrieve by capability, then classify the actual mana source and role",Semantic,Review,0.3,0.82,"Color Pie prose describes design space, not necessarily literal Oracle wording. Never use the source phrase as a blind o: search.","produces: is broad capability evidence, not proof that the queried permanent produces mana itself or does so repeatably. Keep grantors and land-untap acceleration separately labeled.",https://scryfall.com/docs/syntax,EV-004 / Calibration V3.2,2026-08-21,2026-08-27,Evidence Gate CLOSED V3.2; EV-004,CAL-023; CAL-045; CAL-056; EV-004,promoted,Introduce the documented structured signal and the frozen mana-source role classifier.
1003,ColorPie!A130:E130,Color Pie Ability,"Mana production, temporary",Color-pie semantic concept,Multi-Lens mana-production concept,Semantic concept,structured signal + role classifier,,produces:[MANA],,burst-spell lane + temporary activation/trigger lane + grantor/support lane,Use curated mapping; otherwise keep unresolved,"Retrieve by capability, then classify duration, source, and role",Semantic,Review,0.3,0.68,"Color Pie prose describes design space, not necessarily literal Oracle wording. Never use the source phrase as a blind o: search.","produces: does not prove duration, repeatability, or self-production. Temporary mana still requires post-retrieval role classification.",https://scryfall.com/docs/syntax,EV-004 / Calibration V3.2,2026-08-21,2026-08-27,Evidence Gate CLOSED V3.2; EV-004,CAL-045; CAL-056; EV-004,promoted,Use the structured capability signal without inventing a direct duration operator.
1031,ColorPie!A158:E158,Color Pie Ability,"""Reanimation"" (creatures)",Color-pie semantic concept,Mechanical pattern,Semantic concept,order-independent Oracle recipe,,"(o:put or o:return) o:""creature card"" o:graveyard o:battlefield",,battlefield reanimation + hand recursion + self-return/self-cast lanes,Use curated mapping; otherwise keep unresolved,Use the creature battlefield-reanimation candidate lens,Semantic,Review,0.3,0.82,"Color Pie prose describes design space, not necessarily literal Oracle wording. Never use the source phrase as a blind o: search.","Reanimation uses both put and return wording families. This is a high-recall candidate lens, not proof of complete mechanical equivalence; named template claims require card-by-card checks.",https://scryfall.com/docs/syntax,EC-001 / Calibration V3.2,2026-08-21,2026-08-27,Evidence Corrections V3.1; EC-001,CAL-022; CAL-054,promoted,Apply the corrected put-or-return reanimation family while preserving semantic limits.
1034,ColorPie!A161:E161,Color Pie Ability,Return target card from graveyard to hand,Color-pie semantic concept,Color-pie semantic concept,Oracle regex,destination-specific Oracle lens,o:/return.*graveyard/,"o:""return target card"" o:graveyard o:hand",,broaden article/pronoun wording only as an explicit review lane,Use curated mapping; otherwise keep unresolved,Translate through the destination-specific candidate lens,Review,Review,0.68,0.82,"Color Pie prose describes design space, not necessarily literal Oracle wording. Never use the source phrase as a blind o: search.","Object, source zone, and hand destination stay explicit. Independent o: terms can occur in different abilities, so important same-ability claims require review.",https://scryfall.com/docs/syntax,CAL-022 / Calibration V3.2,2026-08-21,2026-08-27,Calibration V3.2 Learned_Rules,CAL-010; CAL-013; CAL-022; CAL-053,unchanged,Replace the generic ordered recursion regex with a card-specific graveyard-to-hand candidate lens.
1035,ColorPie!A162:E162,Color Pie Ability,Return target artifact from graveyard to hand,Color-pie semantic concept,Color-pie semantic concept,Oracle regex,destination-specific Oracle lens,o:/return.*graveyard/,"o:""return target artifact"" o:graveyard o:hand",,broaden article/pronoun wording only as an explicit review lane,Use curated mapping; otherwise keep unresolved,Translate through the destination-specific candidate lens,Review,Review,0.68,0.82,"Color Pie prose describes design space, not necessarily literal Oracle wording. Never use the source phrase as a blind o: search.","Object, source zone, and hand destination stay explicit. Independent o: terms can occur in different abilities, so important same-ability claims require review.",https://scryfall.com/docs/syntax,CAL-022 / Calibration V3.2,2026-08-21,2026-08-27,Calibration V3.2 Learned_Rules,CAL-010; CAL-013; CAL-022; CAL-053,unchanged,Replace the generic ordered recursion regex with a artifact-specific graveyard-to-hand candidate lens.
1036,ColorPie!A163:E163,Color Pie Ability,Return target creature from graveyard to hand,Color-pie semantic concept,Color-pie semantic concept,Oracle regex,destination-specific Oracle lens,o:/return.*graveyard/,"o:""return target creature"" o:graveyard o:hand",,broaden article/pronoun wording only as an explicit review lane,Use curated mapping; otherwise keep unresolved,Translate through the destination-specific candidate lens,Review,Review,0.68,0.82,"Color Pie prose describes design space, not necessarily literal Oracle wording. Never use the source phrase as a blind o: search.","Object, source zone, and hand destination stay explicit. Independent o: terms can occur in different abilities, so important same-ability claims require review.",https://scryfall.com/docs/syntax,CAL-022 / Calibration V3.2,2026-08-21,2026-08-27,Calibration V3.2 Learned_Rules,CAL-010; CAL-013; CAL-022; CAL-053,unchanged,Replace the generic ordered recursion regex with a creature-specific graveyard-to-hand candidate lens.
1037,ColorPie!A164:E164,Color Pie Ability,Return target enchantment from graveyard to hand,Color-pie semantic concept,Color-pie semantic concept,Oracle regex,destination-specific Oracle lens,o:/return.*graveyard/,"o:""return target enchantment"" o:graveyard o:hand",,broaden article/pronoun wording only as an explicit review lane,Use curated mapping; otherwise keep unresolved,Translate through the destination-specific candidate lens,Review,Review,0.68,0.82,"Color Pie prose describes design space, not necessarily literal Oracle wording. Never use the source phrase as a blind o: search.","Object, source zone, and hand destination stay explicit. Independent o: terms can occur in different abilities, so important same-ability claims require review.",https://scryfall.com/docs/syntax,CAL-022 / Calibration V3.2,2026-08-21,2026-08-27,Calibration V3.2 Learned_Rules,CAL-010; CAL-013; CAL-022; CAL-053,unchanged,Replace the generic ordered recursion regex with a enchantment-specific graveyard-to-hand candidate lens.
1038,ColorPie!A165:E165,Color Pie Ability,Return target instant from graveyard to hand,Color-pie semantic concept,Color-pie semantic concept,Oracle regex,destination-specific Oracle lens,o:/return.*graveyard/,"o:""return target instant"" o:graveyard o:hand",,broaden article/pronoun wording only as an explicit review lane,Use curated mapping; otherwise keep unresolved,Translate through the destination-specific candidate lens,Review,Review,0.68,0.82,"Color Pie prose describes design space, not necessarily literal Oracle wording. Never use the source phrase as a blind o: search.","Object, source zone, and hand destination stay explicit. Independent o: terms can occur in different abilities, so important same-ability claims require review.",https://scryfall.com/docs/syntax,CAL-022 / Calibration V3.2,2026-08-21,2026-08-27,Calibration V3.2 Learned_Rules,CAL-010; CAL-013; CAL-022; CAL-053,unchanged,Replace the generic ordered recursion regex with a instant-specific graveyard-to-hand candidate lens.
1039,ColorPie!A166:E166,Color Pie Ability,Return target land from graveyard to hand,Color-pie semantic concept,Color-pie semantic concept,Oracle regex,destination-specific Oracle lens,o:/return.*graveyard/,"o:""return target land"" o:graveyard o:hand",,broaden article/pronoun wording only as an explicit review lane,Use curated mapping; otherwise keep unresolved,Translate through the destination-specific candidate lens,Review,Review,0.68,0.82,"Color Pie prose describes design space, not necessarily literal Oracle wording. Never use the source phrase as a blind o: search.","Object, source zone, and hand destination stay explicit. Independent o: terms can occur in different abilities, so important same-ability claims require review.",https://scryfall.com/docs/syntax,CAL-022 / Calibration V3.2,2026-08-21,2026-08-27,Calibration V3.2 Learned_Rules,CAL-010; CAL-013; CAL-022; CAL-053,unchanged,Replace the generic ordered recursion regex with a land-specific graveyard-to-hand candidate lens.
1040,ColorPie!A167:E167,Color Pie Ability,Return target sorcery from graveyard to hand,Color-pie semantic concept,Color-pie semantic concept,Oracle regex,destination-specific Oracle lens,o:/return.*graveyard/,"o:""return target sorcery"" o:graveyard o:hand",,broaden article/pronoun wording only as an explicit review lane,Use curated mapping; otherwise keep unresolved,Translate through the destination-specific candidate lens,Review,Review,0.68,0.82,"Color Pie prose describes design space, not necessarily literal Oracle wording. Never use the source phrase as a blind o: search.","Object, source zone, and hand destination stay explicit. Independent o: terms can occur in different abilities, so important same-ability claims require review.",https://scryfall.com/docs/syntax,CAL-022 / Calibration V3.2,2026-08-21,2026-08-27,Calibration V3.2 Learned_Rules,CAL-010; CAL-013; CAL-022; CAL-053,unchanged,Replace the generic ordered recursion regex with a sorcery-specific graveyard-to-hand candidate lens.
1063,ColorPie!A190:E190,Color Pie Ability,Token generation,Color-pie semantic concept,Mechanical pattern,Oracle regex,Oracle creation pattern,o:/create.*token/,o:create o:token,,token-subtype lane + token-payoff/support lane,Use curated mapping; otherwise keep unresolved,Use the generator lane first; branch token payoffs separately,Review,Review,0.68,0.82,"Color Pie prose describes design space, not necessarily literal Oracle wording. Never use the source phrase as a blind o: search.","Creation wording is required for generators. Separate o: terms are a candidate pattern and can match different abilities, so important same-ability claims remain reviewable.",https://scryfall.com/docs/syntax,CAL-033 / Calibration V3.2,2026-08-21,2026-08-27,Calibration V3.2 Learned_Rules,CAL-010; CAL-033; CAL-053,unchanged,Replace an ordered create.*token regex with the governed generator pattern and explicit payoff branch.
1066,ColorPie!A193:E193,Color Pie Ability,Treasure creation,Color-pie semantic concept,Mechanical pattern,Semantic concept,Oracle creation pattern,,"o:create o:""Treasure token""",,Treasure payoff/spender lane,Use curated mapping; otherwise keep unresolved,Translate creation directly; branch Treasure payoffs and spenders separately,Semantic,Production-ready,0.3,0.92,"Color Pie prose describes design space, not necessarily literal Oracle wording. Never use the source phrase as a blind o: search.","The creation lens intentionally excludes cards that only care about, spend, or depict Treasures. Keep those roles as an explicit alternate lane.",https://scryfall.com/docs/syntax,CAL-033 / Calibration V3.2,2026-08-21,2026-08-27,Calibration V3.2 Learned_Rules,CAL-009; CAL-033; CAL-053,promoted,Promote the exact Treasure-creation concept using the governed creation wording.
1085,DeckArchetypes!B2,Deck Archetype,Tokens,Semantic function,Multi-Lens archetype,native / tag / regex recipe,governed Multi-Lens recipe,o:/create.*token/,o:create o:token,otag:token-generator,token payoff/support lane + subtype-specific generator lanes,Expand to governed recipe,"Separate token generators, payoffs, and requested token subtypes",Review,Review,0.68,0.82,Oracle regex is the safe baseline; Tagger candidate should be validated before production.,Tokens as an archetype is broader than token creation. Do not emit the non-allowlisted token-generator tag or collapse makers and payoffs into one opaque query.,https://scryfall.com/docs/syntax | https://scryfall.com/docs/tagger-tags,CAL-033; CAL-043 / Calibration V3.2,2026-08-21,2026-08-27,Calibration V3.2 Learned_Rules and Tagger allowlist,CAL-033; CAL-043; CAL-053,unchanged,Convert the archetype to named roles and remove a non-allowlisted Tagger shortcut.
1091,DeckArchetypes!B8,Deck Archetype,Aristocrats,Composite archetype,Multi-Lens archetype,native / tag / regex recipe,governed Multi-Lens recipe,o:sacrifice,"(o:""sacrifice a creature:"" or o:""sacrifice another creature:"")",(otag:sacrifice-outlet or o:/whenever .* dies/),death-payoff lane + fodder lane + recursion lane,Expand to governed recipe,"Separate outlets, death payoffs, fodder, and recursion",Review,Review,0.68,0.82,"Composite relationship: sacrifice outlets, death payoffs, fodder, recursion.",The outlet pattern is only one Aristocrats role. Do not use bare o:sacrifice as proof of an outlet or compress all roles into a giant OR query.,https://scryfall.com/docs/syntax | https://scryfall.com/docs/tagger-tags,CAL-018; CAL-026 / Calibration V3.2,2026-08-21,2026-08-27,Calibration V3.2 Learned_Rules,CAL-018; CAL-026; CAL-043,unchanged,Turn Aristocrats into the governed small-role bundle instead of a generic sacrifice search.
1096,DeckArchetypes!B13,Deck Archetype,Treasure,Named token/function,Multi-Lens function,native / tag / regex recipe,governed Multi-Lens recipe,o:Treasure,"o:create o:""Treasure token""",,t:treasure token-object lane + Treasure payoff/spender lane,Expand to governed recipe,"Branch creation, token objects, and Treasure-matters roles",Production-ready,Review,0.94,0.82,Direct Oracle text baseline; distinguish Treasure cards from Treasure art.,"A bare o:Treasure query mixes makers, payoffs, spenders, and references. The generator lane is primary only when creation is the requested job.",https://scryfall.com/docs/syntax | https://scryfall.com/docs/tagger-tags,CAL-033; CAL-043 / Calibration V3.2,2026-08-21,2026-08-27,Calibration V3.2 Learned_Rules,CAL-033; CAL-043; CAL-053,downgraded,Downgrade an overconfident bare-Treasure query to transparent role lanes.
